"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",63.880001,64.160004,63,63.360001,347700,61.046139
"2015-01-05",63.23,65.720001,62.810001,65.379997,839000,62.992367
"2015-01-06",65.75,66.209999,65.379997,66.059998,1234500,63.64753
"2015-01-07",66.089996,67.290001,65.589996,67.18,520200,64.726631
"2015-01-08",67.580002,68,66.339996,66.5,712800,64.071472
"2015-01-09",66.260002,66.620003,65.980003,66,418900,63.589725
"2015-01-12",66.279999,66.790001,65.940002,66.139999,471600,63.724613
"2015-01-13",65.510002,66.389999,65,65.370003,769600,62.982735
"2015-01-14",64.970001,65.25,64.360001,65.019997,493100,62.645523
"2015-01-15",64.75,65.720001,64.75,65.059998,356500,62.684055
"2015-01-16",65.07,66.589996,64.720001,66.489998,726700,64.061821
"2015-01-20",66.760002,67.370003,65.440002,65.889999,427800,63.483746
"2015-01-21",65.75,65.949997,63.48,63.91,1126000,61.576057
"2015-01-22",64.199997,66.07,63.52,65.879997,639200,63.474102
"2015-01-23",65.980003,66.239998,65.43,65.870003,377500,63.464474
"2015-01-26",65.730003,66.720001,65,66.419998,374400,63.994396
"2015-01-27",65.82,66.849998,65.650002,65.699997,312900,63.300678
"2015-01-28",66.169998,66.550003,64.959999,65.300003,606800,62.915298
"2015-01-29",65.260002,65.940002,65,65.620003,682600,63.223595
"2015-01-30",65.349998,65.410004,64.260002,64.470001,514800,62.115601
"2015-02-02",64.449997,64.779999,63.369999,63.990002,864700,61.653133
"2015-02-03",63.990002,64.410004,63,63.889999,981400,61.556786
"2015-02-04",63.650002,64.879997,63.650002,64.489998,1101500,62.134861
"2015-02-05",64.949997,65.860001,64.800003,65.139999,802100,62.761131
"2015-02-06",62.119999,63.02,60.950001,62.459999,1647600,60.179005
"2015-02-09",61.490002,61.91,61.099998,61.330002,856100,59.090275
"2015-02-10",61.77,61.779999,61.080002,61.59,561200,59.340775
"2015-02-11",61.720001,62.529999,61.439999,62.040001,649400,59.774342
"2015-02-12",62.110001,62.580002,61.880001,62.169998,525500,59.899593
"2015-02-13",62.27,63.150002,61.950001,63.009998,570700,60.708916
"2015-02-17",62.759998,63.16,62.360001,62.610001,483100,60.323528
"2015-02-18",62.32,62.740002,61.43,62.139999,760700,59.870689
"2015-02-19",62.080002,62.560001,61.68,61.959999,409500,59.697254
"2015-02-20",61.950001,62.650002,61.639999,62.610001,560900,60.323528
"2015-02-23",62.360001,63.02,62.029999,63,489300,60.699284
"2015-02-24",62.830002,63.389999,62.450001,62.689999,779400,60.400604
"2015-02-25",62.669998,63,61.650002,61.860001,660300,59.801243
"2015-02-26",61.709999,62.080002,60.619999,60.849998,696400,58.824856
"2015-02-27",59.75,60.32,59.380001,60.029999,814400,58.032146
"2015-03-02",59.849998,59.990002,58.669998,59.48,1290000,57.500443
"2015-03-03",59,59.23,58.189999,58.98,1246900,57.017086
"2015-03-04",58.950001,59.200001,58.439999,58.549999,680700,56.601398
"2015-03-05",58.529999,59.07,58.02,58.950001,665000,56.988087
"2015-03-06",58.639999,60.23,58.419998,59.889999,1607900,57.896805
"2015-03-09",60.029999,60.779999,59.619999,60.439999,1089900,58.428493
"2015-03-10",60.130001,60.790001,59.799999,60.59,837100,58.573509
"2015-03-11",60.48,60.830002,59.919998,60.720001,698400,58.699177
"2015-03-12",61.099998,61.16,59.549999,59.709999,1061200,57.722801
"2015-03-13",59.66,60.080002,58.93,59.41,552000,57.432781
"2015-03-16",59.830002,60.57,59.77,60,433800,58.003139
"2015-03-17",59.849998,59.959999,59.290001,59.869999,393000,57.877472
"2015-03-18",59.400002,59.73,58.669998,58.779999,759000,56.823742
"2015-03-19",58.639999,59.91,58.639999,59.82,479300,57.829136
"2015-03-20",60.02,60.02,59.189999,59.509998,810700,57.529453
"2015-03-23",59.32,59.740002,59.189999,59.450001,577000,57.471447
"2015-03-24",59.310001,59.470001,58.07,58.25,1140900,56.311378
"2015-03-25",58.52,58.52,57.07,57.110001,799400,55.209328
"2015-03-26",56.720001,58.110001,56.57,57.73,738300,55.808689
"2015-03-27",57.439999,57.91,56.959999,57.470001,482500,55.557343
"2015-03-30",57.73,58.419998,57.689999,58.23,441500,56.292046
"2015-03-31",57.970001,58.23,57.16,57.41,551800,55.499344
"2015-04-01",57.110001,57.5,56.509998,56.720001,625200,54.832302
"2015-04-02",56.220001,56.450001,55.259998,56.02,1543700,54.155602
"2015-04-06",56.02,56.32,55.52,56.18,947000,54.310276
"2015-04-07",56.360001,57.529999,56.220001,56.68,1476600,54.793636
"2015-04-08",56.709999,57.200001,56.48,56.57,933300,54.687294
"2015-04-09",56.540001,57.16,56.369999,57.150002,635300,55.24799
"2015-04-10",57.049999,57.299999,56.5,57.23,429400,55.325333
"2015-04-13",57.099998,57.459999,57.040001,57.27,458000,55.364002
