"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",55.75,55.77,54.459999,54.790001,4328900,53.057056
"2015-01-05",54.509998,54.68,54,54.259998,4762800,52.543816
"2015-01-06",54.25,54.32,52.939999,53.189999,5231000,51.507656
"2015-01-07",53.599998,53.84,52.990002,53.110001,5394700,51.430187
"2015-01-08",53.73,54.07,53.439999,53.740002,5910400,52.040264
"2015-01-09",54,55.130001,53.82,54.560001,8396300,52.834324
"2015-01-12",55.040001,55.299999,54.369999,54.849998,5486300,53.115143
"2015-01-13",55.419998,56.290001,55.080002,55.599998,7808600,53.841423
"2015-01-14",54.849998,54.939999,53.52,54.470001,7631000,52.747173
"2015-01-15",54.68,54.93,53.490002,53.549999,4580500,51.85627
"2015-01-16",53.810001,55.68,53.529999,55.560001,10710300,53.802696
"2015-01-20",55.48,55.599998,54.75,55.470001,8000000,53.715546
"2015-01-21",55.139999,56.220001,55.009998,56.189999,6127400,54.412773
"2015-01-22",56.349998,56.860001,55.740002,56.73,7611400,54.935684
"2015-01-23",56.799999,56.799999,55.68,55.880001,4790000,54.112576
"2015-01-26",55.700001,57.099998,55.23,57.060001,5830800,55.255253
"2015-01-27",56.209999,57.32,55.98,57.080002,5595200,55.274628
"2015-01-28",57.290001,57.450001,56.139999,56.290001,5747400,54.509613
"2015-01-29",56.290001,56.98,55.169998,55.720001,8253800,53.957638
"2015-01-30",55.200001,55.669998,54.650002,54.810001,5435800,53.07642
"2015-02-02",54.849998,55.450001,54.389999,55.369999,4967900,53.618706
"2015-02-03",55.849998,56.939999,55.799999,56.919998,4091400,55.119682
"2015-02-04",57,57.48,56.029999,56.740002,5416800,54.945381
"2015-02-05",57.060001,57.279999,55.450001,56,7003100,54.228775
"2015-02-06",56.279999,57.5,56.099998,56.740002,8155000,54.945381
"2015-02-09",56.709999,57.48,56.560001,56.759998,5431100,54.964745
"2015-02-10",57.040001,57.310001,56.400002,57,6300200,55.197147
"2015-02-11",57.200001,57.290001,56.57,56.75,5504600,54.955055
"2015-02-12",56.91,57.799999,56.450001,57.77,6909200,55.942795
"2015-02-13",60.099998,60.790001,59.040001,59.830002,16696400,57.937645
"2015-02-17",59.349998,60.200001,59.119999,60.200001,6887300,58.29594
