"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",45.91,46.110001,45.310001,45.610001,2769700,42.273029
"2015-01-05",46.18,46.200001,45.299999,45.389999,4301500,42.069126
"2015-01-06",45.630001,46.169998,45.02,45.830002,6216100,42.476929
"2015-01-07",45.889999,46.290001,45.740002,46,7102600,42.634491
"2015-01-08",46.07,46.970001,46.029999,46.68,4910000,43.264744
"2015-01-09",46.720001,46.720001,46.029999,46.299999,3694100,42.912544
"2015-01-12",47.299999,47.439999,46.209999,46.290001,3907000,42.903278
"2015-01-13",46.75,46.849998,45.560001,45.959999,4359100,42.59742
"2015-01-14",45.720001,45.880001,45.110001,45.48,4418400,42.152534
"2015-01-15",45.869999,45.98,44.93,45.169998,4535700,41.865219
"2015-01-16",45.490002,45.610001,44.77,45.459999,4589400,42.134003
"2015-01-20",45.84,45.93,45.240002,45.380001,4114400,42.059853
"2015-01-21",45.66,45.959999,45.439999,45.630001,3728500,42.291569
"2015-01-22",45.950001,46.669998,45.5,46.25,4002000,42.866203
"2015-01-23",46.68,46.709999,46.330002,46.380001,2605700,42.986691
"2015-01-26",46.380001,46.759998,46.220001,46.759998,2734000,43.338882
"2015-01-27",46.59,46.759998,45.869999,46.119999,3909600,42.745712
"2015-01-28",46.529999,46.619999,45.080002,45.16,3898700,41.855949
"2015-01-29",44.299999,45.23,43.830002,44.880001,6934600,41.596439
"2015-01-30",44.610001,45.02,43.900002,43.959999,4365100,40.743744
"2015-02-02",43.82,43.880001,42.759998,43.509998,5111800,40.326672
"2015-02-03",43.41,43.900002,43.290001,43.689999,5300200,40.493496
"2015-02-04",43.459999,43.900002,43.25,43.459999,4067400,40.280327
"2015-02-05",43.77,43.84,43.41,43.700001,3352700,40.502766
"2015-02-06",43.540001,43.799999,43.220001,43.330002,3135000,40.15984
"2015-02-09",43,43.16,42.509998,42.650002,3784200,39.529594
"2015-02-10",43.48,43.740002,43.18,43.549999,4683200,40.363743
"2015-02-11",43.59,44.240002,43.59,44.07,5808300,40.845692
"2015-02-12",44.43,44.73,44.299999,44.369999,3631700,41.123745
"2015-02-13",43.669998,43.830002,43.400002,43.48,4900800,40.298862
"2015-02-17",43.290001,43.509998,43.130001,43.290001,5748000,40.122765
"2015-02-18",43.939999,44.07,43.580002,43.869999,5338000,40.896507
"2015-02-19",44.610001,44.619999,43.560001,43.700001,5077300,40.738026
"2015-02-20",43.27,43.41,42.82,43.27,4736300,40.337181
"2015-02-23",43.66,43.720001,43.310001,43.52,4096200,40.570232
"2015-02-24",43.66,43.68,43.189999,43.59,4761600,40.63549
"2015-02-25",43.73,43.98,43.669998,43.889999,6421000,40.915154
"2015-02-26",43.880001,44.02,43.630001,43.77,4255200,40.803288
"2015-02-27",43.740002,44.220001,43.740002,43.990002,6008800,41.008377
"2015-03-02",44.029999,45.610001,44,45.189999,10802800,42.127041
"2015-03-03",45.150002,45.169998,44.349998,44.689999,5307400,41.660931
"2015-03-04",44.459999,44.630001,44.299999,44.59,2143800,41.567715
"2015-03-05",45.029999,45.549999,45.029999,45.470001,3940600,42.388065
"2015-03-06",45.220001,45.240002,44.049999,44.400002,4490900,41.390587
"2015-03-09",44.509998,45.09,44.439999,44.990002,4101900,41.940594
"2015-03-10",44.73,44.82,44.040001,44.07,3200900,41.082954
"2015-03-11",44.029999,44.139999,43.810001,43.84,2500900,40.868542
"2015-03-12",44.57,45.299999,44.439999,45.290001,4433100,42.220261
