Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.05,15.88,14.98,15.86,13.822608,6507600
2017-01-04,15.71,16.040001,15.65,16.0,13.944625,4272700
2017-01-05,15.93,16.084999,15.72,15.86,13.822608,2547600
2017-01-06,15.82,15.945,15.7,15.89,13.848755,1911500
2017-01-09,15.84,16.075001,15.67,15.69,13.674446,3421300
2017-01-10,15.71,16.01,15.56,15.84,13.805178,21806400
2017-01-11,14.97,14.97,14.0,14.44,13.579479,50508500
2017-01-12,14.51,14.8,14.36,14.42,13.560672,10733600
2017-01-13,14.6,14.92,14.44,14.63,13.758158,7838300
2017-01-17,14.57,14.67,14.19,14.25,13.400803,9162400
2017-01-18,14.19,14.25,13.78,14.1,13.259741,7107200
2017-01-19,14.03,14.045,13.79,13.92,13.090467,5362000
2017-01-20,13.91,13.93,13.71,13.82,12.996427,3618300
2017-01-23,13.83,14.15,13.69,14.12,13.278548,5053400
2017-01-24,14.2,14.56,14.19,14.5,13.635903,4840200
2017-01-25,14.5,14.54,14.15,14.22,13.37259,3688500
2017-01-26,14.16,14.25,14.01,14.12,13.278548,2841700
2017-01-27,14.14,14.24,14.04,14.14,13.297359,2440300
2017-01-30,14.0,14.04,13.78,13.85,13.02464,2403900
2017-01-31,13.79,13.96,13.71,13.92,13.090467,3573600
2017-02-01,13.84,14.19,13.8,14.14,13.297359,2434100
2017-02-02,14.14,14.32,14.08,14.2,13.353782,2818100
2017-02-03,14.3,14.44,14.27,14.34,13.485439,1753800
2017-02-06,14.3,14.45,14.2,14.45,13.588883,1966000
2017-02-07,14.45,14.64,14.38,14.59,13.72054,2851700
2017-02-08,14.51,14.6,14.38,14.56,13.692329,2045300
2017-02-09,14.56,14.64,14.44,14.48,13.617095,2444700
2017-02-10,14.46,14.5,14.3,14.5,13.635903,2692700
2017-02-13,14.45,14.595,14.42,14.5,13.635903,1894900
2017-02-14,14.42,14.57,14.34,14.39,13.532459,2051300
2017-02-15,14.31,14.37,14.1,14.35,13.494843,2778800
2017-02-16,14.29,14.35,14.17,14.23,13.381994,1490200
2017-02-17,14.21,14.24,14.07,14.14,13.297359,2798700
2017-02-21,14.1,14.25,14.01,14.23,13.381994,2095100
2017-02-22,14.22,14.28,14.08,14.27,13.419611,3375400
2017-02-23,14.25,14.25,13.88,14.22,13.37259,3680600
2017-02-24,14.22,14.27,14.12,14.27,13.419611,2929200
2017-02-27,14.18,14.44,14.11,14.44,13.579479,2589200
2017-02-28,14.44,14.7,14.34,14.68,13.805178,12176700
2017-03-01,14.08,14.18,13.42,14.16,13.316166,11645000
2017-03-02,14.01,14.24,13.72,13.75,12.930599,5259300
2017-03-03,13.68,13.83,13.45,13.82,12.996427,5838000
2017-03-06,13.72,13.87,13.64,13.86,13.034042,3130600
2017-03-07,13.87,13.9,13.73,13.74,12.921195,2948800
2017-03-08,13.75,13.8,13.46,13.47,12.667285,3178200
2017-03-09,13.47,13.51,12.83,12.98,12.206485,5255800
2017-03-10,12.98,13.26,12.98,13.11,12.328737,3086300
2017-03-13,13.1,13.34,13.06,13.16,12.375759,2205400
2017-03-14,13.1,13.19,13.01,13.13,12.347546,1361300
2017-03-15,13.15,13.4,13.11,13.28,12.488607,2628700
2017-03-16,13.27,13.4,13.13,13.13,12.347546,2356200
2017-03-17,13.13,13.25,13.07,13.1,12.319334,3966200
2017-03-20,13.08,13.175,12.98,12.99,12.215888,1927500
2017-03-21,13.0,13.15,12.9,12.9,12.131252,2787000
2017-03-22,12.9,13.115,12.8,13.06,12.281717,2610600
2017-03-23,13.06,13.1,12.93,12.93,12.159465,1976500
2017-03-24,12.99,13.13,12.94,13.02,12.244102,1698800
2017-03-27,12.91,13.05,12.9,12.95,12.178273,1678000
2017-03-28,12.87,13.14,12.86,13.08,12.300526,2565200
2017-03-29,12.8,12.97,12.77,12.87,12.35814,1267800
2017-03-30,12.92,13.09,12.91,13.0,12.482969,1971200
2017-03-31,12.92,13.04,12.89,12.91,12.396548,2881700
2017-04-03,12.95,13.07,12.9,12.97,12.454163,2645900
2017-04-04,12.98,13.11,12.87,13.1,12.578992,3139100
2017-04-05,13.11,13.331,13.02,13.03,12.511776,13885800
2017-04-06,12.75,12.8,12.525,12.65,12.146889,12100000
2017-04-07,12.7,12.78,12.52,12.72,12.214106,6277400
2017-04-10,12.77,12.91,12.71,12.81,12.300527,3488300
2017-04-11,12.79,12.91,12.735,12.84,12.329333,3503300
2017-04-12,12.85,12.97,12.77,12.77,12.262117,2620700
2017-04-13,12.77,12.92,12.75,12.88,12.367742,2040200
2017-04-17,12.95,13.13,12.905,13.08,12.559788,3379900
2017-04-18,13.05,13.15,13.03,13.13,12.607799,1626200
2017-04-19,13.1,13.28,13.01,13.06,12.540584,4040600
2017-04-20,13.04,13.2,13.01,13.14,12.617402,2560200
2017-04-21,13.1,13.15,13.04,13.05,12.530981,1542300
2017-04-24,13.16,13.16,13.025,13.07,12.550185,3297600
2017-04-25,13.08,13.17,13.07,13.08,12.559788,2262900
2017-04-26,13.07,13.11,13.0,13.02,12.502174,2228700
2017-04-27,13.01,13.17,13.0,13.14,12.617402,2506500
2017-04-28,13.13,13.16,13.01,13.07,12.550185,2707700
2017-05-01,13.09,13.24,13.07,13.21,12.684617,2408100
2017-05-02,13.14,13.22,12.965,13.1,12.578992,2386900
2017-05-03,13.13,13.13,12.89,12.92,12.406152,1880400
2017-05-04,12.98,12.98,12.58,12.87,12.35814,3453000
2017-05-05,12.83,13.16,12.82,13.15,12.627004,2373800
2017-05-08,13.12,13.14,12.88,13.07,12.550185,5539500
2017-05-09,13.04,13.2,13.04,13.14,12.617402,3656600
2017-05-10,12.82,13.28,12.59,12.9,12.386946,4350200
2017-05-11,12.85,13.16,12.85,13.08,12.559788,3348600
2017-05-12,13.1,13.21,13.03,13.14,12.617402,2317900
2017-05-15,13.19,13.46,13.19,13.34,12.809447,5683500
2017-05-16,13.31,13.455,13.31,13.44,12.905469,2971400
2017-05-17,13.41,13.5,13.2,13.48,12.943879,5654500
2017-05-18,13.47,13.61,13.39,13.45,12.915072,4841900
2017-05-19,13.48,13.56,13.404,13.46,12.924674,2568600
2017-05-22,13.49,13.75,13.47,13.72,13.174334,2937800
2017-05-23,13.75,13.86,13.7,13.86,13.308765,2642700
2017-05-24,13.88,14.09,13.82,14.07,13.510414,3278000
2017-05-25,14.11,14.235,14.01,14.13,13.568027,3257600
2017-05-26,14.13,14.16,14.02,14.08,13.520016,1685900
2017-05-30,14.07,14.1,13.935,14.0,13.443198,2179700
2017-05-31,14.0,14.14,13.93,14.13,13.568027,5827700
2017-06-01,14.12,14.33,14.08,14.28,13.712062,3979400
2017-06-02,14.32,14.485,14.25,14.39,13.817687,5206100
2017-06-05,14.4,14.42,14.15,14.16,13.596834,2630800
2017-06-06,14.24,14.25,13.96,13.98,13.423993,5313000
2017-06-07,14.0,14.09,13.965,14.03,13.472004,3259000
2017-06-08,14.03,14.14,13.985,14.11,13.548822,1885800
2017-06-09,14.1,14.278,14.06,14.19,13.625641,1922700
2017-06-12,14.15,14.25,14.13,14.2,13.635243,3298100
2017-06-13,14.21,14.29,14.18,14.25,13.683255,2226500
2017-06-14,14.18,14.265,14.07,14.17,13.606437,4267100
2017-06-15,14.1,14.19,14.06,14.19,13.625641,2209200
2017-06-16,14.24,14.38,14.2,14.38,13.808084,6026200
2017-06-19,14.39,14.5,14.38,14.5,13.923312,2233900
2017-06-20,14.43,14.515,14.29,14.37,13.798482,2772400
2017-06-21,14.38,14.44,14.23,14.33,13.760073,2604400
2017-06-22,14.34,14.5,14.33,14.49,13.91371,2928100
2017-06-23,14.52,14.53,14.41,14.5,13.923312,8189500
2017-06-26,14.55,14.61,14.39,14.41,13.836891,3023500
2017-06-27,14.44,14.49,14.24,14.25,13.683255,2295300
2017-06-28,13.99,14.07,13.9,13.98,13.683254,2763900
2017-06-29,14.0,14.1,13.82,13.97,13.673468,1709200
2017-06-30,14.06,14.12,13.99,14.09,13.79092,1822400
2017-07-03,14.09,14.225,14.09,14.2,13.898585,859100
2017-07-05,14.2,14.33,14.2,14.27,13.967099,2259300
2017-07-06,14.22,14.27,14.05,14.05,13.751769,4025100
2017-07-07,14.14,14.39,14.1,14.39,14.084553,2339400
2017-07-10,14.37,14.44,14.34,14.36,14.055188,3010700
2017-07-11,14.41,14.53,14.33,14.5,14.192217,3475100
2017-07-12,14.58,14.62,14.5,14.61,14.299882,3042300
2017-07-13,14.61,14.65,14.56,14.6,14.290094,2501600
2017-07-14,14.6,14.68,14.57,14.62,14.309669,2998800
2017-07-17,14.66,14.72,14.59,14.69,14.378183,2106900
2017-07-18,14.59,14.72,14.58,14.7,14.387972,2511100
2017-07-19,14.7,14.73,14.65,14.7,14.387972,3139300
2017-07-20,14.7,14.73,14.5,14.51,14.202005,4178400
2017-07-21,14.52,14.6,14.33,14.34,14.035613,5058600
2017-07-24,14.37,14.57,14.355,14.57,14.260731,2687400
2017-07-25,14.61,14.72,14.59,14.7,14.387972,2680100
2017-07-26,14.67,14.74,14.62,14.66,14.348821,1949600
2017-07-27,14.66,14.71,14.49,14.59,14.280307,4151100
2017-07-28,14.52,14.67,14.52,14.66,14.348821,1484800
2017-07-31,14.7,14.71,14.54,14.64,14.329246,1765900
2017-08-01,14.69,14.71,14.6,14.63,14.319458,1354400
2017-08-02,14.63,14.72,14.5,14.62,14.309669,5165500
2017-08-03,14.62,14.71,14.53,14.61,14.299882,2945700
2017-08-04,14.62,14.62,14.47,14.56,14.250944,2784500
2017-08-07,14.5,14.64,14.45,14.48,14.172641,3248600
2017-08-08,14.41,14.61,14.41,14.46,14.153067,3668600
2017-08-09,14.39,14.4,13.66,13.86,13.565802,6300700
2017-08-10,13.74,13.75,13.31,13.52,13.23302,4854900
2017-08-11,13.36,13.69,13.36,13.65,13.360259,3790400
2017-08-14,13.73,13.73,13.305,13.35,13.066628,3109600
2017-08-15,13.3,13.32,13.15,13.22,12.939387,3247800
2017-08-16,13.23,13.35,13.2,13.28,12.998113,3660900
2017-08-17,13.23,13.33,13.22,13.3,13.017689,2852900
2017-08-18,13.28,13.306,13.04,13.06,12.782784,2603800
2017-08-21,13.08,13.13,13.01,13.13,12.851297,1822900
2017-08-22,13.16,13.16,12.96,12.98,12.704481,3699500
2017-08-23,12.94,13.06,12.92,13.04,12.763207,1832000
2017-08-24,13.07,13.1,12.94,12.95,12.675117,1530000
2017-08-25,12.98,13.0,12.92,12.97,12.694694,984700
2017-08-28,13.01,13.01,12.855,12.95,12.675117,1690500
2017-08-29,12.82,12.88,12.73,12.77,12.49894,2156400
2017-08-30,12.77,13.11,12.77,13.0,12.724056,4783000
2017-08-31,13.05,13.25,13.03,13.11,12.831721,4758100
2017-09-01,13.1,13.3,13.06,13.19,12.910024,1713700
2017-09-05,13.2,13.26,13.08,13.11,12.831721,2944700
2017-09-06,13.13,13.17,13.04,13.05,12.772996,3069100
2017-09-07,13.1,13.1,13.04,13.09,12.812146,1971300
2017-09-08,13.05,13.2,13.05,13.13,12.851297,3066700
2017-09-11,13.19,13.275,13.19,13.21,12.929599,2403200
2017-09-12,13.24,13.26,13.17,13.19,12.910024,2850700
2017-09-13,13.14,13.16,12.92,12.92,12.645755,3333100
2017-09-14,12.91,13.005,12.86,12.95,12.675117,2494700
2017-09-15,12.91,12.98,12.77,12.91,12.635967,3100300
2017-09-18,12.93,12.99,12.85,12.94,12.66533,1803900
2017-09-19,12.93,13.02,12.91,12.91,12.635967,1922100
2017-09-20,12.9,12.99,12.87,12.94,12.66533,4809900
2017-09-21,12.97,13.01,12.9,12.9,12.626179,2046500
2017-09-22,12.9,12.965,12.87,12.89,12.616392,2877400
2017-09-25,12.89,12.96,12.89,12.91,12.635967,3669000
2017-09-26,12.9,13.025,12.87,12.87,12.596816,5074200
2017-09-27,12.93,12.97,12.7,12.72,12.450001,3734400
2017-09-28,12.47,12.56,12.37,12.55,12.55,3317700
2017-09-29,12.55,12.73,12.5,12.56,12.56,3758800
2017-10-02,12.59,12.675,12.57,12.57,12.57,2356700
2017-10-03,12.59,12.767,12.59,12.63,12.63,2303200
2017-10-04,12.65,12.715,12.62,12.65,12.65,1922600
2017-10-05,12.65,12.77,12.65,12.71,12.71,1686200
2017-10-06,12.67,12.69,12.54,12.55,12.55,1468100
2017-10-09,12.56,12.63,12.465,12.48,12.48,1562600
2017-10-10,12.5,12.61,12.39,12.4,12.4,2232500
2017-10-11,12.42,12.48,12.38,12.42,12.42,2406700
2017-10-12,12.41,12.515,12.4,12.42,12.42,2565400
2017-10-13,12.47,12.62,12.45,12.51,12.51,1852300
2017-10-16,12.59,12.659,12.51,12.54,12.54,1864700
2017-10-17,12.54,12.71,12.54,12.56,12.56,1825800
2017-10-18,12.49,12.66,12.49,12.53,12.53,1848200
2017-10-19,12.5,12.63,12.48,12.5,12.5,1417700
2017-10-20,12.5,12.595,12.46,12.5,12.5,1710700
2017-10-23,12.44,12.56,12.44,12.51,12.51,1970300
2017-10-24,12.52,12.63,12.52,12.58,12.58,1939800
2017-10-25,12.57,12.6,12.44,12.54,12.54,2265700
2017-10-26,12.59,12.61,12.41,12.44,12.44,2118700
2017-10-27,12.46,12.495,12.35,12.48,12.48,1691300
2017-10-30,12.5,12.55,12.45,12.47,12.47,2263900
2017-10-31,12.49,12.52,12.125,12.28,12.28,4543300
2017-11-01,12.26,12.52,12.26,12.34,12.34,2032600
2017-11-02,12.37,12.467,12.295,12.37,12.37,1848500
2017-11-03,12.35,12.44,12.34,12.38,12.38,2136500
2017-11-06,12.4,12.49,12.32,12.42,12.42,2034200
2017-11-07,12.4,12.55,12.335,12.36,12.36,3369800
2017-11-08,12.34,12.48,12.31,12.35,12.35,1903800
2017-11-09,12.3,12.75,12.28,12.71,12.71,3365600
2017-11-10,12.54,12.705,12.51,12.57,12.57,3187500
2017-11-13,12.6,12.745,12.58,12.6,12.6,1977800
2017-11-14,12.63,12.63,12.355,12.46,12.46,2256200
2017-11-15,12.4,12.6,12.35,12.38,12.38,2576800
2017-11-16,12.4,12.415,12.3,12.38,12.38,3591500
2017-11-17,12.4,12.49,12.185,12.21,12.21,3444800
2017-11-20,12.19,12.305,12.13,12.16,12.16,3499600
2017-11-21,12.16,12.3,12.095,12.23,12.23,2956400
2017-11-22,12.21,12.435,12.21,12.36,12.36,1359600
2017-11-24,12.36,12.54,12.34,12.45,12.45,971300
2017-11-27,12.45,12.49,12.21,12.22,12.22,2393800
2017-11-28,12.22,12.3,12.05,12.12,12.12,3794700
2017-11-29,12.15,12.34,12.13,12.3,12.3,2819000
2017-11-30,12.29,12.34,12.07,12.19,12.19,5060200
