"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",47.07,47.189999,45.509998,46.290001,1877800,44.095524
"2015-01-05",45.77,45.82,44.419998,44.639999,2590000,42.523743
"2015-01-06",44.669998,44.84,43.119999,43.299999,3956400,41.247272
"2015-01-07",43.799999,43.939999,43.09,43.720001,2066700,41.647358
"2015-01-08",44.240002,44.790001,44.07,44.639999,1726700,42.523743
"2015-01-09",44.549999,44.720001,42.450001,42.650002,3423300,40.62809
"2015-01-12",42.599998,42.669998,41.48,42.240002,2709400,40.237526
"2015-01-13",42.66,43.130001,41.439999,41.790001,2865900,39.808857
"2015-01-14",40.990002,41.540001,40.330002,41.41,3341900,39.446873
"2015-01-15",41.459999,41.869999,40.939999,40.959999,3956500,39.018196
"2015-01-16",41.720001,44.799999,40.450001,41.470001,5340200,39.504028
"2015-01-20",41.52,41.52,40.09,40.41,2840900,38.494278
"2015-01-21",40.380001,41.349998,40.200001,40.799999,2131000,38.865788
"2015-01-22",41.220001,42.830002,41.189999,42.709999,2959800,40.685238
"2015-01-23",42.400002,42.689999,41.669998,41.869999,2056900,39.885063
"2015-01-26",41.810001,42.540001,41.630001,42.48,1507100,40.466137
"2015-01-27",41.759998,42.490002,41.380001,42.32,2501500,40.313725
"2015-01-28",42.349998,42.560001,41.110001,41.139999,2712400,39.189667
"2015-01-29",41.310001,42.299999,41.080002,42.240002,2454800,40.237526
"2015-01-30",41.540001,42.25,41.259998,41.5,2689100,39.532597
"2015-02-02",41.919998,43.099998,41.650002,42.950001,2454700,40.913864
"2015-02-03",43.110001,44.060001,43.060001,43.93,2847300,41.847404
"2015-02-04",43.73,44.029999,43.450001,43.529999,1924100,41.466366
"2015-02-05",43.98,44.82,43.939999,44.73,2277600,42.609486
"2015-02-06",45.02,46.560001,45.02,46.139999,2614700,43.952637
"2015-02-09",45.650002,45.73,44.970001,45.150002,2185400,43.009563
"2015-02-10",45.540001,45.619999,44.82,45.41,1223200,43.257244
"2015-02-11",45.259998,45.389999,44.790001,45.25,1413300,43.104824
