"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",145.220001,146.949997,143.600006,146.419998,1248300,134.744659
"2015-01-05",145.210007,145.440002,140.869995,141.460007,2443200,130.180191
"2015-01-06",141.889999,143.619995,139.699997,142.25,2927000,130.907181
"2015-01-07",143.649994,144.020004,140.860001,142.929993,1698200,131.532974
"2015-01-08",145.399994,146.759995,144.009995,145.820007,1555800,134.19252
"2015-01-09",146.429993,146.619995,143.279999,143.600006,1169100,132.149536
"2015-01-12",143.279999,143.279999,141.029999,142.559998,953600,131.192474
"2015-01-13",143.720001,144.440002,140.25,141.339996,1346100,130.069763
"2015-01-14",139.220001,142.449997,139.220001,142.399994,2239800,131.045242
"2015-01-15",143.800003,144.199997,141.360001,141.520004,1733100,130.235397
"2015-01-16",141.699997,142.210007,139.759995,140.860001,2251500,129.628036
"2015-01-20",141.559998,142.5,140.520004,142.029999,1694600,130.704712
"2015-01-21",141.270004,145.089996,141.240005,144.729996,1726800,133.189423
"2015-01-22",146.470001,148.039993,144.729996,147.330002,1605700,135.582123
"2015-01-23",146.479996,147.029999,144.699997,145.850006,1234400,134.220154
"2015-01-26",146.580002,147.990005,145.550003,147.850006,1265400,136.060669
"2015-01-27",143.330002,143.759995,140.029999,142.270004,3628100,130.925613
"2015-01-28",143.279999,144.179993,141.479996,141.619995,1797600,130.327438
"2015-01-29",141.990005,142.789993,139.889999,142.699997,1630400,131.321335
"2015-01-30",141.100006,141.610001,139.309998,139.460007,2456500,128.339676
"2015-02-02",139.860001,143.339996,138.899994,143.009995,1886500,131.606613
"2015-02-03",143.75,145.589996,143.740005,145.550003,2121100,133.944031
"2015-02-04",145.050003,145.429993,143.570007,144.160004,1990200,132.664902
"2015-02-05",138.410004,139.880005,135.350006,138.110001,4435300,127.097321
"2015-02-06",138.210007,138.399994,135.559998,135.860001,2964500,125.026726
"2015-02-09",135.089996,136.350006,134.070007,134.399994,3246300,123.683136
"2015-02-10",134.899994,135.240005,133.5,134.960007,2189900,124.198502
"2015-02-11",134.990005,135.410004,134.240005,135.119995,1804600,124.345734
"2015-02-12",135.479996,136.779999,135.350006,136.630005,1752600,125.735321
"2015-02-13",136.75,139.360001,136.649994,139.039993,1938800,128.687805
"2015-02-17",139.119995,139.479996,137.960007,138.979996,1241500,128.632278
"2015-02-18",138.610001,141.089996,138.449997,140.179993,1253400,129.742935
"2015-02-19",139.940002,141.679993,139.619995,140.800003,1595600,130.316757
"2015-02-20",140.630005,142.880005,139.619995,142.550003,1934700,131.936478
"2015-02-23",142.020004,142.5,140.729996,141.559998,1315600,131.020187
"2015-02-24",141.559998,142.490005,141.429993,141.789993,1117100,131.233078
"2015-02-25",142.119995,142.800003,141.699997,142.179993,1260600,131.594055
"2015-02-26",142.550003,143.020004,141.800003,142.229996,1723500,131.640305
"2015-02-27",142.229996,142.820007,141.029999,142.229996,1906100,131.640305
"2015-03-02",142.229996,143.460007,141.699997,143.429993,1894600,132.750946
"2015-03-03",144.600006,146.130005,144.259995,145.360001,6469800,134.537247
"2015-03-04",145.050003,145.330002,142.580002,143.949997,2772500,133.232208
"2015-03-05",143.520004,143.919998,142.199997,142.270004,2104900,131.677322
"2015-03-06",141.199997,142.509995,139.919998,140.419998,1736900,129.965057
"2015-03-09",140.300003,141.179993,139.800003,140.949997,1193200,130.455597
"2015-03-10",139.199997,139.360001,138.070007,138.259995,1450600,127.965904
