"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",58.919998,59.279999,58.060001,58.810001,227600,55.469872
"2015-01-05",58.310001,58.650002,57.110001,57.490002,247600,54.224838
"2015-01-06",57.48,57.759998,56.110001,56.639999,285600,53.423115
"2015-01-07",57.220001,57.490002,56.66,56.970001,347200,53.734375
"2015-01-08",57.27,58.189999,57.040001,58.130001,363500,54.828495
"2015-01-09",58.279999,58.470001,56.869999,56.900002,256000,53.66835
"2015-01-12",56.779999,56.990002,55.290001,56.299999,205200,53.102428
"2015-01-13",56.82,57.700001,55.810001,56.540001,351000,53.328796
"2015-01-14",55.68,55.919998,54.779999,55.619999,252500,52.461048
"2015-01-15",55.459999,55.82,54.040001,54.049999,352500,50.980217
"2015-01-16",53.59,53.889999,53.119999,53.779999,555200,50.725552
"2015-01-20",53.98,54.73,53.130001,54.490002,551000,51.395229
"2015-01-21",54.470001,55.98,54.200001,55.830002,537900,52.659126
"2015-01-22",57.189999,57.66,56.049999,57.650002,651000,54.375755
"2015-01-23",57.860001,57.869999,57,57.419998,423900,54.158817
"2015-01-26",57.110001,58.52,56.740002,58.470001,471300,55.149181
"2015-01-27",56.779999,58.939999,56.599998,58.82,826400,55.479309
"2015-01-28",58.82,60,58,59.09,926500,55.733971
"2015-01-29",59.41,59.68,58.830002,59.580002,663300,56.196144
"2015-01-30",59.150002,61.09,59.07,60.950001,604500,57.488338
"2015-02-02",60.16,62.23,60.09,62.09,965200,58.563583
"2015-02-03",62.700001,63.540001,62.59,63.27,842700,59.676559
"2015-02-04",62.950001,63.290001,61.900002,62.07,457600,58.544716
"2015-02-05",62.509998,62.77,62,62.400002,411700,58.855976
"2015-02-06",62.41,62.82,62.209999,62.25,428600,58.714497
"2015-02-09",64,69.370003,63.860001,68.449997,5040500,64.56237
"2015-02-10",68.639999,69.980003,67.32,69.559998,1661100,65.609314
"2015-02-11",68.279999,68.720001,65.870003,67.360001,1688500,63.534264
"2015-02-12",68.089996,68.900002,67.889999,68.589996,713100,64.694405
"2015-02-13",68.93,69.160004,68.07,68.190002,696300,64.317131
"2015-02-17",68.190002,68.639999,67.330002,68.440002,525300,64.55294
"2015-02-18",68.339996,68.93,68.169998,68.589996,573300,64.694405
"2015-02-19",68.129997,69.949997,67.760002,69.540001,564600,65.590469
"2015-02-20",69.360001,69.959999,68.129997,69.779999,405800,65.816826
"2015-02-23",69.400002,69.910004,68.830002,69.489998,530400,65.543297
"2015-02-24",69.639999,70.470001,69.360001,69.550003,535600,65.599899
"2015-02-25",69.5,69.989998,68.739998,69.160004,387600,65.54303
"2015-02-26",69.019997,69.099998,68.169998,68.339996,344400,64.765915
"2015-02-27",67.400002,68.150002,66.830002,66.830002,791800,63.334881
"2015-03-02",66.830002,67.620003,65.769997,67.379997,928200,63.856117
"2015-03-03",67.239998,67.589996,66.889999,67.260002,610800,63.74239
"2015-03-04",67.260002,67.260002,66.239998,66.449997,496400,62.974758
"2015-03-05",66.540001,66.849998,66.010002,66.339996,442400,62.87051
"2015-03-06",65.93,66.690002,65.290001,65.43,328300,62.008106
"2015-03-09",65.790001,66.029999,65.349998,65.379997,556600,61.960716
"2015-03-10",64.599998,65.080002,63.66,63.709999,626000,60.378056
"2015-03-11",63.720001,64.010002,63.34,63.900002,649200,60.558117
"2015-03-12",64.400002,65.129997,64.32,64.459999,359200,61.088837
"2015-03-13",64.089996,64.239998,62.860001,63.279999,418600,59.970543
"2015-03-16",63.66,64.019997,63.360001,63.880001,444800,60.539173
"2015-03-17",63.389999,64.139999,63.380001,63.889999,427700,60.548645
"2015-03-18",63.75,65.459999,63.509998,65.269997,688300,61.856472
"2015-03-19",64.93,65.029999,63.169998,63.549999,440500,60.226418
"2015-03-20",63.759998,64.099998,63.349998,63.380001,920800,60.065315
"2015-03-23",63.290001,63.639999,62.73,62.75,393800,59.468266
"2015-03-24",62.93,63.450001,62.470001,63.07,394600,59.77153
"2015-03-25",63.470001,63.509998,62.740002,62.75,222500,59.468266
"2015-03-26",62.470001,63.189999,62.459999,62.959999,287300,59.667286
"2015-03-27",62.959999,63.07,62.169998,62.939999,488600,59.648323
"2015-03-30",63.349998,63.619999,62.830002,62.860001,368700,59.572506
"2015-03-31",62.23,62.529999,61.849998,62.41,405900,59.146042
"2015-04-01",62.549999,63.25,62.009998,62.900002,415400,59.610413
"2015-04-02",62.68,63.549999,62.360001,62.970001,238700,59.676758
"2015-04-06",62.880001,64.709999,62.82,64.309998,328300,60.946674
"2015-04-07",64.199997,64.199997,63.369999,63.439999,220200,60.122173
"2015-04-08",63.299999,63.5,62.369999,62.5,475400,59.231335
"2015-04-09",62.450001,62.950001,62.189999,62.5,256000,59.231335
"2015-04-10",62.77,64.419998,62.02,62.060001,470100,58.81435
"2015-04-13",62.18,62.810001,61.799999,61.860001,381700,58.624809
"2015-04-14",62.34,62.470001,61.93,62.029999,469600,58.785912
"2015-04-15",62.279999,62.82,62.259998,62.529999,635700,59.259766
"2015-04-16",62.529999,62.810001,61.59,61.98,369100,58.738533
"2015-04-17",61.580002,61.580002,60.740002,61.209999,258900,58.008804
"2015-04-20",61.740002,62.080002,61.380001,61.860001,249000,58.624809
"2015-04-21",62.110001,62.110001,60.860001,61.32,206900,58.113049
"2015-04-22",61.490002,61.560001,60.700001,61.509998,158700,58.293102
"2015-04-23",61.459999,61.950001,60.950001,61.549999,379500,58.331017
"2015-04-24",61.849998,62.040001,60.900002,61.139999,310100,57.942463
"2015-04-27",61.200001,61.77,60.720001,60.849998,641800,57.667625
"2015-04-28",59.849998,62.16,59.419998,61.970001,1166300,58.729053
"2015-04-29",61.330002,61.939999,61.009998,61.650002,761100,58.425793
"2015-04-30",61.360001,62.029999,60.959999,61.110001,704700,57.914028
"2015-05-01",61.630001,62.16,61.330002,61.860001,566700,58.624809
"2015-05-04",61.93,62.209999,61.330002,61.700001,369100,58.473175
"2015-05-05",61.73,62.5,60.389999,60.650002,446500,57.478092
"2015-05-06",60.73,61.389999,59.630001,60.43,435000,57.269596
"2015-05-07",60.240002,60.240002,59.48,59.669998,453800,56.549343
"2015-05-08",60,60.619999,59.889999,59.950001,428200,56.814697
"2015-05-11",59.950001,60.77,59.700001,60.419998,494900,57.260113
"2015-05-12",60.490002,60.84,59.77,60.619999,354900,57.449657
"2015-05-13",60.970001,61.470001,60.16,61.389999,252500,58.179386
"2015-05-14",61.91,62.599998,61.52,62.509998,493600,59.240807
"2015-05-15",62.389999,62.630001,61.830002,62.279999,209600,59.022839
"2015-05-18",62.040001,62.950001,61.779999,62.759998,309000,59.477734
"2015-05-19",62.639999,62.959999,61.650002,62.490002,310100,59.221863
"2015-05-20",62.650002,63.119999,62.169998,62.59,338100,59.316631
