"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",87.720001,87.739998,85.470001,86,406700,82.942093
"2015-01-05",85.75,85.75,84.139999,84.370003,548300,81.370049
"2015-01-06",84.190002,84.57,82.019997,82.879997,674000,79.933029
"2015-01-07",83.360001,85.010002,83.360001,84.889999,402700,81.871552
"2015-01-08",85.199997,85.989998,84.940002,85.790001,394900,82.739563
"2015-01-09",85.720001,85.720001,84.440002,84.809998,346800,81.794411
"2015-01-12",84.82,86.610001,84.480003,86.410004,397900,83.337517
"2015-01-13",87.169998,87.980003,85.699997,86.650002,414600,83.568977
"2015-01-14",86.019997,86.489998,85.010002,85.489998,526600,82.450218
"2015-01-15",85.510002,85.660004,83.480003,83.790001,387800,80.810669
"2015-01-16",83.800003,84.669998,83.300003,84.620003,258100,81.61116
"2015-01-20",84.620003,85.050003,82.660004,84.300003,415300,81.302536
"2015-01-21",84.110001,84.779999,84.059998,84.599998,250000,81.591873
"2015-01-22",85.059998,86.699997,84.209999,86.360001,374400,83.289291
"2015-01-23",86.519997,86.519997,84.690002,84.779999,519500,81.76548
"2015-01-26",84.279999,84.980003,83.580002,84.459999,726700,81.456848
"2015-01-27",83.690002,84.970001,83.690002,84.139999,590700,81.148224
"2015-01-28",84.5,84.75,83.050003,83.190002,442900,80.232002
"2015-01-29",83.550003,84.330002,82.830002,83.849998,753900,80.868546
"2015-01-30",83.120003,83.720001,81.230003,81.489998,813000,78.592445
"2015-02-02",81.699997,81.830002,79.849998,81.410004,593100,78.515312
"2015-02-03",81.870003,83.910004,81.559998,83.699997,569000,80.723877
"2015-02-04",82.849998,83.239998,81.5,82.07,735500,79.151825
"2015-02-05",81.970001,82.389999,80.82,81.349998,758100,78.457428
"2015-02-06",81.720001,83.550003,81.599998,83.150002,616900,80.193413
"2015-02-09",82.980003,83.110001,82.209999,82.68,374600,79.740128
"2015-02-10",83.269997,83.75,83.160004,83.57,398400,80.598495
"2015-02-11",83.5,83.849998,82.239998,83.07,430400,80.116264
"2015-02-12",83.919998,83.919998,82.669998,83.129997,267100,80.174133
"2015-02-13",83.400002,83.989998,82.610001,83.650002,556600,80.675652
"2015-02-17",83.75,83.900002,82.720001,83.010002,227400,80.058411
"2015-02-18",82.650002,83.110001,82.040001,82.400002,365000,79.470093
"2015-02-19",82.419998,82.5,80.900002,80.980003,924300,78.100586
"2015-02-20",81.089996,82.379997,81.059998,82.019997,566400,79.103615
"2015-02-23",81.959999,82.599998,81.639999,82.400002,708300,79.470093
"2015-02-24",81.900002,82.559998,81.43,81.970001,664300,79.055389
"2015-02-25",81.739998,83.190002,81.510002,83.07,1580700,80.116264
"2015-02-26",83.519997,88.489998,83.5,87.309998,3580800,84.205505
"2015-02-27",87.790001,89.360001,87.639999,88.769997,2111700,85.613594
"2015-03-02",89.040001,90.660004,88.839996,90.290001,1125100,87.079552
"2015-03-03",90.129997,91.019997,89.800003,90.879997,1073800,87.648567
"2015-03-04",90.839996,91.269997,89.93,90.529999,809400,87.31102
"2015-03-05",90.559998,91.040001,89.5,89.629997,942600,86.443016
"2015-03-06",89.220001,89.589996,88.449997,88.830002,554300,85.882263
"2015-03-09",89,89.620003,88.75,88.93,450100,85.978943
"2015-03-10",88.220001,89.150002,88.190002,88.849998,421600,85.901588
"2015-03-11",89.029999,89.419998,87.400002,87.599998,637900,84.693077
"2015-03-12",88.099998,88.959999,87.620003,88.779999,435200,85.833916
"2015-03-13",88.610001,89.029999,87.459999,88.349998,327400,85.41819
"2015-03-16",89,90.43,88.910004,90.129997,456100,87.139122
"2015-03-17",90,91.339996,89.839996,91.160004,626400,88.134956
"2015-03-18",90.849998,92.300003,90.440002,91.68,768600,88.637688
"2015-03-19",91.769997,92.269997,91.059998,91.709999,489800,88.666695
"2015-03-20",91.900002,94.18,91.900002,93.889999,1097800,90.774345
"2015-03-23",93.75,94.209999,93.269997,93.550003,534900,90.445633
"2015-03-24",94.019997,94.099998,92.900002,93.110001,608700,90.020233
"2015-03-25",93.660004,93.75,91.449997,91.650002,525700,88.608673
"2015-03-26",91.279999,91.989998,90.400002,91.279999,623300,88.250961
"2015-03-27",91.43,92.410004,91.080002,91.720001,565900,88.676369
"2015-03-30",91.970001,92.529999,91.559998,91.839996,519800,88.792374
"2015-03-31",91.629997,93.400002,91.589996,92.470001,715700,89.401474
"2015-04-01",92.379997,92.709999,90.349998,92.25,603000,89.188774
"2015-04-02",92,92.949997,91.129997,92,675400,88.94706
"2015-04-06",91.5,93.059998,91.010002,92.300003,951000,89.237122
"2015-04-07",92.349998,92.730003,91.639999,91.919998,611400,88.86972
"2015-04-08",92.260002,94.019997,92.089996,93.970001,757900,90.8517
"2015-04-09",94.059998,94.360001,92.989998,93.169998,369100,90.078255
"2015-04-10",92.970001,93.839996,92.419998,93.82,433300,90.706673
"2015-04-13",93.68,94.75,93.660004,93.690002,371900,90.580978
"2015-04-14",93.610001,94.32,92.900002,93.790001,526700,90.677673
"2015-04-15",94.190002,95.559998,93.620003,94.449997,638800,91.315773
"2015-04-16",94.269997,95.199997,94.199997,94.510002,508700,91.373787
"2015-04-17",94,94.489998,93.199997,93.660004,376600,90.551987
"2015-04-20",94.279999,95.040001,93.540001,94.980003,484200,91.828178
"2015-04-21",95.440002,95.589996,94.580002,94.940002,606700,91.789505
"2015-04-22",95.230003,95.230003,94.339996,94.790001,350800,91.644485
"2015-04-23",94.599998,95.260002,94.599998,94.980003,303000,91.828178
"2015-04-24",95.279999,95.559998,93.980003,94.080002,467800,90.958046
"2015-04-27",94.639999,95.620003,94.150002,94.400002,510100,91.267433
"2015-04-28",94.010002,94.029999,92.580002,92.970001,863500,89.88488
"2015-04-29",99,101.480003,96.919998,98.489998,2127400,95.221695
"2015-04-30",99.239998,101.699997,98.610001,99.860001,1407700,96.546234
"2015-05-01",100.139999,100.68,99.050003,100.169998,1122500,96.845947
"2015-05-04",100.550003,101.449997,100.519997,100.93,635500,97.580727
"2015-05-05",100.650002,101.370003,100.309998,100.75,629200,97.406693
"2015-05-06",100.870003,101.139999,99.470001,100.199997,509100,96.874954
"2015-05-07",100.110001,100.879997,99.809998,100.209999,463700,96.884628
"2015-05-08",100.519997,101.209999,99.739998,99.800003,572500,96.48822
"2015-05-11",99.629997,100.190002,98.849998,99.400002,556800,96.101509
"2015-05-12",98.989998,99.199997,98.169998,98.889999,490000,95.608429
"2015-05-13",98.769997,99.349998,98,98.419998,286000,95.154015
"2015-05-14",98.480003,99.339996,97.800003,98.910004,358200,95.627762
"2015-05-15",99.019997,99.279999,98.849998,99.169998,282600,95.879143
"2015-05-18",99.440002,100.389999,98.769997,100.25,910400,96.923309
"2015-05-19",100.629997,101.440002,100.169998,100.480003,682300,97.359322
"2015-05-20",101.07,101.080002,99.410004,100.949997,657400,97.81472
"2015-05-21",100.849998,101.150002,100.470001,100.690002,354200,97.562813
"2015-05-22",100.620003,101.019997,100.040001,100.68,370800,97.553116
"2015-05-26",100.599998,100.639999,98.989998,99.139999,460000,96.060944
"2015-05-27",98.949997,100.849998,98.440002,100.769997,477300,97.64032
"2015-05-28",100.830002,103.690002,100.209999,103.18,1068100,99.975471
"2015-05-29",102.870003,103.93,102.449997,103.220001,922700,100.014229
"2015-06-01",103.620003,104.5,102.830002,103.879997,630400,100.653725
"2015-06-02",103.980003,104.290001,103.370003,103.580002,475400,100.363045
"2015-06-03",103.889999,104.809998,103.400002,104.089996,630500,100.857201
"2015-06-04",103.459999,104.949997,103.330002,104.440002,766700,101.196342
"2015-06-05",104.410004,105.25,103.779999,105.07,527400,101.80677
"2015-06-08",105.190002,105.330002,103.949997,103.980003,468400,100.750618
"2015-06-09",104.099998,105.419998,103.730003,105.309998,759300,102.039314
"2015-06-10",105.779999,105.779999,104.870003,104.959999,568500,101.700188
"2015-06-11",104.919998,105.870003,104.919998,105.769997,565400,102.485031
"2015-06-12",105.529999,106.269997,104.809998,106.099998,611800,102.804787
"2015-06-15",105.660004,105.660004,104.599998,105.410004,745000,102.136223
"2015-06-16",105.150002,106.800003,105.150002,106.470001,604200,103.163315
"2015-06-17",106.669998,107.489998,106.410004,107.279999,649800,103.948135
"2015-06-18",106.650002,107.32,106.260002,107.099998,671400,103.773727
"2015-06-19",107.199997,107.760002,106.309998,106.629997,1022900,103.318321
"2015-06-22",107.230003,107.830002,107.040001,107.349998,417700,104.015961
"2015-06-23",107.300003,108.339996,106.889999,108.25,745700,104.888016
"2015-06-24",108.050003,108.419998,107.190002,107.379997,302500,104.045036
"2015-06-25",107.5,108.580002,107.389999,108.010002,410600,104.655457
"2015-06-26",108.290001,109.300003,108.080002,108.839996,657600,105.459679
"2015-06-29",108.290001,108.480003,105.870003,106.019997,621300,102.727264
"2015-06-30",106.779999,107.120003,106.089996,106.300003,501600,102.998573
"2015-07-01",107.970001,108.209999,106.330002,108.040001,946700,104.684532
"2015-07-02",108.599998,108.980003,107.220001,107.800003,473600,104.451988
"2015-07-06",107.290001,108.709999,106.919998,107.959999,555900,104.607018
"2015-07-07",108.160004,108.300003,105.870003,107.760002,643800,104.413223
"2015-07-08",107.690002,107.779999,105.860001,106.25,639800,102.950111
"2015-07-09",107.330002,107.870003,104.889999,105.370003,838500,102.09745
"2015-07-10",106.199997,106.970001,104.949997,106.400002,774700,103.095459
"2015-07-13",107.339996,108.610001,107.339996,108.389999,687500,105.023659
"2015-07-14",108.339996,108.75,107.620003,107.959999,386400,104.607018
"2015-07-15",107.959999,108.07,106.019997,106.150002,560600,102.853226
"2015-07-16",106.790001,106.940002,105.129997,105.260002,887500,101.99086
"2015-07-17",105.239998,105.760002,105.050003,105.529999,849700,102.252487
"2015-07-20",105.910004,106.68,105.599998,106.410004,475800,103.105164
"2015-07-21",106.540001,106.879997,105.400002,105.959999,403100,102.669128
"2015-07-22",105.940002,109.07,105.940002,108.980003,742300,105.595337
"2015-07-23",108.769997,109.529999,107.910004,107.980003,503800,104.626396
"2015-07-24",108.18,108.690002,107.699997,108.25,616000,104.888016
"2015-07-27",107.809998,107.809998,105.709999,106.699997,603000,103.386139
"2015-07-28",106.800003,108.879997,106.040001,107.889999,861600,104.539192
"2015-07-29",107.760002,107.800003,98.580002,101.449997,4478800,98.299187
"2015-07-30",101.790001,103.150002,100.010002,100.419998,1647900,97.301178
"2015-07-31",100.330002,102.660004,100.190002,101.410004,889800,98.260437
"2015-08-03",101.410004,102.690002,99.760002,100.68,872100,97.553116
"2015-08-04",101.32,101.43,99.980003,100.330002,581800,97.213989
"2015-08-05",100.980003,102.43,100.400002,101.279999,581300,98.134491
"2015-08-06",100.959999,101.660004,97.480003,98.010002,923800,94.966042
"2015-08-07",97.779999,98.809998,97.010002,98.620003,667500,95.557098
"2015-08-10",99,99.260002,98.029999,98.93,638900,95.857468
"2015-08-11",98,98.75,97.139999,98.400002,527700,95.343933
"2015-08-12",98,98.360001,96.080002,98,575400,94.956352
"2015-08-13",98.160004,99.129997,97.790001,98.07,298400,95.02417
"2015-08-14",98.220001,99.589996,97.860001,99.290001,370800,96.206284
"2015-08-17",99.139999,99.970001,98.199997,99.300003,428000,96.215973
"2015-08-18",99.379997,100.5,98.57,98.739998,448800,95.673355
"2015-08-19",98.720001,99.379997,97.699997,98.82,493200,95.750877
"2015-08-20",97.730003,98.889999,96.620003,98.010002,928700,94.966042
"2015-08-21",97.379997,97.889999,95.080002,95.400002,727500,92.437096
"2015-08-24",92.190002,95.919998,90.510002,93.379997,821800,90.479836
"2015-08-25",95.260002,97.550003,94.620003,94.830002,854600,91.884789
"2015-08-26",96.489998,97.650002,94.029999,96.959999,859900,93.948647
"2015-08-27",97.599998,98.93,96.650002,98.379997,552100,95.324554
"2015-08-28",97.370003,99.040001,97.129997,98.540001,369700,95.693573
"2015-08-31",98.480003,99.82,98,98.309998,463600,95.4702
"2015-09-01",97.230003,98.639999,96.110001,96.540001,413900,93.75135
"2015-09-02",97.269997,98.760002,97.269997,98.269997,386700,95.431366
"2015-09-03",98.75,99.68,97.400002,97.75,524200,94.926384
"2015-09-04",97,97.879997,96.459999,97.209999,390100,94.401993
"2015-09-08",98.480003,98.830002,96.57,97.120003,628900,94.31459
"2015-09-09",97.830002,98.410004,95.330002,95.650002,678900,92.887054
"2015-09-10",95.230003,97.919998,95.160004,97.040001,691100,94.236893
"2015-09-11",96.760002,98.400002,95.980003,97.650002,459400,94.829292
"2015-09-14",97.669998,98.190002,96.93,97.339996,308200,94.528229
"2015-09-15",97.790001,98.639999,97.019997,98.169998,301100,95.334251
