"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",91.099998,91.400002,89.32,90.019997,234700,86.909546
"2015-01-05",89.57,89.860001,88.029999,88.830002,481600,85.760681
"2015-01-06",88.730003,89.709999,88.330002,89.120003,779100,86.040649
"2015-01-07",89.699997,90.660004,89.349998,90.379997,514700,87.257118
"2015-01-08",90.879997,94.190002,90.879997,94,1376300,90.752045
"2015-01-09",94.5,94.5,93.43,93.660004,722700,90.42379
"2015-01-12",93.790001,94.190002,92.550003,93.790001,513100,90.549271
"2015-01-13",94.650002,95.379997,93.25,94.110001,527700,90.858231
"2015-01-14",92.580002,93.650002,92.580002,93.540001,319500,90.30793
"2015-01-15",94.019997,94.019997,92.160004,92.599998,666900,89.400414
"2015-01-16",92.449997,93,91.699997,92.459999,980800,89.265259
"2015-01-20",92,92.699997,86.510002,86.790001,1543300,83.791153
"2015-01-21",86.849998,87.620003,86.360001,87.18,576000,84.167702
"2015-01-22",88.050003,89.099998,86.870003,88.959999,776400,85.886192
"2015-01-23",88.68,89.940002,88.07,89.540001,457200,86.446129
"2015-01-26",89.339996,90.849998,88.480003,90.519997,659600,87.392258
"2015-01-27",89.510002,90.389999,89.040001,90.099998,363100,86.986778
"2015-01-28",90.400002,91.059998,89.529999,89.879997,411000,86.774384
"2015-01-29",90.110001,90.599998,88.949997,90.25,421200,87.131607
"2015-01-30",89.709999,90.540001,89.260002,89.68,742400,86.581299
"2015-02-02",90.099998,90.629997,89.089996,90.330002,427800,87.208839
"2015-02-03",90.660004,91.809998,90.629997,91.660004,518300,88.492897
"2015-02-04",91.160004,91.709999,90.279999,90.540001,457500,87.411591
"2015-02-05",91.190002,95.120003,90.730003,95.07,1135300,91.785065
"2015-02-06",95.690002,95.739998,93.57,94,458000,90.752045
"2015-02-09",93.540001,94.43,93.510002,93.93,313200,90.684456
"2015-02-10",94.43,94.800003,93.019997,93.599998,455300,90.365845
"2015-02-11",93.540001,94.169998,92.650002,92.82,492500,89.612816
"2015-02-12",93.309998,94.269997,93.309998,94.230003,299400,90.974106
"2015-02-13",93.889999,94.449997,93.400002,94.139999,289200,91.128967
"2015-02-17",93.970001,94.400002,93.209999,93.470001,368700,90.4804
"2015-02-18",93.150002,94.110001,93.150002,93.860001,322100,90.857925
"2015-02-19",93.68,94.120003,93.290001,93.529999,243300,90.538483
"2015-02-20",93.169998,94.470001,92.739998,94.160004,282800,91.148338
"2015-02-23",93.93,94.449997,93.339996,93.910004,318900,90.906334
"2015-02-24",93.800003,94.580002,93.709999,94.470001,321400,91.448418
"2015-02-25",94.580002,95.220001,94.559998,95.099998,333200,92.058273
"2015-02-26",95.209999,95.209999,93.919998,94.18,214200,91.167686
"2015-02-27",94.309998,94.610001,93.07,93.07,227700,90.093185
"2015-03-02",93.07,94.57,92.870003,94.540001,387100,91.516174
"2015-03-03",94.440002,94.610001,93.660004,93.870003,272700,90.867615
"2015-03-04",93.690002,93.690002,92.860001,93.220001,165000,90.238403
"2015-03-05",93.529999,93.940002,93.169998,93.730003,239700,90.732094
"2015-03-06",93.300003,93.480003,92.220001,92.510002,221200,89.551102
"2015-03-09",92.800003,93.410004,92.629997,92.849998,229000,89.880219
"2015-03-10",91.760002,92.099998,90.949997,91.019997,340300,88.108757
"2015-03-11",91.019997,91.440002,90.769997,91.339996,379000,88.418541
"2015-03-12",92.040001,92.75,90.800003,91.769997,406600,88.834763
"2015-03-13",91.730003,91.849998,90.190002,90.349998,395000,87.460197
"2015-03-16",90.980003,92.129997,90.300003,91.989998,398400,89.047745
"2015-03-17",91.790001,92.419998,91.010002,91.629997,524200,88.699242
"2015-03-18",91.849998,92.550003,90.959999,92.349998,367900,89.396233
"2015-03-19",92.019997,92.779999,91.589996,91.690002,262000,88.757332
"2015-03-20",92.139999,92.830002,91.419998,92.699997,664800,89.735023
"2015-03-23",92.699997,93.029999,91.919998,91.93,413800,88.989647
