"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",77.260002,77.599998,76.529999,77.489998,2210200,69.8638
"2015-01-05",77.279999,77.599998,76.300003,76.550003,2779200,69.016312
"2015-01-06",76.790001,77.940002,76.029999,76.160004,3290000,68.664696
"2015-01-07",76.370003,77.010002,75.720001,76.470001,2908100,68.944183
"2015-01-08",77.059998,77.739998,76.879997,77.370003,2164100,69.755615
"2015-01-09",77.550003,77.68,76.209999,76.5,1815100,68.971237
"2015-01-12",76.760002,76.900002,75.730003,76.5,2177300,68.971237
"2015-01-13",77.230003,77.720001,75.870003,76.440002,2347000,68.917137
"2015-01-14",76.269997,76.949997,75.330002,76.449997,3647800,68.926147
"2015-01-15",76.529999,77.379997,76.019997,77.169998,2655100,69.575294
"2015-01-16",77.220001,77.809998,76.830002,77.760002,2559400,70.107231
"2015-01-20",78,78.389999,77.300003,78.370003,1912500,70.657204
"2015-01-21",78,79.43,77.470001,79.269997,2466000,71.46862
"2015-01-22",79.440002,79.709999,78.120003,78.720001,3053700,70.972755
"2015-01-23",78.959999,79.540001,78.419998,79.089996,1507300,71.306343
"2015-01-26",78.760002,79.089996,77.980003,78.93,1617500,71.162079
"2015-01-27",78.730003,79.400002,78.260002,78.980003,1523500,71.207169
"2015-01-28",79,79.889999,77.699997,77.849998,2090400,70.188377
"2015-01-29",77.949997,79.269997,77.349998,79.139999,1887300,71.351402
"2015-01-30",78.82,78.849998,76.82,76.889999,2939700,69.322845
"2015-02-02",77.18,78.040001,76.440002,77.720001,2560800,70.071167
"2015-02-03",77.650002,78.879997,77.120003,78.580002,3045700,70.846535
"2015-02-04",78.160004,78.849998,77.379997,77.629997,2138300,69.990013
"2015-02-05",78.029999,78.82,77.309998,78.690002,1779600,70.945709
"2015-02-06",78.190002,78.309998,75.029999,75.709999,3956000,68.258965
"2015-02-09",75.720001,78.150002,74.709999,75.230003,4549300,67.826225
"2015-02-10",75.230003,76.860001,75.220001,76.660004,4019500,69.115494
"2015-02-11",76.209999,76.489998,74,74.120003,4040700,66.825478
"2015-02-12",74.269997,74.599998,73.360001,73.720001,5422100,66.464821
"2015-02-13",73.830002,73.830002,72.120003,72.910004,4098100,65.734535
"2015-02-17",72.849998,73.639999,72.190002,73.18,4604800,65.977966
"2015-02-18",73,74.699997,73,74.669998,2965200,67.321327
"2015-02-19",74.349998,74.57,73.5,73.790001,3625200,66.527946
"2015-02-20",73.739998,74.029999,73.029999,73.989998,3342600,66.708244
"2015-02-23",73.970001,74.300003,73.470001,73.900002,1660200,66.627113
"2015-02-24",73.849998,74.730003,73.510002,74.059998,2211100,66.771362
"2015-02-25",73.720001,73.839996,72.589996,72.709999,2381500,66.132866
"2015-02-26",72.809998,73.010002,71.75,71.949997,2416200,65.44162
"2015-02-27",71.989998,72.5,71.610001,72.089996,2220200,65.568939
"2015-03-02",72.089996,72.089996,69.900002,70.32,4422800,63.959057
"2015-03-03",70.419998,71.019997,69.779999,70.970001,3734800,64.550262
"2015-03-04",70.559998,70.82,70.360001,70.610001,2640200,64.222832
"2015-03-05",70.830002,71.739998,70.639999,71.18,3371300,64.741272
"2015-03-06",70.150002,70.169998,69.190002,69.580002,4783400,63.286007
"2015-03-09",69.580002,70.139999,69.470001,69.57,2359000,63.276901
"2015-03-10",69.419998,70.220001,69.230003,69.260002,5119900,62.994942
"2015-03-11",69.510002,69.870003,68.739998,68.75,3759500,62.53109
"2015-03-12",69.199997,70.110001,69.059998,69.82,3042600,63.504288
"2015-03-13",69.830002,69.839996,68.25,68.959999,2858100,62.722084
"2015-03-16",69.230003,70.389999,69.029999,69.980003,2621800,63.649822
"2015-03-17",69.889999,70.290001,69.550003,69.989998,2293600,63.658909
"2015-03-18",69.879997,72.309998,69.580002,71.919998,3151400,65.41433
"2015-03-19",71.800003,72.620003,71.239998,71.599998,2562000,65.12326
"2015-03-20",71.809998,72.550003,71.660004,72.190002,4294100,65.659882
"2015-03-23",72.040001,72.550003,71.919998,72.199997,2381500,65.668999
"2015-03-24",72,72.519997,71.300003,71.459999,2376800,64.995949
"2015-03-25",71.449997,71.919998,70.639999,70.699997,2456100,64.304672
"2015-03-26",70.599998,71.050003,70.080002,70.360001,2370900,63.995434
"2015-03-27",70.440002,70.870003,70.169998,70.389999,1962100,64.02272
"2015-03-30",70.57,71.400002,70.279999,71.139999,1427500,64.704887
"2015-03-31",71.010002,71.540001,70.330002,70.870003,2479600,64.459312
"2015-04-01",71.110001,71.790001,70.129997,71.510002,2596700,65.041412
"2015-04-02",71.610001,71.830002,71.230003,71.580002,1784200,65.105087
"2015-04-06",71.68,73,71.68,72.709999,2330000,66.132866
"2015-04-07",72.709999,72.849998,71.910004,71.949997,1852900,65.44162
"2015-04-08",71.919998,72.040001,71.410004,71.75,2027300,65.259697
"2015-04-09",71.57,71.589996,70.809998,71.370003,1545800,64.91407
"2015-04-10",71.449997,72.279999,71.260002,71.900002,1175600,65.396149
"2015-04-13",71.900002,72,71.019997,71.089996,1360800,64.659401
"2015-04-14",71.139999,71.800003,71.029999,71.629997,1799600,65.150551
"2015-04-15",71.830002,72.559998,71.610001,72.419998,2953200,65.869102
"2015-04-16",72.150002,72.169998,71.309998,71.800003,2373200,65.305191
"2015-04-17",71.360001,72,71.269997,71.470001,2942000,65.005035
"2015-04-20",71.620003,73.440002,71.620003,72.75,2332900,66.16925
"2015-04-21",72.779999,73.209999,71.739998,72.089996,3569200,65.568939
"2015-04-22",72.339996,72.669998,71.93,72.519997,2774200,65.96006
"2015-04-23",72.580002,73.459999,72.389999,73.199997,2067300,66.578537
"2015-04-24",73.050003,74.339996,72.970001,73.540001,2868100,66.887779
"2015-04-27",73.68,73.900002,72.019997,72.57,2022500,66.005539
"2015-04-28",72.199997,72.760002,71.57,72.739998,2206900,66.160149
"2015-04-29",72.110001,72.510002,71.699997,72.300003,2126100,65.759964
"2015-04-30",72.080002,72.190002,70.970001,71.68,2837300,65.196053
"2015-05-01",71.800003,72.089996,70.849998,71.699997,2282600,65.214226
"2015-05-04",71.449997,72.57,71.449997,71.760002,2210900,65.268799
"2015-05-05",71.650002,71.75,70.139999,70.82,3344900,64.413834
"2015-05-06",70.830002,71.239998,70.07,70.709999,3461700,64.313782
