"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",88.470001,89.370003,87.419998,88.339996,1867900,82.178024
"2015-01-05",88.059998,88.059998,85.879997,86.449997,3007000,80.419853
"2015-01-06",86.269997,87,84.889999,85.730003,3512000,79.750076
"2015-01-07",85.900002,85.919998,84.739998,85.360001,3055900,79.405884
"2015-01-08",86.169998,86.580002,85.620003,86.489998,2842300,80.457054
"2015-01-09",86.5,86.669998,85.32,85.650002,2316800,79.675659
"2015-01-12",85.5,85.639999,84.540001,85.449997,2497900,79.489601
"2015-01-13",86.059998,86.290001,85.010002,85.889999,2634700,79.898911
"2015-01-14",84.830002,86.650002,84.550003,86.480003,3308500,80.447754
"2015-01-15",86.480003,88.089996,86.480003,87.199997,3972700,81.117538
"2015-01-16",86.849998,87.410004,86.559998,87.300003,3490600,81.210564
"2015-01-20",87.370003,87.790001,86.910004,87.129997,2304100,81.052414
"2015-01-21",86.699997,87.910004,86.5,87.629997,1954400,81.51754
"2015-01-22",88.379997,89.720001,88.059998,89.510002,2866300,83.266411
"2015-01-23",88.989998,89.010002,88.019997,88.349998,1796400,82.187309
"2015-01-26",88.309998,88.809998,87.879997,88.43,2718700,82.261757
"2015-01-27",85.349998,86.620003,85.349998,86.040001,3300700,80.038452
"2015-01-28",86.699997,86.919998,84.519997,84.580002,3472100,78.680298
"2015-01-29",84.449997,86.07,84.290001,85.910004,3510800,79.917519
"2015-01-30",85.239998,86.449997,85.099998,85.190002,4221400,79.247742
"2015-02-02",85.529999,86.699997,84.849998,86.639999,2509700,80.596596
"2015-02-03",87.300003,88.779999,87.169998,88.629997,3103900,82.447792
"2015-02-04",88.339996,89.5,88.160004,88.68,3042500,82.494301
"2015-02-05",88.809998,89.230003,88.5,89.120003,1732400,82.903618
"2015-02-06",88.910004,89.199997,88.529999,88.980003,1796800,82.773392
"2015-02-09",88.580002,89.25,88.129997,88.949997,1205900,82.745476
"2015-02-10",89.190002,89.199997,88.400002,88.75,1516500,82.559425
"2015-02-11",88.529999,89.309998,88.18,88.82,1728600,82.624542
"2015-02-12",89.419998,89.449997,88.239998,89.370003,2297300,83.136177
"2015-02-13",89.379997,90.389999,89.18,90.040001,1996600,83.759445
"2015-02-17",89.989998,90.370003,89.209999,89.919998,1809100,83.647812
"2015-02-18",91.75,92.779999,91.370003,92.75,5935400,86.280403
"2015-02-19",92.459999,92.459999,91.440002,91.709999,4527200,85.312943
"2015-02-20",90.449997,92.470001,89.910004,92.43,7030500,85.982735
"2015-02-23",92.029999,92.089996,90.82,90.980003,3023200,84.633881
"2015-02-24",90.720001,91.660004,90.639999,91.5,2187400,85.117599
"2015-02-25",91.339996,91.879997,91.339996,91.620003,1543000,85.229233
"2015-02-26",91.239998,91.75,90.959999,91.18,2132700,84.819923
"2015-02-27",91.080002,91.290001,90.510002,90.599998,2265600,84.28038
"2015-03-02",90.599998,91.089996,90.209999,91.029999,2162600,84.680389
"2015-03-03",90.860001,91.620003,90.690002,91.269997,1682000,84.903625
"2015-03-04",90.790001,90.989998,90.220001,90.449997,1727500,84.140831
"2015-03-05",90.089996,90.910004,89.449997,90.459999,2713400,84.150146
"2015-03-06",89.610001,90.279999,89.279999,90.260002,3711400,83.964104
"2015-03-09",90.349998,92.400002,90.309998,92.019997,3144300,85.601334
"2015-03-10",91,91.919998,90.599998,90.989998,4378800,84.643181
"2015-03-11",91.419998,91.440002,89.800003,90.230003,3122100,83.93618
"2015-03-12",90.860001,91.040001,89.989998,90.18,2289800,83.889671
"2015-03-13",89.900002,90,88.559998,89.489998,3707000,83.247803
"2015-03-16",89.489998,89.610001,88.809998,89.139999,2851100,82.922218
"2015-03-17",88.940002,89.139999,88.480003,88.629997,2065500,82.447792
"2015-03-18",88.25,89.660004,87.510002,89.32,2591400,83.089661
"2015-03-19",89,89.010002,87.629997,88.080002,2586600,81.93615
"2015-03-20",88.349998,89.510002,88.230003,89.18,5981900,82.959419
"2015-03-23",89.330002,90.120003,89.300003,89.389999,2228400,83.154778
"2015-03-24",89.260002,89.300003,88.260002,88.470001,2232000,82.298958
"2015-03-25",88.629997,89.110001,88.269997,88.300003,2720800,82.140816
"2015-03-26",88,88.459999,87.779999,88.010002,1988900,81.87104
"2015-03-27",87.300003,87.559998,86.910004,87.459999,2059300,81.91787
"2015-03-30",87.580002,89.040001,87.309998,88.610001,1748600,82.994995
"2015-03-31",88.120003,88.599998,87.510002,87.690002,2705700,82.133293
"2015-04-01",87.760002,88.529999,87.480003,87.599998,3318000,82.049004
"2015-04-02",87.470001,88.610001,87.470001,87.980003,1555300,82.404915
"2015-04-06",88.019997,89.050003,87.739998,88.480003,1929600,82.873238
"2015-04-07",88.629997,89.019997,88.199997,88.440002,1763200,82.83577
"2015-04-08",88.519997,89.120003,87.389999,87.849998,2094800,82.28315
"2015-04-09",87.709999,88.650002,87.389999,88.449997,2915000,82.845139
"2015-04-10",88.029999,89.760002,88.029999,89.07,2053900,83.42585
"2015-04-13",88.790001,89.459999,87.900002,88,2794300,82.423653
"2015-04-14",88.040001,88.07,87.43,87.919998,1823900,82.348717
"2015-04-15",88.110001,89.739998,87.550003,89.339996,3320300,83.678741
"2015-04-16",89.150002,89.360001,88.639999,88.940002,1709600,83.3041
"2015-04-17",88.120003,88.389999,87.459999,87.510002,2248500,81.964699
"2015-04-20",88.239998,88.980003,87.93,88.900002,2518500,83.266624
"2015-04-21",89.019997,89.150002,87.720001,87.919998,2215200,82.348717
"2015-04-22",87.900002,88.129997,87.620003,88.099998,2026300,82.517319
"2015-04-23",88.629997,88.889999,88.239998,88.589996,1981500,82.976265
"2015-04-24",88.489998,88.669998,87.910004,88.389999,1482500,82.78894
"2015-04-27",88.360001,89.059998,88.279999,88.93,2081200,83.294716
"2015-04-28",88.900002,89.300003,88.269997,88.889999,2746600,83.257256
"2015-04-29",88.410004,90.260002,88.379997,89.870003,2287000,84.175148
"2015-04-30",89.660004,91,89.419998,90.519997,2728500,84.783958
"2015-05-01",91,91.639999,90.75,91.389999,2674700,85.598831
"2015-05-04",91.379997,91.57,90.599998,90.889999,2504700,85.130516
"2015-05-05",90.849998,91.440002,89.949997,90.139999,1752300,84.428047
"2015-05-06",90.480003,90.75,89.650002,89.970001,1415900,84.268814
"2015-05-07",89.75,89.870003,89.029999,89.629997,1667200,83.950371
"2015-05-08",90.099998,90.449997,89.07,89.889999,2212500,84.193878
"2015-05-11",90.209999,91.440002,90.059998,91.139999,2845200,85.36467
"2015-05-12",90.559998,90.849998,90.010002,90.410004,1585200,84.680939
"2015-05-13",90.830002,91.5,90.440002,90.639999,1778200,84.896362
"2015-05-14",90.93,92.360001,90.919998,92.209999,1949200,86.366867
"2015-05-15",90.300003,90.650002,88.129997,89.129997,6658500,83.482048
"2015-05-18",89,89.550003,88.629997,89.18,2514800,83.528885
"2015-05-19",89.080002,89.410004,88.459999,89.169998,2122200,83.519516
"2015-05-20",89.190002,89.410004,88.580002,88.980003,1939700,83.341553
"2015-05-21",89.18,89.790001,89.050003,89.459999,3037500,83.79113
"2015-05-22",91.809998,93.540001,91.760002,93.349998,8558100,87.434631
"2015-05-26",92.580002,94.239998,92.5,93.800003,5536000,87.856125
"2015-05-27",93.889999,94.879997,93.699997,94.360001,3954000,88.380623
"2015-05-28",93.919998,93.919998,93.080002,93.5,3210800,87.575134
"2015-05-29",93.419998,94.110001,93.110001,93.68,5466300,87.743713
"2015-06-01",93.82,93.839996,92.580002,92.639999,2902200,86.76963
"2015-06-02",92.730003,93.230003,92.339996,92.75,2574300,86.872658
"2015-06-03",93.080002,93.25,92.300003,92.739998,2149000,86.863289
"2015-06-04",92.239998,92.470001,91.660004,91.870003,2484100,86.048416
"2015-06-05",91.589996,92.459999,91.239998,92.129997,1742900,86.291946
"2015-06-08",91.93,92.150002,91.489998,91.610001,1667100,85.804909
"2015-06-09",91.879997,92.889999,91.459999,91.849998,1789300,86.029678
"2015-06-10",92.110001,93.269997,91.949997,92.940002,2038300,87.050629
"2015-06-11",92.919998,93.589996,92.739998,93.209999,2245900,87.303505
"2015-06-12",92.830002,93.400002,92.339996,92.559998,1367300,86.694687
"2015-06-15",91.760002,92.730003,91.580002,92.459999,1801700,86.601028
"2015-06-16",92.150002,92.300003,91.690002,92.120003,2311000,86.282593
"2015-06-17",92.190002,92.620003,91.779999,92.25,2089300,86.404335
"2015-06-18",91.650002,92.779999,91.459999,92.599998,1754000,86.732162
"2015-06-19",92.419998,92.949997,92.260002,92.559998,3666400,86.694687
"2015-06-22",93.230003,94.150002,93.089996,93.550003,2088500,87.621971
"2015-06-23",93.389999,93.989998,93.18,93.68,1719200,87.743713
"2015-06-24",93.519997,94.290001,93.449997,94,2227800,88.043442
"2015-06-25",94.190002,94.389999,93.080002,94,3679700,88.043442
"2015-06-26",94,96.889999,93.550003,96.440002,7168000,90.909111
"2015-06-29",95.57,96.639999,94.910004,94.959999,3868700,89.513977
"2015-06-30",95.629997,98.230003,95.220001,97.050003,6559600,91.484131
"2015-07-01",97.529999,97.699997,95.510002,96.190002,3733000,90.673439
"2015-07-02",96.160004,97.010002,95.699997,96.349998,2899800,90.824249
"2015-07-06",95.790001,96.459999,95.25,95.57,2404000,90.089005
"2015-07-07",95.57,96.410004,94.620003,96.279999,2867400,90.75827
"2015-07-08",95.900002,96.110001,94.43,94.959999,2795800,89.513977
"2015-07-09",96.019997,96.610001,94.510002,94.540001,2608500,89.118073
"2015-07-10",95.400002,95.949997,94.769997,95.169998,2963300,89.711922
"2015-07-13",95.650002,96.459999,95.169998,96.269997,2327700,90.74884
