Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,76.309998,77.529999,75.419998,76.419998,74.808205,1323100
2017-01-04,76.610001,76.849998,76.07,76.779999,75.160622,941800
2017-01-05,76.5,77.290001,75.610001,76.529999,74.915886,933100
2017-01-06,77.330002,78.959999,77.239998,77.720001,76.080803,2522900
2017-01-09,77.629997,77.900002,76.440002,76.720001,75.101891,1026700
2017-01-10,77.129997,77.739998,76.480003,77.019997,75.395546,1463400
2017-01-11,77.089996,79.230003,76.93,79.160004,77.490425,1454100
2017-01-12,79.07,79.18,77.220001,78.370003,76.717087,924300
2017-01-13,79.800003,81.5,78.910004,79.650002,77.970085,1749100
2017-01-17,79.199997,79.459999,77.970001,78.18,76.53109,1309000
2017-01-18,78.050003,78.919998,78.050003,78.400002,76.746452,967200
2017-01-19,78.739998,79.220001,77.690002,78.25,76.599609,1179700
2017-01-20,78.610001,79.269997,78.389999,79.019997,77.353371,980100
2017-01-23,78.68,79.139999,77.709999,78.470001,76.81498,860300
2017-01-24,78.660004,80.739998,78.470001,80.510002,78.811951,1123800
2017-01-25,80.980003,81.68,80.110001,81.459999,79.741913,1794100
2017-01-26,80.459999,82.32,78.68,80.330002,78.635742,2122100
2017-01-27,80.660004,80.660004,79.360001,79.790001,78.10714,1290600
2017-01-30,79.610001,79.610001,77.440002,78.43,76.775826,1187600
2017-01-31,78.25,78.349998,76.900002,77.75,76.110161,2885000
2017-02-01,78.309998,78.839996,77.309998,78.220001,76.570244,1237900
2017-02-02,77.900002,78.190002,77.32,77.800003,76.159111,867900
2017-02-03,78.019997,79.129997,77.970001,78.839996,77.17717,811200
2017-02-06,78.489998,78.730003,77.690002,78.010002,76.36467,628400
2017-02-07,78.300003,78.830002,77.25,77.650002,76.012268,1066800
2017-02-08,77.440002,77.889999,76.720001,77.760002,76.119957,1109100
2017-02-09,78.07,78.949997,77.610001,78.849998,77.186958,960700
2017-02-10,79.050003,79.529999,78.860001,79.279999,77.60788,648900
2017-02-13,79.57,80.449997,79.489998,79.599998,77.921135,775200
2017-02-14,78.800003,79.75,78.800003,79.75,78.06797,701100
2017-02-15,79.510002,80.199997,79.32,80.150002,78.459541,665700
2017-02-16,80.290001,80.290001,79.260002,79.980003,78.293121,798200
2017-02-17,79.529999,79.940002,78.940002,79.940002,78.253967,1000600
2017-02-21,79.910004,81.169998,79.790001,80.879997,79.174141,994900
2017-02-22,79.839996,81.860001,79.839996,80.919998,79.213295,1912400
2017-02-23,81.410004,81.690002,79.93,80.290001,78.596588,1459800
2017-02-24,79.059998,80.059998,78.089996,80.059998,78.803291,793800
2017-02-27,79.870003,80.559998,79.580002,80.269997,79.009987,936900
2017-02-28,79.980003,80.809998,79.720001,80.099998,78.842659,1168700
2017-03-01,81.25,82.559998,81.25,81.82,80.535667,1104800
2017-03-02,81.5,81.68,80.440002,80.519997,79.256065,619100
2017-03-03,80.519997,81.029999,79.910004,80.389999,79.128105,583300
2017-03-06,79.139999,80.580002,79.110001,80.440002,79.17733,841400
2017-03-07,80.529999,80.529999,79.330002,79.389999,78.143806,882200
2017-03-08,79.389999,80.019997,77.199997,77.25,76.037399,2442900
2017-03-09,77.050003,77.32,75.510002,76.339996,75.141678,2520900
2017-03-10,77.160004,77.440002,75.860001,76.809998,75.604301,1879200
2017-03-13,76.639999,77.669998,76.639999,77.629997,76.41143,1116900
2017-03-14,76.610001,77.139999,75.970001,77.059998,75.85038,968600
2017-03-15,77.629997,79.540001,77.349998,79.330002,78.084755,1459300
2017-03-16,79.43,79.790001,78.529999,79.339996,78.094589,1418400
2017-03-17,79.730003,79.949997,79.199997,79.699997,78.448936,1625700
2017-03-20,79.440002,80.279999,78.849998,79.82,78.567055,1032100
2017-03-21,80.400002,80.610001,78.209999,78.290001,77.061073,1285900
2017-03-22,77.919998,78.5,77.5,77.970001,76.746094,1151000
2017-03-23,78.029999,79.080002,77.650002,78.18,76.952805,639600
2017-03-24,78.629997,79.440002,77.629997,78.139999,76.913429,1100200
2017-03-27,77.120003,78.139999,76.230003,77.910004,76.687042,670800
2017-03-28,77.790001,79.650002,77.510002,79.330002,78.084755,787200
2017-03-29,79.349998,80.300003,79.129997,79.959999,78.704857,1000700
2017-03-30,79.889999,80.550003,79.720001,80.07,78.813126,569200
2017-03-31,79.650002,80.830002,79.650002,80.349998,79.088737,967700
2017-04-03,81.129997,82.209999,80.349998,81.360001,80.082886,1657400
2017-04-04,81.360001,81.510002,80.739998,81.220001,79.945076,804600
2017-04-05,81.769997,81.970001,79.980003,80.190002,78.931252,1447000
2017-04-06,80.190002,81.339996,79.82,80.669998,79.403717,948600
2017-04-07,80.57,80.889999,80.0,80.129997,78.872185,882700
2017-04-10,80.349998,81.410004,80.18,80.809998,79.541512,1156400
2017-04-11,80.690002,81.300003,80.150002,81.110001,79.836807,919700
2017-04-12,80.910004,81.019997,79.220001,79.330002,78.084755,847300
2017-04-13,79.230003,79.779999,78.410004,78.519997,77.28746,763000
2017-04-17,79.029999,79.980003,78.589996,79.860001,78.60643,1359500
2017-04-18,79.360001,80.410004,79.129997,80.099998,78.842659,1144200
2017-04-19,80.440002,81.050003,79.120003,79.260002,78.015854,1892000
2017-04-20,82.5,82.5,79.330002,79.709999,78.458778,2841800
2017-04-21,79.949997,80.110001,78.050003,79.32,78.074905,2120900
2017-04-24,80.580002,81.199997,79.959999,80.660004,79.393875,2071800
2017-04-25,81.120003,81.870003,80.550003,81.269997,79.994293,1507700
2017-04-26,80.970001,81.660004,80.669998,81.010002,79.738373,1639500
2017-04-27,80.900002,80.900002,79.339996,79.639999,78.389877,1808100
2017-04-28,79.730003,79.730003,78.830002,78.879997,77.641808,1736600
2017-05-01,79.209999,79.25,78.029999,78.559998,77.326836,1082100
2017-05-02,78.940002,79.599998,77.5,77.830002,76.608292,1380300
2017-05-03,77.620003,77.660004,76.559998,77.43,76.214569,1386000
2017-05-04,77.5,77.550003,76.470001,77.059998,75.85038,1287900
2017-05-05,77.209999,78.760002,77.010002,78.760002,77.523689,1252600
2017-05-08,78.669998,79.339996,78.300003,78.830002,77.592598,1297400
2017-05-09,78.779999,79.709999,78.360001,79.43,78.183174,1746200
2017-05-10,79.589996,81.059998,79.360001,80.050003,78.793449,1775400
2017-05-11,79.779999,79.989998,78.709999,79.889999,78.635956,1023300
2017-05-12,79.639999,80.220001,79.440002,79.599998,78.350502,1636700
2017-05-15,80.599998,82.040001,80.599998,81.32,80.04351,2233600
2017-05-16,81.290001,81.629997,80.540001,81.190002,79.91555,1576300
2017-05-17,81.190002,81.190002,79.849998,80.309998,79.049362,1413300
2017-05-18,79.919998,81.599998,79.029999,80.830002,79.561203,1350300
2017-05-19,81.370003,83.589996,81.290001,83.139999,81.834946,2519900
2017-05-22,83.489998,84.400002,82.919998,83.150002,81.84478,1176700
2017-05-23,83.360001,83.949997,82.699997,83.5,82.189285,1441300
2017-05-24,83.459999,83.779999,82.980003,83.239998,81.933365,1254700
2017-05-25,83.339996,84.040001,81.93,82.290001,80.998283,2140400
2017-05-26,81.75,82.550003,81.610001,82.5,81.641518,1201800
2017-05-30,82.25,83.529999,81.779999,83.389999,82.522255,984800
2017-05-31,82.989998,83.129997,81.639999,82.550003,81.69101,1687000
2017-06-01,83.089996,84.18,82.540001,83.550003,82.680595,1061400
2017-06-02,83.480003,83.730003,82.849998,83.150002,82.28476,1685400
2017-06-05,83.059998,83.830002,82.959999,83.43,82.561844,1346800
2017-06-06,82.959999,83.800003,82.639999,83.709999,82.838928,1413400
2017-06-07,83.839996,83.940002,81.040001,81.620003,80.770683,2185100
2017-06-08,81.620003,83.470001,81.620003,82.379997,81.522766,1789200
2017-06-09,82.440002,83.440002,82.43,83.019997,82.156105,1307000
2017-06-12,83.360001,83.900002,82.230003,82.849998,81.987877,1244200
2017-06-13,83.019997,83.540001,82.5,83.470001,82.601433,1073100
2017-06-14,83.489998,83.489998,81.449997,81.800003,80.948814,1689700
2017-06-15,81.199997,82.57,81.199997,82.379997,81.522766,1484000
2017-06-16,82.18,82.949997,81.82,82.940002,82.076942,1563800
2017-06-19,83.330002,83.5,82.370003,83.050003,82.185799,1308200
2017-06-20,82.169998,82.25,80.580002,80.949997,80.107643,1436500
2017-06-21,80.629997,80.629997,77.309998,77.650002,76.841995,2867300
2017-06-22,77.769997,78.25,76.860001,77.739998,76.931046,2279700
2017-06-23,77.709999,78.599998,77.459999,78.510002,77.693047,2249000
2017-06-26,78.720001,79.300003,78.239998,78.699997,77.881058,1866200
2017-06-27,78.690002,79.099998,78.019997,78.139999,77.326889,935000
2017-06-28,78.839996,79.519997,78.669998,79.300003,78.474823,992500
2017-06-29,79.529999,79.739998,78.419998,78.779999,77.960228,837100
