"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",71.68,72.339996,70.970001,71.599998,1042400,66.992249
"2015-01-05",70.989998,71.709999,70.93,71.379997,1433500,66.786392
"2015-01-06",71.639999,71.989998,70.779999,71.480003,1549100,66.879967
"2015-01-07",71.919998,72.75,71.760002,72.519997,1163600,67.853035
"2015-01-08",73.230003,74.25,73.150002,74.199997,1794800,69.424911
"2015-01-09",74.230003,74.260002,73.400002,73.849998,1155700,69.097427
"2015-01-12",74.160004,74.190002,73.129997,73.230003,1049900,68.517365
"2015-01-13",73.93,74.870003,73.360001,73.790001,1311400,69.041298
"2015-01-14",73.169998,74.870003,73.059998,74.809998,1395600,69.995674
"2015-01-15",76.089996,76.089996,75.029999,75.510002,1566700,70.650612
"2015-01-16",75.480003,76.5,75.32,76.459999,1036500,71.539474
"2015-01-20",77.120003,77.830002,76.269997,77.800003,1445000,72.793236
"2015-01-21",77.830002,78.800003,77.32,78.739998,2058900,73.672745
"2015-01-22",79.139999,79.410004,78.260002,79.339996,3003900,74.234123
"2015-01-23",79.449997,79.489998,78.419998,78.510002,1088800,73.45755
"2015-01-26",78.510002,79.169998,78.080002,79.120003,1264900,74.028297
"2015-01-27",78.370003,79.510002,78.150002,79.199997,1497200,74.103149
"2015-01-28",79.480003,80.040001,78.300003,78.459999,1050200,73.410759
"2015-01-29",78.639999,79.209999,77.910004,79.080002,1870900,73.990883
"2015-01-30",78.709999,78.790001,77.129997,77.269997,1590500,72.297356
"2015-02-02",77.43,78.529999,76.699997,78.5,1400300,73.448189
"2015-02-03",78.459999,78.849998,77.620003,77.82,1215500,72.811966
"2015-02-04",77.75,79.199997,77.620003,78.650002,1249200,73.588547
"2015-02-05",78.660004,78.889999,77.239998,77.360001,1922900,72.381561
"2015-02-06",76.459999,78.389999,76.459999,77.989998,1953400,72.971001
"2015-02-09",78.029999,78.370003,77.510002,77.879997,939900,72.868095
"2015-02-10",78.690002,79.110001,77.709999,78.790001,1273100,73.719536
"2015-02-11",78.919998,79.529999,78.400002,79.489998,1656300,74.374481
"2015-02-12",80.5,81.449997,77.769997,78.300003,2782800,73.26107
"2015-02-13",77.550003,77.779999,76.150002,76.949997,2685000,71.997932
"2015-02-17",76.559998,77.470001,76.260002,77.07,1518100,72.110222
"2015-02-18",76.68,78.300003,76.68,78.019997,1371700,72.999092
"2015-02-19",78.050003,78.800003,77.949997,78.220001,1626800,73.186226
"2015-02-20",77.989998,78.839996,77.419998,78.82,1322300,73.747604
"2015-02-23",78.82,79,78.440002,78.849998,874500,73.775665
"2015-02-24",78.68,79.080002,78.339996,78.910004,1488900,73.83181
"2015-02-25",79,79.230003,78.510002,79.029999,813900,73.944099
"2015-02-26",79.07,79.07,77.900002,78.190002,3503100,73.158157
"2015-02-27",78.190002,79.099998,78.110001,78.790001,1398500,73.719536
"2015-03-02",78.93,79.419998,78.790001,79.199997,1039100,74.103149
"2015-03-03",79.260002,79.309998,78.489998,78.989998,1059100,73.906662
"2015-03-04",78.970001,78.989998,77.660004,78.019997,1808800,72.999092
"2015-03-05",78.330002,79.050003,78.07,78.900002,1376700,73.822464
"2015-03-06",78.800003,78.800003,78.089996,78.349998,2182200,73.307846
"2015-03-09",78.379997,79.050003,78.160004,78.790001,1101900,73.719536
"2015-03-10",78.080002,78.480003,77.889999,77.949997,1059500,72.933594
"2015-03-11",78.099998,78.099998,76.779999,76.870003,898100,71.923096
"2015-03-12",76.75,77.610001,76.75,77.559998,864300,73.024673
"2015-03-13",77.230003,77.489998,76.449997,76.690002,1126200,72.205551
"2015-03-16",76.910004,77.68,76.830002,77.269997,1523100,72.75164
"2015-03-17",76.769997,76.989998,75.480003,75.739998,1562800,71.311104
"2015-03-18",75.709999,77.010002,74.809998,76.650002,1455300,72.1679
"2015-03-19",76.370003,76.839996,75.720001,76.110001,1006900,71.659477
"2015-03-20",76.480003,77.07,76.18,77.029999,1826100,72.525658
"2015-03-23",77,77.650002,77,77.400002,1462500,72.874039
"2015-03-24",77.370003,78.110001,77.269997,77.610001,1228200,73.071754
"2015-03-25",78.019997,78.230003,77.160004,77.169998,1464200,72.657486
"2015-03-26",77.949997,79.440002,77.900002,79.099998,2313000,74.474625
"2015-03-27",79.5,79.639999,78.540001,78.919998,1688000,74.305138
"2015-03-30",79.010002,79.980003,78.529999,79.669998,1247700,75.011292
"2015-03-31",79.260002,79.809998,78.410004,78.480003,1910200,73.890884
"2015-04-01",78.610001,78.720001,77.919998,78.5,1894400,73.909698
"2015-04-02",78.550003,78.550003,77.940002,78.120003,1880500,73.551933
"2015-04-06",78,79.669998,77.769997,78.68,1982200,74.079185
"2015-04-07",79.089996,79.57,79.019997,79.330002,2187500,74.69117
"2015-04-08",79.290001,79.510002,78.489998,78.82,1546300,74.210999
"2015-04-09",78.879997,79.279999,78.639999,79.019997,1348700,74.3993
"2015-04-10",79.190002,79.379997,78.559998,78.720001,1354900,74.116852
"2015-04-13",78.720001,78.889999,78.080002,78.099998,861500,73.533096
"2015-04-14",77.989998,78.400002,77.599998,78.150002,1158100,73.58017
"2015-04-15",78.449997,79.040001,77.790001,78.019997,1321500,73.457764
"2015-04-16",78.150002,78.589996,77.900002,78.360001,976900,73.777901
"2015-04-17",77.900002,78.07,76.669998,76.980003,1025900,72.478584
"2015-04-20",77.199997,78.43,77.160004,77.790001,916200,73.241226
"2015-04-21",78.150002,79.440002,78.120003,79.190002,1862800,74.559364
"2015-04-22",79.519997,79.589996,78.07,78.809998,1436900,74.201591
"2015-04-23",79.599998,79.980003,78.269997,78.949997,1884400,74.333389
"2015-04-24",79.190002,79.739998,78.669998,78.860001,1273800,74.24865
"2015-04-27",79.169998,79.169998,77.059998,77.239998,1204200,72.723396
"2015-04-28",77.139999,77.610001,76.080002,76.25,1771900,71.791275
"2015-04-29",76.220001,76.269997,74.769997,75.300003,1896700,70.896828
"2015-04-30",75.18,75.559998,74.230003,74.580002,1467700,70.218941
"2015-05-01",74.830002,75.989998,74.720001,75.970001,1470300,71.527649
"2015-05-04",75.809998,76.290001,75.690002,76.169998,781400,71.71595
"2015-05-05",75.860001,76.339996,75.239998,75.550003,790600,71.132217
"2015-05-06",75.849998,76.239998,75.300003,75.519997,1063300,71.103958
"2015-05-07",75.800003,76.260002,75.599998,75.75,1194500,71.320534
"2015-05-08",76.370003,76.900002,76.160004,76.510002,818400,72.036079
"2015-05-11",76.25,77.330002,76.239998,76.370003,830200,71.904266
"2015-05-12",75.959999,75.980003,75.300003,75.760002,802000,71.329933
"2015-05-13",75.93,77.080002,75.93,77.010002,1976300,72.506836
"2015-05-14",77.349998,77.910004,77.18,77.660004,993900,73.118835
"2015-05-15",77.629997,78.470001,77.169998,77.410004,1670700,72.883461
"2015-05-18",77.32,77.75,77.309998,77.349998,855300,72.82695
"2015-05-19",77.339996,77.940002,77.129997,77.480003,1576900,72.949356
"2015-05-20",77.589996,77.910004,77.400002,77.400002,1075400,72.874039
"2015-05-21",77.459999,77.839996,77.07,77.690002,844200,73.147072
"2015-05-22",77.610001,77.790001,76.949997,77.059998,977900,72.553917
"2015-05-26",76.980003,77.199997,76.339996,76.440002,1069800,71.970161
"2015-05-27",76.660004,77.459999,76.480003,77.370003,824800,72.845795
"2015-05-28",77.139999,77.510002,76.639999,76.989998,900900,72.488007
"2015-05-29",76.860001,77.089996,76.25,76.639999,796600,72.158478
"2015-06-01",76.730003,77.07,76.169998,76.459999,690300,71.988991
"2015-06-02",76.459999,76.5,75.68,76,621800,71.555885
"2015-06-03",76.419998,76.480003,75.690002,76.139999,1148800,71.687698
"2015-06-04",75.809998,76.089996,75.150002,75.260002,1082900,70.859169
"2015-06-05",75.139999,75.25,73.300003,73.860001,1578100,69.541046
"2015-06-08",73.809998,73.989998,73.43,73.459999,697700,69.164436
"2015-06-09",73.459999,73.650002,72.779999,73.269997,1291200,68.985527
"2015-06-10",73.620003,74.309998,73.400002,74.040001,1089200,69.710503
"2015-06-11",73.690002,74.360001,73.690002,74.169998,1064600,70.288597
"2015-06-12",73.919998,74.139999,73.5,73.540001,673900,69.691551
"2015-06-15",73.339996,73.639999,72.580002,72.75,1264900,68.942886
"2015-06-16",72.830002,73.599998,72.760002,73.540001,719300,69.691551
"2015-06-17",73.489998,74.25,73.260002,74.089996,840900,70.212769
"2015-06-18",74.25,75.059998,74.150002,74.769997,717100,70.857185
"2015-06-19",74.769997,74.989998,74.470001,74.599998,1283800,70.696083
"2015-06-22",74.889999,75.330002,74.650002,74.68,465700,70.771904
"2015-06-23",74.580002,74.82,74.239998,74.25,566800,70.364403
"2015-06-24",74.330002,75.360001,74.330002,74.419998,982100,70.525497
"2015-06-25",74.519997,75.029999,74.459999,74.690002,1243400,70.781372
"2015-06-26",74.739998,75.160004,74.559998,74.870003,782400,70.951958
"2015-06-29",74.279999,74.419998,73.290001,73.330002,687400,69.492546
"2015-06-30",73.839996,73.940002,72.709999,72.900002,1216100,69.085052
"2015-07-01",73.309998,74.57,73.160004,74.57,1631600,70.667656
"2015-07-02",74.529999,74.849998,73.760002,74.18,925600,70.298058
"2015-07-06",73.779999,75.449997,73.57,75.150002,1443800,71.217293
"2015-07-07",75.239998,77.529999,75.169998,77.339996,1781100,73.292694
"2015-07-08",77.059998,77.160004,76.129997,76.129997,1096100,72.146019
"2015-07-09",77.07,77.779999,76.220001,76.339996,1005700,72.345032
"2015-07-10",76.879997,77.699997,76.690002,77.18,895900,73.141068
"2015-07-13",77.720001,78.360001,77.440002,78.309998,751700,74.211945
"2015-07-14",78.470001,78.940002,78.080002,78.57,972100,74.458321
"2015-07-15",78.349998,78.93,78.110001,78.32,729300,74.221397
"2015-07-16",78.830002,78.989998,78.57,78.760002,726100,74.63839
"2015-07-17",78.589996,78.75,78.209999,78.669998,464700,74.553108
"2015-07-20",78.959999,79.269997,78.610001,79.150002,625500,75.007973
"2015-07-21",79.290001,79.669998,78.540001,78.779999,659500,74.657341
"2015-07-22",78.480003,79.470001,78.470001,78.720001,1024200,74.600479
"2015-07-23",78.93,79.370003,76.43,77.260002,1261300,73.216896
"2015-07-24",77.459999,78.349998,77.300003,77.919998,895800,73.842339
"2015-07-27",77.57,78.010002,77.029999,77.639999,1381900,73.577003
"2015-07-28",77.910004,79.080002,77.809998,78.980003,1087700,74.84687
"2015-07-29",79.089996,79.660004,78.699997,79.5,1309400,75.339661
"2015-07-30",79.080002,80.099998,79,79.82,1000600,75.642914
"2015-07-31",80.220001,80.410004,79.93,80.220001,1504500,76.021973
"2015-08-03",80.339996,81.059998,80.220001,80.610001,788200,76.391586
"2015-08-04",80.5,81.739998,80.5,81.529999,1296500,77.263428
"2015-08-05",82.120003,83.360001,81.870003,83.239998,1989900,78.883934
"2015-08-06",83.370003,83.57,82.099998,82.290001,1632300,77.98365
"2015-08-07",82.269997,82.779999,81.779999,81.870003,1191300,77.585625
"2015-08-10",82.379997,82.669998,81.529999,81.769997,974300,77.490852
"2015-08-11",81.309998,81.910004,81.190002,81.660004,788400,77.386635
"2015-08-12",81.209999,81.800003,80.529999,81.610001,992000,77.339241
"2015-08-13",81.510002,82.5,81.5,82.120003,609600,77.822556
"2015-08-14",82.07,82.400002,81.730003,82.25,653000,77.945755
"2015-08-17",81.860001,83,81.860001,83,610800,78.656494
"2015-08-18",82.800003,83.129997,82.57,82.779999,713400,78.448013
"2015-08-19",82.379997,83.209999,81.830002,82.589996,1029200,78.267944
"2015-08-20",81.900002,82.18,81.349998,81.419998,725900,77.15918
"2015-08-21",80.980003,80.980003,78.959999,79,1309200,74.865822
"2015-08-24",75.989998,77.82,72,76.75,1984600,72.733574
"2015-08-25",78.260002,78.480003,74.93,75.019997,1593700,71.094086
"2015-08-26",76.32,76.68,73.809998,76.620003,3405900,72.610374
"2015-08-27",77.209999,77.650002,75.690002,77.059998,2228000,73.027351
"2015-08-28",76.730003,77.169998,76.330002,77.110001,1007800,73.07473
"2015-08-31",76.879997,77.050003,76.440002,76.730003,1166100,72.714615
"2015-09-01",75.519997,76.290001,75.089996,75.410004,1820200,71.463707
"2015-09-02",76.089996,76.620003,75.660004,76.610001,1113700,72.600891
"2015-09-03",76.739998,77.5,76.709999,76.949997,1116700,72.923103
"2015-09-04",76.190002,76.300003,75.300003,75.769997,1107200,71.804855
"2015-09-08",76.650002,77.769997,76.529999,77.669998,1320100,73.605431
"2015-09-09",78.059998,78.239998,75.809998,76.019997,1293700,72.041763
"2015-09-10",75.760002,76.370003,75.349998,75.949997,1001300,72.432777
"2015-09-11",75.650002,76.470001,75.580002,76.449997,997800,72.909622
"2015-09-14",76.43,76.519997,75.919998,76.199997,913900,72.671204
"2015-09-15",76.400002,77.040001,76.040001,76.800003,1048900,73.243431
