Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,26.700001,26.75,26.32,26.620001,25.117529,2135600
2017-01-04,26.74,27.26,26.719999,27.219999,25.683661,2806900
2017-01-05,27.059999,27.280001,26.75,27.110001,25.579874,2213700
2017-01-06,27.049999,27.200001,26.93,27.030001,25.504389,2375600
2017-01-09,27.07,27.08,26.799999,26.879999,25.362852,2000800
2017-01-10,26.879999,26.959999,26.629999,26.73,25.221321,2160100
2017-01-11,26.610001,26.780001,26.459999,26.52,25.023172,2176700
2017-01-12,26.559999,26.620001,26.110001,26.6,25.098658,2076500
2017-01-13,26.58,26.809999,26.43,26.6,25.098658,1596400
2017-01-17,26.66,26.82,26.41,26.57,25.070351,3711900
2017-01-18,26.58,26.959999,26.469999,26.799999,25.287369,1407500
2017-01-19,26.65,26.700001,26.440001,26.620001,25.117529,1695200
2017-01-20,26.639999,26.780001,26.440001,26.559999,25.060915,1887800
2017-01-23,26.559999,26.700001,26.440001,26.57,25.070351,2177000
2017-01-24,26.59,26.700001,26.25,26.309999,24.825026,3441000
2017-01-25,26.32,26.459999,25.940001,26.1,24.626879,2535600
2017-01-26,25.9,26.209999,25.200001,25.23,23.805981,4240700
2017-01-27,24.98,25.190001,24.139999,24.309999,22.937908,6741200
2017-01-30,24.280001,24.370001,23.93,24.040001,22.683149,3909600
2017-01-31,24.09,24.440001,24.09,24.33,22.956778,3355700
2017-02-01,24.33,24.459999,24.059999,24.219999,22.852987,3370300
2017-02-02,24.25,24.780001,24.129999,24.74,23.343639,3655700
2017-02-03,24.950001,25.049999,24.690001,24.969999,23.560658,3814000
2017-02-06,25.17,25.25,24.959999,25.049999,23.636143,2305700
2017-02-07,25.02,25.23,24.83,24.870001,23.466301,1814700
2017-02-08,24.91,25.26,24.790001,25.15,23.730497,1651900
2017-02-09,25.16,25.219999,24.98,25.110001,23.692757,1555500
2017-02-10,25.09,25.26,25.049999,25.26,23.83429,2048800
2017-02-13,25.299999,25.42,25.129999,25.309999,23.881466,1724500
2017-02-14,24.959999,25.209999,24.879999,25.110001,23.87196,1644700
2017-02-15,25.110001,25.110001,24.73,24.969999,23.738861,2065500
2017-02-16,24.959999,25.459999,24.860001,25.26,24.014563,2916100
2017-02-17,25.26,25.35,25.01,25.209999,23.96703,1706100
2017-02-21,25.190001,25.57,25.110001,25.530001,24.271254,1121200
2017-02-22,25.5,25.6,25.24,25.299999,24.052591,977100
2017-02-23,25.459999,25.629999,25.24,25.6,24.337801,1743300
2017-02-24,25.629999,25.780001,25.41,25.77,24.49942,1000500
2017-02-27,25.799999,26.030001,25.65,26.0,24.718079,1785500
2017-02-28,25.91,26.01,25.530001,25.639999,24.375828,4006400
2017-03-01,25.530001,25.790001,25.450001,25.690001,24.423365,2763300
2017-03-02,25.57,26.129999,25.48,25.99,24.70857,5152700
2017-03-03,26.01,26.23,25.74,26.200001,24.908218,3189700
2017-03-06,26.049999,26.129999,25.690001,25.82,24.546953,2799300
2017-03-07,25.780001,25.889999,25.66,25.870001,24.594488,1427800
2017-03-08,25.74,25.74,25.49,25.51,24.252237,1946500
2017-03-09,25.51,25.709999,25.16,25.190001,23.948015,1897200
2017-03-10,25.35,25.49,25.1,25.25,24.005058,2199200
2017-03-13,25.26,25.42,24.98,25.059999,23.824425,2820000
2017-03-14,25.0,25.01,24.82,24.93,23.700836,3167800
2017-03-15,25.02,25.59,24.969999,25.49,24.233223,4465600
2017-03-16,25.48,25.559999,25.35,25.48,24.223719,1996500
2017-03-17,25.629999,25.809999,25.42,25.620001,24.356815,4540300
2017-03-20,25.68,25.799999,25.57,25.780001,24.508928,1740800
2017-03-21,25.77,25.82,25.51,25.65,24.385336,1647700
2017-03-22,25.76,25.76,25.4,25.73,24.461393,1697300
2017-03-23,25.690001,26.18,25.66,25.98,24.699066,1953100
2017-03-24,26.07,26.26,25.969999,26.17,24.879698,2113700
2017-03-27,25.99,26.17,25.610001,25.639999,24.375828,2297900
2017-03-28,25.639999,25.809999,25.379999,25.809999,24.537445,1604300
2017-03-29,25.76,25.870001,25.65,25.860001,24.58498,2026700
2017-03-30,25.84,25.98,25.68,25.959999,24.68005,1243300
2017-03-31,25.940001,26.309999,25.91,26.27,24.974766,2073900
2017-04-03,26.25,26.639999,26.17,26.620001,25.30751,2967200
2017-04-04,26.6,26.799999,26.469999,26.68,25.364553,3137500
2017-04-05,26.879999,27.139999,26.809999,27.09,25.754335,3010900
