"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",104.690002,105.239998,103.610001,104.309998,1191200,100.971397
"2015-01-05",103.830002,104.190002,101.940002,101.980003,2073800,98.715981
"2015-01-06",101.690002,101.730003,97.779999,98.93,3396100,95.763596
"2015-01-07",99.940002,100.639999,99.080002,100.379997,2315500,97.167191
"2015-01-08",101.459999,103.160004,101.370003,102.620003,1935500,99.335503
"2015-01-09",102.559998,102.800003,101.220001,101.330002,1784900,98.086784
"2015-01-12",101.610001,101.75,99.510002,100.760002,2157200,97.535027
"2015-01-13",101.25,102.239998,100.82,101.919998,2083000,98.657906
"2015-01-14",100.269997,101.419998,99.949997,101.330002,1721300,98.086784
"2015-01-15",101.730003,102.400002,100.650002,100.68,1460000,97.457573
"2015-01-16",100.940002,102.389999,100.519997,102.209999,1754300,98.938622
"2015-01-20",102.989998,103.480003,101.370003,102.559998,1938000,99.277405
"2015-01-21",102.400002,104.050003,101.800003,104,1716400,100.671333
"2015-01-22",104.75,106.440002,104.279999,106.370003,2078700,102.965462
"2015-01-23",106.449997,107.190002,105.769997,105.879997,1749000,102.49115
"2015-01-26",106.010002,107.059998,105.419998,107.019997,1884600,103.59465
"2015-01-27",105.639999,107.440002,105.540001,106.480003,1462700,103.071953
"2015-01-28",106.959999,106.959999,103.540001,103.580002,1730500,100.264771
"2015-01-29",103.459999,104.650002,102.449997,104.379997,2048100,101.039162
"2015-01-30",103.019997,104.639999,103.019997,103.769997,2634500,100.448677
"2015-02-02",102.529999,104.339996,101.57,103.489998,2059000,100.177635
"2015-02-03",103.910004,106.139999,103.790001,106.080002,1566400,102.684746
"2015-02-04",106,106,104.129997,104.440002,1384100,101.097244
"2015-02-05",105.120003,106.699997,104.639999,106.379997,1281700,102.975151
"2015-02-06",106.610001,107.349998,106.349998,106.68,1043700,103.265549
"2015-02-09",106.589996,107.440002,106.540001,107.239998,1358500,103.807625
"2015-02-10",107.610001,108.339996,106.760002,108.330002,1305800,104.862732
"2015-02-11",108.25,109.809998,107.879997,109.309998,1834700,105.811371
"2015-02-12",110.050003,111.160004,109.620003,110.769997,1585000,107.224632
"2015-02-13",111.019997,112.099998,110.620003,111.620003,1150200,108.047447
"2015-02-17",111.650002,111.980003,110.900002,111.669998,1029600,108.09584
"2015-02-18",111.32,111.57,110.68,111.559998,1246900,107.989357
"2015-02-19",110.849998,111.800003,110.010002,111.769997,1323500,108.192642
"2015-02-20",111.730003,112.57,110.919998,112.529999,2188100,108.928314
"2015-02-23",112.07,112.099998,110.980003,111.410004,1481400,107.844154
"2015-02-24",111.230003,113.379997,110.379997,113,2178700,109.383263
"2015-02-25",113,115.68,112.900002,115.650002,2135500,111.948456
"2015-02-26",115.32,116.720001,114.519997,116.150002,1820600,112.432426
"2015-02-27",115.980003,117,115.449997,115.540001,1612700,111.841965
"2015-03-02",115.519997,116.029999,114.75,115.959999,1369800,112.24852
"2015-03-03",115.290001,116.370003,114.730003,116.190002,1179100,112.471161
"2015-03-04",115.779999,116.540001,114.760002,116.18,1675700,112.461479
"2015-03-05",116.739998,116.889999,115.709999,116.769997,1029600,113.032593
"2015-03-06",116.5,116.720001,114.510002,114.690002,1360300,111.333817
"2015-03-09",114.690002,116.230003,114.510002,115.879997,1117400,112.488983
"2015-03-10",114.75,115.5,114.160004,114.889999,1662700,111.527962
"2015-03-11",114.510002,115.400002,114.309998,114.5,1166700,111.149361
"2015-03-12",114.440002,115.879997,114.440002,115.809998,1030500,112.421051
"2015-03-13",115.32,115.540001,114.010002,114.470001,1073600,111.120262
"2015-03-16",114.779999,115.589996,114.480003,115.169998,1220700,111.799767
"2015-03-17",114.410004,114.870003,113.410004,114.309998,1155600,110.964935
"2015-03-18",113.870003,116.449997,112.75,115.699997,1337200,112.314262
"2015-03-19",115.160004,115.529999,114.309998,115.010002,968300,111.644455
"2015-03-20",115.75,116.019997,115.239998,115.269997,1572500,111.896851
"2015-03-23",115.459999,115.459999,114.269997,114.279999,1288900,110.935806
"2015-03-24",114.279999,114.57,113.519997,113.580002,1529000,110.256302
"2015-03-25",114.169998,114.980003,113.32,113.82,1893700,110.489273
"2015-03-26",113.510002,114.650002,113.480003,114.260002,1028500,110.916397
"2015-03-27",114.139999,114.550003,113.709999,114.239998,1076700,110.896988
