"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",34.200001,34.32,33.490002,33.73,637700,31.036501
"2015-01-05",33.5,33.66,33.16,33.34,1160300,30.67765
"2015-01-06",33.439999,33.66,32.59,32.650002,830400,30.042747
"2015-01-07",32.880001,33.169998,32.59,33.150002,938900,30.502827
"2015-01-08",33.41,33.919998,33.27,33.869999,1320000,31.165325
"2015-01-09",33.939999,34,33.509998,33.529999,511100,30.852474
"2015-01-12",33.509998,33.709999,33.07,33.650002,552900,30.962891
"2015-01-13",33.98,34.41,33.740002,34.119999,972200,31.395355
"2015-01-14",33.790001,34.349998,33.669998,34.130001,958600,31.404564
"2015-01-15",34.25,34.459999,34,34.189999,1192000,31.459772
"2015-01-16",34.080002,34.48,34.049999,34.220001,1395700,31.487373
"2015-01-20",34.419998,34.43,33.93,34.279999,864400,31.542583
"2015-01-21",34.240002,34.400002,33.959999,34.130001,602500,31.404564
"2015-01-22",34.470001,34.700001,34.150002,34.639999,1617100,31.873842
"2015-01-23",34.75,34.880001,34.470001,34.5,483400,31.745022
"2015-01-26",34.5,34.900002,34.220001,34.849998,593000,32.067062
"2015-01-27",34.59,34.939999,34.52,34.889999,758100,32.103874
"2015-01-28",34.98,35.09,34.23,34.310001,401100,31.570189
"2015-01-29",34.290001,34.77,34.130001,34.66,495100,31.892237
"2015-01-30",34.43,34.66,33.970001,34.02,475800,31.303345
"2015-02-02",34.040001,34.419998,33.52,34.400002,691200,31.653
"2015-02-03",34.540001,34.939999,34.450001,34.849998,562300,32.067062
"2015-02-04",34.77,34.939999,34.669998,34.82,567700,32.039463
"2015-02-05",35.029999,35.049999,34.689999,34.849998,976100,32.067062
"2015-02-06",34.919998,35.16,34.470001,34.939999,782900,32.149879
"2015-02-09",34.740002,34.810001,34.16,34.32,605200,31.579388
"2015-02-10",34.610001,34.790001,34.299999,34.720001,510900,31.947454
"2015-02-11",34.740002,35.310001,34.639999,35.049999,901300,32.251099
"2015-02-12",36.139999,37.110001,35.82,36.900002,1784700,33.953365
"2015-02-13",37.119999,37.75,36.959999,37,1185900,34.04538
"2015-02-17",37.189999,37.380001,36.98,37.049999,684500,34.091389
"2015-02-18",37.09,37.09,35.950001,36.169998,1044200,33.281662
"2015-02-19",36.049999,36.080002,35.740002,36,698900,33.125233
"2015-02-20",35.91,36,35.34,35.990002,941700,33.116032
"2015-02-23",35.990002,36,35.470001,35.709999,622100,32.858391
"2015-02-24",35.700001,35.75,34.970001,35.110001,1352900,32.306305
"2015-02-25",35.16,35.48,35.099998,35.18,655600,32.370712
"2015-02-26",35.240002,35.610001,35.130001,35.330002,537200,32.508739
"2015-02-27",35.290001,35.43,35,35.029999,791000,32.232689
"2015-03-02",35.029999,35.18,34.93,35.119999,970300,32.31551
"2015-03-03",35.110001,35.189999,34.849998,35.009998,840700,32.214291
"2015-03-04",34.950001,35.049999,34.369999,34.470001,329800,31.717415
"2015-03-05",34.310001,34.310001,33.830002,34.009998,454100,31.522768
"2015-03-06",33.75,33.990002,32.939999,33.139999,1109500,30.716394
"2015-03-09",33.25,33.400002,33.150002,33.18,800200,30.753469
"2015-03-10",33.119999,33.209999,32.889999,33.060001,705700,30.642246
"2015-03-11",33.23,34.139999,33.119999,34.080002,1863500,31.587648
"2015-03-12",34.419998,35.419998,34.110001,35.369999,1434800,32.783306
"2015-03-13",35.330002,35.540001,34.990002,35.299999,824100,32.718422
"2015-03-16",35.529999,35.66,35.310001,35.599998,917800,32.996487
"2015-03-17",35.459999,35.619999,35.299999,35.529999,579000,32.93161
"2015-03-18",35.52,35.639999,35.25,35.5,721100,32.903801
"2015-03-19",35.450001,35.509998,35.27,35.279999,423900,32.69989
"2015-03-20",35.34,35.669998,35.130001,35.380001,1406200,32.792576
"2015-03-23",35.299999,35.619999,35.279999,35.529999,471400,32.93161
"2015-03-24",35.439999,35.540001,35.330002,35.419998,397800,32.829651
"2015-03-25",35.400002,35.529999,34.970001,35.02,543800,32.458908
"2015-03-26",34.91,35,34.720001,34.869999,401500,32.31987
"2015-03-27",34.880001,35.16,34.82,34.990002,435600,32.431107
"2015-03-30",35.060001,35.900002,35,35.82,779700,33.200397
"2015-03-31",35.66,35.720001,35.439999,35.68,406400,33.070641
"2015-04-01",35.669998,35.860001,35.299999,35.779999,669600,33.16333
"2015-04-02",35.810001,36.119999,35.599998,36.060001,471400,33.422848
"2015-04-06",35.860001,36.349998,35.709999,36.16,660500,33.515537
"2015-04-07",36.099998,36.169998,35.84,35.860001,449500,33.237473
"2015-04-08",35.830002,36.18,35.790001,36.139999,266900,33.497002
"2015-04-09",36.040001,36.240002,35.490002,35.709999,416900,33.098442
"2015-04-10",35.830002,35.889999,35.490002,35.860001,606500,33.237473
"2015-04-13",35.84,36.25,35.619999,36.189999,457200,33.543346
"2015-04-14",36.209999,36.279999,35.810001,36.009998,450600,33.376507
"2015-04-15",36.169998,36.259998,35.950001,36.02,596400,33.385773
"2015-04-16",35.939999,35.990002,35.630001,35.880001,306900,33.256016
"2015-04-17",35.650002,35.82,35.330002,35.68,810700,33.070641
"2015-04-20",35.919998,36.369999,35.73,36.23,436400,33.58041
"2015-04-21",36.5,36.5,35.93,36.169998,627700,33.524803
"2015-04-22",36.259998,36.790001,36.02,36.740002,1278000,34.05312
"2015-04-23",37.150002,37.150002,36.400002,37.07,1034000,34.358986
"2015-04-24",37.119999,38.189999,36.990002,37.830002,1245200,35.063404
"2015-04-27",37.939999,37.939999,36.91,37.119999,1903100,34.405327
"2015-04-28",37.029999,37.349998,36.759998,37.139999,736700,34.423855
"2015-04-29",36.900002,36.900002,36.09,36.509998,1142400,33.839943
"2015-04-30",36.200001,36.419998,34.709999,34.790001,1100700,32.245728
"2015-05-01",34.82,35.330002,34.77,34.950001,575400,32.394024
"2015-05-04",34.959999,35.110001,34.720001,34.849998,579300,32.301334
"2015-05-05",34.900002,35.080002,34.59,34.66,923200,32.125237
"2015-05-06",34.700001,34.860001,34.5,34.860001,1080900,32.310608
"2015-05-07",34.779999,35.049999,34.619999,34.830002,874900,32.282803
"2015-05-08",35.200001,35.57,35.16,35.52,606800,32.922337
"2015-05-11",35.48,36,35.450001,35.98,717600,33.348698
"2015-05-12",35.82,35.84,35.189999,35.509998,702900,32.913071
"2015-05-13",35.689999,35.740002,35.029999,35.07,873800,32.505245
"2015-05-14",35.220001,35.610001,35.16,35.509998,461200,32.913071
"2015-05-15",35.57,35.66,35.349998,35.630001,512300,33.024296
"2015-05-18",35.619999,36.23,35.509998,36.139999,468100,33.497002
"2015-05-19",36.259998,36.639999,36.049999,36.59,832500,33.914085
"2015-05-20",36.73,36.810001,36.439999,36.689999,867300,34.006771
"2015-05-21",36.57,36.66,36.23,36.25,811000,33.598949
"2015-05-22",36.220001,36.349998,35.810001,36.029999,530600,33.395042
