"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",10.95,10.95,10.95,10.95,0,10.95
"2015-01-05",10.955,10.955,10.955,10.955,0,10.955
"2015-01-06",10.65,10.65,10.65,10.65,0,10.65
"2015-01-07",10.476,10.476,10.476,10.476,0,10.476
"2015-01-08",10.77,10.77,10.77,10.77,0,10.77
"2015-01-09",10.413,10.413,10.413,10.413,0,10.413
"2015-01-12",10.35,10.35,10.35,10.35,0,10.35
"2015-01-13",10.356,10.356,10.356,10.356,0,10.356
"2015-01-14",10.549,10.549,10.549,10.549,0,10.549
"2015-01-15",10.518,10.518,10.518,10.518,0,10.518
"2015-01-16",10.628,10.628,10.628,10.628,0,10.628
"2015-01-20",11.072,11.072,11.067,11.067,0,11.067
"2015-01-21",11.142,11.142,11.142,11.142,0,11.142
"2015-01-22",10.903,10.903,10.903,10.903,0,10.903
"2015-01-23",11.61,11.61,11.61,11.61,0,11.61
"2015-01-26",11.525,11.525,11.525,11.525,0,11.525
"2015-01-27",11.666,11.666,11.666,11.666,0,11.666
"2015-01-28",11.261,11.261,11.261,11.261,0,11.261
"2015-01-29",11.308,11.308,11.308,11.308,0,11.308
"2015-01-30",11.457,11.457,11.457,11.457,0,11.457
"2015-02-02",11,11,11,11,0,11
"2015-02-03",11.233,11.233,11.233,11.233,0,11.233
"2015-02-04",11.203,11.203,11.203,11.203,0,11.203
"2015-02-05",11.075,11.075,11.075,11.075,0,11.075
"2015-02-06",11.233,11.233,11.233,11.233,0,11.233
"2015-02-09",11.487,11.487,11.487,11.487,0,11.487
"2015-02-10",11.426,11.426,11.426,11.426,0,11.426
"2015-02-11",11.263,11.263,11.263,11.263,0,11.263
"2015-02-12",11.261,11.261,11.261,11.261,0,11.261
"2015-02-13",11.305,11.305,11.305,11.305,0,11.305
"2015-02-17",11.251,11.321,11.251,11.321,0,11.321
"2015-02-18",11.254,11.254,11.254,11.254,0,11.254
"2015-02-19",11.5,11.5,11.5,11.5,0,11.5
"2015-02-20",11.733,11.733,11.733,11.733,0,11.733
"2015-02-23",11.784,11.784,11.784,11.784,0,11.784
"2015-02-24",11.81,11.81,11.81,11.81,0,11.81
"2015-02-25",11.852,11.852,11.852,11.852,0,11.852
"2015-02-26",11.734,11.734,11.734,11.734,0,11.734
"2015-02-27",11.79,11.79,11.79,11.79,0,11.79
"2015-03-02",11.328,11.328,11.328,11.328,0,11.328
"2015-03-03",11.001,11.001,11.001,11.001,0,11.001
"2015-03-04",11.003,11.003,11.003,11.003,0,11.003
"2015-03-05",11.331,11.331,11.331,11.331,0,11.331
"2015-03-06",11.42,11.42,11.42,11.42,0,11.42
"2015-03-09",11.339,11.339,11.339,11.339,0,11.339
"2015-03-10",11.522,11.522,11.522,11.522,0,11.522
"2015-03-11",11.543,11.543,11.543,11.543,0,11.543
"2015-03-12",11.917,11.917,11.917,11.917,0,11.917
"2015-03-13",12.122,12.122,12.122,12.122,0,12.122
"2015-03-16",12.09,12.09,12.09,12.09,0,12.09
"2015-03-17",11.948,11.948,11.948,11.948,0,11.948
"2015-03-18",11.944,11.944,11.944,11.944,0,11.944
"2015-03-19",11.851,11.851,11.851,11.851,0,11.851
"2015-03-20",11.858,11.858,11.858,11.858,0,11.858
"2015-03-23",11.737,11.737,11.737,11.737,0,11.737
"2015-03-24",11.848,11.848,11.848,11.848,0,11.848
"2015-03-25",NA,NA,NA,NA,NA,NA
"2015-03-26",NA,NA,NA,NA,NA,NA
"2015-03-27",NA,NA,NA,NA,NA,NA
"2015-03-30",NA,NA,NA,NA,NA,NA
"2015-03-31",NA,NA,NA,NA,NA,NA
"2015-04-01",NA,NA,NA,NA,NA,NA
"2015-04-02",NA,NA,NA,NA,NA,NA
"2015-04-06",NA,NA,NA,NA,NA,NA
"2015-04-07",NA,NA,NA,NA,NA,NA
"2015-04-08",NA,NA,NA,NA,NA,NA
"2015-04-09",NA,NA,NA,NA,NA,NA
"2015-04-10",NA,NA,NA,NA,NA,NA
"2015-04-13",NA,NA,NA,NA,NA,NA
"2015-04-14",NA,NA,NA,NA,NA,NA
"2015-04-15",11.524,11.524,11.524,11.524,0,11.524
"2015-04-16",11.615,11.615,11.615,11.615,0,11.615
"2015-04-17",11.464,11.464,11.464,11.464,0,11.464
"2015-04-20",NA,NA,NA,NA,NA,NA
"2015-04-21",NA,NA,NA,NA,NA,NA
"2015-04-22",NA,NA,NA,NA,NA,NA
"2015-04-23",NA,NA,NA,NA,NA,NA
"2015-04-24",NA,NA,NA,NA,NA,NA
"2015-04-27",NA,NA,NA,NA,NA,NA
"2015-04-28",NA,NA,NA,NA,NA,NA
"2015-04-29",NA,NA,NA,NA,NA,NA
"2015-04-30",NA,NA,NA,NA,NA,NA
"2015-05-01",NA,NA,NA,NA,NA,NA
"2015-05-04",10.777,10.777,10.777,10.777,0,10.777
"2015-05-05",10.968,10.968,10.968,10.968,0,10.968
"2015-05-06",NA,NA,NA,NA,NA,NA
"2015-05-07",NA,NA,NA,NA,NA,NA
"2015-05-08",NA,NA,NA,NA,NA,NA
"2015-05-11",NA,NA,NA,NA,NA,NA
"2015-05-12",NA,NA,NA,NA,NA,NA
"2015-05-13",NA,NA,NA,NA,NA,NA
"2015-05-14",NA,NA,NA,NA,NA,NA
"2015-05-15",NA,NA,NA,NA,NA,NA
"2015-05-18",NA,NA,NA,NA,NA,NA
"2015-05-19",NA,NA,NA,NA,NA,NA
"2015-05-20",10.802,10.802,10.802,10.802,0,10.802
"2015-05-21",NA,NA,NA,NA,NA,NA
"2015-05-22",NA,NA,NA,NA,NA,NA
"2015-05-26",NA,NA,NA,NA,NA,NA
"2015-05-27",NA,NA,NA,NA,NA,NA
"2015-05-28",NA,NA,NA,NA,NA,NA
"2015-05-29",NA,NA,NA,NA,NA,NA
"2015-06-01",11.083,11.083,11.083,11.083,0,11.083
"2015-06-02",10.875,10.875,10.875,10.875,0,10.875
"2015-06-03",10.673,10.673,10.673,10.673,0,10.673
"2015-06-04",10.694,10.694,10.694,10.694,0,10.694
"2015-06-05",10.762,10.762,10.762,10.762,0,10.762
"2015-06-08",NA,NA,NA,NA,NA,NA
"2015-06-09",NA,NA,NA,NA,NA,NA
"2015-06-10",NA,NA,NA,NA,NA,NA
"2015-06-11",NA,NA,NA,NA,NA,NA
"2015-06-12",NA,NA,NA,NA,NA,NA
