"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",25.631769,25.703972,25.227436,25.422382,2399100,23.635536
"2015-01-05",25.068592,25.747292,24.938627,24.97473,3435500,23.219347
"2015-01-06",24.953068,25.126354,24.685921,24.758123,2357300,23.017963
"2015-01-07",24.931408,25.140795,24.729242,24.981949,2463500,23.226057
"2015-01-08",25.111914,25.393501,25.083033,25.34296,1882200,23.561697
"2015-01-09",25.292419,25.444044,25.104692,25.184116,2107800,23.414013
"2015-01-12",25.140795,25.357401,25.104692,25.241877,1255900,23.467714
"2015-01-13",25.552347,26.064981,25.429604,25.855597,1756000,24.038301
"2015-01-14",25.689531,26.144403,25.415163,25.725632,1603000,23.917469
"2015-01-15",25.783394,26.144403,25.472923,25.862816,1999100,24.045012
"2015-01-16",25.913357,26.33935,25.761732,26.33213,1415300,24.481339
"2015-01-20",26.35379,26.534296,25.9639,26.324909,2298000,24.474627
"2015-01-21",26.238268,26.33935,25.898916,26.144403,971600,24.306805
"2015-01-22",26.209387,26.613718,26.064981,26.519855,1824500,24.65587
"2015-01-23",26.462093,26.758123,26.259928,26.296028,1025200,24.447777
"2015-01-26",26.296028,26.397112,25.833935,26.014441,1693700,24.18598
"2015-01-27",25.862816,26.014441,25.703972,25.805054,903000,23.991308
"2015-01-28",25.942238,26,25.530685,25.776173,1201100,23.96446
"2015-01-29",25.855597,25.935019,25.66065,25.718412,1737800,23.910759
"2015-01-30",25.530685,25.898916,25.335739,25.34296,2142200,23.561697
"2015-02-02",25.379061,25.927797,25.111914,25.819494,3175800,24.004738
"2015-02-03",25.848375,26.050541,25.66065,25.891697,1529500,24.071859
"2015-02-04",25.848375,25.870035,25.400723,25.790613,3757100,23.977886
"2015-02-05",25.862816,26.31769,25.797834,26.202166,1603100,24.360508
"2015-02-06",26.194946,26.33213,25.711191,25.826715,1566000,24.011446
"2015-02-09",25.805054,25.942238,25.602888,25.841156,684600,24.024874
"2015-02-10",25.992781,26.274368,25.740072,26.194946,769000,24.353798
"2015-02-11",26.158844,26.469315,26.158844,26.252708,1062300,24.407501
"2015-02-12",26.447653,27.02527,26.346571,26.960289,1399400,25.06535
"2015-02-13",26.953068,27.581228,26.888086,27.559566,3514200,25.622505
"2015-02-17",27.574007,27.833935,27.335739,27.732853,3065100,25.783609
"2015-02-18",27.740072,27.740072,27.176895,27.386282,3416500,25.461397
"2015-02-19",27.321301,27.631769,26.722021,26.97473,5375300,25.078772
"2015-02-20",26.866426,27.480145,26.765343,27.379061,6218000,25.454687
"2015-02-23",27.494585,27.523466,26.787004,27.162455,2285400,25.253305
"2015-02-24",27.220217,27.270758,26.519855,26.548737,2362500,24.682722
"2015-02-25",26.469315,27.061373,26.440434,26.953068,2012700,25.058632
"2015-02-26",26.938627,26.938627,26.418772,26.454874,1251200,24.595455
"2015-02-27",26.447653,26.599277,26.33213,26.512636,1241400,24.649157
"2015-03-02",26.512636,26.844765,26.238268,26.303249,2723500,24.454485
"2015-03-03",26.252708,26.411552,26.057762,26.209387,2612000,24.367224
"2015-03-04",26.209387,26.245487,25.747292,25.768953,1393200,23.957748
"2015-03-05",25.754513,25.971119,25.66787,25.942238,1856900,24.118853
"2015-03-06",26.028881,26.028881,25.588448,25.725632,1656900,23.917469
"2015-03-09",25.725632,26.166065,25.696751,26.064981,1820200,24.232965
"2015-03-10",25.898916,26.0361,25.747292,25.870035,1012000,24.051725
"2015-03-11",25.862816,26.173285,25.862816,26.086643,1008000,24.253107
"2015-03-12",26.166065,26.620939,26.0361,26.613718,1487500,24.743137
"2015-03-13",26.447653,26.801443,26.267147,26.750902,1595500,24.999537
"2015-03-16",26.873646,26.902527,26.642599,26.902527,1233200,25.141235
"2015-03-17",26.880867,26.953068,26.527077,26.916967,1140300,25.154732
"2015-03-18",26.916967,27.285198,26.620939,27.169676,1013000,25.390896
"2015-03-19",27.104692,27.227436,26.743683,27.018051,1096000,25.249201
"2015-03-20",26.902527,27.111914,26.808664,26.808664,2036600,25.053516
"2015-03-23",26.808664,26.837545,26.194946,26.361012,2404600,24.635174
"2015-03-24",26.296028,26.418772,26.122744,26.31769,3232500,24.594687
"2015-03-25",26.382671,26.469315,25.9639,25.9639,3088000,24.264061
"2015-03-26",25.97834,26.151625,25.559566,26.079422,1350400,24.372019
"2015-03-27",26.093863,26.187725,25.949459,26.115524,1793700,24.40576
"2015-03-30",26.223827,26.707581,26.187725,26.418772,1657800,24.689152
"2015-03-31",26.368231,26.570396,26.194946,26.541515,2143800,24.80386
"2015-04-01",26.555956,26.996389,26.281588,26.750902,2801000,24.999537
"2015-04-02",26.729242,26.916967,26.490974,26.895308,1081500,25.134489
"2015-04-06",26.765343,27.148014,26.63538,27.090252,1256300,25.316671
"2015-04-07",27.162455,27.386282,26.750902,26.794224,1618500,25.040022
"2015-04-08",26.772564,27.003611,26.628159,26.895308,1339200,25.134489
"2015-04-09",26.830324,27.018051,26.570396,26.620939,1018300,24.878086
"2015-04-10",26.65704,26.967508,26.541515,26.851986,931600,25.094006
"2015-04-13",26.772564,27.148014,26.700361,26.97473,872400,25.20871
"2015-04-14",26.895308,26.967508,26.64982,26.685921,768500,24.938812
"2015-04-15",26.714802,26.851986,26.404331,26.454874,1002000,24.722891
"2015-04-16",26.382671,26.541515,26.259928,26.462093,999600,24.729639
"2015-04-17",26.361012,26.527077,26.057762,26.505415,988200,24.770124
"2015-04-20",26.599277,26.960289,26.592058,26.924189,1014100,25.16148
"2015-04-21",26.967508,27.054152,26.433212,26.64982,891100,24.905075
"2015-04-22",26.628159,26.830324,26.382671,26.808664,1027800,25.053516
"2015-04-23",26.808664,27.371841,26.541515,27.097473,1314500,25.32342
"2015-04-24",27.494585,27.956678,27.451263,27.617329,2941300,25.80924
"2015-04-27",27.638988,27.638988,26.895308,27.256317,2151300,25.471865
"2015-04-28",27.198557,27.566788,27.032492,27.068592,2629800,25.296431
"2015-04-29",26.837545,27.054152,26.425993,26.815884,1669300,25.060263
"2015-04-30",26.902527,26.902527,25.898916,25.985559,2771400,24.2843
"2015-05-01",26.014441,26.418772,25.898916,25.927797,2833300,24.23032
"2015-05-04",25.942238,26.462093,25.942238,26.245487,1839000,24.52721
"2015-05-05",26.772564,26.815884,25.992781,26.151625,3734200,24.439493
