Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,31.59,32.049999,31.290001,31.5,31.5,261200
2017-01-04,31.68,31.91,31.09,31.790001,31.790001,122800
2017-01-05,31.9,32.279999,31.459999,32.119999,32.119999,145400
2017-01-06,32.330002,32.529999,31.610001,31.65,31.65,326500
2017-01-09,31.15,31.5,30.26,30.66,30.66,258400
2017-01-10,30.780001,31.040001,30.32,30.809999,30.809999,169700
2017-01-11,30.77,31.129999,30.594999,31.040001,31.040001,85900
2017-01-12,30.969999,30.969999,29.790001,30.040001,30.040001,101300
2017-01-13,30.190001,30.594999,30.02,30.26,30.26,118000
2017-01-17,30.02,30.219999,28.33,28.719999,28.719999,288000
2017-01-18,28.959999,29.24,28.5,29.120001,29.120001,144100
2017-01-19,28.82,28.82,27.549999,27.84,27.84,2022300
2017-01-20,27.780001,28.5,27.719999,28.459999,28.459999,1815900
2017-01-23,28.459999,29.049999,28.26,28.889999,28.889999,786700
2017-01-24,29.129999,29.620001,28.389999,29.42,29.42,945300
2017-01-25,29.040001,30.25,28.91,30.129999,30.129999,1021300
2017-01-26,29.540001,31.25,29.51,30.719999,30.719999,1170900
2017-01-27,30.860001,30.9,30.01,30.58,30.58,734100
2017-01-30,30.379999,30.379999,28.77,29.4,29.4,569600
2017-01-31,29.43,29.43,28.280001,28.74,28.74,605100
2017-02-01,28.940001,29.42,28.74,29.35,29.35,838500
2017-02-02,29.190001,29.799999,29.059999,29.605,29.605,505100
2017-02-03,29.76,30.629999,29.59,30.41,30.41,565400
2017-02-06,30.200001,30.559999,29.610001,30.110001,30.110001,530700
2017-02-07,29.9,30.25,29.475,30.1,30.1,540100
2017-02-08,29.870001,30.48,29.42,30.459999,30.459999,520900
2017-02-09,30.41,31.32,29.85,31.18,31.18,523200
2017-02-10,31.309999,32.16,30.940001,32.16,32.16,347600
2017-02-13,32.27,32.470001,31.27,31.43,31.43,248500
2017-02-14,31.5,32.240002,30.610001,31.24,31.24,433100
2017-02-15,31.09,31.48,30.65,31.219999,31.219999,191500
2017-02-16,31.280001,31.940001,30.780001,31.91,31.91,322400
2017-02-17,32.09,32.09,31.52,31.959999,31.959999,165400
2017-02-21,31.950001,33.610001,31.950001,33.529999,33.529999,687700
2017-02-22,33.529999,34.110001,33.380001,34.080002,34.080002,1108900
2017-02-23,34.09,34.09,32.93,33.470001,33.470001,349000
2017-02-24,33.119999,33.48,32.889999,33.18,33.18,190000
2017-02-27,33.32,33.48,32.779999,32.84,32.84,348600
2017-02-28,32.720001,32.869999,30.639999,30.700001,30.700001,528400
2017-03-01,31.370001,31.92,31.27,31.870001,31.870001,608300
2017-03-02,31.790001,32.27,31.43,32.23,32.23,600100
2017-03-03,32.130001,32.919998,31.98,32.830002,32.830002,679700
2017-03-06,32.560001,34.115002,32.509998,33.990002,33.990002,1453600
2017-03-07,33.990002,34.790001,33.880001,34.02,34.02,962100
2017-03-08,34.200001,34.439999,33.560001,33.799999,33.799999,700200
2017-03-09,33.77,34.220001,33.5,33.98,33.98,599400
2017-03-10,34.34,35.16,34.0,34.849998,34.849998,643400
2017-03-13,34.990002,35.200001,34.665001,34.900002,34.900002,494700
2017-03-14,34.650002,34.98,33.52,34.130001,34.130001,343700
2017-03-15,34.389999,34.720001,34.02,34.52,34.52,430100
2017-03-16,34.619999,34.889999,34.0,34.299999,34.299999,490000
2017-03-17,33.900002,34.560001,33.900002,34.299999,34.299999,6032600
2017-03-20,34.32,34.455002,33.419998,33.849998,33.849998,814700
2017-03-21,33.93,34.319,33.080002,33.290001,33.290001,531700
2017-03-22,33.139999,33.200001,32.790001,33.099998,33.099998,444000
2017-03-23,33.07,33.799999,32.919998,33.610001,33.610001,478500
2017-03-24,33.98,34.029999,33.189999,33.709999,33.709999,342700
2017-03-27,33.009998,33.599998,32.974998,33.490002,33.490002,312400
2017-03-28,33.200001,33.68,33.18,33.509998,33.509998,190500
2017-03-29,33.240002,33.91,33.220001,33.810001,33.810001,186600
2017-03-30,33.662998,33.970001,33.560001,33.919998,33.919998,160400
2017-03-31,33.759998,34.310001,33.66,34.150002,34.150002,357300
2017-04-03,34.150002,34.669998,34.029999,34.16,34.16,416600
2017-04-04,34.18,34.57,34.16,34.459999,34.459999,442400
2017-04-05,34.450001,34.880001,34.060001,34.5,34.5,892500
2017-04-06,34.330002,34.880001,34.209999,34.59,34.59,244000
2017-04-07,34.669998,34.669998,33.91,34.029999,34.029999,442700
2017-04-10,33.959999,34.139999,33.419998,33.630001,33.630001,205700
2017-04-11,33.59,33.77,32.880001,33.57,33.57,508800
2017-04-12,33.509998,33.68,33.23,33.400002,33.400002,381700
2017-04-13,33.209999,33.389999,31.82,32.869999,32.869999,459700
2017-04-17,32.880001,33.529999,32.66,33.529999,33.529999,262200
2017-04-18,33.279999,33.900002,33.240002,33.779999,33.779999,225800
2017-04-19,33.919998,34.5,33.82,34.41,34.41,301500
2017-04-20,34.66,34.93,34.57,34.849998,34.849998,254400
2017-04-21,34.84,34.990002,34.419998,34.639999,34.639999,669600
2017-04-24,35.150002,35.150002,34.41,34.490002,34.490002,450500
2017-04-25,34.709999,35.09,34.639999,34.720001,34.720001,261700
2017-04-26,34.610001,34.880001,34.459999,34.630001,34.630001,554300
2017-04-27,34.84,34.849998,34.5,34.669998,34.669998,766000
2017-04-28,34.709999,35.400002,34.299999,35.02,35.02,377300
2017-05-01,35.290001,35.290001,34.32,34.639999,34.639999,424900
2017-05-02,34.560001,34.560001,34.080002,34.23,34.23,220700
2017-05-03,34.0,34.0,33.25,33.349998,33.349998,313300
2017-05-04,33.43,33.73,33.049999,33.349998,33.349998,264100
2017-05-05,33.580002,33.970001,33.09,33.75,33.75,290900
2017-05-08,33.880001,34.470001,33.5,34.400002,34.400002,847300
2017-05-09,34.799999,34.900002,33.650002,34.209999,34.209999,194900
2017-05-10,34.27,34.810001,33.959999,34.52,34.52,628900
2017-05-11,34.52,34.52,33.59,33.740002,33.740002,265700
2017-05-12,33.75,34.075001,33.150002,33.150002,33.150002,520900
2017-05-15,33.34,33.5,32.900002,32.950001,32.950001,156500
2017-05-16,33.200001,33.330002,32.919998,33.310001,33.310001,421700
2017-05-17,31.870001,32.860001,31.0,31.07,31.07,1804600
2017-05-18,31.0,31.57,30.771999,31.299999,31.299999,1604200
2017-05-19,30.790001,31.200001,30.75,30.85,30.85,13122500
2017-05-22,30.969999,31.200001,30.73,30.950001,30.950001,1865600
2017-05-23,31.02,31.09,30.75,30.969999,30.969999,1409100
2017-05-24,31.0,31.790001,30.75,31.67,31.67,1984300
2017-05-25,31.6,32.290001,31.389999,31.6,31.6,1662600
2017-05-26,31.66,31.85,31.51,31.59,31.59,1039300
2017-05-30,31.629999,31.959999,31.525,31.85,31.85,1956300
2017-05-31,31.98,33.360001,31.85,33.299999,33.299999,4347400
2017-06-01,33.259998,35.259998,33.259998,35.200001,35.200001,3332900
2017-06-02,35.25,36.98,34.779999,36.950001,36.950001,5647600
2017-06-05,36.849998,37.18,35.709999,36.779999,36.779999,3684500
2017-06-06,36.68,36.68,35.709999,35.939999,35.939999,1175700
2017-06-07,36.080002,36.865002,36.0,36.77,36.77,1545700
2017-06-08,36.720001,37.07,36.189999,36.810001,36.810001,908700
2017-06-09,36.98,37.169998,35.919998,36.610001,36.610001,1005200
2017-06-12,36.43,36.580002,35.869999,36.259998,36.259998,887800
2017-06-13,36.490002,36.77,35.830002,36.650002,36.650002,1266400
2017-06-14,36.84,36.970001,35.779999,36.169998,36.169998,559300
2017-06-15,35.880001,36.099998,35.18,35.599998,35.599998,704200
2017-06-16,35.5,35.77,34.509998,34.599998,34.599998,1351300
2017-06-19,34.880001,34.959999,34.549999,34.790001,34.790001,784800
2017-06-20,34.669998,34.75,34.389999,34.639999,34.639999,888500
2017-06-21,34.630001,35.59,34.490002,35.529999,35.529999,857900
2017-06-22,35.529999,35.529999,34.93,35.029999,35.029999,997100
2017-06-23,35.200001,35.5,34.869999,35.240002,35.240002,6214100
2017-06-26,35.450001,36.509998,34.849998,36.439999,36.439999,1771400
2017-06-27,36.619999,36.830002,36.16,36.48,36.48,1756700
2017-06-28,36.59,37.07,36.369999,36.919998,36.919998,942100
2017-06-29,36.959999,37.07,35.73,36.450001,36.450001,737300
2017-06-30,36.529999,36.860001,36.330002,36.619999,36.619999,1535400
2017-07-03,36.75,36.830002,35.98,36.34,36.34,475800
2017-07-05,36.23,37.0,35.945,36.290001,36.290001,956000
2017-07-06,35.099998,35.25,33.959999,34.0,34.0,5767300
2017-07-07,34.02,34.84,34.009998,34.709999,34.709999,2422500
2017-07-10,34.73,34.93,34.380001,34.599998,34.599998,1669700
2017-07-11,34.599998,34.900002,34.279999,34.34,34.34,1669400
2017-07-12,34.549999,34.630001,33.459999,34.060001,34.060001,1122700
2017-07-13,34.189999,34.439999,33.389999,33.639999,33.639999,1466000
2017-07-14,33.869999,34.029999,33.650002,33.875,33.875,801500
2017-07-17,33.990002,34.34,33.82,33.91,33.91,1012000
2017-07-18,33.790001,33.893002,33.25,33.52,33.52,1337000
2017-07-19,33.740002,33.974998,33.07,33.619999,33.619999,1216700
2017-07-20,33.610001,34.16,32.990002,33.790001,33.790001,2755000
2017-07-21,33.84,34.23,33.720001,34.23,34.23,1297600
2017-07-24,34.240002,34.530998,34.110001,34.330002,34.330002,4547600
2017-07-25,34.41,34.490002,33.919998,34.349998,34.349998,889600
2017-07-26,34.349998,34.540001,34.009998,34.130001,34.130001,890800
2017-07-27,34.189999,34.52,33.700001,34.279999,34.279999,748700
2017-07-28,34.049999,35.200001,33.93,34.939999,34.939999,1096300
2017-07-31,35.110001,35.200001,34.830002,35.169998,35.169998,1257300
2017-08-01,35.209999,35.389999,34.849998,35.240002,35.240002,836100
2017-08-02,35.119999,35.450001,34.490002,35.419998,35.419998,694000
