"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",38.096001,38.240002,36.464001,36.928001,38100,36.624859
"2015-01-05",36.632,36.632,34.888,35.439999,92000,35.149071
"2015-01-06",35.728001,35.759998,34.84,35.327999,88100,35.037991
"2015-01-07",35.296001,35.599998,34.992001,35.264,35500,34.974518
"2015-01-08",35.799999,36.448002,35.799999,36.431999,15400,36.132927
"2015-01-09",36.287998,36.464001,35.256001,35.928001,67300,35.633068
"2015-01-12",35.655998,36.032001,35.192001,35.655998,17100,35.363297
"2015-01-13",36,36.784,35.688,36.360001,37200,36.061523
"2015-01-14",36.464001,36.639999,35.911999,36.624001,26700,36.323353
"2015-01-15",36.720001,36.720001,35.456001,36.287998,38400,35.990108
"2015-01-16",36.015999,36.792,35.919998,36.792,15700,36.489967
"2015-01-20",36.647999,36.952,36.136002,36.647999,38700,36.347157
"2015-01-21",36.695999,37.056,35.591999,36.591999,33700,36.291615
"2015-01-22",36.608002,38.776001,36.287998,38.400002,46300,38.08477
"2015-01-23",38.32,38.784,38.216,38.400002,30000,38.08477
"2015-01-26",38.032001,38.792,37.248001,38.599998,48700,38.283127
"2015-01-27",37.799999,38.223999,37.391998,37.456001,38700,37.148521
"2015-01-28",37.736,38.208,37.040001,37.040001,9900,36.735935
"2015-01-29",37.32,38.400002,37,37.936001,53700,37.624588
"2015-01-30",37.672001,37.911999,37.032001,37.736,60600,37.426224
"2015-02-02",37.720001,38.264,37.136002,38.015999,44700,37.703918
"2015-02-03",37.863998,38.439999,37.863998,38.223999,36000,37.910221
"2015-02-04",38.32,38.352001,37.703999,37.936001,61600,37.624588
"2015-02-05",37.608002,37.872002,37.495998,37.599998,26300,37.291336
"2015-02-06",37.928001,38.063999,36.807999,38.063999,64700,37.75153
"2015-02-09",37.68,38.400002,37.68,37.848,34100,37.537304
"2015-02-10",37.807999,38.023998,37.375999,37.375999,23400,37.06918
"2015-02-11",37.68,37.880001,37.608002,37.872002,16500,37.561111
"2015-02-12",37.944,38.032001,37.52,37.976002,12400,37.664253
"2015-02-13",38.183998,38.264,37.992001,38,8200,37.688057
"2015-02-17",37.976002,37.976002,36.551998,37.096001,46400,36.791477
"2015-02-18",36.728001,37.720001,36.728001,37.424,37300,37.116783
"2015-02-19",37.240002,37.608002,37.119999,37.383999,25100,37.07711
"2015-02-20",37.568001,38.104,37.568001,37.672001,16400,37.362751
"2015-02-23",37.807999,37.807999,36.896,37.200001,62000,36.894627
"2015-02-24",37.144001,37.560001,36.112,36.400002,112800,36.101192
"2015-02-25",36.056,36.056,33.664001,35.68,226100,35.3871
"2015-02-26",35.759998,36.535999,35.608002,36.167999,90500,35.87109
"2015-02-27",36.200001,36.919998,36.032001,36.512001,63500,36.212273
"2015-03-02",36.903999,37.944,36.903999,37.32,89900,37.013638
"2015-03-03",37.576,37.768002,37.080002,37.535999,39400,37.227859
"2015-03-04",37.088001,37.68,37.088001,37.551998,50800,37.243732
"2015-03-05",37.799999,38.264,37.472,38.056,62300,37.743591
"2015-03-06",37.728001,38.119999,37.032001,37.464001,39600,37.156456
"2015-03-09",37.655998,38.647999,37.655998,38.127998,47200,37.815006
"2015-03-10",38,38,37.208,37.456001,59100,37.148521
"2015-03-11",37.647999,38.040001,37.248001,37.304001,55800,36.997768
"2015-03-12",37.664001,38.231998,37.632,37.992001,44000,37.680119
"2015-03-13",37.776001,38.216,37.472,37.880001,21700,37.569042
"2015-03-16",37.952,38.400002,37.936001,38.063999,28500,37.75153
"2015-03-17",37.952,38.368,37.720001,38.136002,32200,37.822941
"2015-03-18",37.888,38.335999,37.616001,38.192001,94100,37.878483
"2015-03-19",37.944,38.487999,37.944,38.344002,34000,38.029228
"2015-03-20",38.400002,38.672001,38.096001,38.672001,120400,38.354538
"2015-03-23",38.400002,38.591999,38.056,38.360001,209100,38.045101
"2015-03-24",38.360001,39.824001,38.360001,39.799999,57900,39.473278
"2015-03-25",40.063999,40.063999,38.672001,38.944,38500,38.624306
"2015-03-26",38.664001,39.456001,38.616001,39.312,62100,38.989285
"2015-03-27",39.439999,39.848,39.439999,39.776001,27900,39.449474
"2015-03-30",40,40.528,39.183998,39.416,126700,39.092434
"2015-03-31",39.464001,39.632,38.944,39.632,76200,39.306656
"2015-04-01",39.368,39.424,38.416,38.984001,39700,38.663975
"2015-04-02",39.119999,39.551998,38.431999,38.816002,44600,38.49736
"2015-04-06",38.439999,39.16,38.439999,38.768002,36300,38.449757
"2015-04-07",38.584,39.127998,38.416,38.424,43500,38.108574
"2015-04-08",38.759998,38.936001,38.400002,38.799999,30300,38.481491
"2015-04-09",38.624001,38.944,38.504002,38.880001,82600,38.560833
"2015-04-10",38.863998,38.984001,38.543999,38.720001,49100,38.402145
"2015-04-13",38.832001,39.16,38.439999,38.703999,80600,38.38628
"2015-04-14",38.807999,39.608002,38.728001,39.439999,196400,39.116234
"2015-04-15",39.416,40.68,39.200001,40.344002,80500,40.012817
"2015-04-16",40.360001,40.792,39.32,39.703999,91000,39.378071
"2015-04-17",39.240002,39.487999,38.112,38.400002,50100,38.08477
"2015-04-20",38.543999,38.576,38.152,38.344002,77900,38.029228
"2015-04-21",38.352001,38.848,38.144001,38.32,82800,38.005428
"2015-04-22",38.512001,38.591999,37.728001,38.248001,51100,37.934017
"2015-04-23",38.248001,38.768002,38.200001,38.312,79400,37.997494
"2015-04-24",38.271999,38.632,37.880001,38.231998,56200,37.918152
"2015-04-27",37.984001,38.439999,37.368,38.119999,75100,37.807072
"2015-04-28",38.368,38.624001,38.144001,38.464001,45600,38.148247
"2015-04-29",38.48,38.48,37.799999,37.799999,66100,37.489697
"2015-04-30",37.759998,37.759998,36.391998,36.695999,31100,36.39476
"2015-05-01",36.872002,37.271999,36.439999,37.071999,43000,36.76767
"2015-05-04",36.799999,37.439999,36.799999,37.223999,54800,36.918423
"2015-05-05",37.335999,37.576,36.688,37.023998,49800,36.72007
"2015-05-06",37.112,37.231998,36.736,37.144001,58400,36.839081
"2015-05-07",37.144001,37.568001,37.032001,37.136002,103400,36.83115
"2015-05-08",37.127998,37.599998,37.040001,37.040001,62200,36.735935
"2015-05-11",36.936001,37.375999,36.936001,37.16,59400,36.854954
"2015-05-12",36.84,38.287998,36.799999,38.208,98200,37.894348
"2015-05-13",37.992001,38.352001,37.768002,37.952,54200,37.640446
"2015-05-14",37.976002,38.256001,37.976002,38.200001,39500,37.886417
"2015-05-15",38.040001,38.304001,37.848,38.240002,41400,37.926086
"2015-05-18",38.048,39.080002,38.048,38.720001,47400,38.402145
"2015-05-19",38.695999,40.400002,38.695999,40.240002,115600,39.909668
"2015-05-20",40,43.543999,40,40.855999,181600,40.520607
"2015-05-21",40.944,41.599998,40.919998,41.512001,50300,41.171227
"2015-05-22",41.360001,41.551998,40.992001,41.375999,76700,41.036339
"2015-05-26",41.208,41.456001,40.32,40.799999,80800,40.465073
"2015-05-27",40.799999,40.799999,40.167999,40.464001,148400,40.131828
"2015-05-28",40.183998,41.023998,40.183998,40.911999,122100,40.576149
"2015-05-29",40.736,40.799999,40,40,61700,39.671642
"2015-06-01",40.040001,40.312,39.560001,40,156700,39.671642
"2015-06-02",39.967999,40.335999,39.664001,39.68,118100,39.354267
"2015-06-03",40,40.040001,39.688,39.976002,191800,39.647839
"2015-06-04",39.776001,39.967999,39.200001,39.464001,85900,39.140034
"2015-06-05",39.152,39.472,38.896,39.200001,113000,38.878204
"2015-06-08",39.32,39.632,38.903999,38.919998,64400,38.600502
"2015-06-09",38.936001,39.383999,38.431999,38.464001,92600,38.148247
"2015-06-10",39.104,39.216,38.551998,38.832001,71200,38.513229
"2015-06-11",38.48,38.936001,38.456001,38.551998,52500,38.235523
"2015-06-12",38.959999,38.959999,38.599998,38.799999,74700,38.481491
"2015-06-15",38.599998,38.952,38.360001,38.919998,83800,38.600502
"2015-06-16",39.015999,40.015999,38.816002,39.448002,177700,39.124176
"2015-06-17",39.360001,39.799999,39.175999,39.240002,81400,38.917873
"2015-06-18",39.52,40.32,39.144001,39.431999,75700,39.108303
"2015-06-19",39.200001,39.936001,39.200001,39.375999,56500,39.052757
"2015-06-22",39.591999,40.400002,39.360001,40.383999,87600,40.052486
"2015-06-23",39.992001,40.832001,39.68,40.624001,157600,40.290516
"2015-06-24",40.360001,41.104,40.040001,40.48,109800,40.147697
"2015-06-25",40.784,42.144001,40.487999,41.976002,183300,41.631416
