"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",53.762447,53.90609,52.285007,53.228928,3676500,52.215515
"2015-01-05",52.839046,53.044247,51.300045,51.505245,4334100,50.524658
"2015-01-06",51.402645,51.423164,49.986763,51.033287,7023300,50.061687
"2015-01-07",51.648888,52.059288,51.135887,51.854088,4595300,50.866859
"2015-01-08",52.305527,53.393089,52.141365,53.290489,4306100,52.275909
"2015-01-09",53.290489,53.413609,52.633846,52.756966,4229700,51.752548
"2015-01-12",52.715927,52.715927,52.018246,52.223446,3428000,51.229179
"2015-01-13",53.269966,53.865047,51.997726,52.633846,5942500,51.631767
"2015-01-14",52.038765,53.208408,51.628365,53.208408,4027500,52.195393
"2015-01-15",53.290489,53.352047,52.449165,52.531246,2375100,51.531124
"2015-01-16",52.285007,53.105808,52.059288,53.064766,2638800,52.054485
"2015-01-20",53.105808,53.228928,52.264488,52.900608,3059200,51.893448
"2015-01-21",52.736446,53.352047,52.326046,53.105808,2429200,52.094749
"2015-01-22",53.352047,55.075729,53.085289,54.870529,5487000,53.825871
"2015-01-23",54.891048,55.198849,54.41909,54.501167,3064200,53.463539
"2015-01-26",54.52169,55.28093,54.357529,55.219368,3315800,54.168068
"2015-01-27",54.64481,54.973129,53.885567,54.31649,2871000,53.282379
"2015-01-28",54.85001,55.219368,54.172848,54.275448,6516700,53.242115
"2015-01-29",54.172848,54.460129,53.618809,54.131809,5546900,53.101215
"2015-01-30",53.762447,54.172848,53.208408,53.290489,3451200,52.275909
"2015-02-02",53.352047,53.659847,52.428646,53.598289,6298800,52.577854
"2015-02-03",53.762447,54.54221,53.516209,54.52169,3462100,53.483669
"2015-02-04",54.788448,54.911568,53.721409,54.029209,4814400,53.000568
"2015-02-05",53.988167,55.137291,53.988167,55.137291,2435000,54.087555
"2015-02-06",55.342491,55.917049,54.049728,54.090767,9324500,53.060947
"2015-02-09",54.11129,54.788448,53.762447,54.357529,4925800,53.322632
"2015-02-10",55.116768,56.368492,54.932091,56.347969,6531500,55.275177
"2015-02-11",56.368492,58.871933,56.265892,57.78437,13577400,56.684235
"2015-02-12",58.21529,58.748814,57.68177,58.358932,8340800,57.247856
"2015-02-13",58.789852,59.384933,58.379452,58.62569,6523800,57.509541
"2015-02-17",58.62569,59.302853,58.153732,58.789852,5741000,57.670582
"2015-02-18",58.174252,58.830891,57.230331,58.564133,9202500,57.44915
"2015-02-19",58.564079,58.87188,58.174198,58.174198,2530900,57.066639
