"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",65.910004,66.580002,64.889999,65.790001,1012300,61.139381
"2015-01-05",65.089996,65.199997,64.190002,64.5,1515900,59.940575
"2015-01-06",64.760002,64.760002,62.779999,63.73,1753300,59.224998
"2015-01-07",64.300003,64.779999,63.860001,64.779999,1013300,60.200779
"2015-01-08",65.440002,66.220001,65.440002,66.129997,1180300,61.455338
"2015-01-09",66.440002,66.529999,64.559998,64.800003,977400,60.219364
"2015-01-12",65.059998,65.07,64.239998,64.660004,1571700,60.089264
"2015-01-13",65.120003,65.93,63.73,64.190002,1909600,59.652481
"2015-01-14",63.75,63.75,62.16,63.490002,1932400,59.001961
"2015-01-15",63.759998,64.07,62.599998,62.639999,2575000,58.212051
"2015-01-16",62.529999,63.240002,61.950001,63.200001,1357500,58.732464
"2015-01-20",63.189999,63.57,62.560001,63.360001,1260500,58.881157
"2015-01-21",62.970001,64.139999,62.73,64.010002,1394800,59.485214
"2015-01-22",64.400002,65.830002,64.18,65.620003,1674500,60.981392
"2015-01-23",66.120003,66.279999,64.989998,65,2060800,60.405228
"2015-01-26",64.82,65.400002,64.669998,64.849998,1988700,60.26582
"2015-01-27",64.040001,64.07,61.82,62.490002,4182400,58.072655
"2015-01-28",62.619999,63,61.209999,62.290001,4263100,57.886787
"2015-01-29",63.060001,65.279999,62.669998,64.599998,3473600,60.033504
"2015-01-30",63.599998,63.650002,61.619999,61.700001,3576500,57.338501
"2015-02-02",61.630001,62.060001,60.779999,61.68,2184600,57.319908
"2015-02-03",62.25,63.529999,62.200001,63.490002,1378900,59.001961
"2015-02-04",63.119999,63.450001,62.650002,62.759998,1276600,58.323563
"2015-02-05",63.009998,63.560001,62.970001,63.139999,1223400,58.676704
"2015-02-06",63.400002,64.360001,63.27,64.209999,1564400,59.67107
"2015-02-09",63.84,64.589996,63.73,63.790001,1337200,59.280762
"2015-02-10",64.089996,64.360001,63.009998,63.810001,1231800,59.299343
"2015-02-11",63.52,63.98,62.599998,62.759998,1830500,58.323563
"2015-02-12",62.919998,63.110001,62.380001,63.080002,1720600,58.620945
"2015-02-13",62.91,63.950001,62.889999,63.900002,1182100,59.676262
"2015-02-17",63.98,64.620003,63.639999,64.32,1027900,60.068489
"2015-02-18",63.939999,64.150002,63.18,63.259998,1485300,59.078556
"2015-02-19",63.259998,63.650002,62.98,63.369999,766800,59.181282
"2015-02-20",62.93,63.799999,62.5,63.48,1464600,59.284016
"2015-02-23",63.209999,63.380001,62.25,62.389999,1862800,58.266064
"2015-02-24",62.389999,62.470001,61.869999,62.279999,2272000,58.16333
"2015-02-25",62.099998,63.400002,62.080002,63.360001,1689600,59.17194
"2015-02-26",63.419998,64,63.349998,63.84,1839000,59.620216
"2015-02-27",64.059998,64.43,63.509998,63.57,1405100,59.368069
"2015-03-02",63.560001,65.199997,63.5,65.07,2273200,60.768917
"2015-03-03",64.949997,64.949997,63.849998,64.150002,1267500,59.909729
"2015-03-04",63.799999,63.959999,62.509998,62.84,1154400,58.686321
"2015-03-05",62.939999,63.34,62.709999,63,1051100,58.835747
"2015-03-06",62.75,63.259998,61.959999,62.060001,2634300,57.957874
"2015-03-09",62.02,63.029999,61.279999,62.880001,2044800,58.723671
"2015-03-10",62.34,62.709999,61.98,62.209999,1413800,58.097961
"2015-03-11",62.400002,62.720001,62.16,62.16,1947400,58.051262
"2015-03-12",62.48,62.75,60.259998,60.849998,4481000,56.827858
"2015-03-13",60.209999,60.23,58.240002,58.799999,6399100,54.913361
"2015-03-16",58.990002,59.299999,58.75,59.240002,2256200,55.324276
"2015-03-17",59.029999,59.990002,59.029999,59.75,2484000,55.800571
"2015-03-18",59.75,61.360001,59.009998,60.900002,2457000,56.874557
"2015-03-19",60.720001,61.43,60.720001,61.18,1425900,57.136047
"2015-03-20",61.43,62.09,61.259998,61.939999,4502600,57.845806
"2015-03-23",61.810001,62.380001,61.580002,61.740002,2243300,57.659031
"2015-03-24",61.549999,61.700001,60.919998,60.919998,1027100,56.893227
"2015-03-25",61.830002,62.150002,60.27,60.27,1428000,56.286198
"2015-03-26",59.799999,60.25,59.779999,59.98,1199200,56.015369
"2015-03-27",59.799999,60.240002,59.32,59.459999,1927700,55.529732
"2015-03-30",59.970001,60.970001,59.84,60.75,1887300,56.734467
"2015-03-31",60.439999,60.889999,60.419998,60.740002,1593900,56.725128
"2015-04-01",60.700001,61.099998,59.990002,60.279999,1733000,56.295528
"2015-04-02",60.200001,61.200001,60,61.049999,1444900,57.014641
"2015-04-06",60.77,61.950001,60.549999,61.610001,2703200,57.537621
"2015-04-07",61.369999,61.900002,61.16,61.400002,2130000,57.341507
"2015-04-08",61.779999,62.529999,61.779999,62.330002,2773600,58.210033
"2015-04-09",62.040001,62.66,61.98,62.59,1788300,58.452847
