"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",31.190001,31.49,31.01,31.450001,698900,25.529617
"2015-01-05",31.33,31.459999,31.040001,31.370001,738800,25.464676
"2015-01-06",31.5,31.76,31.299999,31.389999,1887400,25.480911
"2015-01-07",31.6,31.68,31.309999,31.549999,960300,25.61079
"2015-01-08",31.65,32.169998,31.51,32.099998,1014300,26.057257
"2015-01-09",32.130001,32.209999,31.690001,31.77,620300,25.789375
"2015-01-12",31.92,32.09,31.77,32.07,632600,26.032904
"2015-01-13",32.25,32.560001,31.85,32.049999,745600,26.016665
"2015-01-14",31.74,32.209999,31.709999,32.18,1037500,26.122198
"2015-01-15",32.279999,32.330002,31.93,32.16,528600,26.105959
"2015-01-16",32.09,32.73,32.09,32.709999,588800,26.552423
"2015-01-20",32.810001,33,32.110001,32.439999,893000,26.333252
"2015-01-21",31.969999,32.18,31.74,32.169998,1255300,26.51457
"2015-01-22",32.419998,32.990002,32.16,32.970001,1217400,27.173941
"2015-01-23",33,33.040001,32.650002,32.790001,1152300,27.025578
"2015-01-26",32.810001,33.459999,32.560001,33.349998,1019800,27.487135
"2015-01-27",33.119999,33.349998,33.080002,33.25,664300,27.404713
"2015-01-28",33.450001,33.639999,33.259998,33.41,1207900,27.536583
"2015-01-29",33.450001,33.939999,33.220001,33.900002,1114800,27.940445
"2015-01-30",33.77,33.849998,32.48,32.59,1332000,26.860741
"2015-02-02",32.599998,32.779999,31.719999,32.139999,1253200,26.489851
"2015-02-03",32.16,32.68,32,32.669998,934000,26.926678
"2015-02-04",32.5,32.990002,32.299999,32.860001,814100,27.083273
"2015-02-05",32.939999,33.32,32.889999,33.220001,759500,27.37999
"2015-02-06",33.099998,33.25,32.279999,32.459999,1781700,26.753592
"2015-02-09",32.459999,32.540001,31.879999,31.969999,1386100,26.349733
"2015-02-10",32.130001,32.130001,31.52,31.91,1008500,26.300283
"2015-02-11",31.889999,32.09,31.459999,31.889999,898900,26.283798
"2015-02-12",32.07,32.490002,31.9,32.41,826900,26.712383
"2015-02-13",32.439999,32.439999,31.83,32.09,741200,26.448643
"2015-02-17",32.119999,32.619999,31.98,32.040001,1093900,26.407429
"2015-02-18",32.049999,32.330002,31.6,32.220001,926000,26.555788
"2015-02-19",32.119999,32.16,31.34,31.440001,679900,25.912909
"2015-02-20",31.4,31.790001,31.389999,31.73,962100,26.151922
"2015-02-23",31.74,32.040001,31.65,32.02,757200,26.390942
"2015-02-24",31.870001,31.870001,30.9,31.139999,967100,25.665646
"2015-02-25",31.200001,31.629999,31.18,31.24,641400,25.74807
"2015-02-26",31.24,31.26,30.809999,31.02,698300,25.566744
"2015-02-27",31.08,31.5,30.34,30.809999,1714900,25.39366
"2015-03-02",30.889999,31.57,30.860001,31.33,1051600,25.822248
"2015-03-03",31.290001,31.6,31.049999,31.52,604300,25.978844
"2015-03-04",31.51,31.57,31.16,31.27,379700,25.772795
"2015-03-05",31.459999,31.68,31.25,31.27,620300,25.772795
"2015-03-06",30.799999,30.799999,29.9,29.959999,689800,24.69309
"2015-03-09",30.26,30.76,30.129999,30.74,1147800,25.335968
"2015-03-10",30.67,30.790001,30.450001,30.549999,578300,25.179371
"2015-03-11",30.67,30.959999,30.459999,30.92,891400,25.484324
"2015-03-12",31.040001,31.58,30.92,31.58,425700,26.028296
"2015-03-13",31.5,31.57,31.110001,31.41,584000,25.88818
"2015-03-16",31.540001,32,31.540001,31.99,626900,26.366217
"2015-03-17",31.879999,32.369999,31.82,32.34,812500,26.65469
"2015-03-18",32.380001,33.130001,32.009998,33.009998,889000,27.206903
"2015-03-19",32.900002,33.18,32.720001,32.93,640800,27.140972
"2015-03-20",33.02,34.009998,33.02,33.970001,1451500,27.99814
"2015-03-23",33.950001,34.200001,33.73,33.849998,750300,27.899231
"2015-03-24",33.790001,33.799999,33.279999,33.279999,802200,27.429441
"2015-03-25",33.34,33.48,32.549999,32.639999,565800,26.901947
"2015-03-26",32.529999,32.84,32.189999,32.330002,575100,26.646452
"2015-03-27",32.330002,32.630001,32.279999,32.580002,448000,26.852499
"2015-03-30",32.73,33.349998,32.599998,33.349998,532000,27.487135
"2015-03-31",33.200001,33.459999,32.959999,32.990002,520200,27.190426
"2015-04-01",33.009998,33.25,32.689999,33.029999,479800,27.223389
"2015-04-02",33.029999,33.560001,32.91,33.459999,405500,27.577797
"2015-04-06",33.529999,34.080002,33.389999,34.060001,893000,28.072321
"2015-04-07",33.970001,34.040001,33.369999,33.400002,621400,27.528347
"2015-04-08",33.41,33.419998,32.880001,33.110001,1007800,27.289326
"2015-04-09",32.98,32.990002,32.029999,32.290001,774600,26.61348
"2015-04-10",32.540001,32.779999,31.860001,31.969999,718400,26.349733
"2015-04-13",31.98,32.509998,31.9,32.18,714700,26.522814
"2015-04-14",32.330002,32.470001,32,32.029999,464700,26.399185
"2015-04-15",32.09,32.419998,32,32,605100,26.37446
"2015-04-16",32,32.080002,31.67,32.049999,701700,26.415672
"2015-04-17",31.92,32.009998,31.52,31.799999,686600,26.20962
"2015-04-20",31.92,32.02,31.76,31.91,619200,26.300283
"2015-04-21",31.950001,32.169998,31.690001,31.82,819200,26.226107
"2015-04-22",31.4,31.49,31.08,31.360001,754700,26.259602
"2015-04-23",31.290001,31.6,31.129999,31.41,578400,26.301468
"2015-04-24",31.469999,31.709999,31.299999,31.41,318500,26.301468
"2015-04-27",31.440001,31.610001,31.190001,31.360001,476800,26.259602
"2015-04-28",31.280001,31.51,31.110001,31.209999,447600,26.133995
"2015-04-29",30.92,31.26,30.629999,30.83,500500,25.815798
"2015-04-30",30.6,30.690001,29.91,30.08,790700,25.187777
"2015-05-01",30.139999,30.559999,30.129999,30.290001,511600,25.363626
"2015-05-04",30.33,30.57,30.139999,30.18,652800,25.271519
"2015-05-05",30.110001,30.219999,29.25,29.440001,812800,24.651873
"2015-05-06",29.49,29.639999,29.16,29.610001,933700,24.79422
"2015-05-07",29.5,29.959999,29.34,29.83,528100,24.978439
"2015-05-08",30.24,30.76,30,30.48,912900,25.522724
"2015-05-11",30.299999,30.48,29.74,29.879999,462500,25.020304
"2015-05-12",29.639999,29.99,29.309999,29.870001,419800,25.011932
"2015-05-13",30.139999,30.4,29.49,29.549999,516900,24.743977
"2015-05-14",29.799999,30.610001,29.700001,30.59,709500,25.614832
"2015-05-15",30.610001,30.83,30.43,30.610001,612200,25.63158
"2015-05-18",30.52,31.01,30.379999,30.889999,477700,25.866037
"2015-05-19",30.799999,31.1,30.639999,31.01,547400,25.966522
"2015-05-20",31.049999,31.309999,30.75,30.99,732500,25.949774
"2015-05-21",31.08,31.219999,30.67,30.879999,441400,25.857666
"2015-05-22",30.76,31,30.51,30.719999,310000,25.723688
"2015-05-26",30.65,30.65,30.209999,30.379999,497900,25.438986
"2015-05-27",30.5,31.139999,30.440001,31.030001,653500,25.983273
"2015-05-28",30.93,31.09,30.49,30.75,594600,25.748812
"2015-05-29",30.709999,30.82,30.110001,30.190001,1616200,25.279886
"2015-06-01",30.280001,30.82,29.98,30.59,716600,25.614832
"2015-06-02",30.540001,30.59,29.98,30.110001,1250500,25.212902
"2015-06-03",30,30,29.389999,29.51,1073400,24.710485
"2015-06-04",29.51,29.6,29.299999,29.52,804900,24.718857
"2015-06-05",29.26,29.35,28.98,29.059999,1064000,24.333668
"2015-06-08",29.059999,29.879999,28.93,29.709999,1636600,24.877956
"2015-06-09",29.66,29.84,28.950001,29.1,1807600,24.367167
"2015-06-10",29.219999,29.709999,28.790001,29.26,1750800,24.501143
"2015-06-11",29.42,29.530001,29.18,29.370001,1094500,24.593256
"2015-06-12",29.24,29.5,29.24,29.35,421600,24.576508
"2015-06-15",29.290001,29.299999,28.889999,29.059999,847400,24.333668
"2015-06-16",29.139999,29.57,29.030001,29.440001,470900,24.651873
"2015-06-17",29.43,29.629999,29.120001,29.58,414000,24.769098
