Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,116.959999,118.739998,116.669998,117.639999,114.813377,287400
2017-01-04,118.440002,119.089996,117.779999,118.629997,115.779587,338900
2017-01-05,118.360001,118.75,117.160004,118.18,115.340401,271300
2017-01-06,118.349998,119.07,117.349998,118.440002,115.594162,202600
2017-01-09,117.0,117.290001,115.080002,116.620003,113.817894,535700
2017-01-10,116.440002,118.459999,115.540001,117.470001,114.647469,275000
2017-01-11,117.879997,118.959999,117.68,118.580002,115.730789,246100
2017-01-12,118.510002,118.68,116.699997,118.470001,115.623444,197300
2017-01-13,119.0,119.68,118.470001,119.660004,116.784851,145100
2017-01-17,119.589996,119.589996,117.349998,117.730003,114.901215,213000
2017-01-18,117.830002,119.209999,117.519997,117.720001,114.891457,293300
2017-01-19,118.139999,118.559998,116.790001,117.919998,115.086647,185300
2017-01-20,118.379997,118.529999,116.919998,117.629997,114.803612,151900
2017-01-23,117.139999,117.82,116.360001,117.540001,114.715782,145400
2017-01-24,118.199997,119.269997,117.849998,118.720001,115.867424,234700
2017-01-25,119.480003,120.510002,118.290001,119.129997,116.26757,273000
2017-01-26,119.349998,119.910004,118.199997,118.699997,115.847908,211300
2017-01-27,119.050003,119.57,117.900002,118.400002,115.555115,344300
2017-01-30,117.75,117.949997,116.099998,117.809998,114.979286,315900
2017-01-31,122.949997,125.0,120.720001,122.080002,119.14669,799300
2017-02-01,123.080002,123.440002,121.050003,122.18,119.244293,299700
2017-02-02,122.260002,122.440002,121.230003,122.139999,119.205254,295600
2017-02-03,123.300003,125.93,122.330002,125.739998,122.718758,311100
2017-02-06,125.169998,125.419998,123.959999,124.489998,121.498787,185700
2017-02-07,125.0,125.0,123.480003,123.620003,120.649696,229100
2017-02-08,123.040001,124.080002,122.25,122.68,119.732277,187200
2017-02-09,123.440002,123.440002,122.489998,122.870003,119.917717,318600
2017-02-10,123.669998,123.669998,122.599998,122.849998,119.898193,208200
2017-02-13,123.209999,124.5,122.459999,122.730003,119.781082,203500
2017-02-14,122.230003,122.68,121.75,122.419998,119.478523,193000
2017-02-15,122.419998,123.010002,122.120003,122.610001,119.663963,234100
2017-02-16,122.610001,123.0,121.639999,122.129997,119.195488,166200
2017-02-17,121.32,122.209999,120.879997,122.209999,119.273567,243900
2017-02-21,122.57,123.82,122.480003,123.410004,120.444748,260000
2017-02-22,122.900002,122.900002,120.989998,121.419998,118.502556,372500
2017-02-23,121.849998,121.849998,120.169998,120.510002,117.614426,409000
