Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,37.09,37.220001,36.189999,37.09,36.733524,529500
2017-01-04,37.110001,38.610001,37.099998,38.389999,38.02103,709500
2017-01-05,38.27,38.34,37.330002,37.599998,37.238625,556900
2017-01-06,37.740002,38.689999,37.41,38.580002,38.209206,667700
2017-01-09,38.580002,38.75,38.169998,38.470001,38.100266,459700
2017-01-10,38.82,39.490002,38.619999,39.119999,38.744019,507500
2017-01-11,39.209999,39.32,38.75,39.27,38.89257,541900
2017-01-12,38.52,39.110001,38.419998,38.68,38.308243,432900
2017-01-13,38.950001,39.299999,38.599998,38.779999,38.407284,344700
2017-01-17,38.5,38.68,37.860001,38.02,37.654587,492700
2017-01-18,36.75,37.34,36.259998,37.110001,36.75333,1255200
2017-01-19,37.02,37.09,36.639999,36.889999,36.535446,743300
2017-01-20,36.759998,37.16,36.52,36.849998,36.495831,665100
2017-01-23,36.75,36.869999,36.279999,36.540001,36.188812,472100
2017-01-24,36.77,36.990002,36.360001,36.689999,36.337368,473800
2017-01-25,36.759998,37.290001,36.509998,37.049999,36.693905,428600
2017-01-26,37.0,37.279999,36.82,37.119999,36.763233,338800
2017-01-27,37.18,37.189999,36.790001,37.130001,36.77314,264900
2017-01-30,36.849998,37.189999,36.529999,37.150002,36.79295,434100
2017-01-31,37.009998,37.389999,36.889999,37.34,36.981121,411800
2017-02-01,37.599998,37.869999,37.470001,37.599998,37.238625,571500
2017-02-02,36.959999,37.18,36.48,36.869999,36.515636,832100
2017-02-03,37.290001,37.950001,37.189999,37.91,37.545643,425900
2017-02-06,37.77,38.080002,37.580002,37.91,37.545643,403800
2017-02-07,37.889999,38.139999,37.73,38.080002,37.714008,396000
2017-02-08,37.919998,37.970001,37.490002,37.75,37.38718,344800
2017-02-09,37.970001,38.299999,37.799999,38.259998,37.892277,285600
2017-02-10,38.5,38.599998,38.130001,38.220001,37.852669,249200
2017-02-13,38.529999,38.759998,38.400002,38.599998,38.229012,222800
2017-02-14,38.5,38.880001,38.459999,38.880001,38.506321,194700
2017-02-15,38.91,39.509998,38.830002,39.23,38.852959,686800
2017-02-16,39.389999,39.389999,38.73,38.82,38.446896,657500
2017-02-17,38.849998,38.880001,38.32,38.689999,38.318146,344400
2017-02-21,38.75,38.91,38.200001,38.259998,37.892277,264200
2017-02-22,38.09,38.34,38.009998,38.139999,37.773434,342500
2017-02-23,38.16,38.279999,37.59,37.970001,37.605064,343600
2017-02-24,37.57,37.73,37.32,37.509998,37.149487,242000
2017-02-27,37.41,37.740002,37.060001,37.689999,37.427536,458600
2017-02-28,36.98,37.400002,36.5,36.709999,36.454361,567800
2017-03-01,37.200001,38.43,37.200001,38.400002,38.132595,640400
2017-03-02,38.5,38.5,37.450001,37.490002,37.228931,311900
2017-03-03,37.450001,38.009998,37.360001,37.580002,37.318306,239600
2017-03-06,37.450001,37.549999,37.150002,37.400002,37.139557,215800
2017-03-07,37.310001,37.34,37.07,37.299999,37.040253,189600
2017-03-08,37.57,37.869999,37.34,37.490002,37.228931,367600
2017-03-09,37.439999,37.560001,36.689999,36.799999,36.543736,419600
2017-03-10,36.990002,37.220001,36.759998,36.970001,36.712555,280000
2017-03-13,37.07,37.380001,36.919998,37.189999,36.931019,241600
2017-03-14,36.939999,37.029999,36.470001,36.77,36.513943,421700
2017-03-15,36.790001,36.990002,36.34,36.43,36.176311,494800
2017-03-16,36.5,36.98,36.490002,36.779999,36.523872,360300
2017-03-17,36.950001,36.950001,36.16,36.349998,36.096867,612000
2017-03-20,36.16,36.27,35.82,36.049999,35.798962,425000
2017-03-21,36.299999,36.299999,35.099998,35.25,35.004528,762000
2017-03-22,35.139999,35.310001,34.630001,34.990002,34.746346,795200
2017-03-23,34.869999,35.41,34.869999,35.040001,34.79599,516400
2017-03-24,35.060001,35.279999,34.619999,34.689999,34.448429,587000
2017-03-27,34.119999,34.580002,34.110001,34.52,34.279613,428500
2017-03-28,34.310001,34.959999,34.310001,34.77,34.52787,439200
2017-03-29,34.700001,34.869999,34.5,34.52,34.279613,575900
2017-03-30,34.5,35.0,34.330002,34.84,34.597385,902300
2017-03-31,34.650002,35.080002,34.59,34.720001,34.478222,567700
2017-04-03,33.689999,34.310001,33.330002,34.07,33.832748,1917000
2017-04-04,34.040001,34.779999,33.970001,34.639999,34.398777,730200
2017-04-05,34.830002,35.509998,34.580002,34.630001,34.388847,1666200
2017-04-06,34.869999,34.880001,34.23,34.470001,34.229961,992100
2017-04-07,34.41,34.990002,34.130001,34.700001,34.458359,514200
2017-04-10,34.849998,34.919998,34.419998,34.560001,34.319336,364300
2017-04-11,34.459999,34.540001,33.830002,34.330002,34.090939,1031000
2017-04-12,34.200001,34.310001,33.849998,34.049999,33.812885,588100
2017-04-13,33.990002,34.200001,33.75,33.98,33.74337,793800
2017-04-17,34.009998,34.580002,34.009998,34.5,34.25975,522500
2017-04-18,34.43,34.889999,34.139999,34.790001,34.547733,885100
2017-04-19,33.650002,34.5,33.009998,33.880001,33.64407,2230900
2017-04-20,34.02,34.470001,33.91,34.330002,34.090939,733000
2017-04-21,34.330002,34.439999,33.709999,34.029999,33.793022,567300
2017-04-24,34.509998,34.650002,34.110001,34.240002,34.001564,568500
2017-04-25,34.389999,34.68,34.369999,34.540001,34.299473,309700
2017-04-26,34.43,35.200001,34.43,35.009998,34.766201,679400
2017-04-27,34.860001,35.150002,34.419998,34.990002,34.746346,1326300
2017-04-28,34.939999,35.200001,34.740002,34.830002,34.58746,883800
2017-05-01,35.0,35.380001,34.779999,35.299999,35.05418,457200
2017-05-02,35.259998,35.619999,35.220001,35.599998,35.352089,316000
2017-05-03,35.41,36.009998,35.32,35.959999,35.709583,575600
2017-05-04,36.130001,36.240002,35.779999,35.98,35.729446,766600
2017-05-05,36.02,36.200001,35.939999,36.130001,35.878403,328600
2017-05-08,36.209999,36.279999,35.970001,36.040001,35.789028,306400
2017-05-09,36.049999,36.299999,35.77,35.799999,35.550697,567200
2017-05-10,35.720001,35.900002,35.029999,35.060001,34.815857,795300
2017-05-11,35.0,35.139999,34.619999,35.009998,34.766201,545100
2017-05-12,34.919998,35.07,34.630001,34.990002,34.746346,383800
2017-05-15,35.07,35.290001,34.959999,35.259998,35.014458,382400
2017-05-16,35.259998,35.290001,34.759998,34.98,34.736408,626500
2017-05-17,34.540001,34.790001,34.259998,34.34,34.100864,805800
2017-05-18,34.380001,34.959999,34.380001,34.689999,34.448429,329600
2017-05-19,34.799999,35.200001,34.549999,34.93,34.686756,452800
2017-05-22,35.060001,35.119999,34.900002,34.970001,34.726479,302800
2017-05-23,35.029999,35.09,34.66,34.91,34.666897,325000
2017-05-24,35.0,35.18,34.709999,34.849998,34.607315,514300
2017-05-25,35.02,35.360001,34.889999,35.25,35.004528,344300
2017-05-26,35.23,35.32,34.939999,35.259998,35.014458,276700
2017-05-30,35.150002,35.330002,34.959999,35.110001,34.964664,211900
2017-05-31,35.16,35.16,34.509998,34.880001,34.735619,377700
2017-06-01,35.040001,35.290001,34.759998,35.23,35.084167,672100
2017-06-02,35.200001,35.919998,35.040001,35.779999,35.631893,678400
2017-06-05,35.860001,36.299999,35.860001,36.110001,35.960526,640000
2017-06-06,35.790001,36.040001,35.439999,35.91,35.761353,490700
2017-06-07,36.0,36.450001,35.779999,36.349998,36.199532,395000
2017-06-08,36.0,36.709999,35.799999,36.369999,36.219448,415600
2017-06-09,36.599998,36.84,36.34,36.740002,36.587921,413900
2017-06-12,36.830002,37.34,36.259998,37.009998,36.856796,474900
2017-06-13,37.080002,37.389999,36.779999,36.970001,36.816967,571700
2017-06-14,36.549999,37.02,36.369999,37.009998,36.856796,485300
2017-06-15,36.84,37.139999,36.68,36.91,36.757214,380000
2017-06-16,36.950001,36.950001,36.34,36.580002,36.428581,375000
2017-06-19,36.68,36.939999,36.439999,36.740002,36.587921,374700
2017-06-20,36.77,37.0,36.509998,36.790001,36.637711,418100
2017-06-21,36.860001,36.919998,36.549999,36.599998,36.448498,402500
2017-06-22,36.599998,36.98,36.549999,36.900002,36.747257,397300
2017-06-23,36.93,37.02,36.709999,36.91,36.757214,666600
2017-06-26,36.919998,37.279999,36.849998,37.099998,36.946426,366200
