"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",53.860001,54.009998,52.849998,53.240002,2627300,48.009052
"2015-01-05",52.75,53.02,52.16,52.400002,4069400,47.251583
"2015-01-06",52.720001,53.189999,51.57,51.689999,3862200,46.61134
"2015-01-07",51.849998,51.91,51.349998,51.599998,3723000,46.530182
"2015-01-08",52.330002,53.369999,52.259998,53.369999,2808600,48.126274
"2015-01-09",53.580002,53.599998,52.810001,53.060001,1522600,47.846729
"2015-01-12",53.080002,53.43,52.439999,53.209999,2762800,47.981987
"2015-01-13",53.599998,53.990002,52.860001,53.299999,3987700,48.063156
"2015-01-14",52.580002,53.549999,52.5,53.41,2854800,48.162346
"2015-01-15",53.41,53.799999,53.110001,53.369999,3745500,48.126274
"2015-01-16",53.549999,54.119999,53.25,54.080002,2787800,48.766525
"2015-01-20",54.459999,54.700001,53.650002,54.23,2850100,48.901775
"2015-01-21",54.029999,54.82,53.740002,54.59,2293000,49.226406
"2015-01-22",54.950001,55.23,54.599998,55.18,2723300,49.758446
"2015-01-23",54.950001,55.080002,54.02,54.07,1812900,48.757496
"2015-01-26",54.75,54.900002,54.07,54.599998,3284100,49.235424
"2015-01-27",53.57,54.279999,52.860001,53.779999,3201000,48.495991
"2015-01-28",54.990002,55.490002,53.099998,53.16,4387100,47.936913
"2015-01-29",53.110001,53.599998,52.459999,53.509998,4104500,48.252525
"2015-01-30",52.830002,53.380001,52.529999,52.66,3093400,47.486031
"2015-02-02",52.959999,53.18,52.220001,52.77,3774200,47.585228
"2015-02-03",52.48,53.860001,52.48,53.73,2395700,48.450905
"2015-02-04",53.73,54.73,53.610001,54.360001,2943800,49.019012
"2015-02-05",54.68,55.09,54.25,54.970001,2228300,49.569077
"2015-02-06",54.84,55.099998,54.32,54.48,2121600,49.127216
"2015-02-09",54.360001,54.650002,53.939999,54.209999,1837300,48.883747
"2015-02-10",54.34,55.599998,54.200001,55.549999,2972200,50.092079
"2015-02-11",55.349998,55.740002,55.099998,55.509998,2243900,50.419067
"2015-02-12",56,57.5,56,57.189999,3720100,51.945
"2015-02-13",57.02,57.529999,56.93,57.310001,2119200,52.053986
"2015-02-17",57.02,57.459999,56.77,56.98,2401400,51.75425
"2015-02-18",56.130001,57.27,55.900002,57.259998,2494500,52.008575
"2015-02-19",56.599998,57.119999,56.380001,56.84,1870900,51.627094
"2015-02-20",56.650002,57.59,56.150002,57.59,3446300,52.308308
"2015-02-23",57,57.900002,56.41,57.41,5345800,52.144814
"2015-02-24",56.849998,57.23,56.34,56.759998,2551500,51.554432
"2015-02-25",56.529999,56.889999,56.419998,56.810001,2076900,51.599842
"2015-02-26",56.959999,57.650002,56.720001,56.759998,2994800,51.554432
"2015-02-27",56.939999,56.98,56.389999,56.41,2247400,51.236526
"2015-03-02",56.41,57.009998,56.32,56.98,1740200,51.75425
"2015-03-03",56.77,56.82,56.34,56.630001,2134000,51.436348
"2015-03-04",56.439999,56.509998,55.77,56.240002,2235300,51.082123
"2015-03-05",56.41,56.48,55.259998,55.57,2087800,50.47356
"2015-03-06",55.07,55.439999,54.52,55.189999,4569400,50.128418
"2015-03-09",55.509998,55.779999,55.040001,55.049999,2376800,50.001259
"2015-03-10",54.439999,54.82,54.25,54.290001,2707600,49.310955
"2015-03-11",54.349998,54.790001,53.970001,54.040001,2822900,49.083893
"2015-03-12",54.349998,54.919998,53.939999,54.860001,2858700,49.828682
"2015-03-13",54.77,54.939999,54.25,54.689999,2960600,49.674274
"2015-03-16",54.849998,55.16,54.77,54.830002,1930200,49.801441
"2015-03-17",54.540001,55.049999,54.189999,54.73,2369900,49.710606
"2015-03-18",54.580002,55.380001,53.82,55.130001,2933900,50.073921
"2015-03-19",55.029999,55.09,54.209999,54.25,1942900,49.274624
"2015-03-20",54.52,55.470001,54.330002,55.34,4201500,50.26466
"2015-03-23",55.18,55.380001,54.57,54.66,2144300,49.647022
"2015-03-24",54.5,54.799999,54.25,54.599998,1675900,49.592537
"2015-03-25",54.560001,54.580002,53.860001,53.900002,2550300,48.95673
"2015-03-26",53.779999,54.310001,53.68,54.209999,2072600,49.238297
"2015-03-27",54.169998,54.610001,54.09,54.419998,2025900,49.429035
"2015-03-30",54.630001,55.389999,54.529999,55.209999,1727100,50.14658
"2015-03-31",55.110001,56.049999,55.02,55.490002,3000500,50.400906
"2015-04-01",55.200001,55.25,54.32,54.900002,2396700,49.865013
"2015-04-02",54.860001,55.09,54.459999,54.669998,1460400,49.656109
"2015-04-06",54.279999,54.52,54.200001,54.310001,2012600,49.329121
"2015-04-07",54.299999,54.700001,53.959999,53.970001,1722200,49.020302
"2015-04-08",53.950001,54.610001,53.810001,54.490002,2079800,49.492619
"2015-04-09",54.5,54.830002,54.369999,54.490002,2041600,49.492619
"2015-04-10",54.75,56.490002,54.669998,56.279999,4948200,51.118454
"2015-04-13",56.299999,56.48,55.459999,55.619999,4522500,50.518978
"2015-04-14",55.580002,55.900002,54.93,55,2740100,49.955841
"2015-04-15",55,55.259998,54.639999,54.73,2709500,49.710606
"2015-04-16",54.720001,55.16,54.529999,54.669998,3159000,49.656109
"2015-04-17",54.41,54.59,53.75,54.049999,3643600,49.092972
"2015-04-20",54.490002,55.080002,54.299999,54.650002,2624500,49.637943
"2015-04-21",54.209999,54.459999,52.330002,52.52,6132300,47.703285
"2015-04-22",52.560001,53.18,52.450001,53.040001,3775700,48.175598
"2015-04-23",52.939999,53.169998,52.619999,52.880001,2157900,48.030273
"2015-04-24",52.91,53.709999,52.560001,53.669998,2498200,48.747818
"2015-04-27",53.66,53.720001,53.220001,53.32,2056100,48.429924
"2015-04-28",53.34,53.580002,52.720001,53.459999,3001900,48.557076
"2015-04-29",53.310001,54,52.900002,53.07,2302600,48.202843
"2015-04-30",53.049999,54.130001,53,53.720001,2900300,48.793236
"2015-05-01",53.939999,54.400002,53.880001,54.029999,2211100,49.074806
"2015-05-04",53.810001,54.049999,53.619999,53.740002,2188900,48.811398
"2015-05-05",53.639999,53.740002,50.759998,50.950001,10531100,46.277279
"2015-05-06",51.09,51.959999,50.799999,51.810001,6804700,47.058407
"2015-05-07",51.900002,52.110001,51.599998,52,6154100,47.23098
"2015-05-08",52.779999,53.189999,52.34,52.490002,3237000,47.676041
"2015-05-11",52.439999,52.98,52.360001,52.860001,2928200,48.012108
"2015-05-12",52.689999,52.689999,52.110001,52.119999,1903800,47.339973
"2015-05-13",52.279999,52.790001,52.169998,52.560001,2283600,47.73962
"2015-05-14",53.060001,53.869999,52.990002,53.619999,4342600,48.702404
"2015-05-15",53.59,53.759998,52.599998,53.27,3093600,48.384506
