"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",20.85,20.85,20.059999,20.25,2627000,18.836382
"2015-01-05",20.17,20.17,19.610001,19.67,3078800,18.296873
"2015-01-06",19.629999,19.809999,19,19.139999,9900200,17.803869
"2015-01-07",19.299999,19.639999,19.1,19.639999,3536000,18.268967
"2015-01-08",19.84,20.559999,19.790001,20.549999,5005900,19.11544
"2015-01-09",20.58,20.59,20.24,20.290001,4688600,18.873589
"2015-01-12",20.280001,20.389999,19.98,20.18,1792100,18.771271
"2015-01-13",20.42,20.639999,20,20.26,3308700,18.845684
"2015-01-14",19.98,20.129999,19.790001,20.08,2567300,18.678249
"2015-01-15",20.120001,20.200001,19.52,19.66,4895200,18.287567
"2015-01-16",19.620001,19.799999,19.58,19.77,4188000,18.389893
"2015-01-20",19.75,19.84,19.5,19.790001,3148400,18.408495
"2015-01-21",19.690001,20.26,19.629999,20.23,3255700,18.81778
"2015-01-22",20.41,20.91,20.23,20.860001,4350400,19.403801
"2015-01-23",20.870001,20.940001,20.5,20.59,2461600,19.152649
"2015-01-26",20.52,20.84,20.440001,20.75,2179900,19.301477
"2015-01-27",20.42,20.68,20.25,20.360001,3407900,18.938707
"2015-01-28",20.5,20.5,19.74,19.75,4485400,18.371288
"2015-01-29",19.76,20.290001,19.48,20.280001,4020800,18.86429
"2015-01-30",20.08,20.290001,19.889999,19.940001,3667200,18.548025
"2015-02-02",20,20.209999,19.52,20.200001,3056100,18.789873
"2015-02-03",20.34,20.620001,20.23,20.610001,3278200,19.171253
"2015-02-04",20.58,20.790001,20.459999,20.58,2572300,19.143347
"2015-02-05",20.610001,20.879999,20.5,20.860001,2701500,19.403801
"2015-02-06",20.85,20.9,20.389999,20.459999,2660400,19.031725
"2015-02-09",20.32,20.870001,20.290001,20.82,2237800,19.36659
"2015-02-10",20.9,20.99,20.549999,20.84,4098100,19.385195
"2015-02-11",20.83,20.870001,20.629999,20.799999,2879700,19.347986
"2015-02-12",20.83,21.25,20.809999,21.16,2774800,19.682856
"2015-02-13",21.34,22.129999,21.219999,22.1,6845100,20.557238
"2015-02-17",22.08,22.4,22.08,22.35,6378100,20.789789
"2015-02-18",22.26,22.440001,22.209999,22.26,2402000,20.706066
"2015-02-19",22.26,22.440001,22.15,22.309999,2029100,20.752575
"2015-02-20",22.24,22.450001,22.040001,22.43,6327400,20.864199
"2015-02-23",22.360001,22.549999,22.299999,22.51,1908500,20.938618
"2015-02-24",22.51,22.559999,22.23,22.469999,2810300,20.901409
"2015-02-25",22.5,22.690001,22.299999,22.49,2664000,20.920013
"2015-02-26",22.4,22.5,22.280001,22.459999,2143500,21.004179
"2015-02-27",22.5,22.6,22.27,22.299999,3916600,20.854548
"2015-03-02",22.27,22.66,22.27,22.5,4242700,21.041584
"2015-03-03",22.389999,22.52,22.209999,22.450001,2952900,20.994825
"2015-03-04",22.42,22.5,22.33,22.389999,3045500,20.938713
"2015-03-05",22.469999,22.469999,22.01,22.02,2717400,20.592701
"2015-03-06",21.91,22,21.629999,21.76,2450000,20.34955
"2015-03-09",21.799999,21.92,21.58,21.84,4898900,20.424366
"2015-03-10",21.709999,21.77,21.559999,21.68,2856700,20.274736
"2015-03-11",21.73,21.73,21.26,21.33,3632700,19.947424
"2015-03-12",21.459999,21.700001,21.389999,21.700001,3137200,20.293442
"2015-03-13",21.690001,21.690001,21.35,21.540001,1912900,20.143814
"2015-03-16",21.620001,21.91,21.549999,21.91,2224800,20.48983
"2015-03-17",21.780001,21.84,21.610001,21.690001,1700600,20.28409
"2015-03-18",21.690001,21.98,21.360001,21.93,3183400,20.508532
"2015-03-19",21.870001,21.969999,21.74,21.91,1917700,20.48983
"2015-03-20",21.99,22.18,21.93,22.09,2901900,20.658165
"2015-03-23",22.09,22.18,21.99,22.059999,1849000,20.630106
"2015-03-24",22,22.09,21.780001,22.040001,3911600,20.611403
"2015-03-25",22.040001,22.16,21.65,21.67,4435700,20.265385
"2015-03-26",21.540001,21.799999,21.440001,21.76,2703500,20.34955
"2015-03-27",21.74,22.120001,21.709999,22.059999,4115500,20.630106
"2015-03-30",22.18,22.27,21.959999,22.1,2871000,20.667513
"2015-03-31",22.049999,22.440001,21.940001,22.120001,3254000,20.686214
"2015-04-01",22.040001,22.110001,21.77,21.959999,2172600,20.536585
"2015-04-02",21.99,22.24,21.940001,22.120001,2599000,20.686214
"2015-04-06",21.969999,22.219999,21.9,22.139999,2624600,20.704922
"2015-04-07",22.16,22.16,21.75,21.790001,2139100,20.377605
"2015-04-08",21.870001,22,21.809999,21.93,2089600,20.508532
"2015-04-09",21.93,21.969999,21.65,21.75,2429400,20.340199
"2015-04-10",21.74,21.84,21.629999,21.809999,2569800,20.396307
