"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",95.160004,95.459999,93.879997,94.68,1378400,89.225662
"2015-01-05",94.209999,94.209999,92.18,92.339996,1827500,87.020454
"2015-01-06",92.68,92.82,90.43,91.07,2681700,85.823639
"2015-01-07",91.839996,92.449997,91.379997,92.059998,1696500,86.756599
"2015-01-08",92.940002,94.32,92.900002,94.279999,1717400,88.848717
"2015-01-09",94.5,94.720001,93.07,93.57,1416600,88.179611
"2015-01-12",93.760002,93.959999,92.839996,93.139999,1350600,87.774384
"2015-01-13",93.849998,94.519997,92.290001,93.029999,2117000,87.670731
"2015-01-14",91.68,93.029999,91.610001,92.839996,1891100,87.491661
"2015-01-15",92.879997,93.5,91.949997,92.169998,1732600,86.860268
"2015-01-16",92.080002,93.290001,91.459999,93.290001,2161400,87.915741
"2015-01-20",93.760002,93.839996,92.379997,93.410004,2009200,88.028831
"2015-01-21",93.089996,94,92.959999,93.730003,1770000,88.330399
"2015-01-22",94.43,94.940002,93.550003,94.599998,2242800,89.150269
"2015-01-23",94.629997,94.739998,93.550003,93.559998,1792900,88.170204
"2015-01-26",93.550003,93.980003,92.889999,93.730003,2216700,88.330399
"2015-01-27",93.370003,94.160004,92.120003,93.459999,2702000,88.075943
"2015-01-28",93.849998,93.879997,92.059998,92.120003,2972000,86.813148
"2015-01-29",92.129997,94.059998,91.68,93.75,3202700,88.349243
"2015-01-30",92.980003,94.139999,92.860001,93.089996,3866600,87.727257
"2015-02-02",93.559998,94.989998,92.82,94.910004,1750700,89.442429
"2015-02-03",95,96.190002,94.839996,95.870003,2222400,90.347115
"2015-02-04",96,96.599998,95.639999,95.849998,2111200,90.32827
"2015-02-05",96,97.260002,95.900002,97.07,1671400,91.477989
"2015-02-06",96.980003,97.839996,96.849998,97.089996,1798300,91.496834
"2015-02-09",96.669998,97.220001,96.419998,96.82,1050100,91.242393
"2015-02-10",97.209999,97.25,96.400002,97.050003,1078300,91.459152
"2015-02-11",97,97.099998,96.279999,96.720001,826300,91.148155
"2015-02-12",97.089996,97.809998,96.900002,97.779999,1513700,92.147087
"2015-02-13",97.800003,98.690002,97.800003,98.260002,1280200,92.599434
"2015-02-17",97.860001,98.540001,97.809998,98.190002,1232100,92.53347
"2015-02-18",97.709999,98.699997,97.709999,98.440002,1156900,92.769073
"2015-02-19",97.970001,98.800003,97.970001,98.43,1316800,92.759628
"2015-02-20",98.25,99.809998,97.790001,99.489998,2221200,93.758568
"2015-02-23",99.25,99.459999,98.879997,99.25,1376600,93.532394
"2015-02-24",98.959999,99.879997,98.940002,99.480003,1806000,93.749153
"2015-02-25",99.269997,99.93,99.269997,99.760002,1516500,94.013031
"2015-02-26",99.870003,99.949997,99.199997,99.309998,1775500,93.588943
"2015-02-27",99.32,99.459999,98.830002,98.860001,1709800,93.164879
"2015-03-02",98.900002,99.900002,98.720001,99.559998,1797700,93.824547
"2015-03-03",99.199997,99.790001,99.110001,99.669998,1913000,93.928207
"2015-03-04",99.279999,99.279999,98.169998,98.199997,2014300,92.54287
"2015-03-05",98.139999,99.25,98.089996,99.120003,1705900,93.409897
"2015-03-06",98.169998,98.660004,97.599998,97.769997,2361400,92.137657
"2015-03-09",97.720001,99.050003,97.690002,98.690002,1549700,93.004662
"2015-03-10",97.75,97.860001,96.730003,96.730003,1868600,91.157585
"2015-03-11",96.830002,96.980003,96.150002,96.190002,1884000,90.648682
"2015-03-12",96.519997,98.25,96.379997,98.080002,1420200,92.42981
"2015-03-13",97.919998,98.059998,96.75,97.660004,1784100,92.034019
"2015-03-16",98.040001,99.150002,97.800003,99.080002,1378000,93.3722
"2015-03-17",98.639999,99,98.360001,98.760002,1450100,93.070633
"2015-03-18",98.360001,100.139999,97.339996,99.809998,2568000,94.06015
"2015-03-19",99.360001,99.68,98.769997,99.370003,1666600,93.645493
"2015-03-20",99.690002,99.739998,98.379997,98.529999,5200100,92.853874
"2015-03-23",98.699997,98.93,97.889999,97.900002,1812900,92.260162
"2015-03-24",97.660004,98.169998,97.519997,97.610001,1628800,91.986862
"2015-03-25",97.790001,97.959999,96.489998,96.5,1761900,90.940819
"2015-03-26",96.080002,96.93,95.779999,96.529999,1684800,90.969101
"2015-03-27",96.489998,96.989998,96.050003,96.739998,1856300,91.627357
"2015-03-30",97.199997,98.220001,97.150002,97.889999,1973600,92.716583
"2015-03-31",97.339996,97.580002,96.82,97.139999,1741500,92.006226
"2015-04-01",97,97.150002,96.099998,96.519997,1479700,91.418991
"2015-04-02",96.309998,97.300003,96.260002,96.610001,1074600,91.504234
"2015-04-06",96.139999,98.25,96,97.760002,1095300,92.593468
"2015-04-07",97.839996,98.760002,97.559998,97.940002,1592700,92.763947
"2015-04-08",97.769997,98.239998,96.82,97.260002,1405900,92.119888
"2015-04-09",97.07,97.739998,96.769997,97.279999,954600,92.138824
"2015-04-10",97.440002,97.870003,97.089996,97.540001,1386600,92.385094
"2015-04-13",97.169998,98.18,96.989998,98.040001,1551000,92.858665
"2015-04-14",97.830002,99.559998,97.580002,99.489998,2238500,94.232033
"2015-04-15",99.900002,99.919998,98.949997,99.040001,2330500,93.805817
"2015-04-16",98.589996,98.830002,98.019997,98.239998,1431900,93.048103
"2015-04-17",97.43,97.480003,95.419998,95.870003,2628400,90.803345
"2015-04-20",96.300003,97.290001,96.290001,97.019997,1491600,91.892563
"2015-04-21",95.959999,96.419998,94.110001,94.419998,3956700,89.429977
"2015-04-22",94.419998,94.68,93.519997,94.440002,2578000,89.448914
"2015-04-23",94.239998,95.089996,93.769997,94.709999,2653600,89.704651
"2015-04-24",94.709999,94.809998,94.209999,94.629997,1925500,89.628876
"2015-04-27",94.769997,95.269997,94.529999,94.959999,2404400,89.941437
"2015-04-28",94.620003,95.269997,94.440002,95.160004,1911900,90.130875
"2015-04-29",94.349998,95.220001,94.089996,94.529999,1527900,89.534164
"2015-04-30",94.190002,94.830002,93.309998,93.580002,1731900,88.634361
"2015-05-01",94.07,95.160004,93.839996,95.050003,2113100,90.026688
"2015-05-04",95.330002,95.75,95.190002,95.620003,1516400,90.566559
"2015-05-05",95.669998,96.339996,94.639999,94.779999,1094700,89.77095
"2015-05-06",95.169998,95.410004,94.32,94.860001,1008100,89.846733
"2015-05-07",94.739998,95.300003,94.459999,95.019997,992200,89.998268
"2015-05-08",96.019997,96.389999,95.660004,95.919998,1096100,90.8507
"2015-05-11",95.900002,96.400002,95.779999,95.779999,1199000,90.718086
"2015-05-12",95.639999,95.989998,95,95.620003,1157600,90.566559
"2015-05-13",95.889999,96.459999,95.5,95.790001,1750400,90.72757
"2015-05-14",96.449997,97.559998,96.419998,97.459999,1324700,92.309311
"2015-05-15",97.559998,97.610001,96.379997,97.120003,1624100,91.987289
"2015-05-18",97.080002,97.239998,96.699997,96.940002,1152900,91.816795
"2015-05-19",97.169998,97.370003,96.540001,96.669998,1886100,91.561058
"2015-05-20",96.830002,96.959999,96.080002,96.68,1014100,91.570526
"2015-05-21",96.68,97.959999,96.519997,97.510002,1294400,92.356689
"2015-05-22",97.449997,97.559998,96.879997,96.879997,1270900,91.759972
"2015-05-26",96.779999,96.800003,94.93,95.379997,2152700,90.339233
"2015-05-27",95.669998,96.379997,95.120003,96.18,1251100,91.09697
"2015-05-28",95.839996,95.889999,94.93,95.540001,1332800,90.490784
"2015-05-29",95.260002,95.690002,93.830002,93.830002,3743800,88.871155
"2015-06-01",94.330002,94.379997,93,93.779999,1949300,88.823792
"2015-06-02",93.650002,95.010002,93.309998,94.610001,1479300,89.609932
"2015-06-03",94.720001,95.339996,94.550003,95.080002,1594300,90.055099
"2015-06-04",94.480003,94.629997,93.290001,93.449997,1481500,88.51123
"2015-06-05",93.209999,93.440002,92.720001,93.230003,1472000,88.302872
"2015-06-08",93.099998,93.25,92.559998,92.57,1849500,87.677757
"2015-06-09",92.690002,93.190002,92.400002,92.730003,1449400,87.829292
"2015-06-10",93.080002,94.889999,92.940002,94.589996,2234300,89.590981
"2015-06-11",94.699997,94.919998,94.199997,94.830002,1322000,89.818306
"2015-06-12",94.330002,94.599998,93.459999,93.699997,1149200,88.748024
"2015-06-15",92.720001,92.879997,92.139999,92.629997,1784600,87.734573
"2015-06-16",92.389999,92.949997,92.360001,92.660004,1823800,87.763
"2015-06-17",92.879997,93.110001,91.769997,92.599998,1370000,87.706161
"2015-06-18",93.129997,93.879997,92.75,93.529999,1712700,88.587013
"2015-06-19",93.32,93.480003,92.720001,92.860001,3285000,87.952423
"2015-06-22",93.489998,93.839996,93.129997,93.760002,1350000,88.804863
"2015-06-23",93.660004,93.790001,93.129997,93.32,1273700,88.388107
"2015-06-24",93.330002,94.720001,93.139999,94.169998,2072300,89.193184
"2015-06-25",94.480003,94.5,92.800003,92.910004,1800800,87.999779
"2015-06-26",92.790001,93.019997,92.449997,92.779999,1476400,88.337769
"2015-06-29",91.720001,92.730003,91.410004,91.449997,1624700,87.071465
"2015-06-30",92.080002,92.599998,91.57,91.790001,1702400,87.395187
"2015-07-01",92.400002,93.639999,91.970001,93.43,2583400,88.956665
"2015-07-02",93.519997,93.839996,92.809998,93.400002,1662900,88.928108
"2015-07-06",92.300003,93.610001,92.300003,93.120003,1344300,88.661507
"2015-07-07",93.230003,93.989998,92.209999,93.830002,1891800,89.337517
