"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",46.062828,46.198952,45.340313,45.664921,1743800,36.646656
"2015-01-05",45.277489,45.560211,44.910995,44.973824,1697400,36.092045
"2015-01-06",44.890053,44.94241,43.947643,44.481674,2211300,35.69709
"2015-01-07",44.774868,45.214661,44.68063,45.193718,2729300,36.268513
"2015-01-08",45.47644,46.062828,45.455498,46.062828,2685400,36.965984
"2015-01-09",46.146595,46.314137,45.612564,45.780106,2691600,36.739101
"2015-01-12",45.832462,45.863873,45.183247,45.308899,2518400,36.360943
"2015-01-13",45.539268,45.968586,45.068062,45.403141,3361300,36.436581
"2015-01-14",44.858639,44.952881,44.178009,44.879581,2273900,36.016418
"2015-01-15",44.921467,45.026176,44.52356,44.659687,3067700,35.839951
"2015-01-16",44.366493,44.554974,43.874344,44.502617,2969600,35.713894
"2015-01-20",44.26178,44.596859,43.780106,44.115185,3084900,35.402977
"2015-01-21",43.81152,44.345551,43.801048,44.115185,2358700,35.548019
"2015-01-22",44.031414,44.596859,43.465969,44.586388,2696400,35.927715
"2015-01-23",44.471203,44.586388,44.251308,44.387436,1798600,35.767387
"2015-01-26",44.272251,44.397907,43.968586,44.18848,2327300,35.60709
"2015-01-27",43.664921,43.821991,43.162304,43.560211,3369800,35.100822
"2015-01-28",43.842934,44.115185,43.141361,43.172775,2363000,34.788628
"2015-01-29",43.005234,43.81152,42.890053,43.675392,3504700,35.19363
"2015-01-30",41.989529,43.413612,41.769634,42.732983,5731300,34.434246
"2015-02-02",42.691101,43.54974,42.366493,43.39267,4470100,34.965824
"2015-02-03",43.570683,44.157066,43.382198,43.821991,3354300,35.311768
"2015-02-04",43.486912,43.937172,43.246075,43.361256,3213500,34.940506
"2015-02-05",43.507854,44.073299,43.382198,44.020943,2102000,35.472084
"2015-02-06",44.083771,44.209423,43.308899,43.528797,4648800,35.075508
"2015-02-09",43.403141,43.979057,43.329842,43.727749,5102300,35.235825
"2015-02-10",43.958115,44.083771,43.780106,43.937172,4850300,35.404575
"2015-02-11",43.937172,44.198952,43.727749,43.916229,4124500,35.387703
"2015-02-12",43.979057,45.068062,43.979057,44.94241,4855700,36.214607
"2015-02-13",44.86911,45.340313,44.837696,45.225132,3859800,36.442413
"2015-02-17",45.193718,45.382198,44.984295,45.151833,1492500,36.38335
"2015-02-18",45.162304,45.455498,44.638744,44.785339,3704100,36.088032
"2015-02-19",44.774868,45.047119,44.638744,44.753925,1455300,36.062714
"2015-02-20",44.565445,44.753925,43.979057,44.712044,2690200,36.028973
"2015-02-23",44.701572,44.712044,44.198952,44.492146,2050400,35.851768
"2015-02-24",44.41885,44.712044,44.198952,44.617802,1401600,35.953033
"2015-02-25",44.628273,45.235603,44.429317,44.921467,2990400,36.197731
"2015-02-26",44.858639,44.94241,44.586388,44.701572,1683400,36.020531
"2015-02-27",44.712044,44.837696,44.115185,44.209423,3017200,35.623951
"2015-03-02",44.209423,45.298428,44.167538,45.298428,3356000,36.501476
"2015-03-03",44.984295,45.183247,44.732983,45.151833,2111500,36.38335
"2015-03-04",45.026176,45.026176,44.45026,44.816753,2805100,36.322498
"2015-03-05",44.837696,44.910995,44.586388,44.68063,1116900,36.212181
"2015-03-06",44.366493,44.565445,43.989529,44.083771,1885700,35.728439
"2015-03-09",43.916229,44.712044,43.884815,44.52356,1592300,36.084885
"2015-03-10",44.083771,44.083771,43.602093,43.602093,1831100,35.338055
"2015-03-11",43.591621,43.717278,43.424084,43.518326,1484200,35.270172
"2015-03-12",43.769634,44.460732,43.685863,44.376965,1283000,35.966068
"2015-03-13",44.376965,44.471203,43.528797,44.062828,2135000,35.711464
"2015-03-16",44.240837,44.492146,44.073299,44.314137,1669200,35.915146
"2015-03-17",44.146595,44.397907,44.104713,44.272251,1596600,35.881207
"2015-03-18",44.136127,45.183247,43.926701,44.94241,1810500,36.424343
"2015-03-19",44.753925,44.827225,44.345551,44.670158,1160800,36.203693
"2015-03-20",45.05759,45.225132,44.743454,45.172775,3112800,36.611042
"2015-03-23",46.020943,46.073299,45.361256,45.507854,2801200,36.882614
"2015-03-24",45.39267,45.727749,45.267017,45.361256,2230300,36.763802
"2015-03-25",45.382198,45.528797,45.047119,45.162304,3355400,36.602558
"2015-03-26",45.026176,45.026176,44.60733,44.701572,1757400,36.229153
"2015-03-27",44.544502,44.827225,44.324608,44.806282,1381300,36.314022
"2015-03-30",44.94241,45.769634,44.910995,45.507854,1655000,36.882614
"2015-03-31",45.361256,45.465969,45.015705,45.089005,1794700,36.543152
"2015-04-01",45.005234,45.424084,44.429317,45.109947,2705000,36.560116
"2015-04-02",45.015705,45.570683,44.827225,45.371727,1888900,36.772293
"2015-04-06",44.973824,45.455498,44.795811,45.225132,1668800,36.653481
"2015-04-07",45.183247,45.298428,44.785339,44.816753,1570400,36.322498
"2015-04-08",44.816753,45.151833,44.722511,45.036648,2464200,36.500721
"2015-04-09",45.036648,45.58115,44.963352,45.507854,1838300,36.882614
"2015-04-10",45.507854,45.748692,45.287956,45.497383,989900,36.874123
"2015-04-13",45.382198,45.39267,45.068062,45.183247,1181400,36.619534
"2015-04-14",45.089005,45.329842,44.806282,45.256546,1600000,36.678936
"2015-04-15",45.298428,45.623035,45.246075,45.413612,1281200,36.806232
"2015-04-16",45.277489,45.54974,45.05759,45.350784,1066100,36.755322
"2015-04-17",44.963352,45.005234,44.282722,44.429317,3142400,36.008503
"2015-04-20",44.60733,44.890053,44.513088,44.753925,1422300,36.27158
"2015-04-21",45.005234,45.340313,44.460732,44.575916,1722300,36.127312
"2015-04-22",44.397907,44.691101,44.104713,44.60733,1551300,36.327705
"2015-04-23",44.471203,44.994766,44.376965,44.596859,2960200,36.31918
