"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",62.639999,62.849998,61.720001,62.209999,200600,59.943474
"2015-01-05",61.91,61.98,61.200001,61.630001,202800,59.384609
"2015-01-06",61.599998,61.849998,60.919998,61.41,263600,59.172619
"2015-01-07",61.779999,62.25,61.299999,61.950001,378100,59.692947
"2015-01-08",62.580002,63.380001,62.189999,63.23,227200,60.926311
"2015-01-09",63.18,63.220001,62.369999,62.540001,164900,60.261452
"2015-01-12",62.68,63.099998,62.060001,63,234900,60.704689
"2015-01-13",63.599998,64.400002,62.84,63.509998,280900,61.196114
"2015-01-14",62.740002,63.349998,62.43,63.18,166700,60.878132
"2015-01-15",63.220001,63.790001,62.16,62.52,193300,60.242184
"2015-01-16",62.360001,63.650002,62.130001,63.529999,185600,61.215382
"2015-01-20",62.5,63.689999,62.16,63.09,422300,60.791405
"2015-01-21",62.919998,63.290001,62.41,63.200001,287900,60.8974
"2015-01-22",63.580002,64.760002,62.84,64.75,423300,62.39093
"2015-01-23",64.709999,65.07,64.080002,64.139999,326600,61.80315
"2015-01-26",64.290001,64.339996,63.650002,64.010002,450100,61.677895
"2015-01-27",63.490002,63.720001,62.91,63.189999,323800,60.887764
"2015-01-28",63.77,64.050003,62.549999,62.619999,282600,60.338528
"2015-01-29",62.84,62.84,62.029999,62.650002,448600,60.367447
"2015-01-30",62.41,62.669998,61.259998,61.369999,488200,59.134075
"2015-02-02",61.77,62.23,60.599998,61.950001,637800,59.692947
"2015-02-03",62.52,63.169998,61.810001,63.119999,510100,60.82032
"2015-02-04",63.900002,65,61.360001,62.439999,713600,60.165092
"2015-02-05",62.450001,64.230003,62.16,64.150002,498100,61.812798
"2015-02-06",64.190002,64.519997,63.330002,63.580002,409600,61.263561
"2015-02-09",63.450001,63.599998,62.939999,63.200001,276900,60.8974
"2015-02-10",63.560001,64.400002,63.290001,64.309998,498500,61.966961
"2015-02-11",64.419998,64.760002,63.779999,64.540001,212500,62.188591
"2015-02-12",65.129997,65.260002,64.559998,65.260002,285400,62.882359
"2015-02-13",65.220001,65.889999,64.940002,65.779999,206600,63.383396
"2015-02-17",66.650002,66.720001,65.580002,66.129997,392600,63.72065
"2015-02-18",65.839996,66.830002,65.690002,66.790001,330400,64.356598
"2015-02-19",67.25,67.25,66.449997,66.699997,227500,64.26989
"2015-02-20",66.650002,67.400002,66.059998,67.260002,273300,64.809464
"2015-02-23",67.300003,67.300003,66.669998,66.82,221300,64.385506
"2015-02-24",66.959999,67.300003,66.580002,67.230003,227200,64.780563
"2015-02-25",67.260002,67.43,66.599998,66.849998,211500,64.414413
"2015-02-26",67.010002,67.209999,66.309998,66.43,230900,64.009743
"2015-02-27",66.18,66.309998,65.440002,65.5,257000,63.352024
"2015-03-02",67.389999,67.389999,65.75,67.050003,546500,64.851204
"2015-03-03",67.010002,67.050003,66.519997,66.580002,390700,64.396606
"2015-03-04",66.459999,66.769997,66.07,66.209999,324500,64.03875
"2015-03-05",66.470001,67.07,65.940002,67.010002,253400,64.812515
"2015-03-06",66.599998,66.959999,66.110001,66.379997,207600,64.203156
"2015-03-09",66.580002,67.68,66.150002,66.839996,258000,64.648071
"2015-03-10",66.120003,66.379997,65.790001,65.970001,338300,63.80661
"2015-03-11",66.220001,66.519997,65.849998,66.470001,356700,64.290207
"2015-03-12",66.839996,67.699997,66.589996,67.529999,272300,65.315445
"2015-03-13",67.5,67.5,66.330002,66.610001,297200,64.425621
"2015-03-16",66.980003,67.699997,66.790001,67.669998,314200,65.450867
"2015-03-17",67.459999,67.800003,67.279999,67.68,330200,65.460533
"2015-03-18",67.449997,69.040001,67.190002,68.860001,381500,66.60183
"2015-03-19",68.870003,69.510002,68.309998,69.349998,295800,67.075768
"2015-03-20",69.669998,70.18,69.339996,69.970001,677500,67.675446
"2015-03-23",69.870003,70.010002,69.519997,70.010002,386600,67.714119
"2015-03-24",69.809998,69.809998,68.949997,69.379997,479200,67.104797
"2015-03-25",69.339996,69.57,68.379997,68.470001,642600,66.22464
"2015-03-26",68.059998,69.080002,67.790001,68.839996,281900,66.582489
"2015-03-27",68.940002,68.949997,68.300003,68.68,216000,66.42775
"2015-03-30",68.959999,70.099998,68.849998,69.669998,252400,67.385269
"2015-03-31",69.580002,69.910004,69.489998,69.889999,647100,67.598061
"2015-04-01",70.010002,70.010002,68.68,69.610001,313800,67.327248
"2015-04-02",69.639999,70.25,69.410004,69.690002,356100,67.404617
"2015-04-06",69.370003,70.230003,69.339996,70.089996,429100,67.791496
"2015-04-07",70.059998,70.18,69.18,69.330002,291500,67.056427
"2015-04-08",69.459999,69.510002,68.580002,69.07,491000,66.804962
"2015-04-09",68.849998,69.190002,67.889999,68.419998,511500,66.17627
"2015-04-10",68.620003,68.730003,67.769997,68.029999,366600,65.799049
"2015-04-13",68,68.510002,67.800003,68.150002,348700,65.915115
"2015-04-14",68.029999,68.449997,67.650002,68.410004,363800,66.166588
"2015-04-15",68.660004,68.879997,67.620003,67.620003,369900,65.402504
"2015-04-16",67.459999,67.629997,67.080002,67.330002,274400,65.122009
"2015-04-17",67.110001,67.120003,66.169998,66.690002,216800,64.502998
"2015-04-20",67.239998,67.589996,66.879997,67.099998,223600,64.899551
"2015-04-21",67.260002,67.849998,67.129997,67.699997,402200,65.479874
"2015-04-22",67.690002,68.099998,67.419998,68.029999,185500,65.799049
"2015-04-23",67.949997,68.379997,67.739998,68.139999,237000,65.905441
"2015-04-24",68.07,68.07,67.199997,67.449997,356600,65.238068
"2015-04-27",67.489998,67.739998,66.970001,67.25,254900,65.04464
"2015-04-28",67.089996,68.010002,66.940002,67.949997,226300,65.721687
