"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",62.18,62.959999,62.07,62.490002,12600000,58.151787
"2015-01-05",62.060001,62.279999,60.23,60.549999,20100600,56.346466
"2015-01-06",60.639999,60.75,58.349998,58.98,29074100,54.885452
"2015-01-07",59.889999,59.889999,58.669998,59.07,23843200,54.969208
"2015-01-08",59.970001,60.900002,59.970001,60.389999,16971100,56.197571
"2015-01-09",60.720001,60.790001,59.290001,59.34,15372100,55.220459
"2015-01-12",59.279999,59.400002,58.27,58.830002,15455200,54.745872
"2015-01-13",59.259998,59.700001,58.369999,58.84,21644700,54.755173
"2015-01-14",56.91,57,55.27,56.810001,49602300,52.866104
"2015-01-15",55.73,56.610001,54.5,54.990002,42458100,51.172447
"2015-01-16",54.66,56,54.639999,55.93,29368900,52.047195
"2015-01-20",56.040001,56.389999,55.419998,55.709999,23329400,51.842472
"2015-01-21",55.450001,56.419998,55.189999,55.889999,21842400,52.009972
"2015-01-22",56.380001,57.73,55.959999,57.59,31423500,53.591953
"2015-01-23",57.720001,57.869999,56.66,56.68,15339900,52.745129
"2015-01-26",56.41,56.990002,56.200001,56.77,12577700,52.828876
"2015-01-27",56.049999,56.610001,55.759998,56.200001,15220500,52.298454
"2015-01-28",56.619999,56.68,54.75,54.75,24354400,50.949116
"2015-01-29",55.27,55.889999,54.68,55.669998,20393300,51.805248
"2015-01-30",54.990002,55.5,54.369999,54.380001,26943700,50.604801
"2015-02-02",54.529999,55.650002,54.27,55.470001,20308900,51.619129
"2015-02-03",55.91,56.779999,55.869999,56.720001,18789400,52.782352
"2015-02-04",56.32,57.07,56.279999,56.380001,14934100,52.46595
"2015-02-05",56.860001,57.040001,56.459999,56.77,11293900,52.828876
"2015-02-06",57.75,58.73,57.540001,57.889999,25009100,53.87112
"2015-02-09",57.419998,58.099998,57.23,57.82,14372400,53.805988
"2015-02-10",58.419998,58.709999,58.049999,58.459999,16367300,54.401546
"2015-02-11",58.060001,58.66,57.84,58.369999,13061900,54.317806
"2015-02-12",58.93,59.709999,58.549999,59.57,23211300,55.434494
"2015-02-13",59.459999,60.220001,59.34,59.669998,16479100,55.527554
"2015-02-17",59.360001,60.139999,59.32,60.099998,15308800,55.927696
"2015-02-18",60.099998,60.099998,59.119999,59.369999,13095100,55.248386
"2015-02-19",59.150002,59.48,58.799999,59.23,11256500,55.118099
"2015-02-20",58.959999,59.889999,58.349998,59.799999,15379000,55.648529
"2015-02-23",59.5,59.529999,58.799999,59.349998,16814000,55.229767
"2015-02-24",60.25,61.25,60.080002,60.82,22902100,56.597725
"2015-02-25",60.759998,61.27,60.75,61.139999,18307900,56.895504
"2015-02-26",61.029999,61.700001,60.91,61.580002,15444800,57.304955
"2015-02-27",61.130001,61.919998,61.130001,61.279999,15225900,57.025784
"2015-03-02",61.279999,61.830002,61.029999,61.77,13047300,57.48177
"2015-03-03",61.650002,61.990002,61.5,61.970001,13706900,57.667885
"2015-03-04",61.639999,62.169998,61.349998,62.130001,16625500,57.81678
"2015-03-05",62.200001,62.23,61.599998,62,10931300,57.695801
"2015-03-06",62.16,62.869999,60.799999,60.889999,22719200,56.662857
"2015-03-09",60.84,61.630001,60.799999,61.5,13001500,57.230503
"2015-03-10",60.759998,61.009998,59.959999,59.959999,16307300,55.797421
"2015-03-11",60.130001,60.650002,59.959999,60.240002,13015600,56.057983
"2015-03-12",60.650002,61.450001,60.650002,61.369999,18159600,57.109531
"2015-03-13",61.400002,61.860001,60.43,61,16506200,56.765224
"2015-03-16",61.5,61.919998,61.25,61.849998,15182900,57.556217
"2015-03-17",61.34,61.66,60.919998,61.610001,11628800,57.332874
"2015-03-18",61.389999,62.049999,61.09,61.75,15681300,57.463158
"2015-03-19",61.57,61.650002,60.759998,61.200001,11523800,56.951332
"2015-03-20",61.32,62.099998,61.150002,61.75,18368300,57.463158
"2015-03-23",61.75,62.080002,61.119999,61.139999,14714300,56.895504
"2015-03-24",60.970001,61.240002,60.450001,60.459999,12128700,56.262707
"2015-03-25",60.529999,60.639999,59.59,59.610001,14950900,55.471722
"2015-03-26",59.459999,59.790001,58.869999,59.540001,14039600,55.406574
"2015-03-27",59.490002,59.779999,59,59.549999,11750900,55.415882
"2015-03-30",60.880001,61.459999,60.610001,60.959999,20656500,56.727997
"2015-03-31",60.720001,60.939999,60.419998,60.580002,17346700,56.374386
"2015-04-01",60.41,60.57,59.73,59.950001,18077800,56.15892
"2015-04-02",60.07,60.700001,60,60.52,12697800,56.692883
"2015-04-06",59.919998,60.75,59.650002,60.470001,12025200,56.646046
"2015-04-07",61.150002,61.5,60.849998,60.849998,11505500,57.002007
"2015-04-08",61.060001,61.560001,60.939999,61.049999,11734000,57.189365
"2015-04-09",61.27,61.580002,60.830002,61.470001,11728500,57.582806
"2015-04-10",61.349998,61.779999,61.200001,61.700001,9869700,57.79826
"2015-04-13",61.639999,62.27,61.5,62.07,15468700,58.144855
"2015-04-14",62.959999,63.610001,62.740002,63.040001,33742000,59.053528
"2015-04-15",63.080002,64.480003,63.009998,64.209999,28732200,60.149532
"2015-04-16",64.080002,64.269997,63.66,63.810001,16640500,59.774826
"2015-04-17",63.25,63.400002,62.490002,62.84,20221200,58.866165
"2015-04-20",63.220001,63.52,63.139999,63.240002,12716700,59.240871
"2015-04-21",63.330002,63.599998,62.130001,62.310001,14985100,58.36969
"2015-04-22",62.650002,63.150002,62.029999,62.939999,14484700,58.959843
"2015-04-23",62.790001,63.209999,62.599998,62.799999,12851300,58.82869
"2015-04-24",62.630001,62.84,62.34,62.599998,9597500,58.641342
"2015-04-27",62.700001,63.150002,62.310001,62.34,11146400,58.397789
"2015-04-28",62.490002,62.779999,61.77,62.759998,12307800,58.791222
"2015-04-29",62.560001,63.889999,62.459999,63.599998,17601200,59.578114
"2015-04-30",63.580002,63.880001,62.919998,63.259998,16840900,59.259613
"2015-05-01",63.700001,63.869999,63.330002,63.610001,11640100,59.587475
"2015-05-04",63.68,64.870003,63.639999,64.720001,14972500,60.627285
"2015-05-05",64.510002,65.32,64.290001,64.400002,17692400,60.327518
"2015-05-06",64.529999,65.07,63.419998,63.919998,18087900,59.877865
"2015-05-07",63.669998,64.599998,63.25,64.5,15039900,60.421192
"2015-05-08",64.970001,65.650002,64.599998,65.489998,16802600,61.348583
"2015-05-11",65.260002,65.639999,65.080002,65.449997,13798800,61.311119
"2015-05-12",65.309998,65.540001,64.760002,65.360001,12762200,61.226814
"2015-05-13",65.419998,65.629997,65.059998,65.519997,11874100,61.376686
"2015-05-14",65.830002,66.18,65.709999,66.050003,11855500,61.873169
"2015-05-15",66.129997,66.160004,65.440002,65.879997,11152100,61.713917
"2015-05-18",65.800003,66.540001,65.800003,66.419998,10505500,62.219776
"2015-05-19",66.769997,67.190002,66.57,67.010002,14282700,62.772469
"2015-05-20",66.949997,67.029999,66.400002,66.480003,12446000,62.275997
"2015-05-21",66.139999,66.68,66.010002,66.650002,12934500,62.435226
"2015-05-22",66.629997,66.830002,66.32,66.470001,9296900,62.266617
"2015-05-26",66.199997,66.290001,65.309998,65.730003,15571300,61.573414
"2015-05-27",65.949997,66.650002,65.82,66.470001,10963700,62.266617
"2015-05-28",66.360001,66.400002,65.739998,66.199997,11797400,62.013691
"2015-05-29",66.18,66.220001,65.360001,65.779999,14240700,61.620258
"2015-06-01",65.989998,66.660004,65.970001,66.080002,11899300,61.901279
"2015-06-02",65.830002,66.389999,65.580002,66.019997,12721500,61.84507
"2015-06-03",66.43,67.129997,66.269997,66.699997,12927300,62.482059
"2015-06-04",66.309998,67.050003,66.010002,66.330002,13863300,62.135471
"2015-06-05",67.370003,67.839996,67.010002,67.419998,20801100,63.156536
"2015-06-08",67.459999,67.550003,66.809998,66.889999,14486200,62.660057
"2015-06-09",66.949997,67.269997,66.470001,67.18,13263500,62.931725
