"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",14,14.05,13.66,13.86,6203200,13.029533
"2015-01-05",13.78,13.79,13.43,13.44,7408500,12.634701
"2015-01-06",13.47,13.48,12.98,13.03,13236900,12.249267
"2015-01-07",13.18,13.28,13.01,13.13,11281200,12.343274
"2015-01-08",13.26,13.44,13.2,13.4,9180100,12.597096
"2015-01-09",13.4,13.4,13.02,13.02,9640000,12.239866
"2015-01-12",13.01,13.05,12.78,12.86,7665700,12.089452
"2015-01-13",12.97,13.08,12.58,12.7,11627300,11.939039
"2015-01-14",12.53,12.53,12.24,12.42,17117600,11.675817
"2015-01-15",12.37,12.47,12.04,12.16,12887000,11.431396
"2015-01-16",12.13,12.4,12.08,12.4,13083300,11.657015
"2015-01-20",12.39,12.43,12.21,12.26,12997600,11.525405
"2015-01-21",12.24,12.4,12.16,12.33,17101800,11.591209
"2015-01-22",12.6,13.36,12.59,13.27,30309300,12.474886
"2015-01-23",13.28,13.45,13.17,13.27,13617100,12.474886
"2015-01-26",13.29,13.5,13.21,13.48,10233900,12.672303
"2015-01-27",13.25,13.46,13.23,13.31,9656900,12.512492
"2015-01-28",13.42,13.42,12.93,12.94,12465100,12.164659
"2015-01-29",12.97,13.23,12.9,13.2,10502800,12.409081
"2015-01-30",12.98,13.2,12.94,12.99,10475500,12.211663
"2015-02-02",13.09,13.32,12.97,13.27,11852500,12.474886
"2015-02-03",13.35,13.59,13.34,13.58,12909900,12.766312
"2015-02-04",13.56,13.68,13.52,13.55,6868200,12.73811
"2015-02-05",13.77,13.84,13.68,13.8,12072400,12.973129
"2015-02-06",14.03,14.3,13.98,14.16,19134300,13.311558
"2015-02-09",14,14.03,13.86,13.88,10584200,13.048337
"2015-02-10",14,14,13.83,13.98,7236700,13.142344
"2015-02-11",13.94,13.95,13.79,13.92,12513400,13.085938
"2015-02-12",14.02,14.23,13.95,14.19,9700300,13.339762
"2015-02-13",14.23,14.29,14.02,14.11,8855500,13.264554
"2015-02-17",14.09,14.17,13.92,14.15,7620100,13.302157
"2015-02-18",14.13,14.14,13.9,13.94,6783000,13.104741
"2015-02-19",13.91,13.93,13.71,13.9,6637300,13.067139
"2015-02-20",13.83,14.02,13.67,14.02,7623400,13.17995
"2015-02-23",13.97,13.99,13.83,13.91,4633800,13.076538
"2015-02-24",13.96,14.09,13.92,14.08,7335300,13.236352
"2015-02-25",14.08,14.2,14.02,14.15,8384000,13.302157
"2015-02-26",14.1,14.17,14,14.11,8619600,13.264554
"2015-02-27",13.99,14.09,13.91,13.93,6735900,13.155945
"2015-03-02",13.93,14.07,13.89,14.02,5770700,13.240944
"2015-03-03",13.94,14.06,13.88,14,6771300,13.222054
"2015-03-04",13.9,13.95,13.79,13.9,11139200,13.127612
"2015-03-05",13.93,14.08,13.74,14.08,11170200,13.297609
"2015-03-06",14.12,14.5,14.09,14.31,13553800,13.51483
"2015-03-09",14.27,14.36,14.21,14.33,9683000,13.533716
"2015-03-10",14.16,14.17,13.94,13.97,11961500,13.193723
"2015-03-11",14,14.27,13.96,14.23,11370300,13.439277
"2015-03-12",14.47,14.63,14.39,14.61,16077500,13.798159
"2015-03-13",14.59,14.69,14.39,14.51,10739500,13.703714
"2015-03-16",14.58,14.63,14.42,14.59,8385700,13.77927
"2015-03-17",14.48,14.61,14.41,14.61,7206000,13.798159
"2015-03-18",14.58,14.74,14.31,14.47,13410300,13.665939
"2015-03-19",14.46,14.48,14.29,14.43,13281000,13.628161
"2015-03-20",14.49,14.68,14.46,14.65,12773900,13.835938
"2015-03-23",14.67,14.68,14.51,14.55,8392900,13.741495
"2015-03-24",14.5,14.5,14.31,14.31,10217900,13.51483
"2015-03-25",14.3,14.31,13.98,14.03,11280100,13.250389
"2015-03-26",14,14.2,13.9,14.15,10579000,13.363722
"2015-03-27",14.12,14.12,13.92,14,7237400,13.222054
"2015-03-30",14.14,14.28,14.1,14.2,4981800,13.410943
"2015-03-31",14.02,14.18,14.01,14.16,8104300,13.373165
"2015-04-01",14.09,14.18,13.99,14.16,17687400,13.373165
"2015-04-02",14.1,14.28,14.1,14.25,8030400,13.458163
"2015-04-06",14.09,14.2,13.93,14.16,7257700,13.373165
"2015-04-07",14.21,14.34,14.12,14.25,8558700,13.458163
"2015-04-08",14.23,14.36,14.15,14.19,6580400,13.401497
"2015-04-09",14.18,14.25,14.07,14.19,6776500,13.401497
"2015-04-10",14.18,14.21,14.01,14.06,9370300,13.278722
"2015-04-13",14.05,14.26,14.03,14.25,15194100,13.458163
"2015-04-14",14.24,14.3,14.06,14.1,14360800,13.316499
"2015-04-15",14.07,14.29,14.06,14.19,10846300,13.401497
"2015-04-16",14.06,14.53,13.9,14.4,21619400,13.599828
"2015-04-17",14.29,14.37,14,14.09,11848400,13.307055
"2015-04-20",14.19,14.34,14.13,14.21,8117700,13.420386
"2015-04-21",14.26,14.32,14.18,14.18,7977800,13.392055
"2015-04-22",14.16,14.37,14.06,14.34,10232000,13.543164
"2015-04-23",14.32,14.39,14.22,14.34,9558000,13.543164
"2015-04-24",14.33,14.33,14.22,14.23,7453200,13.439277
"2015-04-27",14.25,14.32,14.11,14.11,6984700,13.325943
"2015-04-28",14.1,14.28,14.01,14.26,7509700,13.467609
"2015-04-29",14.21,14.56,14.21,14.49,11081800,13.684826
"2015-04-30",14.54,14.62,14.37,14.45,11544500,13.647049
"2015-05-01",14.52,14.57,14.36,14.4,6469600,13.599828
"2015-05-04",14.5,14.64,14.41,14.63,7625300,13.817048
"2015-05-05",14.57,14.83,14.54,14.65,16124300,13.835938
"2015-05-06",14.41,14.71,14.38,14.46,19322100,13.656494
"2015-05-07",14.49,14.5,14.29,14.35,11857300,13.552606
"2015-05-08",14.45,14.6,14.33,14.58,9149200,13.769827
"2015-05-11",14.59,14.81,14.53,14.74,7701600,13.920936
"2015-05-12",14.65,14.79,14.51,14.72,14789800,13.902046
"2015-05-13",14.72,14.97,14.66,14.92,16405800,14.090934
"2015-05-14",14.96,15.06,14.85,14.93,11426600,14.100377
"2015-05-15",15,15,14.64,14.7,12852900,13.883157
"2015-05-18",14.73,14.9,14.7,14.86,6735500,14.034266
"2015-05-19",14.92,15.11,14.88,15.11,9194100,14.270375
"2015-05-20",15.08,15.1,14.93,14.97,6145400,14.138156
"2015-05-21",14.92,15.03,14.86,14.92,6833100,14.090934
"2015-05-22",14.94,15,14.84,14.9,4168700,14.072045
"2015-05-26",14.8,14.86,14.68,14.82,10449000,13.99649
"2015-05-27",14.88,15,14.83,14.95,8899300,14.119267
"2015-05-28",14.94,14.98,14.83,14.86,6664300,14.034266
"2015-05-29",14.78,14.82,14.58,14.58,10306600,13.839677
"2015-06-01",14.64,14.68,14.35,14.51,9810500,13.773232
"2015-06-02",14.49,14.72,14.47,14.64,8655500,13.89663
"2015-06-03",14.72,14.95,14.71,14.84,11391800,14.086474
"2015-06-04",14.55,14.88,14.55,14.75,9099200,14.001044
"2015-06-05",14.86,15.14,14.86,15.1,10996900,14.333271
"2015-06-08",15.09,15.23,15.03,15.11,8409400,14.342765
"2015-06-09",15.14,15.38,14.97,15.34,10789600,14.561086
"2015-06-10",15.42,15.56,15.34,15.41,11201000,14.627531
"2015-06-11",15.45,15.47,15.31,15.36,5434800,14.58007
"2015-06-12",15.35,15.39,15.22,15.37,6439300,14.589563
"2015-06-15",15.21,15.44,15.14,15.35,4386400,14.57058
"2015-06-16",15.32,15.47,15.26,15.44,5486000,14.656008
"2015-06-17",15.52,15.6,15.2,15.25,9836000,14.475656
"2015-06-18",15.3,15.37,15.12,15.37,8110700,14.589563
"2015-06-19",15.29,15.37,15.21,15.21,7472900,14.437687
"2015-06-22",15.38,15.43,15.32,15.43,5306100,14.646518
"2015-06-23",15.49,15.67,15.47,15.65,11432300,14.855346
"2015-06-24",15.63,15.7,15.43,15.43,6929000,14.646518
"2015-06-25",15.52,15.58,15.31,15.37,9773700,14.589563
"2015-06-26",15.43,15.54,15.34,15.36,7906200,14.58007
"2015-06-29",15.17,15.3,14.96,14.97,8719800,14.209873
"2015-06-30",15.08,15.29,14.98,15.02,10361600,14.257336
"2015-07-01",15.27,15.35,15.21,15.31,8132500,14.532609
"2015-07-02",15.26,15.26,14.99,15.08,8059700,14.314288
"2015-07-06",14.94,15.04,14.85,15.01,7355200,14.247842
"2015-07-07",14.97,15.01,14.64,14.91,9274100,14.152921
"2015-07-08",14.78,14.83,14.62,14.63,6481600,13.887137
"2015-07-09",14.96,14.96,14.74,14.82,5912000,14.067489
"2015-07-10",15.04,15.09,14.87,14.92,10268400,14.162413
"2015-07-13",15.09,15.16,15,15.04,10180200,14.276318
"2015-07-14",14.96,15.18,14.91,15.18,7509700,14.409211
"2015-07-15",15.25,15.39,15.18,15.29,10273900,14.513625
"2015-07-16",15.33,15.39,15.01,15.17,14588900,14.399719
"2015-07-17",15.1,15.14,14.8,14.94,11328300,14.181396
"2015-07-20",14.98,15.25,14.98,15.2,8310100,14.428196
"2015-07-21",15.22,15.35,15.04,15.04,11251500,14.276318
"2015-07-22",15.03,15.39,15.03,15.33,10169800,14.551594
"2015-07-23",15.34,15.46,15.13,15.15,11038600,14.380733
"2015-07-24",15.11,15.19,15,15.02,7649000,14.257336
"2015-07-27",14.91,14.93,14.75,14.78,7661700,14.02952
"2015-07-28",14.77,14.92,14.69,14.81,7339000,14.057997
"2015-07-29",14.82,15,14.76,14.96,8982500,14.200381
"2015-07-30",14.92,15.01,14.87,14.97,5161200,14.209873
"2015-07-31",14.97,15,14.81,14.84,7105600,14.086474
"2015-08-03",14.83,14.89,14.66,14.75,6479800,14.001044
"2015-08-04",14.78,14.97,14.75,14.85,6266300,14.095966
"2015-08-05",14.91,15.09,14.86,14.9,6301100,14.143428
"2015-08-06",14.95,15.01,14.81,14.81,6765500,14.057997
"2015-08-07",14.83,14.94,14.54,14.64,11499200,13.89663
"2015-08-10",14.73,15,14.72,14.96,9839700,14.200381
"2015-08-11",14.76,14.83,14.62,14.72,12041900,13.972569
"2015-08-12",14.6,14.64,14.23,14.4,12003900,13.668817
"2015-08-13",14.45,14.62,14.42,14.59,6548600,13.849169
"2015-08-14",14.61,14.78,14.55,14.77,6173500,14.020029
"2015-08-17",14.65,14.82,14.57,14.75,5425200,14.001044
"2015-08-18",14.76,14.86,14.72,14.81,5560300,14.057997
"2015-08-19",14.74,14.82,14.63,14.64,10324100,13.89663
"2015-08-20",14.52,14.56,14.22,14.22,11442000,13.497956
"2015-08-21",14.05,14.1,13.79,13.79,13568900,13.08979
"2015-08-24",13.1,13.4,12.77,12.94,23879600,12.28295
"2015-08-25",13.26,13.39,12.67,12.67,14229600,12.02666
"2015-08-26",13.07,13.48,12.87,13.43,20050800,12.748069
"2015-08-27",13.64,13.9,13.6,13.88,16690800,13.17522
"2015-08-28",13.68,13.85,13.59,13.78,8406000,13.151361
"2015-08-31",13.69,13.82,13.62,13.74,7642700,13.113186
