"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",8.32,8.57,8.27,8.48,1467400,8.48
"2015-01-05",8.41,8.45,8.01,8.11,1162000,8.11
"2015-01-06",7.99,8.19,7.77,7.99,1612200,7.99
"2015-01-07",8.14,8.2,7.61,7.77,1568500,7.77
"2015-01-08",7.9,8.24,7.74,8.22,2851600,8.22
"2015-01-09",8.17,8.39,8,8.39,1304700,8.39
"2015-01-12",8.23,8.26,7.92,7.99,1162900,7.99
"2015-01-13",8.05,8.2,7.84,8.01,1575000,8.01
"2015-01-14",7.75,8.1,7.58,8.08,1872400,8.08
"2015-01-15",8.24,8.25,7.69,7.69,1189700,7.69
"2015-01-16",7.74,8.06,7.73,8.02,994100,8.02
"2015-01-20",7.86,7.9,7.66,7.89,1097300,7.89
"2015-01-21",7.97,8.26,7.97,8.24,1362200,8.24
"2015-01-22",8.25,8.51,8.15,8.48,1826700,8.48
"2015-01-23",8.61,8.77,8.44,8.64,2312600,8.64
"2015-01-26",8.66,8.88,8.56,8.74,1585400,8.74
"2015-01-27",8.67,8.96,8.59,8.95,1340000,8.95
"2015-01-28",8.91,8.91,8.46,8.52,1287100,8.52
"2015-01-29",8.59,8.63,8.15,8.59,1307700,8.59
"2015-01-30",8.48,8.89,8.41,8.77,1318300,8.77
"2015-02-02",8.63,9.11,8.59,8.97,2304900,8.97
"2015-02-03",9.09,9.32,8.62,8.8,3731500,8.8
"2015-02-04",8.65,8.81,8.28,8.36,5684700,8.36
"2015-02-05",8.45,8.62,8.37,8.53,3665200,8.53
"2015-02-06",8.74,8.78,8.56,8.68,2262900,8.68
"2015-02-09",8.74,9.03,8.7,8.91,1769400,8.91
"2015-02-10",8.9,8.9,8.59,8.8,1316400,8.8
"2015-02-11",8.66,8.89,8.6,8.79,1146500,8.79
"2015-02-12",8.95,9.1,8.92,8.95,2518500,8.95
"2015-02-13",9.08,9.19,8.96,9.05,1724300,9.05
"2015-02-17",9.01,9.08,8.87,8.9,1905000,8.9
"2015-02-18",8.79,8.98,8.78,8.87,1387900,8.87
"2015-02-19",8.58,8.9,8.58,8.8,2608800,8.8
"2015-02-20",8.76,8.92,8.66,8.73,1233400,8.73
"2015-02-23",8.8,8.95,8.53,8.63,2296300,8.63
"2015-02-24",8.72,8.77,8.42,8.54,2259400,8.54
"2015-02-25",8.57,8.88,8.5,8.84,2726500,8.84
"2015-02-26",8.77,8.81,8.69,8.77,1763700,8.77
"2015-02-27",8.83,9.05,8.73,8.98,3502000,8.98
"2015-03-02",8.29,8.43,7.88,7.97,5090200,7.97
"2015-03-03",7.97,8.28,7.97,8.13,2416400,8.13
"2015-03-04",8.15,8.28,7.99,8.24,1517600,8.24
"2015-03-05",8.23,8.33,8.18,8.27,1373600,8.27
"2015-03-06",8.18,8.38,8.15,8.28,1533600,8.28
"2015-03-09",8.27,8.43,8.17,8.25,1361800,8.25
"2015-03-10",8.13,8.31,8.12,8.2,1577600,8.2
"2015-03-11",8.25,8.47,8.19,8.41,1457700,8.41
"2015-03-12",8.44,8.45,8.23,8.23,1428600,8.23
"2015-03-13",8.13,8.23,8.01,8.14,1530100,8.14
"2015-03-16",8.1,8.12,7.89,8.06,1464800,8.06
"2015-03-17",7.99,8.13,7.92,8.04,1299000,8.04
"2015-03-18",7.92,8.41,7.91,8.37,1316600,8.37
"2015-03-19",8.21,8.39,8.14,8.35,952400,8.35
"2015-03-20",8.46,8.47,8.21,8.24,1250800,8.24
"2015-03-23",8.21,8.33,7.97,8.01,1713900,8.01
"2015-03-24",7.99,8.09,7.85,7.91,2103800,7.91
"2015-03-25",7.94,8.08,7.76,8.06,1537900,8.06
"2015-03-26",8.21,8.31,8.06,8.18,1159500,8.18
"2015-03-27",8.24,8.24,8.01,8.06,1050500,8.06
"2015-03-30",8.11,8.18,7.81,7.95,1804300,7.95
"2015-03-31",7.86,8.02,7.83,7.91,973800,7.91
"2015-04-01",7.94,8.28,7.94,8.1,1951400,8.1
"2015-04-02",8.25,8.49,8.16,8.45,2228900,8.45
"2015-04-06",8.5,8.75,8.4,8.71,2186900,8.71
"2015-04-07",8.67,8.85,8.6,8.62,1685000,8.62
"2015-04-08",8.67,8.67,8.38,8.4,1732100,8.4
"2015-04-09",8.47,8.61,8.42,8.56,975700,8.56
"2015-04-10",8.6,8.64,8.52,8.6,920300,8.6
"2015-04-13",8.63,8.79,8.32,8.34,1738600,8.34
"2015-04-14",8.46,8.56,8.42,8.47,1149400,8.47
"2015-04-15",8.55,8.69,8.49,8.64,1937200,8.64
"2015-04-16",8.56,8.79,8.53,8.67,1415200,8.67
"2015-04-17",8.66,8.76,8.56,8.62,1762000,8.62
"2015-04-20",8.62,8.79,8.51,8.52,917400,8.52
"2015-04-21",8.53,8.59,8.4,8.5,1409600,8.5
"2015-04-22",8.51,8.65,8.44,8.48,1012200,8.48
"2015-04-23",8.5,8.7,8.49,8.67,1132200,8.67
"2015-04-24",8.67,8.77,8.61,8.69,1358300,8.69
"2015-04-27",8.85,10.03,8.84,9.53,8469500,9.53
"2015-04-28",9.54,9.85,9.44,9.51,4622200,9.51
"2015-04-29",9.5,9.76,9.46,9.72,1772200,9.72
"2015-04-30",9.79,9.81,9.57,9.78,2116900,9.78
"2015-05-01",9.73,9.86,9.59,9.68,3116800,9.68
"2015-05-04",9.3,9.53,9.11,9.35,3602200,9.35
"2015-05-05",9.72,9.88,9.3,9.36,2628400,9.36
"2015-05-06",9.51,9.72,9.45,9.54,2136600,9.54
"2015-05-07",9.5,9.53,9.27,9.33,2045800,9.33
"2015-05-08",9.42,9.45,9.09,9.39,1812400,9.39
"2015-05-11",9.37,9.48,9.07,9.08,2767400,9.08
"2015-05-12",9.1,9.41,9.1,9.34,2010500,9.34
"2015-05-13",9.41,9.44,9.28,9.37,1479000,9.37
"2015-05-14",9.4,9.45,9.23,9.23,1544400,9.23
"2015-05-15",9.16,9.33,9.02,9.31,1730300,9.31
"2015-05-18",9.32,9.32,9.14,9.3,1169900,9.3
"2015-05-19",9.17,9.23,8.79,8.94,2461400,8.94
"2015-05-20",8.92,9.02,8.81,8.96,1295600,8.96
"2015-05-21",9,9.24,8.94,9.19,894900,9.19
"2015-05-22",9.09,9.18,9.03,9.11,1074200,9.11
"2015-05-26",9.01,9.13,8.86,8.9,1337600,8.9
"2015-05-27",8.88,8.93,8.82,8.84,1098100,8.84
"2015-05-28",8.8,8.84,8.71,8.76,1851900,8.76
"2015-05-29",8.8,9.01,8.78,8.89,2250800,8.89
"2015-06-01",8.87,8.91,8.82,8.87,1031800,8.87
"2015-06-02",8.91,9.02,8.87,8.9,2089900,8.9
"2015-06-03",8.85,8.89,8.71,8.72,1909900,8.72
"2015-06-04",8.68,8.71,8.55,8.65,1606500,8.65
"2015-06-05",8.65,8.95,8.65,8.86,930900,8.86
"2015-06-08",8.85,8.96,8.8,8.93,1474400,8.93
"2015-06-09",8.98,9.06,8.9,8.93,1075000,8.93
"2015-06-10",9.09,9.12,8.95,9,802800,9
"2015-06-11",9.04,9.13,8.98,9.01,1189600,9.01
"2015-06-12",8.97,9.01,8.82,8.85,1017600,8.85
"2015-06-15",8.82,8.98,8.77,8.88,694000,8.88
"2015-06-16",8.88,8.97,8.84,8.97,686900,8.97
"2015-06-17",9.01,9.07,8.82,8.91,1074800,8.91
"2015-06-18",8.96,8.99,8.76,8.78,865800,8.78
"2015-06-19",8.73,8.81,8.63,8.66,1223900,8.66
"2015-06-22",8.67,8.79,8.63,8.73,766300,8.73
"2015-06-23",8.7,8.8,8.69,8.74,1830300,8.74
"2015-06-24",8.71,8.76,8.63,8.65,962100,8.65
"2015-06-25",8.65,8.69,8.61,8.68,831800,8.68
"2015-06-26",8.62,8.67,8.55,8.57,4676200,8.57
"2015-06-29",8.45,8.58,8.41,8.42,1507000,8.42
"2015-06-30",8.5,8.5,8.34,8.43,2148800,8.43
"2015-07-01",8.42,8.44,7.88,7.93,1892500,7.93
"2015-07-02",8.12,8.24,8.04,8.08,2372100,8.08
"2015-07-06",7.94,8.05,7.89,7.92,2237100,7.92
"2015-07-07",8,8.19,7.77,8.18,2641700,8.18
"2015-07-08",8.17,8.2,7.78,7.84,1107300,7.84
"2015-07-09",7.97,8.05,7.87,7.9,1768300,7.9
