"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",122.18,122.900002,119.040001,120.419998,806300,115.71833
"2015-01-05",119.099998,119.099998,115.150002,115.239998,910100,110.740593
"2015-01-06",115.309998,115.610001,111.690002,112.709999,1259800,108.309372
"2015-01-07",113.339996,114.610001,112.650002,113.269997,777400,108.847504
"2015-01-08",114.300003,115.260002,113.120003,115.099998,1249400,110.606049
"2015-01-09",115.860001,116.209999,114.160004,114.25,1140700,109.789238
"2015-01-12",113.68,114.150002,112.300003,113.300003,701000,108.87635
"2015-01-13",114.309998,114.709999,109.949997,111.489998,818900,107.137001
"2015-01-14",109.5,110.82,107.900002,110.059998,1356300,105.762833
"2015-01-15",110.5,110.949997,109.209999,109.230003,822600,104.96524
"2015-01-16",109.370003,110.57,108.980003,109.980003,906500,105.685966
"2015-01-20",110,111.269997,109.720001,110,1982800,105.705185
"2015-01-21",109.589996,111.839996,109.330002,110.620003,2099600,106.30098
"2015-01-22",112.32,114.769997,111.209999,113.699997,1689500,109.260712
"2015-01-23",110,111.18,107.529999,107.790001,4283800,103.581474
"2015-01-26",108.019997,112.440002,107.919998,110.470001,2209300,106.156845
"2015-01-27",108.709999,110.089996,108.300003,109.279999,1011000,105.01329
"2015-01-28",110.209999,110.559998,108.550003,109,1149700,104.744232
"2015-01-29",109.099998,111.07,108.620003,110.82,1269300,106.493172
"2015-01-30",110.160004,111.190002,109.32,110.089996,1373800,105.791664
"2015-02-02",110.349998,112.800003,110.18,112.730003,1053800,108.328598
"2015-02-03",113.199997,115.279999,112.879997,114.900002,932100,110.413872
"2015-02-04",113.839996,115.099998,113.389999,114.370003,818500,109.904556
"2015-02-05",115.050003,116.830002,114.730003,116.379997,817600,111.836075
"2015-02-06",116.470001,117.370003,115.919998,116.519997,525100,111.970596
"2015-02-09",115.720001,116.699997,114.970001,115.330002,550500,110.827087
"2015-02-10",115.989998,116.919998,114.639999,116.519997,552400,111.970596
"2015-02-11",116.410004,117,115.849998,116.360001,395300,111.816864
"2015-02-12",117.059998,118.129997,116.730003,117.989998,669500,113.383217
"2015-02-13",118.440002,119.400002,117.82,118.120003,579600,113.508163
"2015-02-17",117.489998,119.480003,117.059998,119.25,569200,114.594025
"2015-02-18",118.970001,119.75,118.300003,119.349998,541100,114.690125
"2015-02-19",118.57,119.779999,117.769997,117.919998,445100,113.315941
"2015-02-20",117.209999,118.150002,115.5,116.610001,1092200,112.057098
"2015-02-23",117.529999,120.629997,117.25,119.470001,1239300,114.805435
"2015-02-24",119.209999,119.940002,118.599998,119.5,588900,114.834259
"2015-02-25",119.93,120.449997,118.370003,118.599998,614200,113.969398
"2015-02-26",118.559998,119.190002,116.540001,117.080002,663000,112.508759
