"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",33.34,33.455002,32.884998,33.25,505400,28.802189
"2015-01-05",33.23,33.334999,32.764999,32.845001,917500,28.451366
"2015-01-06",32.924999,33.450001,32.709999,32.740002,1240600,28.360411
"2015-01-07",32.98,33.310001,32.650002,33.279999,750800,28.828173
"2015-01-08",33.465,33.945,33.369999,33.805,1012000,29.282948
"2015-01-09",33.880001,33.880001,33.255001,33.325001,554700,28.867153
"2015-01-12",33.400002,33.459999,33.09,33.235001,453500,28.789192
"2015-01-13",33.485001,33.965,33.220001,33.465,454000,28.988428
"2015-01-14",33.299999,34.09,33.279999,34.080002,627300,29.521162
"2015-01-15",34.080002,34.209999,33.915001,34.16,845900,29.59046
"2015-01-16",34.095001,34.834999,34.005001,34.799999,1000400,30.144844
"2015-01-20",34.825001,34.939999,34.415001,34.785,648900,30.131847
"2015-01-21",34.685001,35.035,34.345001,35.035,392400,30.348413
"2015-01-22",35.154999,35.285,34.75,35.025002,440700,30.339752
"2015-01-23",35.134998,35.400002,34.950001,35.099998,386400,30.404713
"2015-01-26",35.005001,35.084999,34.625,35.084999,485100,30.391718
"2015-01-27",34.945,35.240002,34.860001,35.009998,581200,30.326757
"2015-01-28",34.790001,35.264999,34.5,34.599998,528800,30.449966
"2015-01-29",34.610001,35.189999,34.439999,35.16,443000,30.942801
"2015-01-30",35.035,35.075001,34.279999,34.305,458000,30.190344
"2015-02-02",34.380001,34.540001,33.814999,34.465,611800,30.331158
"2015-02-03",34.34,34.674999,34.174999,34.555,477500,30.410355
"2015-02-04",34.59,34.59,33.875,34.055,666200,29.970329
"2015-02-05",34.244999,34.450001,33.959999,34.404999,300900,30.278349
"2015-02-06",34.244999,34.290001,32.705002,32.889999,586500,28.945066
"2015-02-09",32.73,32.98,32.224998,32.32,796700,28.443434
"2015-02-10",32.360001,33.040001,32.290001,33.040001,797100,29.077078
"2015-02-11",32.91,32.91,32.264999,32.330002,592200,28.452236
"2015-02-12",32.375,32.490002,32.110001,32.23,516700,28.364225
"2015-02-13",32.200001,32.200001,31.514999,31.785,999800,27.972603
"2015-02-17",31.68,32.02,31.445,31.709999,941500,27.906599
"2015-02-18",31.715,32.555,31.715,32.52,808900,28.619448
"2015-02-19",32.514999,32.619999,32.150002,32.275002,1113400,28.403833
"2015-02-20",32.25,32.349998,31.975,32.305,611300,28.430233
"2015-02-23",32.314999,32.555,32.169998,32.544998,574100,28.641449
"2015-02-24",32.544998,32.834999,32.25,32.755001,883800,28.826262
"2015-02-25",32.77,32.875,32.099998,32.185001,557500,28.324629
"2015-02-26",32.275002,32.424999,31.809999,31.855,507500,28.034206
"2015-02-27",31.870001,31.915001,31.629999,31.799999,402100,27.985806
"2015-03-02",31.725,31.775,30.895,31.205,674300,27.46217
"2015-03-03",31.045,31.34,30.805,31.32,441400,27.563379
"2015-03-04",31.205,31.205,30.915001,31.045,397200,27.321362
"2015-03-05",31.15,31.285,30.815001,31.1,657500,27.369764
"2015-03-06",30.775,30.775,30.035,30.125,1053500,26.511709
