"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",10.22,10.94,9.92,10.9,5288400,10.9
"2015-01-05",10.66,10.66,9.24,9.37,6270400,9.37
"2015-01-06",8.88,9.32,8.02,8.42,10073400,8.42
"2015-01-07",8.57,8.77,8.18,8.31,4128000,8.31
"2015-01-08",8.35,9.13,8.35,9.03,5230000,9.03
"2015-01-09",8.96,9.54,8.77,9.4,4032700,9.4
"2015-01-12",9.11,9.12,8.3,8.68,2833900,8.68
"2015-01-13",8.57,9.09,8.45,8.89,4174100,8.89
"2015-01-14",8.6,9.27,8.42,9.19,5229600,9.19
"2015-01-15",9.51,9.9,8.41,8.5,4598600,8.5
"2015-01-16",8.63,9.19,8.6,9.04,4834500,9.04
"2015-01-20",9.05,9.28,8.62,9.01,4677100,9.01
"2015-01-21",9.24,10.19,9.19,9.87,6248600,9.87
"2015-01-22",9.92,10.39,9.84,9.92,7701000,9.92
"2015-01-23",9.82,10.04,9.1,9.28,14206200,9.28
"2015-01-26",9.33,9.75,9.09,9.69,4066400,9.69
"2015-01-27",9.56,10.18,9.52,10.05,3640400,10.05
"2015-01-28",9.96,9.96,9,9.06,5229500,9.06
"2015-01-29",9.2,9.57,8.7,9.17,5828000,9.17
"2015-01-30",9.02,9.95,8.99,9.81,4380200,9.81
"2015-02-02",9.91,11.61,9.91,11.06,10453500,11.06
"2015-02-03",11.45,12.91,11.36,12.89,10284300,12.89
"2015-02-04",12.43,13.37,11.81,13.33,10522900,13.33
"2015-02-05",13.53,14.78,13.38,14.61,10478000,14.61
"2015-02-06",14.53,14.84,13.22,13.33,7061800,13.33
"2015-02-09",13.59,14.1,12.42,13.14,6616800,13.14
"2015-02-10",13.1,13.14,11.75,12.36,3636000,12.36
"2015-02-11",12.01,12.67,11.34,12.32,3196600,12.32
"2015-02-12",12.78,13.14,12.31,12.44,3782700,12.44
"2015-02-13",12.84,13.74,12.84,13.25,3426800,13.25
"2015-02-17",13.01,14.01,12.39,13.82,4670900,13.82
"2015-02-18",13.44,14.35,13.24,13.72,2935400,13.72
"2015-02-19",13.16,14.12,12.85,13.96,3244900,13.96
"2015-02-20",13.71,14.07,12.81,13.08,3842200,13.08
"2015-02-23",12.73,13,11.75,12.83,4819300,12.83
"2015-02-24",12.9,12.98,12.5,12.72,2747700,12.72
"2015-02-25",12.82,13.25,12.65,13.04,3220500,13.04
"2015-02-26",13.11,13.2,11.89,12.26,6740400,12.26
"2015-02-27",12.04,12.44,11.78,11.93,4169600,11.93
"2015-03-02",11.25,11.47,11.02,11.22,25559400,11.22
"2015-03-03",11.12,11.95,11.12,11.84,10282400,11.84
"2015-03-04",11.87,11.99,11.48,11.82,7976100,11.82
"2015-03-05",11.79,11.8,11.36,11.67,6478800,11.67
"2015-03-06",11.51,11.75,11.37,11.63,4528500,11.63
"2015-03-09",11.7,12.02,11.48,11.64,3772400,11.64
"2015-03-10",11.49,11.79,11.13,11.23,4330200,11.23
"2015-03-11",11.35,11.67,11.13,11.5,6319900,11.5
"2015-03-12",11.52,11.66,11.02,11.07,6008500,11.07
"2015-03-13",10.8,11.23,10.3,11.18,8794300,11.18
"2015-03-16",11,11.21,10.61,11.18,5141200,11.18
"2015-03-17",11.11,11.41,10.96,11.02,6219900,11.02
"2015-03-18",10.85,12.2,10.74,12.04,4184200,12.04
"2015-03-19",11.51,11.84,11.29,11.77,3799600,11.77
"2015-03-20",11.96,12.19,11.72,11.98,4518500,11.98
