Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,36.130001,36.200001,34.790001,35.23,33.658619,9777600
2017-01-04,35.509998,36.400002,35.48,35.84,34.241413,9508700
2017-01-05,31.57,31.85,30.51,30.860001,29.48354,29249100
2017-01-06,30.82,31.52,30.549999,30.82,29.445322,11484800
2017-01-09,30.879999,30.99,30.35,30.459999,29.101381,9228200
2017-01-10,30.639999,30.68,30.120001,30.299999,28.948517,10683700
2017-01-11,30.5,30.530001,29.75,29.950001,28.614128,8964000
2017-01-12,29.83,30.190001,29.700001,29.98,28.64279,6352400
2017-01-13,29.92,30.0,29.66,29.879999,28.547249,5858000
2017-01-17,29.91,30.6,29.870001,29.9,28.566357,8766000
2017-01-18,30.01,30.01,28.549999,29.440001,28.126877,13242200
2017-01-19,29.5,29.83,29.27,29.450001,28.136431,7456100
2017-01-20,29.57,29.85,29.459999,29.700001,28.37528,7018800
2017-01-23,29.48,29.92,29.35,29.629999,28.308401,4666000
2017-01-24,29.52,30.030001,29.52,29.98,28.64279,5049700
2017-01-25,30.16,30.4,29.93,30.15,28.805208,6088300
2017-01-26,30.18,30.34,29.809999,29.92,28.585464,4353900
2017-01-27,29.950001,29.969999,28.700001,29.110001,27.811594,9945400
2017-01-30,29.07,29.530001,29.030001,29.52,28.203308,5403600
2017-01-31,28.85,29.58,28.74,29.540001,28.222418,9050700
2017-02-01,29.32,29.57,29.120001,29.209999,27.907133,5061200
2017-02-02,30.32,31.059999,29.9,30.719999,29.349783,16462800
2017-02-03,30.690001,34.369999,30.110001,32.689999,31.231915,47958400
2017-02-06,32.639999,32.790001,31.639999,31.790001,30.372061,14485800
2017-02-07,31.74,32.150002,31.02,31.200001,29.808376,10415500
2017-02-08,31.049999,31.98,30.809999,31.98,30.553583,6918200
2017-02-09,31.98,32.650002,31.639999,32.369999,30.926188,7609600
2017-02-10,32.439999,32.880001,31.549999,31.99,30.563137,7894900
2017-02-13,33.07,33.23,32.43,32.580002,31.126823,14055000
2017-02-14,32.610001,32.990002,32.5,32.68,31.222363,7536800
2017-02-15,32.889999,33.02,32.41,32.740002,31.279688,7325000
