"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",209.059998,209.929993,205.720001,207.199997,787500,203.577728
"2015-01-05",206.350006,210.229996,206.050003,208.899994,1260800,205.247986
"2015-01-06",209,212,206.830002,208.419998,1195400,204.776398
"2015-01-07",210.210007,215.190002,209.449997,214.75,1163200,210.995728
"2015-01-08",216.199997,218.050003,215.009995,217.199997,1665200,213.402908
"2015-01-09",217.479996,218.139999,216.259995,216.669998,741000,212.882172
"2015-01-12",217.75,217.929993,213.850006,214.660004,720800,210.907318
"2015-01-13",217.179993,218.240005,213,214.649994,900100,210.897476
"2015-01-14",213.139999,215.320007,212.5,213.529999,730200,209.797058
"2015-01-15",213.630005,214.309998,211.210007,211.300003,973300,207.606064
"2015-01-16",210.520004,214.229996,209.119995,213.979996,921900,210.239197
"2015-01-20",216.059998,216.059998,212.139999,214.869995,862000,211.113617
"2015-01-21",213.759995,216.169998,213.440002,215.229996,751400,211.467361
"2015-01-22",215,219,213.190002,218.889999,942600,215.063354
"2015-01-23",218.860001,219.679993,217.470001,217.669998,613900,213.8647
"2015-01-26",217.110001,219.050003,215.759995,218.940002,690300,215.112488
"2015-01-27",217.649994,219.070007,215.699997,217.710007,749100,213.903976
"2015-01-28",219.059998,222.929993,217.610001,217.940002,1910500,214.129974
"2015-01-29",217.550003,219.75,216.350006,219.529999,1112600,215.692169
"2015-01-30",218.649994,219.139999,212.220001,212.649994,1352300,208.932419
"2015-02-02",212.830002,214.899994,210.630005,214.830002,1069900,211.074326
"2015-02-03",215.25,216.110001,209,213.130005,1707300,209.404083
"2015-02-04",212.429993,213.779999,210.660004,210.839996,1683800,207.154099
"2015-02-05",212.470001,217.289993,212.339996,215.860001,2398800,212.086365
"2015-02-06",220.979996,225.059998,218.75,222.759995,2086500,218.865692
"2015-02-09",221.020004,221.220001,215.779999,218.259995,1764900,214.444366
"2015-02-10",220.080002,222.910004,218.979996,222.449997,1234100,218.561111
"2015-02-11",221.630005,225,221.330002,223.729996,1032000,219.818756
"2015-02-12",225,225,222.949997,224.770004,680600,220.840546
"2015-02-13",223.759995,224.979996,222.580002,224.889999,583900,220.958466
"2015-02-17",224.710007,226.789993,224.330002,226.050003,1048400,222.098206
"2015-02-18",225.839996,226.490005,224.009995,225.639999,628600,221.695358
"2015-02-19",225.270004,227.029999,224.25,225.350006,650400,221.410446
"2015-02-20",224.940002,229.300003,224.600006,229.160004,825900,225.153824
"2015-02-23",229.5,230.320007,228.559998,229.820007,860000,225.802277
"2015-02-24",229.820007,231.029999,229.160004,230.199997,867800,226.175629
"2015-02-25",230.649994,231.550003,229.509995,229.600006,840000,225.586166
"2015-02-26",228.960007,231.229996,228.5,229.460007,1379000,225.684494
"2015-02-27",229.149994,231.139999,228.350006,228.699997,657000,224.936981
"2015-03-02",228.699997,230.389999,227.630005,228.220001,1134200,224.46489
"2015-03-03",228.669998,228.929993,225.600006,227.690002,788600,223.943634
"2015-03-04",227.350006,228.460007,224.880005,227.669998,816000,223.92395
"2015-03-05",228.740005,230.020004,227.929993,229.199997,614500,225.428741
"2015-03-06",228.740005,228.740005,224.089996,224.600006,1072300,220.904449
"2015-03-09",225,225.889999,222.589996,225.350006,793100,221.642136
"2015-03-10",223.429993,223.869995,218,220.850006,1094500,217.216171
"2015-03-11",221.449997,223,220.740005,222.179993,765800,218.524261
"2015-03-12",223.389999,225.339996,223.320007,225.080002,559600,221.376556
"2015-03-13",224.699997,226.289993,223.130005,224.639999,539100,220.943802
"2015-03-16",226.360001,230.119995,225.679993,229.539993,825500,225.763184
"2015-03-17",228.050003,228.869995,226.190002,228.199997,557700,224.445206
"2015-03-18",227.520004,229.580002,226.199997,228.940002,1102400,225.173019
"2015-03-19",228.720001,228.949997,224.369995,225.75,1549900,222.035507
"2015-03-20",228.119995,230.210007,226.149994,229.940002,1292700,226.15657
"2015-03-23",230.220001,232.690002,229.259995,230.259995,925000,226.471313
"2015-03-24",229.880005,231.270004,228.300003,228.399994,667600,224.641922
"2015-03-25",228.259995,230.229996,225.520004,225.520004,956800,221.809326
"2015-03-26",225.139999,229.220001,223.619995,226.050003,1297000,222.330582
"2015-03-27",225.589996,227.860001,225.100006,226.110001,814100,222.389603
"2015-03-30",228,229.5,226.789993,229.139999,539300,225.369751
"2015-03-31",228.300003,230.289993,226.199997,226.199997,769900,222.478165
"2015-04-01",226.029999,226.509995,221.259995,222.710007,1224800,219.045563
"2015-04-02",222.600006,224.919998,222.059998,223.520004,736200,219.842194
"2015-04-06",222.020004,225.699997,222.020004,224.429993,793600,220.737228
"2015-04-07",225.139999,225.869995,221.619995,221.839996,813900,218.18988
"2015-04-08",221.630005,222.520004,219.509995,222.490005,1483000,218.829178
"2015-04-09",222.570007,224.479996,221.679993,223.279999,1142000,219.606155
"2015-04-10",222.960007,224.899994,222.669998,224.339996,701700,220.648712
"2015-04-13",224.429993,226.740005,223.949997,223.970001,834500,220.284805
"2015-04-14",224.190002,226.259995,222.490005,226.009995,949200,222.291245
"2015-04-15",226.559998,227.880005,225.240005,225.660004,711900,221.947021
"2015-04-16",226,227.610001,224.860001,226.570007,835500,222.842056
"2015-04-17",225.149994,228.410004,223.360001,228.029999,1454400,224.278015
"2015-04-20",229.020004,231.429993,228.5,229.229996,1107800,225.458267
"2015-04-21",230.75,231.639999,229.919998,231.289993,937300,227.48439
"2015-04-22",231.229996,231.899994,230.369995,231.270004,801700,227.464706
"2015-04-23",229.649994,230.259995,227.449997,229.110001,1635200,225.340256
"2015-04-24",229.210007,230.570007,227.789993,229.199997,808600,225.428741
"2015-04-27",230.559998,230.800003,226.800003,227.169998,912000,223.432144
"2015-04-28",226.880005,228.600006,224.199997,228.520004,852100,224.759979
"2015-04-29",227,228.970001,224.850006,225.399994,1268200,221.691299
"2015-04-30",225.720001,228.699997,222.720001,223.399994,1317300,219.724182
"2015-05-01",224.330002,225.5,222.419998,224.940002,889500,221.238876
"2015-05-04",225.410004,227.130005,225.029999,225.899994,643800,222.18306
"2015-05-05",225.240005,225.789993,222.240005,222.779999,838300,219.114395
"2015-05-06",222.470001,223.929993,221.039993,222.899994,918200,219.232391
"2015-05-07",223.100006,224.919998,222.490005,223.820007,798000,220.137283
"2015-05-08",226.070007,229.570007,225.279999,229.080002,1061900,225.310715
"2015-05-11",228.860001,230.330002,227.669998,228.539993,821700,224.779617
"2015-05-12",227.669998,230.029999,226.130005,229.550003,1448800,225.772995
"2015-05-13",232.970001,236,231.770004,232.380005,2055500,228.556442
"2015-05-14",234.050003,239.580002,233.820007,239.479996,1462700,235.539612
"2015-05-15",239.399994,240.899994,239.139999,239.929993,955800,235.982193
"2015-05-18",240.440002,242.889999,239.970001,242.75,1012600,238.755783
"2015-05-19",243.610001,243.610001,242,242.600006,828500,238.608276
"2015-05-20",242.350006,243.440002,240.990005,241.800003,765400,237.821426
"2015-05-21",241.009995,241.419998,238.460007,239.440002,1361300,235.500275
"2015-05-22",239.449997,241.740005,239,240.610001,728700,236.651031
"2015-05-26",239.440002,240.899994,237.059998,237.860001,929600,233.946289
"2015-05-27",237.5,239.619995,237.100006,239.199997,770500,235.264206
"2015-05-28",238.339996,239.600006,237.309998,237.839996,832300,233.92659
"2015-05-29",238.889999,239.449997,237.039993,237.229996,1278400,233.32663
"2015-06-01",237.429993,239.190002,235.570007,238.270004,641600,234.349533
"2015-06-02",237.899994,239.080002,235.339996,236.619995,817900,232.726669
"2015-06-03",236.649994,237.929993,235.600006,237.020004,557600,233.120087
"2015-06-04",235.940002,237.059998,234.020004,234.720001,650300,231.091934
"2015-06-05",234.520004,235.610001,233.009995,235.449997,620600,231.810623
"2015-06-08",235,236,233.419998,233.419998,819300,229.812027
"2015-06-09",234.020004,234.600006,232.759995,234,682700,230.383072
"2015-06-10",234.039993,236.199997,232.899994,235.949997,714700,232.302902
"2015-06-11",237.800003,238.990005,237.059998,237.610001,798800,233.937271
"2015-06-12",237.419998,237.610001,234.960007,235.119995,827700,231.485733
"2015-06-15",233.830002,235.020004,232.669998,233.770004,802400,230.156601
"2015-06-16",234.029999,235,233.039993,234.440002,927900,230.816269
"2015-06-17",235,235.979996,233.080002,233.759995,695500,230.146759
"2015-06-18",233.410004,236.440002,233.279999,236.039993,1299500,232.391525
"2015-06-19",235.699997,236.910004,235.520004,235.850006,796500,232.204468
"2015-06-22",237.539993,238.5,235.570007,235.759995,563700,232.11586
"2015-06-23",236.429993,236.479996,234.190002,235.539993,637000,231.899261
"2015-06-24",235,235.759995,230.520004,230.529999,1348100,226.966705
"2015-06-25",230.75,232.130005,228.820007,229.330002,1472200,225.785248
"2015-06-26",230.110001,230.470001,227.630005,227.919998,1264000,224.397049
"2015-06-29",226.089996,227.820007,224.190002,224.279999,1220500,220.813339
"2015-06-30",225.800003,226.139999,223,224.809998,1396100,221.335098
"2015-07-01",226.899994,227.25,225.009995,225.779999,928300,222.290146
"2015-07-02",226.789993,227.149994,223,224.259995,923100,220.793625
"2015-07-06",222.25,225.179993,221.619995,224.580002,1056700,221.108658
"2015-07-07",225.639999,228.320007,223.770004,228.229996,1473800,224.702225
"2015-07-08",226.550003,227.360001,224.220001,224.520004,1150600,221.049606
"2015-07-09",227.389999,228.059998,226.25,226.899994,1255400,223.392792
"2015-07-10",230,230.130005,228.649994,229.559998,831000,226.011703
"2015-07-13",231.729996,231.990005,229.449997,231.429993,658900,227.852783
"2015-07-14",231.639999,233.860001,230.160004,233.830002,941000,230.215714
"2015-07-15",233.699997,235.190002,230.960007,234.440002,919400,230.816269
"2015-07-16",236.309998,236.860001,234.210007,235.020004,832300,231.387299
"2015-07-17",234.419998,235.679993,233.259995,234.460007,955900,230.835953
"2015-07-20",235.240005,235.240005,233.25,234.550003,819400,230.924545
"2015-07-21",234.960007,234.979996,230.570007,232.490005,943300,228.896393
"2015-07-22",232.440002,235.229996,232.059998,235.130005,950500,231.495621
"2015-07-23",235.059998,235.089996,229.009995,229.479996,1283800,225.932907
"2015-07-24",230.100006,230.399994,226.240005,226.660004,910700,223.156525
"2015-07-27",225.710007,226.619995,224.190002,224.759995,956800,221.285889
"2015-07-28",226.220001,226.970001,223.75,226.740005,1077200,223.235291
"2015-07-29",227.320007,227.630005,224.059998,226.850006,1400600,223.343613
"2015-07-30",221.479996,222.809998,215.600006,217.360001,4628300,214.000259
"2015-07-31",218.100006,220.729996,216.970001,220.570007,2082100,217.16066
"2015-08-03",221.539993,223.630005,220.570007,223.479996,1753000,220.025665
"2015-08-04",223.25,224.190002,222.009995,222.910004,900300,219.464462
"2015-08-05",224.729996,224.729996,222.139999,223.399994,925300,219.946915
"2015-08-06",223.330002,223.600006,218.229996,218.389999,1179700,215.014328
"2015-08-07",218.130005,218.369995,213.729996,216.139999,1904500,212.799103
"2015-08-10",217.619995,219,216.169998,217.339996,937500,213.980591
