"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",23.59,24.08,23.559999,24.01,1002500,21.855453
"2015-01-05",23.9,24.030001,23.4,23.450001,1553400,21.345709
"2015-01-06",23.450001,23.870001,23.209999,23.389999,2165500,21.29109
"2015-01-07",23.65,23.92,23.450001,23.780001,1271400,21.646095
"2015-01-08",23.9,24.51,23.879999,24.360001,1415000,22.174046
"2015-01-09",24.17,24.35,23.040001,23.110001,1455200,21.036219
"2015-01-12",23.030001,23.27,22.700001,23.18,1202900,21.099936
"2015-01-13",23.34,23.66,22.83,23.120001,1115200,21.045321
"2015-01-14",22.879999,23.219999,22.57,23.18,1095100,21.099936
"2015-01-15",23.360001,23.43,23.07,23.17,855100,21.090834
"2015-01-16",23.18,23.75,23.18,23.700001,937700,21.573273
"2015-01-20",23.709999,23.76,23.16,23.620001,1287800,21.500454
"2015-01-21",23.65,23.92,23.549999,23.91,580200,21.764431
"2015-01-22",24,24.01,23.33,23.559999,950100,21.445837
"2015-01-23",23.67,23.709999,23.120001,23.379999,1174200,21.28199
"2015-01-26",23.4,23.48,22.809999,23.040001,1669100,20.972498
"2015-01-27",22.92,23.360001,22.870001,23.139999,1169800,21.063526
"2015-01-28",23.16,23.290001,22.52,22.65,1466700,20.617498
"2015-01-29",22.65,22.860001,21.98,22.780001,3387100,20.73583
"2015-01-30",22.700001,22.950001,22.360001,22.610001,7430400,20.581085
"2015-02-02",22.280001,22.889999,22.200001,22.799999,2386900,20.754032
"2015-02-03",22.809999,23.48,22.49,23.370001,2309200,21.272888
"2015-02-04",22.879999,23.02,21.870001,22.030001,3090100,20.053131
"2015-02-05",22.18,22.41,21.969999,22.35,1739700,20.344416
"2015-02-06",22.33,22.450001,21.809999,21.940001,1457200,19.971207
"2015-02-09",21.799999,22.18,21.799999,21.85,963400,19.889282
"2015-02-10",22,22.07,21.67,22.040001,1560700,20.062235
"2015-02-11",22.01,22.129999,21.549999,21.6,1004600,19.661718
"2015-02-12",21.6,21.700001,21.5,21.549999,1350000,19.616203
"2015-02-13",21.58,21.719999,21.370001,21.57,983600,19.634407
"2015-02-17",21.559999,21.74,21.370001,21.68,1644600,19.734539
"2015-02-18",21.639999,22.370001,21.59,22.32,2028700,20.317104
"2015-02-19",22.450001,22.77,22.17,22.639999,1630700,20.608393
"2015-02-20",22.66,23.040001,22.540001,23.02,1145700,20.954296
"2015-02-23",22.99,23.08,22.639999,22.84,1026400,20.790447
"2015-02-24",22.92,23.360001,22.92,23.26,945900,21.172758
"2015-02-25",23.26,23.290001,22.92,23.1,1005100,21.027115
"2015-02-26",23.120001,23.120001,22.43,22.459999,993900,20.444544
"2015-02-27",22.469999,22.57,22.280001,22.299999,800700,20.298903
"2015-03-02",22.32,22.42,21.700001,21.77,1012400,19.816462
"2015-03-03",21.77,22.120001,21.65,22.01,1191700,20.034927
"2015-03-04",21.940001,21.98,21.57,21.889999,1137600,19.925695
"2015-03-05",21.870001,21.940001,21.59,21.77,891300,19.816462
"2015-03-06",21.530001,21.690001,21.02,21.190001,1317200,19.288511
"2015-03-09",21.200001,21.690001,21.190001,21.25,1083600,19.343124
"2015-03-10",20.950001,20.969999,20.360001,20.4,1116000,18.729815
"2015-03-11",20.450001,21.059999,20.33,20.9,1626500,19.188881
"2015-03-12",21,21.07,20.610001,20.629999,778500,18.940985
"2015-03-13",20.59,20.59,20.01,20.120001,985500,18.472736
"2015-03-16",20.200001,20.76,20.200001,20.700001,1134500,19.005251
"2015-03-17",20.620001,21.09,20.58,21.040001,1109600,19.317417
"2015-03-18",20.969999,21.719999,20.799999,21.58,1067300,19.81321
"2015-03-19",21.52,21.6,21.23,21.360001,614100,19.611219
"2015-03-20",21.440001,22.030001,21.389999,21.950001,2826000,20.152916
"2015-03-23",21.98,22.139999,21.940001,22.07,827700,20.263086
"2015-03-24",22.059999,22.219999,21.790001,21.809999,687400,20.02438
"2015-03-25",21.91,22.040001,21.57,21.59,780600,19.822388
"2015-03-26",21.59,21.75,21.08,21.09,1118000,19.363321
"2015-03-27",21.1,21.23,20.92,21.16,722700,19.427591
"2015-03-30",21.280001,21.76,21.17,21.58,771500,19.81321
"2015-03-31",21.41,21.65,21.139999,21.34,908000,19.592857
"2015-04-01",21.33,21.49,21.190001,21.379999,925400,19.629583
"2015-04-02",21.360001,21.92,21.360001,21.82,1102400,20.033558
"2015-04-06",21.84,22.309999,21.76,22.18,1129500,20.364082
"2015-04-07",22.17,22.559999,22.1,22.27,1025800,20.446716
"2015-04-08",22.41,22.440001,22.01,22.4,1068400,20.566069
"2015-04-09",22.4,22.540001,22.110001,22.389999,1081100,20.556889
"2015-04-10",22.41,22.67,22.32,22.66,796500,20.804787
"2015-04-13",22.66,22.75,22.41,22.41,1013300,20.575254
"2015-04-14",22.48,22.73,22.440001,22.610001,680100,20.758881
"2015-04-15",22.709999,23.120001,22.65,22.9,818100,21.025137
"2015-04-16",22.93,22.93,22.379999,22.59,722000,20.740517
