"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",64.730003,65.379997,64.029999,65.18,55300,63.068146
"2015-01-05",64.769997,64.940002,63.869999,64.220001,66400,62.139252
"2015-01-06",64.239998,64.239998,62.57,62.740002,98200,60.707199
"2015-01-07",63.02,63.02,62.139999,62.73,45400,60.881897
"2015-01-08",62.919998,65.019997,62.919998,64.519997,61900,62.619156
"2015-01-09",62.799999,65.209999,62.799999,63.700001,60900,61.823318
"2015-01-12",64,64.199997,63.049999,63.580002,91000,61.706856
"2015-01-13",63.950001,65.220001,63.18,63.959999,56700,62.075657
"2015-01-14",63.389999,63.93,62.27,63.610001,40000,61.73597
"2015-01-15",63.810001,63.810001,62.25,63.299999,42000,61.435104
"2015-01-16",63.189999,64.470001,63.169998,64.160004,52100,62.269772
"2015-01-20",64.449997,64.449997,63.5,64.169998,52300,62.279465
"2015-01-21",64.139999,64.440002,63.259998,63.720001,32900,61.842731
"2015-01-22",63.790001,65.639999,63.529999,65.550003,45600,63.618824
"2015-01-23",65.43,66.300003,64.900002,65.870003,55700,63.929375
"2015-01-26",65.949997,66.580002,65.309998,66.529999,33900,64.569946
"2015-01-27",66,67.040001,65.529999,66.5,72600,64.540825
"2015-01-28",66.809998,67.559998,66.160004,66.220001,54100,64.269073
"2015-01-29",66.379997,66.610001,65.220001,66.379997,41300,64.42437
"2015-01-30",66.139999,66.989998,65.519997,66.589996,50800,64.628181
"2015-02-02",66.699997,67.550003,65.870003,67.339996,55700,65.356094
"2015-02-03",67.470001,68.959999,67.470001,68.910004,69900,66.879837
"2015-02-04",68.410004,69,68.199997,68.860001,72200,66.831291
"2015-02-05",68.989998,69.809998,68.75,69.690002,53000,67.636848
"2015-02-06",69.959999,69.959999,68.669998,69.260002,40500,67.219505
"2015-02-09",68.75,69.360001,67.730003,68.339996,60500,66.326614
"2015-02-10",68.470001,68.900002,67.879997,68.75,24100,66.724533
"2015-02-11",68.489998,69.410004,68.489998,69.239998,62900,67.200096
"2015-02-12",69.949997,76.129997,69.309998,76.080002,121400,73.838593
"2015-02-13",76.080002,78.510002,75.959999,78.239998,95600,75.934952
"2015-02-17",77.309998,78.199997,76.419998,77.360001,154500,75.080879
"2015-02-18",76,76.980003,76,76.790001,125600,74.527672
"2015-02-19",76.260002,77.25,76.029999,76.709999,107600,74.450027
"2015-02-20",76.43,77.339996,76.379997,77.129997,68400,74.857658
"2015-02-23",77,77.150002,76.370003,76.949997,124900,74.682953
"2015-02-24",76.959999,77,75.599998,75.860001,68400,73.625061
"2015-02-25",76.059998,76.459999,74.989998,75.269997,82300,73.052444
"2015-02-26",75.040001,75.269997,74.510002,74.93,59400,72.722466
"2015-02-27",74.650002,75.389999,74.309998,74.650002,61200,72.450706
"2015-03-02",74.839996,75.309998,74.599998,74.900002,77500,72.693344
"2015-03-03",74.870003,75.239998,74,74.82,30400,72.6157
"2015-03-04",74.639999,74.660004,73.660004,73.93,44500,71.751938
"2015-03-05",74.080002,74.489998,73.080002,73.790001,48500,71.616058
"2015-03-06",73.480003,74.239998,72.760002,73.389999,88500,71.227844
"2015-03-09",73.309998,74.379997,73.139999,73.699997,39000,71.528702
"2015-03-10",72.800003,73.879997,72.800003,73.110001,119100,70.956085
"2015-03-11",73.580002,74.529999,73.059998,74.379997,56700,72.18866
"2015-03-12",74.379997,76,74.379997,75.580002,120700,73.35331
"2015-03-13",75.75,75.75,73.699997,74.25,58700,72.0625
"2015-03-16",74.449997,74.949997,74.279999,74.879997,46200,72.673935
"2015-03-17",74.650002,75.309998,74.190002,74.93,57700,72.722466
"2015-03-18",74.75,75.830002,74.419998,75.589996,81300,73.363029
"2015-03-19",75.480003,75.480003,74.959999,75.25,26500,73.033051
"2015-03-20",75.669998,75.669998,74.93,75.309998,69900,73.09127
"2015-03-23",75.199997,75.279999,74.93,75.129997,53100,72.916565
"2015-03-24",75,75.339996,74.709999,75.269997,119200,73.052444
"2015-03-25",75.07,75.190002,73.940002,74.540001,90000,72.343964
"2015-03-26",74.449997,75.410004,74.150002,75.110001,66800,72.897171
"2015-03-27",75.099998,75.989998,75,75.389999,86200,73.168915
"2015-03-30",76,76.199997,75.209999,75.760002,144200,73.528023
"2015-03-31",75.459999,75.690002,74.410004,74.910004,58800,72.703056
"2015-04-01",75.07,75.489998,74.279999,74.849998,65800,72.644821
"2015-04-02",74.889999,75.209999,73.370003,73.959999,96100,71.781036
"2015-04-06",73.68,74.800003,73.68,74.309998,29800,72.120728
"2015-04-07",74.510002,74.510002,73.43,73.75,34900,71.577225
"2015-04-08",73.489998,73.949997,73.389999,73.860001,50100,71.869141
"2015-04-09",73.760002,74.010002,73.029999,73.809998,23800,71.820488
"2015-04-10",73.959999,74.43,73.5,74.269997,51100,72.268097
"2015-04-13",74.279999,74.349998,73.5,73.620003,37200,71.635612
"2015-04-14",73.739998,73.919998,73.099998,73.519997,50300,71.5383
"2015-04-15",73.720001,73.980003,73.349998,73.739998,34500,71.752373
"2015-04-16",73.75,74,73.169998,73.459999,33200,71.479927
"2015-04-17",73.110001,73.110001,71.900002,72.309998,56100,70.360924
"2015-04-20",72.760002,73.489998,72.019997,73.220001,30700,71.246391
"2015-04-21",73.529999,73.599998,73,73.220001,32200,71.246391
