"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",44.775002,45.935001,44.775002,45.82,2679700,41.897503
"2015-01-05",45.424999,45.650002,43.924999,44.544998,5246400,40.731651
"2015-01-06",44.564999,45.165001,43.610001,44.105,2802300,40.329323
"2015-01-07",44.82,44.82,43.82,44.470001,3506000,40.663082
"2015-01-08",44.985001,45.744999,44.75,45.514999,3500100,41.618614
"2015-01-09",45.435001,45.584999,44.18,44.244999,2622300,40.457344
"2015-01-12",43.724998,44.075001,42.505001,42.709999,4129100,39.053734
"2015-01-13",42.470001,43.215,40.110001,40.43,6287600,36.968925
"2015-01-14",40.005001,40.02,37.98,38.814999,7164700,35.492176
"2015-01-15",38.814999,39.119999,37.619999,38.424999,4730200,35.135574
"2015-01-16",38.610001,39.345001,38.52,38.779999,4567900,35.460175
"2015-01-20",38.73,40.369999,38.73,40.209999,3582600,36.767757
"2015-01-21",40.235001,40.875,40.009998,40.474998,3579600,37.010067
"2015-01-22",40.849998,42.134998,40.474998,41.985001,3960200,38.390812
"2015-01-23",42.084999,44.25,41.785,43.580002,4550500,39.849266
"2015-01-26",43.575001,44.285,43.575001,44.095001,3134600,40.320175
"2015-01-27",43.744999,44.465,43.685001,44.34,2347900,40.544201
"2015-01-28",44.5,45.285,43.945,44.645,4216100,40.823101
"2015-01-29",45.154999,45.619999,44.095001,45.005001,2604600,41.152279
"2015-01-30",44.509998,46.695,44.404999,46.294998,4878900,42.331841
"2015-02-02",46.424999,46.994999,45.485001,46.970001,3141400,42.949062
"2015-02-03",47.040001,47.91,46.639999,47.91,4162100,43.808586
"2015-02-04",48.005001,48.605,47.174999,48.095001,4559800,43.977745
"2015-02-05",48.470001,49.125,48.105,48.650002,3494200,44.485241
"2015-02-06",48.669998,49.959999,48.395,49.439999,4929600,45.207611
"2015-02-09",49.330002,50.224998,49.110001,50.084999,4194100,45.797382
"2015-02-10",50.240002,51.305,49.384998,51.09,4515800,46.716362
"2015-02-11",50.599998,50.994999,50.095001,50.459999,2672200,46.140293
"2015-02-12",50.935001,50.970001,50.099998,50.700001,3178100,46.359745
"2015-02-13",50.880001,51.775002,50.695,51.740002,2945300,47.781937
"2015-02-17",51.634998,52.305,50.875,51.91,3322900,47.938934
"2015-02-18",51.669998,52.349998,51.25,52.314999,2335600,48.312946
"2015-02-19",52.075001,52.935001,51.884998,52.825001,2626900,48.783943
"2015-02-20",52.830002,53.474998,52.16,52.785,3239300,48.746998
"2015-02-23",52.764999,54.064999,52.575001,53.174999,2525500,49.107166
"2015-02-24",53.325001,53.395,52.075001,52.59,2537200,48.566914
"2015-02-25",52.695,53.240002,51.970001,52.330002,2600000,48.326805
"2015-02-26",52.355,54.16,52.355,53.52,3447700,49.42577
"2015-02-27",53.560001,54.105,52.474998,52.5,2193100,48.483795
"2015-03-02",52.044998,52.044998,50.630001,50.889999,4632000,46.99696
"2015-03-03",51.310001,51.834999,50.924999,51.384998,3550500,47.454094
"2015-03-04",51,51.505001,50.439999,51.005001,2344000,47.103168
"2015-03-05",51.18,51.529999,50.84,50.875,1879800,46.983112
"2015-03-06",50.505001,51.305,49.185001,49.244999,2296800,45.477802
"2015-03-09",49.544998,50.945,49.349998,49.884998,2512900,46.068848
"2015-03-10",49.360001,49.375,48,48.060001,3123900,44.383453
"2015-03-11",48.18,48.764999,47.779999,48.435001,2738200,44.729767
"2015-03-12",48.945,49.575001,47.735001,47.834999,2283600,44.175663
"2015-03-13",48.259998,48.650002,47.740002,48.099998,2249100,44.420399
"2015-03-16",47.825001,49.060001,47.145,49.029999,2369600,45.279247
"2015-03-17",48.509998,48.974998,48,48.869999,1770100,45.131489
"2015-03-18",48.75,50.705002,48.665001,50.505001,2519900,46.641415
"2015-03-19",50.075001,50.325001,49.75,50.029999,1583000,46.202744
"2015-03-20",50.255001,51.419998,50,51.130001,3890600,47.218601
"2015-03-23",51.330002,51.900002,51.185001,51.209999,2159000,47.292484
"2015-03-24",51.040001,51.630001,50.75,50.849998,1969400,46.960014
"2015-03-25",51.400002,52.43,51.349998,51.540001,3192300,47.597237
"2015-03-26",51.865002,51.965,50.365002,50.439999,2193200,46.581383
"2015-03-27",50.705002,50.790001,49.634998,49.825001,2057200,46.013432
"2015-03-30",50.205002,51.535,50.205002,51.450001,2250500,47.514126
"2015-03-31",51.060001,52.035,50.845001,51.195,2889600,47.278625
"2015-04-01",51.380001,51.82,50.665001,50.880001,2703300,46.987728
"2015-04-02",50.814999,51.025002,48.445,48.540001,4308500,44.826733
"2015-04-06",48.814999,49.82,48.48,49.27,2554100,45.500889
"2015-04-07",49.494999,49.595001,48.619999,49.119999,2972200,45.362362
"2015-04-08",49.720001,49.994999,49.169998,49.32,2179400,45.547066
"2015-04-09",49.330002,50.169998,49.014999,49.93,2734000,46.110401
"2015-04-10",50.044998,50.259998,49.735001,50.209999,1354000,46.36898
