Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,61.75,62.32,60.779999,61.919998,61.919998,474500
2017-01-04,62.080002,63.52,61.759998,63.18,63.18,477200
2017-01-05,62.810001,62.889999,61.610001,62.5,62.5,411800
2017-01-06,62.310001,62.369999,60.830002,61.029999,61.029999,330200
2017-01-09,60.93,61.66,60.439999,61.549999,61.549999,378400
2017-01-10,61.84,63.259998,61.23,62.66,62.66,504900
2017-01-11,62.48,62.990002,61.950001,62.849998,62.849998,352100
2017-01-12,62.709999,62.82,61.599998,62.290001,62.290001,326400
2017-01-13,61.970001,62.32,61.009998,61.18,61.18,374700
2017-01-17,61.599998,63.77,61.369999,62.509998,62.509998,346900
2017-01-18,62.439999,62.959999,61.75,62.73,62.73,486600
2017-01-19,62.560001,63.029999,62.310001,62.869999,62.869999,578700
2017-01-20,62.580002,63.68,62.43,63.610001,63.610001,482000
2017-01-23,63.34,63.669998,62.099998,62.860001,62.860001,621600
2017-01-24,63.130001,63.919998,62.860001,63.599998,63.599998,467100
2017-01-25,63.68,64.57,63.669998,63.970001,63.970001,1167800
2017-01-26,63.66,64.279999,62.720001,64.0,64.0,778600
2017-01-27,63.75,64.050003,62.779999,63.5,63.5,884200
2017-01-30,63.259998,64.07,63.220001,63.970001,63.970001,809700
2017-01-31,64.209999,64.220001,62.310001,63.700001,63.700001,958800
2017-02-01,63.419998,63.970001,62.860001,63.200001,63.200001,985300
2017-02-02,63.220001,68.830002,63.220001,66.699997,66.699997,2335800
2017-02-03,67.339996,67.830002,66.099998,66.290001,66.290001,814600
2017-02-06,66.480003,67.239998,65.220001,65.25,65.25,897100
2017-02-07,65.610001,66.07,64.419998,64.5,64.5,580400
2017-02-08,66.510002,66.510002,65.220001,65.75,65.75,712500
2017-02-09,65.919998,66.110001,64.720001,66.010002,66.010002,814400
2017-02-10,66.360001,66.599998,65.139999,66.129997,66.129997,586700
2017-02-13,66.239998,66.900002,64.5,64.830002,64.830002,728600
2017-02-14,65.269997,65.980003,64.699997,65.580002,65.580002,578400
2017-02-15,65.349998,66.269997,65.160004,65.720001,65.720001,442900
2017-02-16,65.5,66.290001,64.739998,64.889999,64.889999,587600
2017-02-17,64.989998,65.529999,64.660004,65.099998,65.099998,371300
2017-02-21,65.309998,66.300003,65.239998,66.059998,66.059998,503000
2017-02-22,66.300003,66.809998,65.75,66.389999,66.389999,340000
2017-02-23,66.18,66.339996,65.32,65.389999,65.389999,605200
2017-02-24,65.360001,67.150002,64.809998,66.800003,66.800003,370900
2017-02-27,66.529999,67.949997,66.419998,67.839996,67.839996,355100
2017-02-28,66.970001,66.970001,62.759998,63.700001,63.700001,1967200
2017-03-01,63.709999,66.0,63.709999,65.480003,65.480003,768000
2017-03-02,65.980003,67.5,65.639999,66.019997,66.019997,630300
2017-03-03,66.260002,66.620003,64.75,64.830002,64.830002,386400
2017-03-06,64.230003,66.220001,64.230003,65.900002,65.900002,516300
2017-03-07,65.540001,66.089996,65.169998,65.870003,65.870003,471200
2017-03-08,65.870003,67.269997,65.540001,66.779999,66.779999,412300
2017-03-09,66.459999,66.870003,66.059998,66.410004,66.410004,305800
2017-03-10,66.669998,66.989998,66.019997,66.620003,66.620003,395000
2017-03-13,66.660004,67.989998,66.580002,67.150002,67.150002,515300
2017-03-14,66.989998,67.400002,66.57,67.040001,67.040001,422800
2017-03-15,67.25,68.400002,66.889999,68.129997,68.129997,529100
2017-03-16,68.160004,69.489998,68.089996,69.25,69.25,543300
2017-03-17,69.889999,72.5,69.389999,70.120003,70.120003,1035600
2017-03-20,70.120003,70.650002,69.870003,70.510002,70.510002,382900
2017-03-21,70.580002,71.82,70.300003,71.099998,71.099998,737800
2017-03-22,70.769997,71.410004,70.529999,71.120003,71.120003,432900
2017-03-23,71.160004,71.610001,70.300003,70.519997,70.519997,380100
2017-03-24,70.5,71.5,70.43,71.199997,71.199997,476800
2017-03-27,71.029999,72.059998,70.989998,71.690002,71.690002,525800
2017-03-28,71.589996,71.730003,70.889999,71.150002,71.150002,290200
2017-03-29,71.279999,72.720001,71.18,72.629997,72.629997,486900
2017-03-30,72.459999,73.050003,72.120003,73.019997,73.019997,281600
2017-03-31,72.790001,73.879997,72.790001,73.419998,73.419998,438500
2017-04-03,73.589996,73.739998,72.129997,72.559998,72.559998,404400
2017-04-04,72.440002,73.269997,72.25,73.099998,73.099998,349000
2017-04-05,73.269997,73.300003,71.739998,71.82,71.82,360500
2017-04-06,72.449997,74.93,72.099998,74.300003,74.300003,450200
2017-04-07,74.059998,75.18,73.519997,73.540001,73.540001,505600
2017-04-10,73.849998,74.769997,73.220001,74.410004,74.410004,372300
2017-04-11,74.599998,74.599998,72.639999,74.489998,74.489998,602400
2017-04-12,74.239998,74.580002,73.75,73.970001,73.970001,340000
2017-04-13,74.150002,74.540001,73.800003,74.139999,74.139999,331900
2017-04-17,74.459999,74.900002,73.82,74.290001,74.290001,300700
2017-04-18,74.389999,74.489998,73.720001,74.150002,74.150002,307100
2017-04-19,67.190002,70.0,67.190002,68.18,68.18,1547900
2017-04-20,68.300003,69.690002,68.099998,69.440002,69.440002,429100
2017-04-21,69.650002,70.019997,69.160004,69.790001,69.790001,293500
2017-04-24,69.959999,70.589996,69.620003,70.470001,70.470001,588300
2017-04-25,70.739998,71.199997,70.32,71.169998,71.169998,321900
2017-04-26,71.379997,71.900002,70.970001,71.860001,71.860001,249200
2017-04-27,71.980003,72.080002,70.629997,71.110001,71.110001,197700
2017-04-28,70.940002,71.0,68.93,69.57,69.57,381800
2017-05-01,69.540001,70.239998,69.050003,69.099998,69.099998,444900
2017-05-02,66.860001,67.739998,64.470001,65.760002,65.760002,1982600
2017-05-03,65.330002,66.370003,64.029999,66.25,66.25,765500
2017-05-04,66.120003,66.529999,64.68,65.0,65.0,844100
2017-05-05,65.080002,66.190002,64.589996,66.190002,66.190002,954800
2017-05-08,66.080002,66.839996,64.970001,65.370003,65.370003,413700
2017-05-09,65.379997,67.040001,65.339996,65.839996,65.839996,646500
2017-05-10,65.860001,67.540001,65.68,67.190002,67.190002,566900
2017-05-11,66.449997,67.93,66.449997,67.690002,67.690002,544200
2017-05-12,67.419998,68.800003,66.879997,68.559998,68.559998,741000
2017-05-15,68.720001,69.25,68.279999,69.07,69.07,652300
2017-05-16,69.370003,69.370003,67.449997,68.379997,68.379997,671900
2017-05-17,68.379997,68.379997,66.050003,66.599998,66.599998,589400
2017-05-18,66.849998,68.260002,66.110001,67.5,67.5,398500
2017-05-19,67.709999,68.68,67.5,68.559998,68.559998,270200
2017-05-22,68.779999,69.830002,68.779999,69.669998,69.669998,329900
2017-05-23,69.290001,69.290001,67.580002,67.690002,67.690002,421900
2017-05-24,67.959999,68.0,66.730003,67.870003,67.870003,281400
2017-05-25,67.769997,68.830002,67.43,68.559998,68.559998,398100
2017-05-26,68.690002,68.860001,67.410004,68.370003,68.370003,363300
2017-05-30,68.25,68.639999,67.449997,68.019997,68.019997,900900
2017-05-31,68.360001,68.360001,67.029999,68.029999,68.029999,380500
2017-06-01,68.349998,70.169998,67.360001,70.059998,70.059998,617100
2017-06-02,69.809998,70.720001,69.459999,69.949997,69.949997,339600
2017-06-05,69.68,69.709999,68.610001,69.400002,69.400002,325400
2017-06-06,68.419998,68.419998,66.75,67.769997,67.769997,363900
2017-06-07,68.0,68.540001,67.330002,67.419998,67.419998,358400
2017-06-08,67.610001,68.449997,66.790001,67.470001,67.470001,546300
2017-06-09,67.57,68.470001,67.480003,68.309998,68.309998,284500
2017-06-12,68.129997,69.269997,67.349998,68.660004,68.660004,330000
2017-06-13,68.620003,69.230003,68.010002,68.540001,68.540001,296000
2017-06-14,68.800003,69.169998,67.970001,68.82,68.82,210000
2017-06-15,68.139999,70.099998,68.139999,69.830002,69.830002,363100
2017-06-16,69.620003,71.279999,68.919998,71.199997,71.199997,689300
2017-06-19,71.5,72.580002,71.18,72.5,72.5,473900
2017-06-20,72.089996,72.620003,70.830002,71.25,71.25,411800
2017-06-21,71.290001,71.290001,69.540001,69.989998,69.989998,470800
2017-06-22,69.790001,71.18,69.040001,71.129997,71.129997,447500
2017-06-23,70.839996,72.769997,70.75,72.620003,72.620003,954300
2017-06-26,73.010002,73.019997,72.389999,72.449997,72.449997,251400
2017-06-27,72.580002,73.029999,71.900002,72.010002,72.010002,219900
2017-06-28,72.849998,73.919998,72.709999,72.839996,72.839996,523600
2017-06-29,73.129997,73.949997,72.07,73.110001,73.110001,1190400
2017-06-30,73.599998,74.449997,72.440002,74.110001,74.110001,494700
2017-07-03,74.32,74.629997,73.419998,73.68,73.68,200800
2017-07-05,73.389999,73.650002,72.370003,73.099998,73.099998,573400
2017-07-06,72.889999,73.050003,70.779999,70.93,70.93,365500
2017-07-07,71.150002,72.139999,70.330002,71.900002,71.900002,310800
2017-07-10,71.550003,72.730003,71.480003,71.529999,71.529999,366300
2017-07-11,71.529999,72.190002,70.849998,71.07,71.07,224100
2017-07-12,71.099998,72.129997,70.769997,71.32,71.32,259200
2017-07-13,71.620003,73.459999,71.389999,72.75,72.75,590700
2017-07-14,72.739998,73.419998,72.059998,73.07,73.07,258400
2017-07-17,73.559998,73.919998,72.910004,73.010002,73.010002,446300
2017-07-18,73.0,73.519997,71.849998,72.25,72.25,337500
2017-07-19,72.690002,73.169998,72.110001,72.709999,72.709999,368200
2017-07-20,73.120003,73.720001,72.82,73.389999,73.389999,240200
2017-07-21,73.300003,73.949997,72.589996,73.82,73.82,204800
2017-07-24,73.739998,74.190002,73.5,73.620003,73.620003,216100
2017-07-25,73.959999,76.830002,73.949997,75.110001,75.110001,552700
2017-07-26,75.480003,75.849998,74.080002,75.190002,75.190002,255500
