"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",78.07,78.660004,76.760002,78.25,169100,75.821648
"2015-01-05",78.089996,78.099998,75.650002,75.699997,268400,73.350784
"2015-01-06",76,76.360001,74.330002,74.709999,257600,72.391495
"2015-01-07",75.269997,75.940002,73.75,73.93,358700,71.635696
"2015-01-08",74.519997,76,74.25,75.330002,286900,72.992256
"2015-01-09",75.580002,75.739998,73.959999,74.169998,226300,71.868248
"2015-01-12",74.260002,74.260002,72.970001,73.360001,375600,71.083389
"2015-01-13",73.879997,74.970001,72.440002,73.529999,349800,71.248108
"2015-01-14",72.510002,73.650002,72.5,73.25,182900,70.976807
"2015-01-15",73.360001,73.959999,72.07,72.190002,229100,69.949707
"2015-01-16",72.029999,72.919998,71.580002,72.529999,286200,70.279144
"2015-01-20",72.660004,73.360001,71.889999,72.209999,259100,69.969101
"2015-01-21",72,73.110001,71.82,72.760002,355100,70.502022
"2015-01-22",73.080002,73.720001,72.059998,73.010002,347700,70.744255
"2015-01-23",72.860001,73.489998,72.230003,72.5,263300,70.250084
"2015-01-26",72.18,73.760002,71.940002,73.529999,297100,71.248108
"2015-01-27",72.620003,73.949997,72.620003,73.389999,271900,71.11248
"2015-01-28",73.690002,74.470001,72.419998,72.510002,150300,70.259773
"2015-01-29",72.550003,73.839996,72.019997,73.68,248900,71.393456
"2015-01-30",73.18,74.199997,72.650002,72.860001,390900,70.598907
"2015-02-02",73.029999,73.620003,72.099998,73.459999,342500,71.18029
"2015-02-03",73.739998,75.410004,73.389999,75.309998,616800,72.972878
"2015-02-04",75.129997,75.449997,74.330002,74.43,189400,72.120178
"2015-02-05",75.010002,75.559998,74.809998,75.360001,193800,73.021317
"2015-02-06",76.120003,76.18,74.93,75.75,207300,73.399216
"2015-02-09",75.220001,76.139999,75.089996,75.699997,115100,73.350784
"2015-02-10",76.32,76.32,75,75.720001,160300,73.370163
"2015-02-11",75.68,76.339996,75.220001,76.099998,102500,73.738358
"2015-02-12",76.050003,76.75,75.940002,76.669998,188200,74.290672
"2015-02-13",76.610001,78.360001,76.610001,78.040001,163100,75.618156
"2015-02-17",77.830002,78.330002,77.279999,77.68,133400,75.269325
"2015-02-18",77.339996,78.830002,77.339996,78.260002,153200,75.831329
"2015-02-19",77.870003,78.57,77.610001,78.290001,143400,75.860397
"2015-02-20",78.019997,78.510002,77.5,78.459999,138200,76.239365
"2015-02-23",78.379997,78.610001,77.529999,78.599998,221300,76.375397
"2015-02-24",78.629997,79.129997,77.830002,78.410004,411500,76.190765
"2015-02-25",77.720001,80.5,77.419998,78.599998,552300,76.375397
"2015-02-26",78.379997,78.620003,77.089996,77.550003,290800,75.355118
"2015-02-27",76.940002,77.480003,76.669998,76.93,170100,74.752678
"2015-03-02",76.970001,77.940002,76.959999,77.919998,172100,75.71463
"2015-03-03",77.940002,78.339996,77.300003,77.449997,151300,75.257942
"2015-03-04",77.029999,77.690002,76.150002,76.43,120500,74.266815
"2015-03-05",76.559998,76.980003,75.900002,76.5,155800,74.334831
"2015-03-06",76.150002,76.610001,75.07,75.410004,177300,73.275688
"2015-03-09",75.57,76.120003,75.260002,75.32,175200,73.18824
"2015-03-10",74.510002,75.830002,73.68,73.699997,228300,71.614075
"2015-03-11",73.330002,73.959999,72.93,73.800003,347300,71.71125
"2015-03-12",74.419998,75.870003,74.370003,75.580002,241800,73.440872
"2015-03-13",75.559998,75.970001,74.68,75.279999,273700,73.149368
"2015-03-16",75.889999,76.940002,74.870003,76.800003,234900,74.62635
"2015-03-17",76.839996,77.879997,76.440002,77.769997,379700,75.568886
"2015-03-18",77.300003,79.400002,77.099998,79.010002,271500,76.773804
"2015-03-19",78.870003,79,77.839996,78.129997,176300,75.918701
"2015-03-20",78.550003,79.099998,78.199997,78.260002,410900,76.045021
"2015-03-23",78.389999,78.93,77.800003,77.879997,163300,75.675774
"2015-03-24",77.879997,78.019997,77.010002,77.169998,173000,74.98587
"2015-03-25",77.459999,77.93,76.349998,76.449997,125700,74.286255
"2015-03-26",76,76.82,75.629997,76.43,167900,74.266815
"2015-03-27",76.57,77.830002,76.230003,77.419998,242600,75.22879
"2015-03-30",77.919998,78.699997,77.910004,78.519997,158700,76.297661
"2015-03-31",77.910004,78.400002,77.639999,78.339996,155500,76.122749
"2015-04-01",78.279999,78.480003,76.529999,76.720001,254600,74.548615
"2015-04-02",76.870003,77.57,76.370003,77.239998,198600,75.053894
"2015-04-06",76.940002,79.010002,76.900002,78.779999,276700,76.550308
"2015-04-07",79,79,78.32,78.43,223600,76.21022
"2015-04-08",78.349998,78.93,77.870003,78.650002,189800,76.423988
"2015-04-09",78.339996,78.82,77.980003,78.68,127500,76.453133
"2015-04-10",78.629997,79.519997,78.5,78.800003,152600,76.56974
"2015-04-13",78.559998,79.489998,78.300003,78.300003,185600,76.0839
"2015-04-14",78.360001,79.059998,77.870003,78.830002,247600,76.5989
"2015-04-15",79.160004,79.989998,79,79.260002,171000,77.016716
