"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",45.040001,45.110001,44.459999,44.82,1435300,41.670105
"2015-01-05",44.470001,44.580002,43.48,43.59,2155800,40.526543
"2015-01-06",42.5,43.220001,42.310001,42.650002,3367600,39.652615
"2015-01-07",42.919998,43.02,42.389999,42.790001,3319000,39.782776
"2015-01-08",43.049999,43.630001,43,43.27,2344800,40.229038
"2015-01-09",43.380001,43.470001,42.650002,42.720001,1930800,39.717693
"2015-01-12",42.740002,42.990002,42.25,42.799999,1610100,39.792068
"2015-01-13",43.119999,43.610001,42.490002,42.990002,1740800,39.968716
"2015-01-14",42.52,42.830002,42.290001,42.799999,1566700,39.792068
"2015-01-15",42.91,43.110001,42.189999,42.200001,5863700,39.234238
"2015-01-16",42.049999,42.75,41.919998,42.700001,3234900,39.6991
"2015-01-20",43.049999,43.41,42.720001,43.310001,2116100,40.266228
"2015-01-21",43.119999,43.970001,42.990002,43.860001,3564400,40.777573
"2015-01-22",44.16,45.25,43.860001,45.130001,3678500,41.958321
"2015-01-23",44.889999,45.25,44.700001,44.860001,2100500,41.707294
"2015-01-26",44.709999,44.810001,44.459999,44.700001,1751500,41.55854
"2015-01-27",44.259998,44.66,44.07,44.169998,1555700,41.065784
"2015-01-28",44.380001,44.43,43.709999,43.799999,1978900,40.72179
"2015-01-29",43.75,44.560001,43.700001,44.34,3002600,41.223839
"2015-01-30",44.029999,44.34,43.5,43.560001,3574800,40.498653
"2015-02-02",43.59,43.810001,42.93,43.720001,2645800,40.647411
"2015-02-03",43.799999,44.459999,43.759998,44.150002,3414300,41.047192
"2015-02-04",43.869999,44.16,43.43,43.75,3014500,40.675304
"2015-02-05",43.970001,44.169998,43.700001,43.98,1863500,40.889141
"2015-02-06",43.810001,44.040001,43.259998,43.48,2257600,40.424278
"2015-02-09",43.119999,43.740002,43.080002,43.43,1593600,40.377792
"2015-02-10",43.68,43.990002,43.59,43.869999,1628400,40.786865
"2015-02-11",43.799999,43.889999,43.32,43.709999,2010300,40.638115
"2015-02-12",43.209999,44.25,43.16,43.57,3931700,40.507954
"2015-02-13",43.529999,45.849998,43.450001,45.59,4698700,42.385994
"2015-02-17",45.5,45.5,44.759998,45.130001,2017700,41.958321
"2015-02-18",45.09,45.709999,44.810001,45.689999,2070300,42.478962
"2015-02-19",45.650002,45.689999,45.220001,45.549999,1384400,42.348804
"2015-02-20",45.599998,45.619999,44.970001,45.279999,1906000,42.097771
"2015-02-23",45.310001,46.080002,45.290001,45.630001,1860600,42.423183
"2015-02-24",45.630001,46.259998,45.599998,46.139999,1831600,42.897331
"2015-02-25",46.200001,46.580002,46.009998,46.48,2037200,43.213444
"2015-02-26",46.459999,46.709999,45.75,45.790001,2351300,42.571934
"2015-02-27",45.709999,45.860001,45.049999,45.209999,2685900,42.0327
"2015-03-02",44.75,45.099998,44.450001,44.950001,4534400,41.79097
"2015-03-03",44.59,45.169998,44.389999,44.830002,2168600,41.912502
"2015-03-04",44.560001,45.07,44.48,44.669998,4791000,41.76292
"2015-03-05",44.830002,44.970001,44.59,44.790001,2267900,41.875111
"2015-03-06",44.560001,44.919998,43.860001,44.099998,1877100,41.230015
"2015-03-09",44.040001,44.439999,44.040001,44.150002,1472500,41.276764
"2015-03-10",43.810001,43.939999,43.099998,43.189999,2087900,40.379242
"2015-03-11",43.119999,43.27,42.599998,42.669998,2046900,39.893074
