Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,38.119999,38.73,37.189999,37.810001,37.649513,4086300
2017-01-04,37.77,38.799999,37.68,38.529999,38.366455,3242000
2017-01-05,38.66,38.98,38.32,38.669998,38.505863,2946100
2017-01-06,38.669998,39.200001,38.119999,38.990002,38.824509,2916200
2017-01-09,38.57,39.139999,37.950001,38.07,37.908409,3264300
2017-01-10,38.150002,38.169998,37.630001,37.759998,37.599724,2112600
2017-01-11,37.84,38.91,37.810001,38.529999,38.366455,2484300
2017-01-12,38.669998,38.720001,37.639999,38.16,37.998032,3266400
2017-01-13,37.73,38.240002,37.360001,37.400002,37.241257,2444600
2017-01-17,37.66,37.82,37.310001,37.669998,37.510105,2912300
2017-01-18,37.290001,37.509998,36.82,37.419998,37.261166,3467000
2017-01-19,37.75,38.389999,37.709999,37.900002,37.739132,3708400
2017-01-20,38.330002,39.25,38.290001,39.080002,38.914124,3677900
2017-01-23,38.650002,38.73,37.869999,38.43,38.26688,4367500
2017-01-24,38.740002,39.25,38.349998,39.040001,38.874294,1944000
2017-01-25,39.07,39.790001,39.07,39.720001,39.551407,2418800
2017-01-26,39.790001,39.939999,39.169998,39.25,39.083401,2442400
2017-01-27,39.150002,39.529999,38.689999,38.869999,38.705009,1608400
2017-01-30,38.509998,38.619999,37.200001,37.549999,37.390614,3175600
2017-01-31,37.599998,37.889999,37.049999,37.810001,37.649513,3068700
2017-02-01,38.189999,39.68,37.700001,38.549999,38.386372,14113200
2017-02-02,38.450001,38.700001,37.540001,37.799999,37.639557,3456000
2017-02-03,37.830002,38.709999,37.740002,38.57,38.406284,2631700
2017-02-06,38.580002,38.720001,37.400002,37.459999,37.300999,4376000
2017-02-07,38.02,40.75,37.259998,39.290001,39.12323,12138600
2017-02-08,39.59,39.59,38.099998,39.209999,39.043568,5106900
2017-02-09,39.209999,39.84,38.939999,38.990002,38.824509,3877700
2017-02-10,39.490002,39.950001,39.220001,39.419998,39.252678,3120500
2017-02-13,39.400002,39.900002,39.32,39.599998,39.431911,1726800
2017-02-14,39.75,40.75,39.509998,40.66,40.487415,3057300
2017-02-15,40.189999,40.630001,40.009998,40.419998,40.248432,3163500
2017-02-16,40.560001,40.799999,40.060001,40.240002,40.069202,2651400
2017-02-17,40.029999,40.18,38.93,39.310001,39.143147,3115500
2017-02-21,39.84,40.299999,39.529999,39.560001,39.39209,2407500
2017-02-22,39.060001,39.41,38.77,38.860001,38.695057,3023900
2017-02-23,40.389999,40.599998,39.380001,39.709999,39.541451,4138200
2017-02-24,39.220001,39.959999,39.060001,39.790001,39.621109,3146600
2017-02-27,39.91,41.540001,39.84,41.099998,40.925545,4477500
2017-02-28,40.630001,41.049999,40.279999,40.419998,40.248432,3554600
2017-03-01,40.889999,41.880001,40.73,41.740002,41.562836,3273300
2017-03-02,41.299999,41.900002,40.25,40.290001,40.118988,4117300
2017-03-03,40.830002,41.0,40.139999,40.380001,40.208603,2689200
2017-03-06,40.110001,40.220001,39.5,39.869999,39.700768,2768300
2017-03-07,39.91,40.07,39.139999,39.299999,39.133186,3104600
2017-03-08,39.200001,39.630001,37.759998,37.939999,37.778957,7104700
2017-03-09,37.540001,38.18,36.810001,37.689999,37.530022,6055000
2017-03-10,37.830002,38.009998,37.32,37.84,37.679386,2275000
2017-03-13,37.919998,38.119999,37.630001,38.099998,37.938282,3037300
2017-03-14,37.389999,37.939999,36.439999,37.759998,37.599724,5228000
2017-03-15,38.200001,39.23,37.73,39.130001,39.015575,4157500
2017-03-16,39.290001,39.759998,38.630001,39.150002,39.035515,3059200
2017-03-17,39.259998,40.290001,39.23,39.310001,39.195049,5460400
2017-03-20,38.91,39.349998,38.400002,39.209999,39.095341,2009000
2017-03-21,39.299999,39.560001,38.32,38.919998,38.806187,3338700
2017-03-22,38.720001,39.130001,38.439999,38.709999,38.596798,3335700
2017-03-23,38.48,38.84,38.259998,38.41,38.297676,2544500
2017-03-24,38.540001,38.880001,38.290001,38.459999,38.34753,2057400
2017-03-27,37.84,38.549999,37.630001,38.419998,38.307648,2854800
2017-03-28,38.619999,39.48,38.139999,39.299999,39.185074,2577700
2017-03-29,39.200001,40.369999,38.959999,40.34,40.222034,2693100
2017-03-30,40.529999,40.900002,40.029999,40.07,39.952824,4451200
2017-03-31,40.0,40.490002,39.830002,40.09,39.972767,3201900
2017-04-03,40.18,40.330002,39.529999,39.68,39.563965,3095800
2017-04-04,39.650002,39.650002,39.0,39.509998,39.394463,4135800
2017-04-05,39.889999,40.25,38.959999,39.07,38.95575,3250400
2017-04-06,39.43,39.57,39.09,39.400002,39.284782,2174400
2017-04-07,39.400002,39.439999,38.869999,38.889999,38.776276,1924800
2017-04-10,39.169998,39.360001,38.970001,39.16,39.045486,2317000
2017-04-11,39.09,39.169998,38.349998,38.73,38.616745,3796200
2017-04-12,38.84,38.970001,37.630001,37.779999,37.669521,6093300
2017-04-13,37.66,37.900002,37.459999,37.709999,37.599724,4767900
2017-04-17,37.709999,37.790001,37.279999,37.560001,37.450165,2193800
2017-04-18,37.220001,37.560001,36.790001,36.900002,36.792095,3092000
2017-04-19,37.080002,37.16,35.740002,35.830002,35.725224,4500400
2017-04-20,36.060001,36.18,35.540001,35.630001,35.525806,3208000
2017-04-21,35.130001,35.240002,34.509998,34.650002,34.548676,6336700
2017-04-24,35.049999,35.599998,34.93,35.43,35.326393,3948200
2017-04-25,35.57,35.919998,35.299999,35.82,35.715252,4044900
2017-04-26,35.57,36.580002,35.57,36.150002,36.044289,3963800
2017-04-27,35.5,35.759998,34.130001,34.98,34.877708,5851200
2017-04-28,35.25,35.25,34.700001,34.970001,34.867741,2798900
2017-05-01,34.869999,35.009998,34.259998,34.259998,34.159813,3356700
2017-05-02,34.259998,34.369999,33.48,33.689999,33.59148,4289700
2017-05-03,33.549999,33.990002,33.450001,33.860001,33.760986,2872500
2017-05-04,33.529999,33.740002,32.82,33.25,33.152767,3156200
2017-05-05,33.299999,34.389999,33.23,34.349998,34.24955,3756900
2017-05-08,34.25,34.34,33.630001,34.040001,33.940456,2495000
2017-05-09,33.970001,33.990002,33.57,33.759998,33.661278,2098400
2017-05-10,34.080002,34.450001,33.860001,34.080002,33.980343,3831300
2017-05-11,34.34,34.360001,33.73,33.799999,33.701157,2373300
2017-05-12,33.810001,33.98,33.5,33.790001,33.691189,2782300
2017-05-15,34.450001,34.57,33.650002,33.91,33.810841,3153100
2017-05-16,34.16,34.290001,33.740002,34.080002,33.980343,2592200
