"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",12.8,12.96,12.73,12.92,676200,9.127335
"2015-01-05",12.9,12.94,12.66,12.76,897900,9.014301
"2015-01-06",12.77,12.91,12.71,12.77,702800,9.021366
"2015-01-07",12.83,12.92,12.7,12.92,804600,9.127335
"2015-01-08",12.96,12.99,12.84,12.89,1209900,9.106141
"2015-01-09",12.87,12.92,12.55,12.61,1220500,8.908335
"2015-01-12",12.6,12.64,12.49,12.57,896600,8.880077
"2015-01-13",12.59,12.68,12.16,12.21,1698100,8.625754
"2015-01-14",12.14,12.34,12.1,12.31,2525100,8.696399
"2015-01-15",12.35,12.39,12.27,12.35,1169000,8.724657
"2015-01-16",12.28,12.56,12.26,12.56,767900,8.873013
"2015-01-20",12.6,12.62,12.47,12.59,686900,8.894206
"2015-01-21",12.6,13.01,12.54,13,1587100,9.183849
"2015-01-22",13.06,13.23,13,13.14,873800,9.282752
"2015-01-23",13.14,13.17,12.93,12.95,955800,9.148527
"2015-01-26",12.95,13.07,12.92,13.06,1643100,9.226237
"2015-01-27",13.03,13.08,12.94,12.95,785200,9.148527
"2015-01-28",13,13.07,12.89,12.96,1687100,9.155593
"2015-01-29",12.99,13,12.89,12.91,1009400,9.120269
"2015-01-30",12.87,12.87,12.67,12.75,1652000,9.007237
"2015-02-02",12.75,12.81,12.51,12.63,2019700,8.922462
"2015-02-03",12.64,12.93,12.64,12.9,911600,9.113203
"2015-02-04",12.85,12.9,12.73,12.85,869100,9.077883
"2015-02-05",12.9,13.05,12.83,13.04,686800,9.212107
"2015-02-06",13.01,13.01,12.83,12.89,773000,9.106141
"2015-02-09",12.89,13,12.83,12.87,466500,9.092011
"2015-02-10",12.92,12.92,12.71,12.81,465700,9.049624
"2015-02-11",12.81,12.93,12.77,12.87,509900,9.092011
"2015-02-12",12.9,13.04,12.9,13.03,610500,9.205043
"2015-02-13",13.03,13.13,12.99,13.11,620500,9.261558
"2015-02-17",13.11,13.16,12.99,13.04,478900,9.212107
"2015-02-18",13.04,13.08,12.91,13.08,500700,9.240366
"2015-02-19",13.05,13.1,12.95,13.08,463400,9.240366
"2015-02-20",13.05,13.1,12.94,13.09,636000,9.24743
"2015-02-23",13.58,14.37,13.52,14.25,5595300,10.066913
"2015-02-24",14.26,14.54,13.88,14.45,3710700,10.208203
"2015-02-25",14.45,14.65,14.43,14.6,1578300,10.31417
"2015-02-26",14.58,14.9,14.55,14.87,1971200,10.504911
"2015-02-27",14.9,15.43,14.75,15.11,4685300,10.674459
"2015-03-02",15.1,15.17,14.94,15.11,1415900,10.674459
"2015-03-03",15.1,15.26,15.02,15.16,1693500,10.709782
