"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",49.900002,50.349998,49.529999,49.919998,1569200,41.709106
"2015-01-05",49.25,49.279999,46.970001,47.060001,2151200,39.319515
"2015-01-06",47.060001,47.349998,44.77,45.099998,2959800,37.681896
"2015-01-07",45.610001,45.84,44.369999,44.77,2441900,37.406178
"2015-01-08",45.389999,45.599998,44.939999,45.259998,1624100,37.815582
"2015-01-09",45.150002,45.439999,43.240002,43.720001,2738300,36.528877
"2015-01-12",43.07,43.169998,40.48,41.099998,4268400,34.339825
"2015-01-13",41.189999,41.98,39.529999,40.23,2929800,33.612926
"2015-01-14",40.330002,42.369999,39.889999,42.32,4809900,35.359161
"2015-01-15",42.32,43.639999,42.23,42.299999,3498000,35.342449
"2015-01-16",42.130001,43.119999,42.02,42.889999,2134100,35.8354
"2015-01-20",43.080002,43.75,42.5,43.689999,2797600,36.503819
"2015-01-21",43.799999,45.43,43.75,45.369999,3137600,37.90749
"2015-01-22",45.939999,46.240002,44.16,44.5,4600900,37.180588
"2015-01-23",44.389999,44.860001,43.759998,44.060001,2119000,36.812969
"2015-01-26",44.209999,45.23,44.060001,45.029999,1252400,37.623413
"2015-01-27",44.84,45.439999,44.32,44.689999,1662200,37.339344
"2015-01-28",44.209999,44.560001,42.060001,42.169998,2225900,35.717358
"2015-01-29",42.400002,43.110001,41.48,43.029999,1610500,36.445766
"2015-01-30",42.740002,44.34,42.369999,44.029999,2573500,37.292755
"2015-02-02",44.400002,45.259998,44.130001,45.189999,2076900,38.275257
"2015-02-03",45.439999,46.990002,45.360001,46.779999,2221200,39.62196
"2015-02-04",45.75,46.09,44.77,45.470001,2213800,38.512417
"2015-02-05",46.16,47.830002,45.91,47.220001,1835200,39.994633
"2015-02-06",47.32,47.43,46,46.880001,2092700,39.706665
"2015-02-09",46.950001,47.380001,46,46.200001,1420100,39.130707
"2015-02-10",46.439999,46.5,45.130001,46.130001,1662200,39.071415
"2015-02-11",45.720001,45.93,45.099998,45.669998,1370600,38.681808
"2015-02-12",46.27,48.02,46.009998,47.279999,2981600,40.045456
"2015-02-13",47.740002,48.290001,47.080002,47.32,2571700,40.079334
"2015-02-17",47.310001,48.650002,46.639999,48.509998,2618100,41.087238
"2015-02-18",48.34,48.669998,47.759998,48.220001,2018500,40.841621
"2015-02-19",47.509998,48.189999,47.16,47.5,2007000,40.231789
"2015-02-20",47.470001,47.939999,47.169998,47.669998,1670800,40.375782
"2015-02-23",47.18,47.68,46.02,47.419998,2466100,40.164024
"2015-02-24",46.200001,46.220001,44.73,45.099998,3519800,38.199028
"2015-02-25",44.970001,45.509998,44.52,45.389999,2563800,38.444656
"2015-02-26",45.150002,45.27,43.59,43.970001,2315100,37.241932
"2015-02-27",44.299999,44.349998,43.580002,44.259998,1609400,37.487556
"2015-03-02",44.259998,44.290001,43.59,44.07,1397500,37.32663
"2015-03-03",44.09,45.279999,44.049999,45.23,1563700,38.309128
"2015-03-04",45.200001,45.27,44.34,45.029999,1842800,38.13974
"2015-03-05",45.119999,46.130001,45.099998,45.990002,1774100,38.952843
"2015-03-06",45.459999,47.16,45.349998,47.130001,3267800,39.918404
"2015-03-09",47.560001,48.279999,46.669998,46.990002,3905200,39.799831
"2015-03-10",46.389999,46.880001,46.110001,46.369999,2264700,39.274696
"2015-03-11",45.73,46.639999,45.73,46.110001,1729100,39.054489
"2015-03-12",46.34,46.490002,45.889999,46.34,1612300,39.249283
"2015-03-13",46.27,46.310001,44.310001,44.869999,2630000,38.004219
"2015-03-16",44.84,45.16,44.169998,45.130001,2323900,38.224442
"2015-03-17",44.849998,45.849998,44.720001,45.779999,1614300,38.774975
"2015-03-18",45.880001,47.5,45.32,47.43,2345800,40.172504
"2015-03-19",47.110001,47.189999,46.130001,46.419998,1683600,39.317047
"2015-03-20",46.959999,47.880001,46.75,47.369999,5568700,40.121681
"2015-03-23",47.369999,48.720001,47.369999,48.619999,1869100,41.180412
