"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",36.259998,36.459999,35.630001,36.240002,205400,36.240002
"2015-01-05",36.16,36.549999,35.419998,35.68,374300,35.68
"2015-01-06",35.639999,36.049999,34.330002,35.009998,159800,35.009998
"2015-01-07",35.139999,35.139999,34.02,34.41,237800,34.41
"2015-01-08",34.720001,35.439999,34.150002,35.080002,232400,35.080002
"2015-01-09",35.080002,35.450001,34.549999,34.630001,126300,34.630001
"2015-01-12",34.509998,34.68,33.970001,34.299999,185700,34.299999
"2015-01-13",34.470001,35.77,34.240002,34.900002,406600,34.900002
"2015-01-14",34.509998,34.950001,33.759998,33.799999,172400,33.799999
"2015-01-15",33.779999,34.32,32.169998,32.290001,458100,32.290001
"2015-01-16",32.139999,32.560001,31.389999,32.450001,540000,32.450001
"2015-01-20",32.650002,32.880001,31.799999,32.25,211800,32.25
"2015-01-21",32.169998,32.57,31.35,31.719999,243600,31.719999
"2015-01-22",31.940001,34.200001,31.690001,33.540001,474600,33.540001
"2015-01-23",33.630001,34,33.049999,33.16,148000,33.16
"2015-01-26",33.16,33.18,32.66,32.880001,123000,32.880001
"2015-01-27",32.59,33.439999,32.259998,32.860001,270500,32.860001
"2015-01-28",33.040001,33.040001,31.93,31.959999,174900,31.959999
"2015-01-29",31.940001,32.279999,31.82,32.110001,175400,32.110001
"2015-01-30",31.75,31.99,31.48,31.6,215100,31.6
"2015-02-02",31.77,32,31.5,31.99,151200,31.99
"2015-02-03",32.200001,33.900002,32.200001,33.779999,292700,33.779999
"2015-02-04",33.650002,34.240002,33.650002,33.740002,212400,33.740002
"2015-02-05",33.869999,35.060001,33.810001,34.68,199900,34.68
"2015-02-06",34.810001,34.990002,34.299999,34.459999,65600,34.459999
"2015-02-09",34.25,34.43,33.669998,34.029999,85000,34.029999
"2015-02-10",34.240002,34.790001,33.700001,34.73,132600,34.73
"2015-02-11",34.459999,34.830002,33.82,33.970001,132300,33.970001
"2015-02-12",34.07,34.27,33.860001,34.18,116600,34.18
"2015-02-13",34.169998,34.77,33.880001,34.18,229700,34.18
"2015-02-17",34.009998,34.66,33.470001,34.450001,160200,34.450001
"2015-02-18",34.290001,34.689999,33.790001,33.880001,69300,33.880001
"2015-02-19",33.740002,34.450001,33.580002,34.169998,86300,34.169998
"2015-02-20",34.200001,38.900002,33.68,38.57,1169300,38.57
"2015-02-23",38.599998,39.849998,37.720001,39.740002,507600,39.740002
"2015-02-24",39.650002,40.560001,37.119999,37.650002,535600,37.650002
"2015-02-25",37.529999,39.630001,37.529999,38.700001,248000,38.700001
"2015-02-26",38.599998,39.25,38.349998,38.900002,260300,38.900002
"2015-02-27",38.959999,39.459999,38.200001,38.450001,321300,38.450001
"2015-03-02",38.5,38.779999,37.700001,38.040001,207800,38.040001
"2015-03-03",48.98,52.48,47.360001,50.23,5096500,50.23
"2015-03-04",49.290001,51.349998,47.759998,49.91,1717800,49.91
"2015-03-05",49.889999,50.34,49.02,49.779999,397900,49.779999
"2015-03-06",49.330002,49.580002,48.439999,48.59,664000,48.59
"2015-03-09",48.860001,48.950001,46.450001,46.990002,574400,46.990002
"2015-03-10",47.830002,48.75,46.68,48.200001,1116100,48.200001
"2015-03-11",48.360001,48.759998,47.639999,48.439999,443600,48.439999
"2015-03-12",48.75,50.84,48.259998,50.68,1075200,50.68
"2015-03-13",50.830002,50.84,49,49.84,432100,49.84
"2015-03-16",49.84,52.09,49.790001,51.509998,728700,51.509998
"2015-03-17",51.139999,53.27,50.689999,52.93,935500,52.93
"2015-03-18",52.709999,53.209999,52.139999,52.790001,448000,52.790001
"2015-03-19",52.470001,53.099998,52.139999,52.860001,242900,52.860001
"2015-03-20",53.279999,53.700001,52.900002,53.27,346500,53.27
"2015-03-23",53.200001,54.34,52.66,53.830002,421300,53.830002
"2015-03-24",53.84,53.900002,53.220001,53.599998,212200,53.599998
"2015-03-25",53.560001,53.700001,52.009998,52.189999,455400,52.189999
"2015-03-26",51.880001,52.52,50.619999,51.639999,427700,51.639999
"2015-03-27",51.5,51.91,50.75,51.380001,197700,51.380001
"2015-03-30",51.529999,52.099998,51.02,51.259998,180600,51.259998
"2015-03-31",51.32,52.419998,51.119999,51.77,329300,51.77
"2015-04-01",51.669998,52.080002,50.27,50.799999,302600,50.799999
"2015-04-02",50.740002,51.759998,50.610001,50.669998,154800,50.669998
"2015-04-06",50.52,50.919998,49.59,49.91,305400,49.91
"2015-04-07",50.029999,50.709999,49.93,49.959999,218900,49.959999
"2015-04-08",49.939999,50.889999,49.66,49.990002,267700,49.990002
"2015-04-09",50.040001,50.529999,49.41,50.369999,115900,50.369999
"2015-04-10",50.459999,50.950001,50.330002,50.580002,107900,50.580002
"2015-04-13",50.450001,50.98,50.25,50.900002,235300,50.900002
"2015-04-14",50.880001,51.529999,50.650002,51.209999,401800,51.209999
"2015-04-15",51.299999,52.360001,51.150002,51.889999,297900,51.889999
"2015-04-16",51.799999,52.02,51.369999,51.700001,274600,51.700001
"2015-04-17",51.48,52.119999,50.299999,50.639999,321300,50.639999
"2015-04-20",50.990002,51.490002,50.57,51.459999,170300,51.459999
"2015-04-21",51.560001,52.189999,51.349998,52.040001,197900,52.040001
"2015-04-22",51.950001,51.950001,51.16,51.700001,150700,51.700001
"2015-04-23",51.73,52.759998,51.52,52.580002,113300,52.580002
"2015-04-24",52.779999,53.119999,52.200001,52.799999,352000,52.799999
