"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",14.71,14.77,14.48,14.61,1029100,13.013155
"2015-01-05",14.6,14.61,14.28,14.29,1087200,12.728132
"2015-01-06",14.34,14.35,13.91,13.98,1194800,12.452013
"2015-01-07",14.09,14.27,14,14.27,1269600,12.710318
"2015-01-08",14.35,14.58,14.31,14.55,2066200,12.959714
"2015-01-09",14.53,14.59,14.23,14.25,1005800,12.692503
"2015-01-12",14.27,14.34,14.03,14.25,900700,12.692503
"2015-01-13",14.34,14.63,14.22,14.26,1783200,12.701412
"2015-01-14",14.1,14.21,13.89,14.13,925200,12.585619
"2015-01-15",14.19,14.23,14.02,14.07,986800,12.532179
"2015-01-16",14.04,14.31,14.04,14.3,875200,12.737039
"2015-01-20",14.31,14.38,13.95,14,1552000,12.469829
"2015-01-21",14.03,14.13,13.91,14.09,1113000,12.549992
"2015-01-22",13.88,14.42,13.59,14.38,2822200,12.808296
"2015-01-23",14.31,14.36,13.79,13.87,2064600,12.354037
"2015-01-26",13.85,14.32,13.76,14.25,1726000,12.692503
"2015-01-27",14.13,14.31,14.07,14.24,842300,12.683599
"2015-01-28",14.32,14.34,14.01,14.02,1506900,12.487643
"2015-01-29",14.05,14.3,13.91,14.22,1858000,12.665783
"2015-01-30",14.12,14.25,13.96,14.04,2261500,12.505457
"2015-02-02",14.05,14.28,13.97,14.23,1176300,12.674688
"2015-02-03",14.27,14.56,14.27,14.56,1173400,12.968621
"2015-02-04",14.48,14.65,14.45,14.54,1297500,12.950808
"2015-02-05",14.57,14.76,14.55,14.73,922600,13.120041
"2015-02-06",14.73,14.87,14.67,14.72,851500,13.111134
"2015-02-09",14.64,14.73,14.57,14.66,813700,13.057693
"2015-02-10",14.75,14.78,14.62,14.76,517500,13.146761
"2015-02-11",14.8,14.86,14.66,14.82,867800,13.200203
"2015-02-12",14.86,14.98,14.84,14.95,774900,13.315994
"2015-02-13",14.91,15.03,14.88,14.95,913100,13.315994
"2015-02-17",14.95,15.03,14.86,14.93,714600,13.298182
