"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",68.580002,68.830002,67.690002,68.639999,640100,61.842312
"2015-01-05",68.620003,68.709999,67.82,68.18,973700,61.427883
"2015-01-06",68.199997,69.919998,68.120003,68.410004,2072800,61.635082
"2015-01-07",68.800003,70.290001,68.349998,70,1023000,63.067623
"2015-01-08",70.209999,70.730003,69.959999,70.120003,1212100,63.175739
"2015-01-09",69.809998,70.269997,68.82,69.089996,911200,62.247738
"2015-01-12",69.230003,69.489998,68.580002,69.080002,593000,62.238743
"2015-01-13",69,70.150002,68.540001,69.230003,1245100,62.373894
"2015-01-14",69.019997,70.029999,68.639999,69.970001,964200,63.040611
"2015-01-15",70.129997,70.760002,69.639999,70.599998,463800,63.608196
"2015-01-16",70.699997,71.470001,70.32,71.419998,548500,64.347008
"2015-01-20",71.760002,72.07,71.07,71.959999,559400,64.833511
"2015-01-21",72,72.529999,71.260002,72.459999,532000,65.284004
"2015-01-22",72.949997,73.309998,71.830002,72.470001,565900,65.29303
"2015-01-23",72.510002,72.900002,72.160004,72.260002,677100,65.103798
"2015-01-26",72.230003,72.230003,71.540001,72.209999,525500,65.058762
"2015-01-27",71.529999,72.580002,71.529999,72.089996,1136200,64.95063
"2015-01-28",72.089996,72.790001,71.099998,71.32,837600,64.256897
"2015-01-29",70.480003,72.349998,70.260002,71.440002,2087900,64.906525
"2015-01-30",71.080002,71.709999,70.110001,70.18,1238500,63.761738
"2015-02-02",70.18,70.589996,69.400002,70.25,937400,63.825344
"2015-02-03",70.150002,70.709999,69.970001,70.459999,803000,64.016129
"2015-02-04",70.290001,70.580002,69.550003,69.800003,809400,63.416508
"2015-02-05",70.129997,70.360001,69.57,69.82,1025300,63.434673
"2015-02-06",69.68,69.75,66.410004,66.790001,1296200,60.681778
"2015-02-09",66.790001,67.190002,66.160004,66.5,1187500,60.418293
"2015-02-10",66.519997,67.669998,66.510002,67.599998,1520700,61.417702
"2015-02-11",67.309998,67.489998,66.639999,67.019997,1450000,60.890736
"2015-02-12",67.050003,67.489998,66.550003,66.940002,759200,60.818054
"2015-02-13",66.690002,66.730003,64.639999,65.129997,1166400,59.17358
"2015-02-17",64.849998,65.870003,64.290001,64.970001,1373200,59.028225
"2015-02-18",64.650002,66.790001,64.650002,66.669998,964600,60.572754
"2015-02-19",66.669998,66.800003,65.610001,65.830002,685500,59.809566
"2015-02-20",66.43,66.510002,64.879997,65.769997,1065000,59.755062
"2015-02-23",65.57,66.059998,65.339996,66.029999,898900,59.991276
"2015-02-24",65.970001,66.580002,65.860001,66.059998,809400,60.018536
"2015-02-25",66.169998,66.25,64.620003,64.82,814700,58.891937
"2015-02-26",65.089996,65.18,64.25,64.400002,986600,58.510353
"2015-02-27",64.370003,64.470001,63.810001,64.080002,1006000,58.219612
