"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",75.379997,75.910004,74.519997,75.370003,161800,72.444679
"2015-01-05",74.989998,74.989998,73.349998,73.639999,289800,70.781822
"2015-01-06",73.800003,73.849998,71.760002,72.059998,399600,69.263138
"2015-01-07",72.760002,73.110001,71.550003,72.029999,349800,69.234291
"2015-01-08",72.150002,72.75,71.82,71.919998,670700,69.128578
"2015-01-09",72.139999,72.160004,71.190002,71.43,325100,68.6576
"2015-01-12",71.43,71.43,70.199997,70.709999,224700,67.965538
"2015-01-13",71.309998,72.07,69.730003,70.480003,218400,67.744476
"2015-01-14",69.459999,70.339996,69.339996,70.269997,163600,67.542603
"2015-01-15",70.5,70.5,69.309998,69.449997,273800,66.754433
"2015-01-16",69.18,70,68.260002,69.919998,569700,67.206215
"2015-01-20",70.400002,70.919998,69.129997,69.919998,299000,67.206215
"2015-01-21",69.68,70.879997,69.559998,70.540001,144600,67.802139
"2015-01-22",70.779999,71.120003,69.970001,71.029999,525600,68.273109
"2015-01-23",70.93,71.190002,70.330002,70.360001,177500,67.629128
"2015-01-26",70.360001,71.18,69.779999,71.050003,178400,68.292358
"2015-01-27",70.32,70.370003,69.160004,70,175900,67.283096
"2015-01-28",70.389999,70.809998,68.690002,68.75,186500,66.081612
"2015-01-29",68.730003,69.57,68.059998,69.040001,392600,66.360352
"2015-01-30",68.699997,70.050003,68.519997,68.849998,410400,66.177742
"2015-02-02",69.459999,70.370003,69.010002,70.139999,338900,67.417671
"2015-02-03",70.760002,72.18,70.699997,71.93,335800,69.138199
"2015-02-04",71.709999,71.919998,71.120003,71.260002,196400,68.494202
"2015-02-05",71.400002,72.639999,71.309998,72.199997,265400,69.397697
"2015-02-06",72.419998,73.75,72.419998,72.620003,414000,69.801407
"2015-02-09",72.419998,73.269997,72.260002,72.550003,163800,69.734131
"2015-02-10",72.940002,73.019997,72.260002,73,167100,70.166672
"2015-02-11",73.050003,74.330002,73.010002,74,516900,71.127838
"2015-02-12",74.360001,75.129997,74.059998,75.07,399000,72.156311
"2015-02-13",75.209999,76.519997,74.949997,76.139999,562800,73.184792
"2015-02-17",76,77.099998,76,76.599998,663600,73.626938
"2015-02-18",77.099998,78.309998,76.610001,78.18,486700,75.145599
"2015-02-19",78.139999,78.300003,77.419998,77.559998,419800,74.549675
"2015-02-20",77.379997,78.269997,76.809998,78.18,261400,75.145599
"2015-02-23",77.980003,78.309998,77.230003,78.300003,196400,75.260941
"2015-02-24",78.43,79,78.040001,78.900002,216500,75.837662
"2015-02-25",78.730003,79.040001,77.709999,78.209999,264600,75.174438
"2015-02-26",78.25,78.610001,77.629997,78.019997,220700,74.991814
"2015-02-27",77.900002,78.25,77.419998,77.940002,188900,74.91494
"2015-03-02",77.860001,79.209999,77.669998,79.07,280800,76.001068
"2015-03-03",78.900002,79.059998,78.110001,78.769997,183700,75.7127
"2015-03-04",78.5,78.5,77.660004,78.139999,264600,75.10717
"2015-03-05",78.419998,78.459999,77.459999,77.870003,259000,74.847633
"2015-03-06",77.510002,77.980003,76.339996,76.599998,423200,73.626938
