"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",170.399994,171.309998,167.600006,168.820007,274700,158.699768
"2015-01-05",167.899994,168.440002,166.699997,167.910004,334200,157.844315
"2015-01-06",168.320007,169.460007,167.699997,168.970001,395900,158.840775
"2015-01-07",169.460007,170.929993,168.020004,170.110001,296700,159.912445
"2015-01-08",171.850006,175.089996,170.919998,174.960007,348200,164.47171
"2015-01-09",175.100006,175.800003,171.339996,171.600006,305400,161.313095
"2015-01-12",172.229996,172.800003,168.990005,169.710007,232400,159.536407
"2015-01-13",171.419998,172.679993,167.279999,169.059998,279700,158.925354
"2015-01-14",168.559998,168.910004,165.529999,166.990005,223600,156.979477
"2015-01-15",167.399994,169.059998,166.240005,167.949997,232600,157.881927
"2015-01-16",167.830002,170.960007,167.830002,170.699997,259500,160.467087
"2015-01-20",171.919998,171.919998,167.279999,169.169998,447100,159.028793
"2015-01-21",168.990005,170.179993,167.929993,169.539993,229600,159.376602
"2015-01-22",170.75,173.720001,169.339996,173.229996,239500,162.845383
"2015-01-23",172.839996,174.440002,172.050003,172.740005,179300,162.384766
"2015-01-26",172.300003,175.029999,170.320007,174.820007,285300,164.340103
"2015-01-27",173.179993,175.839996,172.479996,174.75,219100,164.274261
"2015-01-28",175.160004,175.860001,172.580002,172.639999,233300,162.290771
"2015-01-29",172.529999,173.520004,170.380005,173.350006,218300,162.958206
"2015-01-30",171.529999,173.520004,170.570007,171.380005,274100,161.106293
"2015-02-02",171.399994,173.860001,170.419998,173.550003,311200,163.146225
"2015-02-03",174.229996,176.490005,172.820007,176.149994,484900,165.590363
"2015-02-04",175.809998,178.880005,175.119995,177.990005,484300,167.320038
"2015-02-05",179.080002,182.039993,177.270004,181.830002,318400,170.929855
"2015-02-06",184.240005,184.610001,181.580002,182.619995,391000,171.672485
"2015-02-09",181.460007,182.130005,180.589996,181.339996,255700,170.469238
"2015-02-10",182.220001,182.759995,181.100006,181.899994,271600,170.995667
"2015-02-11",182.410004,182.889999,181.130005,182.009995,233900,171.099075
"2015-02-12",182.550003,183.729996,181.539993,182.100006,246700,171.183655
"2015-02-13",181.830002,183.179993,180.210007,181.419998,315600,170.544418
"2015-02-17",181.080002,182.309998,178.350006,178.800003,399600,168.081482
"2015-02-18",178.800003,179.75,177.309998,179.729996,331300,168.95575
"2015-02-19",179.940002,179.949997,178.300003,178.970001,175600,168.241302
"2015-02-20",178.279999,179.149994,176.059998,178.949997,244800,168.222504
"2015-02-23",179.229996,179.229996,176.600006,177.690002,378300,167.038025
"2015-02-24",177.529999,180.440002,177.369995,179.649994,321600,168.880524
"2015-02-25",179.580002,180.080002,177.600006,177.710007,268200,167.056824
"2015-02-26",177,178.710007,177,178.130005,197800,167.451645
"2015-02-27",177.399994,178.960007,176.610001,177.429993,252600,166.79361
"2015-03-02",178.220001,179.979996,177.570007,179.869995,225000,169.087326
"2015-03-03",179.410004,179.990005,177.580002,178.550003,175900,167.846481
"2015-03-04",178.220001,178.529999,177.309998,178.080002,256600,167.404648
"2015-03-05",178.460007,179.809998,177.559998,178.320007,199100,167.63028
"2015-03-06",177.330002,178.679993,176.839996,178.080002,214500,167.404648
"2015-03-09",177.919998,178.029999,174.729996,177.229996,346300,167.499161
"2015-03-10",175.75,176.479996,173.190002,173.910004,342100,164.36145
"2015-03-11",174.25,176.050003,173.899994,175.949997,302700,166.289444
"2015-03-12",176.369995,178.770004,175.880005,178.610001,214700,168.803375
"2015-03-13",178.800003,178.800003,176.059998,177.369995,214700,167.63147
"2015-03-16",177.539993,178.690002,177.520004,177.710007,322000,167.952805
"2015-03-17",176.339996,177.929993,175.929993,177.339996,291800,167.603104
"2015-03-18",177.110001,178.199997,175.600006,177.600006,438300,167.848862
"2015-03-19",177.470001,178.029999,174.940002,176.100006,347800,166.431213
"2015-03-20",177.039993,177.449997,175.869995,177.089996,497400,167.366852
"2015-03-23",177.389999,179.529999,177.389999,178.449997,257200,168.652206
"2015-03-24",177.690002,178.389999,176.139999,176.679993,288200,166.97934
"2015-03-25",176.399994,177.800003,174.990005,175.130005,259900,165.514465
"2015-03-26",174.889999,175.490005,174.199997,174.449997,344400,164.87178
"2015-03-27",174.270004,175.580002,172.860001,173.600006,278600,164.068466
"2015-03-30",174.600006,176.809998,174.600006,176.5,319800,166.80925
"2015-03-31",176.100006,176.490005,173.470001,174,473500,164.446487
"2015-04-01",174.050003,175.210007,172.479996,173.100006,447300,163.595917
"2015-04-02",173.419998,174.229996,172.740005,173.899994,284600,164.35202
"2015-04-06",173.679993,176.850006,173.25,176.729996,305200,167.026596
"2015-04-07",176.75,177.919998,176.009995,176.139999,280100,166.469025
"2015-04-08",176.100006,179.300003,175.289993,179.220001,332700,169.379883
"2015-04-09",179.169998,180.179993,178.509995,180.009995,252000,170.126541
"2015-04-10",179.850006,180.699997,178.979996,179.960007,397600,170.079269
"2015-04-13",180,180.660004,179.029999,180.509995,223700,170.599091
"2015-04-14",181.089996,183.389999,179.649994,183.350006,450900,173.283157
"2015-04-15",183.039993,184.220001,182.660004,183.490005,385200,173.415436
"2015-04-16",183.25,184.020004,181.830002,183.800003,249900,173.70845
"2015-04-17",182.809998,183.25,180.270004,180.990005,357100,171.052719
"2015-04-20",182.699997,182.779999,181.029999,181.589996,261000,171.619766
"2015-04-21",181.789993,182.929993,178.830002,179.960007,262700,170.079269
"2015-04-22",179.990005,180.619995,178.270004,180.619995,265700,170.703033
"2015-04-23",180.789993,182.320007,180.009995,181.660004,266700,171.685928
"2015-04-24",181.259995,182.779999,180.220001,182.289993,234200,172.281342
"2015-04-27",182.619995,183.509995,179.610001,180.199997,267800,170.306076
"2015-04-28",180.25,182.759995,178.759995,181.279999,448500,171.326797
"2015-04-29",179.580002,181.240005,179.089996,179.410004,320900,169.559479
"2015-04-30",179.009995,180.429993,178.149994,178.910004,303200,169.086945
"2015-05-01",180.5,180.770004,178.869995,180.75,381700,170.825897
"2015-05-04",180.119995,181.419998,180.110001,181.309998,243000,171.355148
"2015-05-05",180.910004,181.880005,179.119995,179.860001,531500,169.984772
"2015-05-06",180.449997,180.449997,178.300003,179.699997,240000,169.833542
"2015-05-07",179.429993,180.580002,178.559998,180.380005,342600,170.476212
"2015-05-08",181.25,181.809998,180.119995,181.660004,222000,171.685928
"2015-05-11",181.039993,182.449997,180.619995,182.339996,272300,172.328598
"2015-05-12",181.800003,182.410004,180.869995,182.059998,228300,172.06398
"2015-05-13",181.970001,182.589996,181.199997,182.490005,212600,172.470383
"2015-05-14",182.940002,184.820007,182.289993,184.759995,210900,174.615723
"2015-05-15",184.919998,185.199997,182.820007,183.179993,202000,173.122467
"2015-05-18",183.330002,184.839996,182.539993,184.600006,218200,174.464508
"2015-05-19",183.759995,185.630005,182.729996,184.710007,200500,174.568466
"2015-05-20",185.020004,185.429993,183.759995,185.289993,170100,175.116638
"2015-05-21",185,186.259995,184.660004,184.869995,310000,174.719681
"2015-05-22",184.460007,185.839996,183.580002,184.389999,282000,174.266022
"2015-05-26",184.220001,184.220001,182.399994,182.979996,198500,172.933472
"2015-05-27",182.729996,184.440002,182.300003,184.070007,216300,173.963623
"2015-05-28",183.460007,184.429993,182.179993,184.149994,286100,174.039215
"2015-05-29",184.630005,185,181.300003,181.509995,460800,171.544174
"2015-06-01",181.279999,182.289993,180.050003,182.169998,282400,173.073761
"2015-06-02",181.699997,183.660004,181.479996,182.589996,199400,173.472794
"2015-06-03",183.350006,184.449997,182.639999,183.880005,191000,174.69841
"2015-06-04",182.539993,183.869995,181.550003,182.770004,200300,173.643814
"2015-06-05",183.660004,184.570007,181.770004,182.610001,212900,173.491806
"2015-06-08",182.699997,183.720001,180.050003,180.25,260400,171.249649
"2015-06-09",180.25,180.979996,179.179993,179.279999,183200,170.328064
"2015-06-10",180.229996,182.699997,180.009995,181.75,285200,172.674744
"2015-06-11",181.529999,184.889999,180.029999,184.889999,261700,175.657944
"2015-06-12",184.460007,184.460007,183.039993,183.440002,163500,174.28035
"2015-06-15",182.419998,183.380005,180.820007,182.330002,185000,173.225769
"2015-06-16",182.130005,185,181.960007,183.720001,270200,174.546371
"2015-06-17",184.039993,184.949997,182.919998,184.100006,235700,174.907425
"2015-06-18",184.410004,185.820007,183.699997,185.550003,230800,176.284988
"2015-06-19",185.660004,186.25,184.240005,184.830002,272100,175.600952
"2015-06-22",185.679993,186.550003,184.220001,185.589996,299800,176.323013
"2015-06-23",186.600006,186.860001,184.75,186.289993,191500,176.988037
"2015-06-24",186.190002,186.869995,184.100006,184.119995,240200,174.926392
"2015-06-25",184.389999,184.539993,182.529999,183.300003,244200,174.147369
"2015-06-26",183.410004,185.190002,183.410004,184.509995,319800,175.296921
"2015-06-29",183.570007,183.899994,181.119995,181.369995,330100,172.313721
"2015-06-30",182.550003,183.270004,180.899994,182.009995,248900,172.921753
"2015-07-01",185,186.570007,183.559998,185.800003,426500,176.522537
"2015-07-02",185.820007,186.75,184.610001,184.740005,220900,175.515457
"2015-07-06",182.880005,185.800003,182.880005,185.690002,271300,176.417999
"2015-07-07",186.020004,187.649994,184.089996,187.619995,307100,178.251633
"2015-07-08",182.160004,187.970001,182.119995,186.199997,515200,176.902527
"2015-07-09",187.940002,188.610001,184.139999,184.839996,278100,175.610458
