"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",56.400002,57.389999,56.400002,57.169998,1035200,53.864388
"2015-01-05",57.040001,57.439999,56.849998,57.060001,689800,53.760746
"2015-01-06",56.939999,57.27,56.450001,56.650002,1594200,53.374458
"2015-01-07",56.830002,57.049999,56.119999,57.029999,1179800,53.732479
"2015-01-08",57.25,58.139999,57.099998,57.990002,1061100,54.636982
"2015-01-09",58.139999,58.310001,57.459999,58.16,910200,54.797146
"2015-01-12",58.02,59.060001,58.009998,58.689999,1074700,55.296501
"2015-01-13",58.919998,60.16,58.919998,59.830002,1778000,56.370579
"2015-01-14",59.41,60.330002,59.290001,60.32,1236000,56.832253
"2015-01-15",60.41,60.59,60.150002,60.27,1216600,56.785149
"2015-01-16",59.91,60.799999,59.68,60.73,1375300,57.218544
"2015-01-20",59.860001,60.540001,59.57,60.220001,2502800,56.738033
"2015-01-21",60,60.439999,59.830002,60.099998,1660400,56.624973
"2015-01-22",59.990002,61.950001,59.639999,61.860001,2015300,58.283207
"2015-01-23",63.990002,67.5,63.650002,65.239998,5307800,61.467766
"2015-01-26",65.169998,67.32,65.050003,67.169998,2722300,63.286175
"2015-01-27",66.739998,66.870003,65.139999,65.199997,2426200,61.430073
"2015-01-28",64.540001,64.75,63.189999,63.32,1647200,59.658791
"2015-01-29",63.25,63.380001,62.290001,63.029999,1139500,59.385559
"2015-01-30",62.990002,63.02,62.34,62.470001,991100,58.857941
"2015-02-02",62.27,62.669998,61.259998,62.59,1367400,58.970997
"2015-02-03",62.549999,63.619999,62.259998,63.529999,753300,59.856644
"2015-02-04",63.029999,63.759998,62.720001,63.119999,1043800,59.470348
"2015-02-05",63.32,64.089996,63.009998,63.900002,838400,60.205254
"2015-02-06",63.700001,64.099998,63.540001,63.830002,723300,60.139301
"2015-02-09",63.700001,63.740002,63.110001,63.25,423900,59.592838
"2015-02-10",63.560001,64.290001,63.18,63.779999,934000,60.359394
"2015-02-11",63.950001,65.589996,63.950001,65.099998,1484700,61.608597
"2015-02-12",65.5,65.690002,64.849998,65.459999,676300,61.949287
"2015-02-13",65.540001,66.339996,65.540001,66.25,467200,62.696922
"2015-02-17",66,66.519997,65.879997,66.43,600700,62.867279
"2015-02-18",66.139999,66.440002,65.730003,65.980003,648200,62.441406
"2015-02-19",65.620003,65.620003,65.110001,65.160004,557900,61.665386
"2015-02-20",64.940002,65.779999,64.5,65.779999,552200,62.252136
"2015-02-23",65.720001,66.080002,65.709999,65.82,459800,62.289986
"2015-02-24",65.839996,65.839996,64.639999,65.379997,608300,61.873592
