"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",47.419998,47.66,46.564999,46.865002,907600,45.449261
"2015-01-05",46.869999,47.119999,46.505001,46.830002,1525200,45.415325
"2015-01-06",46.935001,47.535,46.439999,46.919998,1759700,45.502605
"2015-01-07",47.130001,47.849998,47.044998,47.834999,1302700,46.389957
"2015-01-08",47.955002,48.48,47.775002,48.470001,1659100,47.005775
"2015-01-09",48.509998,48.514999,47.384998,47.599998,1509200,46.162064
"2015-01-12",47.73,48.055,47.34,47.915001,1045900,46.467545
"2015-01-13",48.41,48.889999,47.220001,47.43,1517500,45.997189
"2015-01-14",45.904999,46.665001,45.685001,46.314999,2237800,44.915878
"2015-01-15",46.005001,46.91,45.529999,45.57,1717500,44.193378
"2015-01-16",45.404999,46.509998,44.875,46.450001,2049600,45.046799
"2015-01-20",46.564999,46.650002,45.529999,45.904999,1433300,44.518261
"2015-01-21",45.865002,46.174999,45.564999,46.084999,1255500,44.692822
"2015-01-22",46.09,47.389999,45.759998,47.130001,1600500,45.706257
"2015-01-23",47.25,47.584999,47.005001,47.334999,1052200,45.905064
"2015-01-26",47.32,47.689999,47.025002,47.615002,901900,46.176605
"2015-01-27",46.384998,47.365002,46,47.165001,1465300,45.740208
"2015-01-28",47.445,47.994999,46.810001,46.830002,1049200,45.415325
"2015-01-29",46.775002,47.305,46.419998,46.814999,1449600,45.400776
"2015-01-30",46.715,46.959999,45.639999,45.855,3084700,44.469769
"2015-02-02",46.005001,46.075001,44.724998,45.924999,1282900,44.537663
"2015-02-03",46.189999,47.310001,45.970001,47.294998,1359100,45.866272
"2015-02-04",46.924999,47.685001,46.889999,47.369999,1653700,45.939003
"2015-02-05",47.185001,47.919998,47.139999,47.465,1021000,46.031136
"2015-02-06",47.695,47.82,47.310001,47.490002,800700,46.055382
"2015-02-09",47.25,47.599998,47.009998,47.310001,687300,45.880821
"2015-02-10",47.689999,47.849998,47.415001,47.669998,699600,46.229939
"2015-02-11",47.84,48.084999,47.34,47.41,734900,45.977798
"2015-02-12",47.505001,47.869999,47.23,47.834999,826300,46.389957
"2015-02-13",47.830002,48.150002,47.5,48.09,746200,46.63726
"2015-02-17",47.860001,48.634998,47.82,48.424999,1145400,46.962139
"2015-02-18",48.445,48.599998,47.950001,48.349998,728800,46.8894
"2015-02-19",48.334999,48.665001,48.02,48.459999,1648800,46.996075
"2015-02-20",48.564999,49,48.25,48.959999,1031100,47.480972
"2015-02-23",49.064999,49.43,48.855,49.419998,1281300,47.927082
"2015-02-24",49.5,49.974998,49,49.035,1480400,47.553707
"2015-02-25",48.494999,49.345001,48.424999,49.23,2504800,47.742817
"2015-02-26",49.099998,49.849998,49.025002,49.525002,1578900,48.028915
"2015-02-27",52.365002,53.115002,51.73,52.904999,4389000,51.306801
"2015-03-02",52.705002,53.490002,52.695,52.994999,2811600,51.394081
"2015-03-03",53.029999,53.119999,52.384998,52.77,1809600,51.17588
"2015-03-04",52.794998,52.98,52.215,52.560001,1229100,50.972225
"2015-03-05",52.580002,52.965,52.455002,52.474998,1642100,51.11834
"2015-03-06",52.259998,52.860001,52.09,52.200001,926900,50.850456
"2015-03-09",52.395,52.73,52.290001,52.724998,1149600,51.361881
"2015-03-10",52.255001,52.705002,52.035,52.459999,863400,51.103737
"2015-03-11",52.415001,52.950001,52.395,52.525002,1751800,51.167053
"2015-03-12",52.775002,53.205002,52.544998,53.139999,1288600,51.766148
"2015-03-13",53.240002,53.485001,52.605,53.02,900900,51.649254
"2015-03-16",53.365002,53.68,53.27,53.424999,952500,52.043781
"2015-03-17",52.985001,53.349998,52.849998,53.189999,767500,51.814857
"2015-03-18",53.049999,53.139999,52.150002,52.889999,1384500,51.522614
"2015-03-19",52.799999,53.41,52.790001,53.369999,975600,51.990204
"2015-03-20",53.654999,54.084999,53.380001,53.73,2090300,52.3409
"2015-03-23",53.924999,54.055,53.174999,53.189999,1680300,51.814857
"2015-03-24",54.455002,54.455002,53.310001,53.32,1226800,51.94149
"2015-03-25",53.220001,53.325001,52.355,52.419998,1360500,51.064758
"2015-03-26",52.235001,52.375,51.75,51.884998,1252800,50.543602
"2015-03-27",51.779999,52.455002,51.755001,52.064999,867000,50.718941
"2015-03-30",52.325001,53.09,52.09,52.869999,834600,51.503136
"2015-03-31",52.794998,53.470001,52.669998,52.68,988200,51.318043
