"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",61.470001,62.189999,60.790001,61.439999,566800,57.416039
"2015-01-05",60.549999,60.549999,57.580002,57.720001,1060600,53.939682
"2015-01-06",57.93,58.09,56.560001,57.439999,907700,53.678017
"2015-01-07",57.560001,57.900002,56.560001,56.720001,944200,53.005177
"2015-01-08",57.099998,57.720001,56.75,57.450001,881500,53.687363
"2015-01-09",57.349998,57.349998,56.580002,57.09,617500,53.350941
"2015-01-12",56.689999,56.720001,55.25,56.369999,671100,52.678097
"2015-01-13",56.009998,56.560001,54.549999,55.150002,980300,51.537998
"2015-01-14",53.990002,54.599998,53.400002,54.259998,738700,50.706284
"2015-01-15",54.330002,54.889999,53.080002,53.200001,836300,49.715714
"2015-01-16",53.200001,53.41,52.490002,53.209999,875400,49.725052
"2015-01-20",53.43,53.709999,52.27,52.77,683400,49.313869
"2015-01-21",52.68,53.48,52.560001,53.439999,456900,49.939991
"2015-01-22",53.799999,54.349998,53.279999,54.27,509700,50.71563
"2015-01-23",53.689999,53.689999,52.509998,52.619999,639300,49.173695
"2015-01-26",52.709999,53.700001,52.240002,53.700001,565800,50.182964
"2015-01-27",52.860001,53.709999,52.599998,53.25,506600,49.762436
"2015-01-28",53.720001,53.849998,52.380001,52.52,454300,49.080254
"2015-01-29",52.610001,52.790001,51.57,52.689999,497700,49.239117
"2015-01-30",51.880001,52.959999,50.630001,52.369999,798000,48.940071
"2015-02-02",52.759998,52.98,51.98,52.68,557600,49.229771
"2015-02-03",53.529999,54.57,53.139999,54.509998,714100,50.939907
"2015-02-04",54.02,54.150002,52.990002,53.16,442800,49.678329
"2015-02-05",53.25,54.549999,53.25,54.470001,377600,50.902534
"2015-02-06",53.990002,54.82,53.57,53.77,631500,50.248375
"2015-02-09",53.790001,54.869999,53.759998,53.810001,564400,50.285763
"2015-02-10",53.740002,53.799999,52.91,53.540001,663300,50.033443
"2015-02-11",53.580002,53.650002,52.639999,53.299999,451600,49.809162
"2015-02-12",53.880001,54.119999,53.310001,53.779999,902200,50.257725
"2015-02-13",54.369999,55.25,54.299999,55.139999,428200,51.528648
"2015-02-17",55.080002,55.279999,54.349998,54.400002,624000,50.83712
"2015-02-18",54.23,55.16,54.02,54.200001,899000,50.650215
"2015-02-19",54.82,57.209999,54.360001,56.779999,1465200,53.061237
"2015-02-20",57.259998,58.139999,56.23,57.75,1377600,53.967716
"2015-02-23",57.330002,57.900002,57.040001,57.540001,713100,53.771465
"2015-02-24",57.75,58.540001,57.509998,58.23,825700,54.416279
"2015-02-25",58.130001,58.16,57.400002,57.540001,519300,53.771465
"2015-02-26",57.5,58.290001,57.380001,57.540001,574900,53.771465
"2015-02-27",57.709999,57.939999,56.919998,57.009998,538800,53.276176
"2015-03-02",56.75,57.450001,56.5,57.419998,373600,53.659321
"2015-03-03",57.34,57.919998,57.220001,57.419998,608900,53.659321
"2015-03-04",56.889999,58.209999,56.669998,58.049999,675900,54.24807
"2015-03-05",58.099998,58.889999,57.529999,58.650002,833600,54.808765
"2015-03-06",58.040001,58.919998,57.310001,57.73,849000,53.949028
"2015-03-09",57.939999,59.209999,57.869999,58.610001,767500,54.771389
"2015-03-10",57.529999,57.759998,55.450001,55.560001,1144200,51.921146
"2015-03-11",55.18,56.279999,55.18,55.990002,1130600,52.702412
"2015-03-12",56.700001,57.299999,56.439999,57.209999,767700,53.85078
"2015-03-13",56.959999,57.349998,55.970001,56.299999,735600,52.994205
"2015-03-16",55.939999,56.939999,55.41,56.720001,786800,53.389542
"2015-03-17",56.790001,57.779999,56.619999,57.490002,758100,54.114334
"2015-03-18",57.040001,60.330002,57.040001,59.959999,1266500,56.439304
"2015-03-19",59.02,59.07,56.970001,57.32,1040100,53.954308
"2015-03-20",57.779999,59.75,57.619999,59.490002,1629100,55.996899
"2015-03-23",59.610001,60.490002,59.5,60.18,613000,56.646381
"2015-03-24",60.200001,60.75,59.759998,60.189999,482800,56.6558
"2015-03-25",60.889999,61.080002,59.740002,59.77,583100,56.260456
"2015-03-26",59.950001,60.299999,59.259998,59.720001,639200,56.213394
"2015-03-27",59.240002,59.700001,58.740002,59.27,606900,55.789818
"2015-03-30",59.490002,61.209999,59.299999,60.950001,589900,57.371174
"2015-03-31",61.650002,61.799999,60.080002,61.080002,1167000,57.493538
"2015-04-01",61.560001,61.709999,60.220001,60.869999,789100,57.295868
"2015-04-02",60.619999,61.52,60.200001,61.389999,432200,57.785336
"2015-04-06",60.700001,61.5,60.400002,61.25,542200,57.653553
"2015-04-07",61.490002,61.490002,60.400002,60.52,554200,56.966412
"2015-04-08",60.779999,61.07,59.66,60.16,567200,56.62756
"2015-04-09",59.950001,60.610001,59.849998,60.52,468700,56.966412
"2015-04-10",59.900002,60.32,59.900002,60.02,666500,56.495777
"2015-04-13",59.540001,60.099998,59.52,59.68,555400,56.175739
"2015-04-14",58.990002,59.299999,58.09,58.52,961800,55.083858
"2015-04-15",59.099998,59.360001,58.84,59.07,1021200,55.601563
"2015-04-16",59.279999,59.400002,57.73,57.740002,647100,54.349648
"2015-04-17",57.110001,57.279999,56.290001,56.68,691200,53.351891
"2015-04-20",56.990002,57.490002,56.689999,57.25,624700,53.888428
"2015-04-21",57.290001,57.759998,56.48,56.73,656800,53.398952
"2015-04-22",57.060001,57.59,56.849998,57.459999,788800,54.086094
"2015-04-23",58.080002,63.220001,58.07,62.689999,2719900,59.009003
"2015-04-24",63.240002,64.019997,62.959999,63.139999,1324700,59.432579
"2015-04-27",63.740002,65.639999,63.549999,64.75,1087100,60.948044
"2015-04-28",65,65.5,64.610001,65.410004,497200,61.56929
"2015-04-29",64.82,65.25,64.410004,64.800003,546800,60.995106
"2015-04-30",64.07,65.169998,63.580002,64.720001,503200,60.919807
"2015-05-01",65.400002,65.879997,64.209999,65.110001,490000,61.286907
"2015-05-04",65.160004,65.550003,64.470001,65.209999,628400,61.381031
"2015-05-05",65.43,65.870003,64.629997,64.760002,319400,60.957462
"2015-05-06",65.290001,65.400002,64.330002,64.779999,445000,60.97628
"2015-05-07",64.300003,65.5,64.010002,65.370003,524700,61.531643
"2015-05-08",66.139999,66.330002,65.529999,65.860001,391900,61.992867
"2015-05-11",66.019997,66.449997,65.760002,66.330002,507200,62.435272
"2015-05-12",66.300003,66.480003,65.839996,65.970001,487200,62.096409
"2015-05-13",66.239998,66.860001,65.949997,66.040001,496500,62.162292
"2015-05-14",66.5,66.699997,65.650002,65.879997,511700,62.011692
"2015-05-15",65.93,66.389999,65.610001,66.139999,450200,62.25642
"2015-05-18",65.720001,66.269997,65.580002,66.059998,386100,62.181122
"2015-05-19",65.839996,65.910004,65.059998,65.5,640100,61.654003
"2015-05-20",65.839996,66.580002,65.599998,66.029999,439600,62.152882
"2015-05-21",66.32,66.32,65.730003,65.949997,625000,62.077576
"2015-05-22",66.209999,66.529999,65.209999,65.980003,544300,62.10582
"2015-05-26",65.769997,65.769997,64.169998,64.739998,478300,60.938622
"2015-05-27",64.089996,64.940002,63.98,64.879997,555200,61.450085
"2015-05-28",64.529999,64.730003,63.75,64.040001,443400,60.654488
"2015-05-29",63.970001,64.18,63.349998,63.799999,433200,60.427177
"2015-06-01",63.630001,63.799999,62.93,63.360001,476100,60.010437
"2015-06-02",63.669998,65.279999,63.389999,64.589996,455600,61.175407
"2015-06-03",64.699997,66.419998,64.660004,65.68,609100,62.207783
"2015-06-04",65.230003,66.050003,64.720001,65.160004,615700,61.715279
"2015-06-05",64.830002,65.019997,64.489998,64.900002,314500,61.469028
"2015-06-08",64.900002,65.120003,63.689999,64.080002,300300,60.692379
"2015-06-09",64.190002,64.760002,63.82,63.830002,254700,60.455597
