Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,32.279999,32.490002,32.099998,32.380001,31.901894,852700
2017-01-04,32.630001,33.5,32.630001,33.470001,32.9758,1181100
2017-01-05,33.490002,33.849998,33.189999,33.490002,32.995506,966000
2017-01-06,33.41,33.669998,33.220001,33.59,33.094028,829200
2017-01-09,33.549999,33.68,33.189999,33.299999,32.808308,663000
2017-01-10,34.32,34.439999,33.98,34.18,33.675316,1127200
2017-01-11,34.200001,34.299999,33.52,33.73,33.23196,924500
2017-01-12,34.09,35.09,33.900002,34.860001,34.345276,1456600
2017-01-13,34.790001,35.450001,34.459999,35.349998,34.828041,1072800
2017-01-17,35.049999,35.48,35.040001,35.150002,34.630997,788000
2017-01-18,35.34,36.240002,35.27,35.889999,35.360069,1182400
2017-01-19,35.860001,36.150002,35.529999,35.849998,35.320656,791200
2017-01-20,35.830002,36.43,35.669998,36.009998,35.478298,913600
2017-01-23,36.48,36.759998,36.189999,36.720001,36.177818,826500
2017-01-24,37.310001,38.029999,37.25,37.939999,37.379799,1363300
2017-01-25,37.509998,38.700001,37.279999,38.639999,38.069462,1430900
2017-01-26,38.220001,38.869999,37.380001,37.82,37.26157,1477000
2017-01-27,37.610001,38.650002,37.459999,38.439999,37.872414,1381100
2017-01-30,38.099998,38.599998,37.82,38.360001,37.793598,1771200
2017-01-31,38.509998,38.849998,37.990002,38.360001,37.793598,1624600
2017-02-01,38.400002,38.689999,37.779999,38.599998,38.030052,1862200
2017-02-02,38.549999,39.23,38.439999,39.099998,38.522667,2221700
2017-02-03,39.099998,39.099998,38.27,38.439999,37.872414,1426200
2017-02-06,38.32,38.59,37.48,37.869999,37.310829,1561700
2017-02-07,37.869999,38.150002,37.59,37.950001,37.389648,1172700
2017-02-08,38.110001,38.98,38.110001,38.700001,38.128574,1695000
2017-02-09,38.130001,38.369999,37.080002,37.419998,36.867474,1776100
2017-02-10,38.580002,39.5,37.57,37.959999,37.47963,2030500
2017-02-13,38.43,39.07,38.32,38.639999,38.151028,1227200
2017-02-14,38.459999,38.75,38.279999,38.630001,38.141151,1151600
2017-02-15,38.470001,38.580002,38.099998,38.299999,37.815327,817900
2017-02-16,38.360001,38.5,37.740002,37.98,37.499378,954900
2017-02-17,37.779999,37.779999,36.799999,37.299999,36.827984,1438700
2017-02-21,37.52,38.09,37.240002,38.02,37.538872,1154900
2017-02-22,37.23,38.16,37.23,37.459999,36.985958,992900
2017-02-23,37.700001,37.84,36.669998,36.849998,36.383675,1209500
2017-02-24,36.599998,36.830002,36.130001,36.290001,35.830765,1635700
2017-02-27,36.5,36.990002,36.369999,36.82,36.354053,2566500
2017-02-28,36.709999,37.169998,36.560001,36.66,36.196083,1596900
2017-03-01,37.299999,38.119999,37.259998,37.93,37.450012,1092500
