"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",10.21,10.34,10.16,10.32,2993400,10.32
"2015-01-05",10.25,10.29,9.91,9.97,3212900,9.97
"2015-01-06",10,10.05,9.76,9.8,2803100,9.8
"2015-01-07",9.88,9.9,9.67,9.9,2139000,9.9
"2015-01-08",9.97,10.1,9.94,10.01,2248800,10.01
"2015-01-09",10.01,10.01,9.7,9.74,2942600,9.74
"2015-01-12",9.73,9.87,9.59,9.68,2609300,9.68
"2015-01-13",9.72,9.86,9.64,9.7,3270500,9.7
"2015-01-14",9.6,9.77,9.6,9.7,2650300,9.7
"2015-01-15",9.68,9.76,9.65,9.66,3067700,9.66
"2015-01-16",9.65,9.74,9.65,9.71,2786200,9.71
"2015-01-20",9.76,9.82,9.58,9.63,3802700,9.63
"2015-01-21",9.6,9.74,9.57,9.69,2685500,9.69
"2015-01-22",8.72,9.14,8.5,9.05,18330100,9.05
"2015-01-23",8.87,9.41,8.84,9.21,13561900,9.21
"2015-01-26",9.17,9.39,9.03,9.28,8553300,9.28
"2015-01-27",9.18,9.27,9.07,9.15,3825700,9.15
"2015-01-28",9.15,9.27,9,9.19,5344300,9.19
"2015-01-29",9.16,9.23,9.01,9.11,5202700,9.11
"2015-01-30",9.07,9.44,9.04,9.11,7295600,9.11
"2015-02-02",9.16,9.29,9.09,9.26,4459900,9.26
"2015-02-03",9.26,9.46,9.26,9.33,4893500,9.33
"2015-02-04",9.32,9.59,9.19,9.56,5384300,9.56
"2015-02-05",9.62,9.77,9.49,9.54,7004300,9.54
"2015-02-06",9.58,9.63,9.43,9.45,2685400,9.45
"2015-02-09",9.39,9.51,9.33,9.51,3533600,9.51
"2015-02-10",9.55,9.61,9.39,9.45,2949900,9.45
"2015-02-11",9.42,9.55,9.27,9.28,4037500,9.28
"2015-02-12",9.26,9.4,9.25,9.27,3011800,9.27
"2015-02-13",9.25,9.29,9.18,9.26,2169800,9.26
"2015-02-17",9.22,9.26,9.17,9.18,1593300,9.18
"2015-02-18",9.2,9.28,9.12,9.23,1891500,9.23
"2015-02-19",9.18,9.26,9.18,9.21,2590900,9.21
"2015-02-20",9.24,9.43,9.16,9.36,3492700,9.36
"2015-02-23",9.32,9.37,9.27,9.3,1781100,9.3
"2015-02-24",9.28,9.37,9.21,9.37,5136500,9.37
"2015-02-25",9.38,9.51,9.35,9.47,4010500,9.47
"2015-02-26",9.49,9.55,9.45,9.49,2612200,9.49
"2015-02-27",9.46,9.54,9.43,9.47,4247100,9.47
"2015-03-02",9.43,9.49,9.43,9.46,4495100,9.46
"2015-03-03",9.44,9.61,9.44,9.55,2480900,9.55
"2015-03-04",9.54,9.55,9.45,9.46,3237000,9.46
"2015-03-05",9.46,9.52,9.44,9.51,1769800,9.51
"2015-03-06",9.49,9.62,9.45,9.48,2331000,9.48
"2015-03-09",9.48,9.56,9.37,9.38,3162300,9.38
"2015-03-10",9.3,9.33,9.18,9.19,1699600,9.19
"2015-03-11",9.17,9.18,9.04,9.18,2491300,9.18
"2015-03-12",9.17,9.32,9.09,9.11,2861700,9.11
"2015-03-13",9.11,9.12,9,9.1,1887800,9.1
"2015-03-16",9.1,9.23,9.07,9.14,2654000,9.14
"2015-03-17",9.11,9.25,9.06,9.24,1593800,9.24
"2015-03-18",9.24,9.32,9.13,9.29,1521700,9.29
"2015-03-19",9.24,9.32,9.16,9.28,1316900,9.28
"2015-03-20",9.29,9.32,9.15,9.27,4839300,9.27
"2015-03-23",9.25,9.44,9.24,9.31,4031400,9.31
"2015-03-24",9.31,9.38,9.28,9.28,2552100,9.28
"2015-03-25",9.27,9.29,8.93,9.05,6386000,9.05
"2015-03-26",9.02,9.31,8.94,8.99,2488700,8.99
"2015-03-27",8.97,9.1,8.86,8.97,4567800,8.97
"2015-03-30",9,9.05,8.98,9.03,4430100,9.03
"2015-03-31",9,9.3,8.98,9.28,5169200,9.28
"2015-04-01",9.26,9.51,9.26,9.38,4381400,9.38
"2015-04-02",9.36,9.5,9.29,9.44,2435200,9.44
"2015-04-06",9.38,9.62,9.33,9.55,6192700,9.55
"2015-04-07",9.55,9.59,9.43,9.54,4308200,9.54
"2015-04-08",9.51,9.61,9.42,9.48,2277300,9.48
"2015-04-09",9.46,9.47,9.29,9.39,1428100,9.39
"2015-04-10",9.4,9.46,9.3,9.42,1264700,9.42
"2015-04-13",9.38,9.53,9.38,9.49,1230600,9.49
