Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,13.82,14.015,13.66,13.81,13.81,3363900
2017-01-04,13.86,14.26,13.725,14.25,14.25,4977400
2017-01-05,14.25,14.61,14.01,14.56,14.56,5779800
2017-01-06,14.56,15.075,14.53,15.0,15.0,6382200
2017-01-09,14.98,15.195,14.85,15.06,15.06,4938300
2017-01-10,15.09,15.49,14.7,14.91,14.91,6739900
2017-01-11,14.95,14.99,14.71,14.9,14.9,3952600
2017-01-12,14.84,14.88,14.545,14.74,14.74,2324800
2017-01-13,14.79,14.92,14.69,14.75,14.75,1921400
2017-01-17,14.69,14.77,14.54,14.69,14.69,3066000
2017-01-18,14.8,14.84,14.62,14.64,14.64,8076800
2017-01-19,14.64,14.89,14.6,14.73,14.73,2511800
2017-01-20,14.75,15.0,14.715,14.89,14.89,3153300
2017-01-23,14.9,14.96,14.57,14.61,14.61,3881100
2017-01-24,14.61,14.75,14.43,14.66,14.66,3651900
2017-01-25,14.69,14.99,14.52,14.6,14.6,3234600
2017-01-26,14.5,14.63,14.13,14.41,14.41,4310400
2017-01-27,14.47,14.55,14.265,14.53,14.53,2320000
2017-01-30,14.46,14.49,14.18,14.45,14.45,2422200
2017-01-31,14.4,14.77,14.365,14.62,14.62,3124100
2017-02-01,14.49,14.565,14.18,14.36,14.36,4679000
2017-02-02,14.25,14.5,14.19,14.36,14.36,2376200
2017-02-03,14.29,14.44,14.11,14.28,14.28,3632200
2017-02-06,14.29,14.5,14.03,14.4,14.4,3157400
2017-02-07,14.38,14.5,14.26,14.4,14.4,3085600
2017-02-08,14.44,14.555,14.35,14.47,14.47,2586200
2017-02-09,14.47,14.745,14.47,14.73,14.73,2548300
2017-02-10,14.74,14.74,14.53,14.61,14.61,2159800
2017-02-13,14.65,15.04,14.45,14.5,14.5,7216800
2017-02-14,14.47,14.52,14.03,14.33,14.33,5903400
2017-02-15,14.31,14.41,14.21,14.31,14.31,4068300
2017-02-16,14.3,14.35,13.84,13.89,13.89,5932100
2017-02-17,14.02,14.6,13.99,14.47,14.47,7726400
2017-02-21,14.63,14.66,14.34,14.63,14.63,6042300
2017-02-22,14.75,15.215,14.6,15.04,15.04,12329800
2017-02-23,16.67,17.75,16.32,17.15,17.15,43946600
2017-02-24,16.950001,17.629999,16.9,17.43,17.43,15892300
2017-02-27,17.42,18.17,17.309999,17.93,17.93,12652700
2017-02-28,17.790001,17.790001,17.27,17.32,17.32,12769700
2017-03-01,17.530001,17.639999,17.059999,17.219999,17.219999,13025600
2017-03-02,17.200001,17.35,16.98,16.99,16.99,7293700
2017-03-03,16.83,17.200001,16.57,16.889999,16.889999,13050500
2017-03-06,16.91,17.155001,16.709999,16.860001,16.860001,6005700
2017-03-07,16.9,16.9,16.5,16.76,16.76,5762700
2017-03-08,16.76,17.0,16.700001,16.83,16.83,3872100
2017-03-09,16.85,17.205,16.700001,17.07,17.07,5693700
2017-03-10,17.139999,17.18,16.83,16.91,16.91,4865600
2017-03-13,16.91,17.091999,16.83,16.93,16.93,3718000
2017-03-14,16.950001,16.950001,16.639999,16.77,16.77,3950500
2017-03-15,16.799999,17.0,16.74,16.950001,16.950001,4548700
2017-03-16,17.0,17.280001,17.0,17.209999,17.209999,8838400
2017-03-17,17.18,17.34,17.059999,17.280001,17.280001,5680700
2017-03-20,17.280001,17.370001,17.17,17.24,17.24,4596100
2017-03-21,17.25,17.280001,16.4,16.51,16.51,6379900
2017-03-22,16.459999,16.565001,16.110001,16.41,16.41,5054200
2017-03-23,16.4,17.030001,16.4,16.610001,16.610001,6410200
2017-03-24,16.75,16.940001,16.469999,16.59,16.59,4008500
2017-03-27,16.370001,17.27,16.219999,17.25,17.25,6935500
2017-03-28,17.379999,17.5,16.92,17.23,17.23,7385300
2017-03-29,17.219999,17.59,17.190001,17.219999,17.219999,5381500
2017-03-30,17.25,17.395,17.120001,17.32,17.32,4580900
2017-03-31,17.32,17.42,17.219999,17.280001,17.280001,2356300
2017-04-03,17.24,17.299999,16.690001,17.030001,17.030001,8709100
2017-04-04,16.969999,17.18,16.93,17.040001,17.040001,5979200
2017-04-05,17.049999,17.08,16.74,16.75,16.75,5388500
2017-04-06,16.84,17.01,16.690001,17.0,17.0,4800100
2017-04-07,17.0,17.0,16.690001,16.690001,16.690001,4319500
2017-04-10,16.780001,17.1,16.778,16.99,16.99,3781500
2017-04-11,16.93,16.99,16.66,16.92,16.92,3199000
2017-04-12,16.879999,17.51,16.780001,17.299999,17.299999,11161400
2017-04-13,17.27,17.370001,16.75,16.92,16.92,5286000
2017-04-17,16.92,17.1,16.82,17.08,17.08,2196000
2017-04-18,17.01,17.040001,16.870001,16.98,16.98,3282000
2017-04-19,17.0,17.427,16.98,17.200001,17.200001,3799300
2017-04-20,17.309999,17.75,17.299999,17.709999,17.709999,4897100
2017-04-21,17.83,17.83,17.32,17.49,17.49,5176700
2017-04-24,17.75,17.934999,17.584999,17.85,17.85,5380800
2017-04-25,17.969999,18.299999,17.815001,18.219999,18.219999,7965500
2017-04-26,18.25,18.25,17.92,18.08,18.08,4504900
2017-04-27,18.18,18.455,18.150999,18.23,18.23,5680400
2017-04-28,18.32,18.4,17.945,18.24,18.24,4640700
2017-05-01,18.33,18.795,18.15,18.610001,18.610001,5865200
2017-05-02,18.969999,19.030001,18.469999,18.809999,18.809999,9125400
2017-05-03,18.9,18.9,18.08,18.280001,18.280001,14720700
2017-05-04,19.23,20.42,19.18,19.9,19.9,26533600
2017-05-05,19.75,19.9,19.35,19.780001,19.780001,9608300
2017-05-08,19.73,19.84,19.469999,19.559999,19.559999,6361600
2017-05-09,19.639999,20.049999,19.52,19.799999,19.799999,8102400
2017-05-10,19.73,19.969999,19.65,19.950001,19.950001,5784500
2017-05-11,19.950001,19.99,19.549999,19.709999,19.709999,4439200
2017-05-12,19.75,20.5,19.75,20.08,20.08,7809200
2017-05-15,20.190001,20.385,20.120001,20.25,20.25,4503200
2017-05-16,20.25,20.690001,20.125,20.34,20.34,8379000
2017-05-17,19.870001,20.16,19.530001,19.559999,19.559999,12443100
2017-05-18,19.530001,19.940001,19.450001,19.68,19.68,5818700
2017-05-19,19.879999,20.0,19.725,19.91,19.91,5086700
2017-05-22,19.98,21.0,19.98,20.950001,20.950001,9836000
2017-05-23,20.98,21.75,20.9,21.639999,21.639999,12888000
2017-05-24,21.639999,21.98,21.42,21.92,21.92,6623500
2017-05-25,21.969999,22.73,21.93,22.33,22.33,9841500
2017-05-26,22.34,22.610001,22.219999,22.33,22.33,6402200
2017-05-30,22.370001,22.860001,22.280001,22.74,22.74,7032600
2017-05-31,23.07,23.57,22.809999,22.99,22.99,10844300
2017-06-01,23.049999,23.235001,22.740999,23.23,23.23,5882200
2017-06-02,23.197001,23.23,22.549999,23.200001,23.200001,8156500
2017-06-05,23.110001,23.73,22.85,23.389999,23.389999,7817400
2017-06-06,23.5,24.440001,23.49,24.209999,24.209999,14665100
2017-06-07,24.450001,24.5,23.700001,24.290001,24.290001,9844900
2017-06-08,24.309999,24.83,24.07,24.780001,24.780001,6938500
2017-06-09,24.719999,24.969999,22.413,23.030001,23.030001,16322100
2017-06-12,22.700001,23.6,22.41,23.6,23.6,16378800
2017-06-13,24.110001,24.200001,23.34,23.48,23.48,6790600
2017-06-14,23.59,23.67,23.030001,23.469999,23.469999,6888300
2017-06-15,23.120001,24.17,22.450001,23.99,23.99,8937200
2017-06-16,23.58,23.99,23.309999,23.559999,23.559999,9809500
2017-06-19,23.620001,24.225,23.559999,24.200001,24.200001,8147600
2017-06-20,24.25,24.459999,23.58,23.85,23.85,7159900
2017-06-21,24.040001,24.34,23.959999,24.16,24.16,4203100
2017-06-22,24.23,24.35,23.93,24.280001,24.280001,5175100
2017-06-23,24.33,24.42,23.879999,24.17,24.17,15013700
2017-06-26,24.33,24.5,23.84,23.93,23.93,5205400
2017-06-27,23.93,24.24,23.209999,23.32,23.32,5745800
2017-06-28,23.639999,24.34,23.4,24.299999,24.299999,6957700
2017-06-29,24.27,24.299999,23.23,23.4,23.4,7136300
2017-06-30,23.450001,23.67,23.302999,23.459999,23.459999,4259000
2017-07-03,23.549999,23.6,22.66,22.83,22.83,3584100
