"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",11.95,12.06,11.92,12.04,3735800,9.937693
"2015-01-05",11.99,12.07,11.92,12,5832700,9.904677
"2015-01-06",12.04,12.41,12.03,12.33,9887000,10.177057
"2015-01-07",12.3,12.49,12.23,12.48,5871600,10.300864
"2015-01-08",12.49,12.49,12.35,12.39,4785700,10.226581
"2015-01-09",12.39,12.42,12.23,12.26,7819100,10.11928
"2015-01-12",12.29,12.4,12.28,12.38,2994500,10.218325
"2015-01-13",12.39,12.4,12.25,12.33,3644500,10.177057
"2015-01-14",12.21,12.49,12.19,12.49,4277000,10.309119
"2015-01-15",12.5,12.56,12.44,12.54,5152500,10.350388
"2015-01-16",12.55,12.67,12.43,12.65,4927600,10.441182
"2015-01-20",12.68,12.69,12.5,12.57,3591500,10.375149
"2015-01-21",12.55,12.65,12.48,12.57,3962200,10.375149
"2015-01-22",12.64,12.77,12.58,12.73,3640200,10.507211
"2015-01-23",12.75,12.79,12.59,12.66,2483400,10.449435
"2015-01-26",12.67,12.81,12.6,12.8,3033500,10.56499
"2015-01-27",12.73,12.85,12.69,12.8,3227300,10.56499
"2015-01-28",12.83,12.89,12.7,12.77,3946700,10.540228
"2015-01-29",12.76,12.95,12.67,12.91,4630600,10.655784
"2015-01-30",12.88,12.96,12.79,12.86,6554900,10.614512
"2015-02-02",12.84,12.84,12.56,12.79,6453700,10.556736
"2015-02-03",12.76,12.91,12.64,12.9,4398800,10.647528
"2015-02-04",12.83,12.9,12.74,12.86,3966100,10.614512
"2015-02-05",12.85,13,12.8,12.99,4054700,10.721814
"2015-02-06",12.98,12.98,12.44,12.57,5754500,10.375149
"2015-02-09",12.53,12.61,12.45,12.47,7092800,10.292611
"2015-02-10",12.48,12.6,12.35,12.51,7952900,10.325626
"2015-02-11",12.49,12.58,12.37,12.48,2202700,10.300864
"2015-02-12",12.52,12.65,12.46,12.58,4375400,10.383405
"2015-02-13",12.63,12.64,12.42,12.59,3243300,10.391658
"2015-02-17",12.55,12.71,12.44,12.47,4553300,10.292611
"2015-02-18",12.52,12.7,12.36,12.63,5492700,10.424673
"2015-02-19",12.58,12.59,12.33,12.36,3054300,10.201817
"2015-02-20",12.37,12.51,12.35,12.47,4399800,10.292611
"2015-02-23",12.51,12.58,12.44,12.5,4116000,10.317373
"2015-02-24",12.45,12.49,12.23,12.25,5067600,10.111025
"2015-02-25",12.25,12.59,12.25,12.46,9979100,10.284358
"2015-02-26",12.42,12.46,12.26,12.33,2762600,10.177057
"2015-02-27",12.13,12.48,12.12,12.25,8635500,10.111025
"2015-03-02",12.25,12.42,12.2,12.25,3909000,10.111025
"2015-03-03",12.24,12.27,12.15,12.22,3009800,10.086265
"2015-03-04",12.2,12.24,12.08,12.11,3256600,9.995471
"2015-03-05",12.11,12.24,12.04,12.12,3921200,10.003723
"2015-03-06",11.97,11.97,11.65,11.67,6703000,9.632299
"2015-03-09",11.73,11.77,11.65,11.74,2056800,9.690076
"2015-03-10",11.7,11.81,11.65,11.72,2204500,9.673569
"2015-03-11",11.72,11.73,11.54,11.66,4925800,9.624044
"2015-03-12",11.74,11.89,11.69,11.79,3756400,9.731345
"2015-03-13",11.77,11.81,11.63,11.8,5614500,9.739599
"2015-03-16",11.88,11.95,11.85,11.89,3624900,9.813885
"2015-03-17",11.9,11.95,11.82,11.9,3720400,9.82214
"2015-03-18",11.91,12.29,11.83,12.21,8441800,10.07801
"2015-03-19",12.14,12.26,12.09,12.11,3737900,9.995471
"2015-03-20",12.16,12.29,12.16,12.26,7875200,10.11928
"2015-03-23",12.29,12.39,12.25,12.3,3687200,10.152295
"2015-03-24",12.3,12.31,12.16,12.19,6052100,10.061502
"2015-03-25",12.2,12.24,11.98,12.03,3724500,9.92944
"2015-03-26",11.96,12.03,11.8,11.82,6319200,9.756109
"2015-03-27",11.64,11.86,11.61,11.84,5441600,9.91522
"2015-03-30",11.85,12.07,11.85,12.04,4381200,10.082707
"2015-03-31",12.04,12.09,12.01,12.08,5566800,10.116205
"2015-04-01",12.11,12.28,11.99,12.21,6058800,10.225071
"2015-04-02",12.18,12.32,12.13,12.3,4988400,10.300441
"2015-04-06",12.31,12.44,12.28,12.4,5060300,10.384183
"2015-04-07",12.37,12.38,12.09,12.13,4683700,10.158076
"2015-04-08",12.17,12.2,12.09,12.11,2414200,10.141328
"2015-04-09",12.05,12.1,11.84,12.01,20531500,10.057585
"2015-04-10",12.1,12.16,11.83,11.84,9909200,9.91522
"2015-04-13",11.84,11.95,11.79,11.84,6060300,9.91522
"2015-04-14",11.89,11.94,11.77,11.81,8757800,9.890097
"2015-04-15",11.85,11.91,11.73,11.73,6816300,9.823103
"2015-04-16",11.7,11.82,11.64,11.74,3976100,9.831478
"2015-04-17",11.68,11.8,11.58,11.8,10302500,9.881723
"2015-04-20",11.84,11.89,11.75,11.8,6144000,9.881723
"2015-04-21",11.82,11.93,11.81,11.82,4713300,9.898472
"2015-04-22",11.85,11.95,11.73,11.77,3062800,9.856601
"2015-04-23",11.75,11.86,11.74,11.82,7318900,9.898472
"2015-04-24",11.84,11.9,11.77,11.8,5861800,9.881723
"2015-04-27",11.79,11.87,11.73,11.73,2632000,9.823103
"2015-04-28",11.67,11.79,11.62,11.68,4793900,9.781233
"2015-04-29",11.59,11.62,11.4,11.41,5811500,9.555124
"2015-04-30",11.34,11.4,11.19,11.29,7860900,9.454632
"2015-05-01",11.3,11.41,11.27,11.36,5346200,9.513252
"2015-05-04",11.36,11.43,11.3,11.43,5506500,9.571874
"2015-05-05",11.36,11.39,11.13,11.16,5053200,9.345766
"2015-05-06",11.11,11.17,11.01,11.06,3195700,9.262022
"2015-05-07",11.06,11.24,11.01,11.19,4044000,9.370888
"2015-05-08",11.27,11.62,11.25,11.4,7612300,9.546747
"2015-05-11",11.32,11.39,11.07,11.15,6906700,9.337389
"2015-05-12",11.04,11.21,10.96,11.2,5132100,9.379263
"2015-05-13",11.24,11.31,10.97,11.01,4332600,9.22015
"2015-05-14",11.1,11.2,11,11.18,6782400,9.362514
"2015-05-15",11.18,11.45,11.18,11.38,4504700,9.530002
"2015-05-18",11.34,11.41,11.29,11.31,2769000,9.471381
"2015-05-19",11.27,11.37,11.17,11.18,8240300,9.362514
"2015-05-20",11.22,11.27,11.09,11.23,9841200,9.404385
"2015-05-21",11.27,11.27,11.07,11.11,4093000,9.303893
"2015-05-22",11.07,11.15,10.99,11.06,2667500,9.262022
"2015-05-26",11.06,11.1,10.89,10.96,3710500,9.178279
"2015-05-27",10.96,11.02,10.89,10.95,9323700,9.169903
"2015-05-28",10.94,10.98,10.87,10.9,4617400,9.128032
"2015-05-29",10.93,10.94,10.75,10.79,4397900,9.035915
"2015-06-01",10.79,11.03,10.76,10.98,4686700,9.195026
"2015-06-02",10.91,10.97,10.82,10.87,4358400,9.102909
"2015-06-03",10.86,10.87,10.65,10.67,4765600,8.935422
"2015-06-04",10.68,10.72,10.56,10.59,6797200,8.868428
"2015-06-05",10.48,10.55,10.33,10.47,5024900,8.767936
"2015-06-08",10.47,10.55,10.42,10.53,4850300,8.818181
"2015-06-09",10.54,10.56,10.35,10.39,2748400,8.700942
"2015-06-10",10.34,10.44,10.3,10.34,3426200,8.659068
"2015-06-11",10.41,10.45,10.35,10.43,4308200,8.734438
"2015-06-12",10.38,10.44,10.35,10.42,3431100,8.726065
"2015-06-15",10.42,10.44,10.34,10.37,4248700,8.684192
"2015-06-16",10.37,10.53,10.3,10.5,6910800,8.793059
"2015-06-17",10.48,10.61,10.41,10.61,7660700,8.885175
"2015-06-18",10.61,10.79,10.61,10.77,7037800,9.019166
"2015-06-19",10.76,10.77,10.62,10.66,7538900,8.927048
"2015-06-22",10.63,10.68,10.45,10.48,12465400,8.776309
"2015-06-23",10.4,10.49,10.35,10.38,5070500,8.692566
"2015-06-24",10.38,10.42,10.28,10.29,4092600,8.617197
"2015-06-25",10.29,10.32,9.99,10,10167600,8.374342
"2015-06-26",9.85,9.93,9.77,9.89,5475900,8.425458
"2015-06-29",9.86,9.98,9.76,9.76,4697600,8.314708
"2015-06-30",9.79,9.86,9.63,9.67,6585000,8.238034
