"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",65.099998,66.07,64.699997,65.160004,449400,62.524117
"2015-01-05",64.940002,65.610001,64.089996,64.510002,397800,61.90041
"2015-01-06",64.809998,65.190002,63.759998,64.550003,492500,61.938797
"2015-01-07",65,65.43,64.639999,65.07,394900,62.437748
"2015-01-08",65.68,66.839996,65.050003,66.779999,681000,64.078568
"2015-01-09",66.779999,66.860001,65.980003,66.050003,376300,63.378109
"2015-01-12",66.25,66.300003,64.760002,64.779999,565300,62.159473
"2015-01-13",65.120003,65.919998,63.990002,64.779999,496200,62.159473
"2015-01-14",64.209999,64.699997,63.509998,64.169998,473100,61.574158
"2015-01-15",64.300003,64.580002,63.150002,63.279999,396500,60.720158
"2015-01-16",62.990002,64.889999,62.990002,64.690002,441600,62.073128
"2015-01-20",65,65.410004,63.84,64.349998,399800,61.746876
"2015-01-21",64.379997,65.050003,64,64.529999,346500,61.919598
"2015-01-22",64.949997,66.029999,64.139999,66.010002,313400,63.339725
"2015-01-23",66.010002,66.57,65.470001,66.18,328200,63.502838
"2015-01-26",66,67.290001,65.260002,67.230003,505700,64.510391
"2015-01-27",66.699997,67.099998,66.150002,66.690002,331600,63.992226
"2015-01-28",66.720001,67.110001,65.18,65.360001,453400,62.716022
"2015-01-29",65.529999,66.529999,65.019997,66.489998,318400,63.800312
"2015-01-30",66.110001,66.389999,64.809998,65.220001,652400,62.581684
"2015-02-02",65.220001,65.309998,63.700001,64.870003,436200,62.245842
"2015-02-03",65.300003,67.150002,65.059998,67,536400,64.28968
"2015-02-04",67.690002,68,66.32,67.150002,670400,64.433609
"2015-02-05",67.529999,67.980003,66.650002,67.730003,388700,64.990158
"2015-02-06",67.639999,67.989998,66.620003,66.980003,408400,64.270485
"2015-02-09",66.639999,66.980003,65.5,65.650002,396700,62.994293
"2015-02-10",66.330002,66.43,65.059998,66.099998,714100,63.426086
"2015-02-11",66.139999,66.360001,65.410004,65.830002,356200,63.167
"2015-02-12",66.110001,66.379997,65.389999,65.849998,305500,63.186203
"2015-02-13",65.709999,66.269997,65.040001,65.5,354100,62.850357
"2015-02-17",65.339996,65.540001,64.760002,65.32,349300,62.677643
"2015-02-18",65.32,66.019997,64.519997,65.989998,494400,63.320526
"2015-02-19",65.959999,66.169998,65.139999,65.349998,213200,62.706409
"2015-02-20",65.370003,66.830002,64.919998,66.379997,392300,63.694759
"2015-02-23",66.160004,66.669998,64.889999,65.540001,470100,63.107399
"2015-02-24",65.449997,65.529999,64.720001,65.360001,407100,62.934086
"2015-02-25",65.349998,65.860001,64.470001,64.800003,266500,62.394863
"2015-02-26",64.620003,64.75,64.050003,64.290001,612300,61.90379
"2015-02-27",64.18,64.949997,63.700001,64.519997,412800,62.125252
"2015-03-02",64.68,65.029999,63.59,64.989998,530700,62.577808
"2015-03-03",64.870003,64.870003,63.279999,63.419998,576900,61.066082
"2015-03-04",63.18,63.919998,62.560001,63.290001,363400,60.940907
"2015-03-05",62.970001,64.349998,62.82,64.260002,314900,61.874912
"2015-03-06",63.709999,63.939999,62.970001,63.380001,614100,61.027573
"2015-03-09",63.549999,64.040001,62.970001,63.880001,498000,61.509014
"2015-03-10",63.25,65.230003,63.009998,64.800003,1252500,62.394863
"2015-03-11",64.989998,65,63.709999,64.279999,662400,61.894165
"2015-03-12",64.559998,65.360001,64.209999,65.199997,407700,62.780022
"2015-03-13",65.139999,66.040001,64.550003,65.900002,456100,63.454037
"2015-03-16",65.970001,68.360001,65.970001,67.959999,791200,65.437576
"2015-03-17",67.879997,67.879997,67.25,67.440002,442500,64.936874
"2015-03-18",67.330002,67.599998,66.620003,67.080002,567500,64.590248
"2015-03-19",66.860001,68.220001,66.669998,68.169998,451100,65.639778
"2015-03-20",68.919998,69.510002,68.410004,69.459999,984700,66.881905
"2015-03-23",69.07,69.389999,68.779999,69.129997,538800,66.56414
"2015-03-24",68.900002,69.730003,68.760002,69.169998,546700,66.602669
"2015-03-25",69.510002,70.089996,68.160004,68.290001,609600,65.755325
"2015-03-26",68.129997,68.419998,67.620003,68.410004,303300,65.87088
"2015-03-27",68.300003,69.269997,68.129997,69.239998,595000,66.670052
"2015-03-30",69.580002,70.650002,69.220001,70.379997,482000,67.767746
"2015-03-31",69.919998,70.43,69.489998,70.269997,489700,67.661835
"2015-04-01",69.730003,70.389999,67.910004,68.639999,648800,66.092346
"2015-04-02",68.879997,69.480003,68.470001,69.139999,529900,66.573776
"2015-04-06",68.940002,70.410004,68.589996,69.75,367500,67.161133
"2015-04-07",69.489998,70.389999,69.110001,69.919998,426600,67.324821
"2015-04-08",69.989998,70.839996,69.949997,70.669998,631700,68.046982
"2015-04-09",70.650002,71.379997,69.940002,70.660004,520600,68.037369
"2015-04-10",71.059998,71.129997,70.32,70.650002,318800,68.027725
"2015-04-13",70.529999,71.019997,69.959999,70.190002,546900,67.584824
"2015-04-14",70.400002,70.510002,69.129997,69.360001,569100,66.785606
"2015-04-15",69.610001,70.129997,69.150002,69.449997,422000,66.872269
"2015-04-16",69.300003,69.919998,69.019997,69.230003,291600,66.660454
"2015-04-17",68.730003,69.209999,68.410004,69.139999,411700,66.573776
"2015-04-20",69.279999,69.739998,68.339996,69.699997,605100,67.112991
"2015-04-21",70.25,70.489998,70.019997,70.199997,287700,67.594429
"2015-04-22",70.18,70.580002,69.57,70.43,164700,67.815887
"2015-04-23",70.43,71.389999,70.199997,70.699997,280800,68.075882
