"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",74.639999,74.889999,72.940002,73.860001,811100,70.166428
"2015-01-05",73.389999,74.220001,73.279999,73.410004,1288400,69.738945
"2015-01-06",73.910004,74.360001,72.400002,73.059998,1358800,69.406441
"2015-01-07",74,75.540001,73.940002,75.400002,1507700,71.629417
"2015-01-08",77.040001,78.050003,77.029999,77.730003,1810700,73.842903
"2015-01-09",78.019997,78.809998,77.449997,77.580002,1187900,73.700409
"2015-01-12",77.400002,77.870003,76.389999,76.959999,792400,73.11142
"2015-01-13",77.650002,78.370003,75.339996,76.169998,1234900,72.360916
"2015-01-14",74.769997,75.389999,74.400002,74.980003,1661500,71.230431
"2015-01-15",74.379997,75.349998,74.029999,74.559998,1679500,70.831429
"2015-01-16",74.199997,75.160004,73.849998,75.050003,1365500,71.296936
"2015-01-20",75.629997,75.970001,74.400002,75.230003,993600,71.467926
"2015-01-21",74.989998,76.82,74.720001,76.660004,902800,72.826408
"2015-01-22",76.879997,78.230003,76.260002,78.089996,1067900,74.184906
"2015-01-23",78.099998,78.510002,77.730003,78.089996,998900,74.184906
"2015-01-26",77.629997,78.639999,77.480003,78.18,1012900,74.270401
"2015-01-27",77.269997,77.849998,76.440002,77.550003,1263700,73.671921
"2015-01-28",77.82,78.919998,77.099998,77.209999,1031000,73.348907
"2015-01-29",77.239998,78.080002,75.989998,78.029999,1353900,74.127892
"2015-01-30",77.220001,77.5,75.809998,75.93,1242800,72.132919
"2015-02-02",76.389999,76.519997,75.129997,76.230003,1161700,72.417923
"2015-02-03",76.739998,77.879997,76.449997,77.839996,1549500,73.947411
"2015-02-04",77.480003,78.610001,77.43,77.669998,949900,73.785896
"2015-02-05",77.860001,78.260002,77.269997,78.209999,1509600,74.298897
"2015-02-06",78.199997,78.339996,77.059998,77.160004,919900,73.301407
"2015-02-09",76.959999,76.959999,76.010002,76.339996,1998300,72.522415
"2015-02-10",77.150002,78.360001,71.849998,73.209999,7330700,69.548935
"2015-02-11",72.919998,73.849998,72.650002,73,2523700,69.349442
"2015-02-12",73,73.809998,72.769997,73.779999,1443700,70.090439
"2015-02-13",73.589996,73.769997,72.239998,72.82,1794600,69.178436
"2015-02-17",72.970001,76.050003,72.800003,75.900002,2289200,72.104424
"2015-02-18",75.650002,76.449997,74.989998,76.260002,1298300,72.446426
"2015-02-19",76.07,76.449997,75.419998,75.480003,1421400,71.705429
"2015-02-20",75.040001,76.860001,74.620003,76.629997,1393700,72.797905
"2015-02-23",76.769997,77.120003,76.519997,76.800003,703000,72.959412
"2015-02-24",76.860001,77.07,76.199997,76.57,995500,72.740913
"2015-02-25",75.940002,76.220001,75.440002,75.68,858900,72.282463
"2015-02-26",75.550003,77.389999,75.540001,77.239998,1256500,73.77243
"2015-02-27",77.110001,77.5,75.720001,75.889999,1994600,72.483032
"2015-03-02",75.889999,76.199997,75.610001,75.910004,762400,72.502144
"2015-03-03",75.809998,75.889999,74.650002,74.730003,1296100,71.375107
"2015-03-04",74.279999,74.970001,74.279999,74.300003,1400400,70.964417
"2015-03-05",74.360001,75.040001,74.190002,74.440002,1354200,71.098145
"2015-03-06",74,74.519997,73.379997,74.230003,1403000,70.897568
"2015-03-09",74.309998,75.059998,74.160004,74.809998,981100,71.451515
"2015-03-10",74,74.309998,73.370003,73.419998,1032600,70.123924
"2015-03-11",73.510002,73.830002,73.220001,73.68,1406000,70.372231
"2015-03-12",73.730003,75.709999,73.589996,75.669998,1268600,72.272911
"2015-03-13",75.629997,75.699997,74.5,75.059998,2165500,71.690285
"2015-03-16",75.260002,75.879997,74.989998,75.339996,1570800,71.957718
"2015-03-17",74.849998,75.050003,73.620003,73.809998,1409400,70.496407
"2015-03-18",73.769997,75.029999,72.290001,74.139999,1864700,70.8116
"2015-03-19",74.029999,74.139999,72.769997,73.150002,1158700,69.866051
"2015-03-20",73.449997,75.029999,73.18,74.57,1379800,71.222313
"2015-03-23",74.849998,74.870003,73.709999,73.739998,1194300,70.42955
"2015-03-24",73.809998,73.980003,73,73.040001,1264100,69.760994
"2015-03-25",73.169998,73.169998,71.879997,72,2659500,68.76767
"2015-03-26",72.040001,72.400002,71.489998,72.190002,1204100,68.94915
"2015-03-27",72.050003,73.559998,71.93,73.260002,2237000,69.9711
"2015-03-30",73.529999,75,73.059998,74.730003,1185400,71.375107
"2015-03-31",74.400002,75.040001,73.699997,74.449997,1723100,71.107681
"2015-04-01",74.019997,74.550003,73.440002,74.510002,1562600,71.164986
"2015-04-02",74.580002,75.489998,74.309998,75.400002,1199600,72.015022
"2015-04-06",74.940002,76.699997,74.879997,76.160004,1808600,72.740921
"2015-04-07",76.150002,78.360001,76.150002,78.239998,2918500,74.727531
"2015-04-08",78.160004,78.809998,77.300003,78.669998,2750600,75.138229
