Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.33,27.91,27.139999,27.58,27.58,1507300
2017-01-04,27.67,28.66,27.620001,28.639999,28.639999,1645600
2017-01-05,28.42,28.780001,28.16,28.34,28.34,1447700
2017-01-06,28.48,28.76,28.290001,28.75,28.75,1002300
2017-01-09,28.9,28.9,28.440001,28.530001,28.530001,1238400
2017-01-10,28.530001,28.6,28.17,28.309999,28.309999,937700
2017-01-11,27.950001,28.48,27.809999,28.469999,28.469999,1303000
2017-01-12,28.33,28.48,27.9,28.450001,28.450001,1199600
2017-01-13,28.450001,28.66,28.440001,28.51,28.51,628000
2017-01-17,28.52,28.639999,28.1,28.200001,28.200001,794300
2017-01-18,28.15,28.83,28.02,28.719999,28.719999,1942100
2017-01-19,28.76,28.860001,28.299999,28.42,28.42,1286600
2017-01-20,28.52,28.620001,28.35,28.469999,28.469999,1199600
2017-01-23,28.41,28.530001,28.110001,28.4,28.4,1174000
2017-01-24,28.540001,28.91,28.42,28.639999,28.639999,995900
2017-01-25,28.870001,29.18,28.57,29.16,29.16,1258400
2017-01-26,28.99,29.25,28.9,28.92,28.92,955900
2017-01-27,28.9,29.120001,28.74,29.120001,29.120001,1132900
2017-01-30,28.950001,29.07,28.59,29.030001,29.030001,1429100
2017-01-31,28.92,29.459999,28.879999,29.360001,29.360001,1829200
2017-02-01,29.57,29.709999,29.09,29.530001,29.530001,1189100
2017-02-02,29.41,29.83,29.200001,29.77,29.77,1422200
2017-02-03,30.0,30.26,29.879999,30.200001,30.200001,1382500
2017-02-06,29.870001,30.17,29.76,29.92,29.92,880800
2017-02-07,29.91,30.01,29.68,29.940001,29.940001,839800
2017-02-08,30.0,30.43,29.73,30.17,30.17,2178100
2017-02-09,30.17,33.32,30.129999,32.740002,32.740002,5322200
2017-02-10,32.330002,32.540001,31.48,31.68,31.68,4870900
2017-02-13,31.799999,32.029999,31.610001,31.870001,31.870001,1651100
2017-02-14,31.58,31.709999,31.24,31.559999,31.559999,1678300
2017-02-15,31.51,31.66,31.280001,31.59,31.59,1281200
2017-02-16,31.620001,32.080002,31.0,31.07,31.07,2171100
2017-02-17,30.950001,31.209999,30.700001,31.07,31.07,2124000
2017-02-21,31.0,31.809999,30.9,31.73,31.73,2850300
2017-02-22,31.709999,31.73,31.34,31.4,31.4,1785900
2017-02-23,31.91,31.91,31.18,31.360001,31.360001,1108000
2017-02-24,31.110001,31.34,30.93,31.280001,31.280001,866000
2017-02-27,31.200001,31.450001,31.129999,31.360001,31.360001,1270900
2017-02-28,31.27,31.41,30.84,31.1,31.1,1589700
2017-03-01,31.469999,31.68,31.32,31.43,31.43,1680800
2017-03-02,31.27,31.459999,31.030001,31.09,31.09,1869700
2017-03-03,31.139999,31.639999,30.969999,31.459999,31.459999,1561600
2017-03-06,31.190001,31.4,31.02,31.26,31.26,1298800
