"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",71.489998,71.709999,70.089996,70.669998,114400,66.433167
"2015-01-05",70.32,70.489998,68.809998,69.230003,208100,65.079498
"2015-01-06",69.5,69.809998,67.849998,68.18,146700,64.092453
"2015-01-07",68.68,69.389999,68.099998,69.32,150200,65.164108
"2015-01-08",69.639999,70.980003,69.639999,70.440002,332400,66.216965
"2015-01-09",70.43,70.839996,69.199997,69.599998,167900,65.427322
"2015-01-12",69.610001,69.610001,68.709999,69.260002,169300,65.107704
"2015-01-13",69.830002,71.449997,69.519997,70.349998,229700,66.132355
"2015-01-14",69.459999,70.43,69.169998,69.580002,127600,65.408524
"2015-01-15",69.779999,70.190002,68.75,69.489998,117100,65.323914
"2015-01-16",69.400002,70.519997,69.400002,70.43,117200,66.207581
"2015-01-20",70.639999,70.959999,69.150002,69.639999,151900,65.464912
"2015-01-21",69.5,69.839996,68.839996,69.730003,118100,65.549538
"2015-01-22",70.199997,71.370003,69.690002,71.349998,188200,67.072418
"2015-01-23",71.25,71.510002,70.580002,71.129997,108300,66.865578
"2015-01-26",71.120003,71.699997,70.529999,71.669998,132900,67.373215
"2015-01-27",71,71.739998,70.800003,71.18,95700,66.912598
"2015-01-28",71.589996,71.589996,69.940002,70,101400,65.803345
"2015-01-29",70.139999,70.68,69.360001,70.540001,110900,66.310966
"2015-01-30",69.779999,70.199997,68.970001,69,130800,64.863297
"2015-02-02",69.120003,70.07,68.419998,69.82,189400,65.634132
"2015-02-03",70.139999,71.68,69.610001,71.620003,140200,67.326225
"2015-02-04",71.220001,72.349998,70.959999,72.019997,162700,67.702232
"2015-02-05",71.889999,73.470001,71.199997,73.349998,187800,68.952507
"2015-02-06",73.019997,73.379997,71.32,71.839996,214700,67.533028
"2015-02-09",71.800003,71.800003,71.019997,71.209999,99400,66.940796
"2015-02-10",71.709999,71.93,71.059998,71.93,142300,67.61763
"2015-02-11",71.889999,72.709999,71.559998,72.129997,107000,67.805649
"2015-02-12",72.370003,73.080002,71.860001,72.82,124800,68.454285
"2015-02-13",72.800003,72.800003,71.839996,72.269997,138700,67.937233
"2015-02-17",72.059998,72.75,71.459999,71.779999,214700,67.476624
"2015-02-18",71.650002,71.650002,70.629997,71.199997,276500,66.931396
"2015-02-19",70.970001,71.269997,70.57,71.230003,133900,66.959595
"2015-02-20",71.080002,71.559998,70.360001,71.480003,208300,67.194633
"2015-02-23",71.480003,71.580002,70.879997,71.57,247600,67.279221
"2015-02-24",71.449997,71.809998,71.099998,71.309998,133400,67.034805
"2015-02-25",71.330002,71.550003,70.889999,71.120003,155900,66.856201
"2015-02-26",71.029999,71.239998,70.650002,70.860001,73500,66.611786
"2015-02-27",70.75,71.139999,70.190002,70.239998,120800,66.028946
"2015-03-02",70.110001,70.989998,70.110001,70.370003,159900,66.151161
"2015-03-03",70.230003,70.900002,69.800003,70.900002,240500,66.649376
"2015-03-04",70.949997,70.949997,69.599998,69.800003,144500,65.615334
"2015-03-05",70.019997,70.230003,69.510002,69.870003,140800,65.681137
"2015-03-06",69.720001,70.220001,69.040001,69.120003,164300,64.976097
"2015-03-09",69.379997,70.040001,69.379997,69.830002,108700,65.643539
"2015-03-10",69.32,69.32,68.290001,68.32,147000,64.224052
"2015-03-11",67.989998,68.959999,67.739998,68.839996,218200,65.103592
"2015-03-12",69.029999,70.480003,69.029999,70.279999,126200,66.465424
"2015-03-13",70.18,70.300003,69.169998,69.760002,132500,65.973648
"2015-03-16",70.230003,71,70.129997,70.830002,149200,66.98558
"2015-03-17",70.580002,71.610001,70.269997,71.5,164400,67.619202
"2015-03-18",71.370003,72.230003,70.980003,71.809998,163100,67.912376
"2015-03-19",71.650002,71.760002,70.970001,71.349998,188900,67.477348
"2015-03-20",71.93,72.650002,71.349998,72.519997,463000,68.583855
"2015-03-23",72.510002,72.860001,72.260002,72.43,167900,68.498726
"2015-03-24",72.300003,72.669998,72.07,72.339996,142500,68.41362
"2015-03-25",72.580002,72.720001,71.660004,71.849998,311900,67.950203
"2015-03-26",71.459999,71.690002,70.910004,70.949997,198600,67.09906
"2015-03-27",71,71.029999,70.449997,70.839996,193100,66.995026
"2015-03-30",71.360001,72.730003,71.32,72.290001,200300,68.366333
"2015-03-31",72.160004,72.639999,71.760002,72.580002,279500,68.640587
"2015-04-01",72.620003,72.93,71.639999,72.190002,176400,68.271767
"2015-04-02",72.230003,72.550003,71.629997,71.940002,169300,68.035324
"2015-04-06",71.919998,73.989998,71.830002,73.610001,343000,69.614685
"2015-04-07",73.470001,73.959999,72.099998,72.110001,141100,68.196098
"2015-04-08",72.25,72.639999,72,72.339996,241800,68.41362
"2015-04-09",72.330002,72.769997,71.190002,71.5,200900,67.619202
"2015-04-10",71.389999,71.959999,71.290001,71.510002,158200,67.62867
"2015-04-13",71.589996,72.730003,71.389999,72.660004,110300,68.716248
"2015-04-14",72.660004,73,71.980003,72.260002,98000,68.337967
"2015-04-15",72.339996,73.029999,71.769997,71.779999,206900,67.88401
"2015-04-16",71.650002,72.120003,71.440002,71.669998,140600,67.779984
"2015-04-17",71.330002,71.510002,70.370003,70.389999,171900,66.56945
"2015-04-20",70.589996,71.260002,70.589996,70.720001,136500,66.881546
"2015-04-21",70.860001,71.129997,70.150002,70.25,133000,66.437057
"2015-04-22",69.989998,70.400002,69.550003,70.379997,176400,66.559998
"2015-04-23",70.360001,71.050003,70.059998,70.599998,121400,66.768066
"2015-04-24",70.599998,70.599998,70.279999,70.330002,127200,66.512711
"2015-04-27",70.330002,70.480003,68.949997,69.089996,299800,65.340012
"2015-04-28",68.940002,70.389999,68.940002,70.220001,117600,66.408669
"2015-04-29",69.910004,70.470001,69.769997,69.980003,121100,66.181717
"2015-04-30",69.669998,70.190002,68.550003,68.57,231000,64.848244
"2015-05-01",69.269997,73.080002,68.75,72.800003,568400,68.848648
"2015-05-04",73.300003,73.300003,71.68,71.709999,356600,67.817802
"2015-05-05",72.209999,72.209999,70,70.589996,217500,66.758598
"2015-05-06",70.870003,70.870003,69.739998,70.730003,176700,66.890999
"2015-05-07",70.559998,71.040001,70.400002,70.800003,167900,66.957214
"2015-05-08",71.599998,71.599998,70.870003,71.07,103500,67.212555
"2015-05-11",70.940002,71.18,70.550003,71.139999,182500,67.278755
"2015-05-12",70.639999,70.690002,70.019997,70.300003,169800,66.484344
"2015-05-13",70.389999,70.610001,70.010002,70.18,118500,66.37085
"2015-05-14",70.379997,70.949997,70.040001,70.93,168000,67.080139
"2015-05-15",71.010002,71.07,69.949997,70.019997,164000,66.219536
"2015-05-18",69.889999,71.43,69.879997,71.419998,277800,67.543541
"2015-05-19",71.410004,71.410004,70.889999,71.360001,204100,67.486801
"2015-05-20",71.300003,71.980003,71.25,71.669998,117100,67.779984
"2015-05-21",71.510002,71.809998,70.980003,71.5,176200,67.619202
"2015-05-22",71.220001,71.610001,71.029999,71.190002,94000,67.326042
"2015-05-26",70.879997,70.879997,70.120003,70.510002,178600,66.682953
"2015-05-27",70.510002,71.580002,70.290001,71.349998,166900,67.477348
"2015-05-28",70.870003,71.589996,70.870003,71.489998,145600,67.609749
"2015-05-29",71.5,71.769997,70.919998,71.18,280500,67.316582
"2015-06-01",71.470001,71.870003,71.059998,71.349998,120300,67.477348
"2015-06-02",71.190002,71.910004,70.980003,71.800003,146900,67.902931
"2015-06-03",71.879997,73.089996,71.75,72.849998,201100,68.895943
"2015-06-04",72.330002,72.57,71.720001,72.089996,149800,68.177177
"2015-06-05",72.339996,72.339996,71.870003,72.18,157100,68.262306
"2015-06-08",72.040001,72.470001,71.720001,71.800003,137300,67.902931
"2015-06-09",71.68,71.980003,71.470001,71.720001,138100,67.827263
"2015-06-10",71.940002,72.150002,71.010002,72.050003,242500,68.531128
"2015-06-11",72.169998,73.269997,72.169998,73.260002,140900,69.682037
"2015-06-12",71.519997,72.900002,71.519997,72.739998,104100,69.187416
"2015-06-15",72.040001,72.690002,71.720001,72.690002,109800,69.13987
"2015-06-16",72.480003,73.910004,72.269997,73.559998,192600,69.967392
"2015-06-17",73.940002,74.32,73.550003,73.790001,226800,70.186142
"2015-06-18",74.07,74.449997,73.779999,74.209999,226400,70.58564
"2015-06-19",74.419998,74.720001,73.809998,73.980003,174600,70.366875
"2015-06-22",73.910004,74.5,72.690002,74.260002,167300,70.633194
"2015-06-23",74.459999,74.900002,74.199997,74.870003,202800,71.213402
"2015-06-24",74.669998,74.790001,74.209999,74.449997,115900,70.813911
"2015-06-25",74.769997,74.769997,73.970001,74.230003,135500,70.60466
"2015-06-26",74.440002,74.879997,74.300003,74.57,309200,70.928055
"2015-06-29",73.860001,74.139999,73.050003,73.059998,233700,69.491791
"2015-06-30",73.82,74.559998,73.559998,74.029999,252900,70.414421
"2015-07-01",74.839996,75.830002,74.830002,75.389999,229000,71.707993
"2015-07-02",75.529999,75.699997,75.080002,75.440002,133300,71.755562
"2015-07-06",74.93,77.639999,74.760002,77.440002,512300,73.657883
"2015-07-07",77.410004,77.410004,76.540001,77.220001,309200,73.448631
"2015-07-08",77,77.059998,76.110001,76.559998,272400,72.820862
"2015-07-09",77.339996,77.610001,75.910004,76.309998,166900,72.583076
"2015-07-10",77.099998,77.699997,76.559998,77.540001,130500,73.753014
"2015-07-13",77.940002,78.449997,77.489998,77.760002,130700,73.96225
"2015-07-14",78.269997,78.809998,78.040001,78.440002,164400,74.609047
"2015-07-15",78.470001,78.970001,77.849998,78.970001,191300,75.113159
"2015-07-16",79.160004,79.160004,78.599998,78.75,150800,74.9039
"2015-07-17",78.75,78.760002,78.290001,78.75,123800,74.9039
"2015-07-20",78.75,79.260002,78.470001,79.010002,192500,75.151207
"2015-07-21",78.790001,79.480003,78.330002,78.809998,197500,74.96096
"2015-07-22",78.660004,79.230003,78.300003,78.529999,136300,74.694649
"2015-07-23",78.650002,78.730003,77.900002,78.25,159700,74.428322
"2015-07-24",78.330002,79.129997,77.830002,79.010002,340300,75.151207
"2015-07-27",78.339996,78.790001,78.230003,78.370003,131500,74.542465
"2015-07-28",78.519997,79.019997,77.769997,78.040001,212800,74.228584
"2015-07-29",78.300003,79.389999,78.040001,79.290001,398600,75.417534
"2015-07-30",81,81.410004,78.949997,81.330002,282000,77.35791
