"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",86.080002,86.169998,83.879997,84.470001,258800,84.470001
"2015-01-05",85.25,86.989998,85.07,85.620003,605900,85.620003
"2015-01-06",85.610001,86.730003,84.379997,84.849998,427900,84.849998
"2015-01-07",85.25,87.779999,85.169998,87.690002,358400,87.690002
"2015-01-08",88.5,91.830002,88,91.589996,804900,91.589996
"2015-01-09",91.599998,92.220001,90.43,91.209999,310800,91.209999
"2015-01-12",90.339996,90.720001,88.260002,88.910004,450800,88.910004
"2015-01-13",89.660004,90.410004,86.57,87.440002,549100,87.440002
"2015-01-14",86.800003,87.660004,86.360001,86.959999,406400,86.959999
"2015-01-15",87.580002,87.580002,86.410004,86.949997,443900,86.949997
"2015-01-16",86.610001,88.919998,86.610001,88.790001,244000,88.790001
"2015-01-20",89.209999,89.889999,87.779999,89.5,191200,89.5
"2015-01-21",89.290001,89.989998,88.32,88.760002,151400,88.760002
"2015-01-22",89.370003,91.129997,87.849998,91.110001,218000,91.110001
"2015-01-23",90.860001,91.07,89.68,90.330002,178100,90.330002
"2015-01-26",89.910004,91.610001,89.720001,91.239998,335900,91.239998
"2015-01-27",90.5,91.529999,89.489998,90.75,274400,90.75
"2015-01-28",90.790001,91.879997,90.080002,90.330002,306800,90.330002
"2015-01-29",90.690002,92.919998,89.959999,92.900002,370700,92.900002
"2015-01-30",92.019997,92.410004,90.540001,90.699997,333700,90.699997
"2015-02-02",90.760002,91,88.43,90.949997,263900,90.949997
"2015-02-03",91.18,92.18,90.379997,91.190002,246800,91.190002
"2015-02-04",90.989998,92.800003,90.989998,91.459999,248100,91.459999
"2015-02-05",91.75,92.099998,90.300003,90.970001,335200,90.970001
"2015-02-06",90.800003,91.519997,89.849998,90.82,302100,90.82
"2015-02-09",90.839996,91.419998,89.029999,89.07,368600,89.07
"2015-02-10",89.849998,90.25,88.5,89.720001,357200,89.720001
"2015-02-11",89.800003,90.559998,87.769997,88.739998,434100,88.739998
"2015-02-12",84.949997,84.949997,79.139999,81.57,2351500,81.57
"2015-02-13",80.160004,81.239998,79.650002,80,1120800,80
"2015-02-17",79.709999,81.699997,78.379997,81.639999,660200,81.639999
"2015-02-18",81.279999,83.040001,80.889999,82.720001,388100,82.720001
"2015-02-19",82.379997,83.32,82.239998,82.769997,383400,82.769997
"2015-02-20",82.669998,84.760002,82.529999,84.080002,375700,84.080002
"2015-02-23",84.029999,84.650002,83.669998,84.510002,298400,84.510002
"2015-02-24",84.620003,85.230003,84.290001,85.050003,357500,85.050003
"2015-02-25",84.910004,85.379997,84.209999,84.860001,258100,84.860001
"2015-02-26",84.860001,85.580002,84.339996,85.209999,334700,85.209999
"2015-02-27",85.290001,85.75,83.510002,83.559998,318200,83.559998
"2015-03-02",83.559998,84.059998,82.220001,82.970001,390300,82.970001
"2015-03-03",82.660004,83.07,81.730003,82.949997,330100,82.949997
"2015-03-04",82.550003,83.5,82.379997,82.620003,244900,82.620003
"2015-03-05",82.959999,83.400002,81.940002,82.980003,258200,82.980003
"2015-03-06",82.480003,83.029999,80.580002,81.18,223400,81.18
"2015-03-09",81.440002,82.209999,80.910004,81.620003,204400,81.620003
"2015-03-10",81.610001,81.93,80.389999,81.510002,288100,81.510002
"2015-03-11",81.470001,82.480003,80.75,82.330002,434800,82.330002
"2015-03-12",82.760002,85.360001,82.5,85.290001,464100,85.290001
"2015-03-13",85.449997,85.489998,84.169998,84.790001,326600,84.790001
"2015-03-16",85.300003,86.32,84.760002,85.470001,357600,85.470001
"2015-03-17",85.370003,85.940002,85.099998,85.400002,337500,85.400002
"2015-03-18",85,86.019997,84.040001,85.629997,329000,85.629997
"2015-03-19",85.660004,85.660004,84.760002,84.949997,208300,84.949997
"2015-03-20",85,86,84.32,85.739998,579900,85.739998
"2015-03-23",85.580002,85.779999,84.480003,85.040001,197300,85.040001
"2015-03-24",85.43,85.43,83.43,83.57,270600,83.57
"2015-03-25",83.580002,85.199997,82.93,82.970001,429100,82.970001
"2015-03-26",82.57,83.489998,82.209999,82.860001,235900,82.860001
